DATE,OPEN,HIGH,LOW,CLOSE
1996-01-02,5.9536,5.9536,5.7089,5.9536
1996-01-03,5.5458,5.5458,5.5458,5.5458
1996-01-04,6.0351,6.0351,5.5458,5.5458
1996-01-05,5.5458,5.9536,5.5458,5.9536
1996-01-08,5.9536,5.9536,5.9536,5.9536
1996-01-09,5.9536,5.9536,5.9536,5.9536
1996-01-10,5.9536,5.9536,5.9536,5.9536
1996-01-11,5.8720,5.8720,5.8720,5.8720
1996-01-12,5.9079,5.9079,5.9079,5.9079
1996-01-15,5.5458,5.9536,5.5458,5.9536
1996-01-16,5.9536,5.9536,5.7448,5.9536
1996-01-17,5.9536,5.9536,5.9536,5.9536
1996-01-18,5.9536,5.9536,5.7905,5.7905
1996-01-19,5.6274,5.6274,5.6274,5.6274
1996-01-22,5.6274,6.0351,5.6274,6.0351
1996-01-23,5.7905,6.0351,5.6274,5.7089
1996-01-24,5.7089,5.9536,5.7089,5.8720
1996-01-25,5.9536,5.9536,5.9536,5.9536
1996-01-26,5.6274,5.7089,5.6274,5.7089
1996-01-29,5.6274,5.9536,5.6274,5.8720
1996-01-30,5.6274,5.9536,5.6274,5.6274
1996-01-31,5.6274,5.9536,5.6274,5.9536
1996-02-01,5.9536,5.9536,5.9536,5.9536
1996-02-02,5.9536,5.9536,5.9536,5.9536
1996-02-05,5.8720,5.9536,5.8720,5.9536
1996-02-06,5.9536,5.9536,5.9536,5.9536
1996-02-07,5.9536,5.9536,5.5458,5.5458
1996-02-08,5.8720,5.8720,5.5817,5.7089
1996-02-09,5.7905,5.7905,5.5817,5.6632
1996-02-12,5.6632,5.6632,5.6632,5.6632
1996-02-13,5.6632,5.6632,5.6632,5.6632
1996-02-14,5.6274,5.6274,5.5458,5.5458
1996-02-15,5.7905,5.7905,5.7905,5.7905
1996-02-16,5.7905,5.7905,5.7905,5.7905
1996-02-20,5.5458,5.7905,5.5458,5.7905
1996-02-21,5.7448,5.7905,5.5458,5.7905
1996-02-22,5.7448,5.7905,5.6632,5.6632
1996-02-23,5.5458,5.7089,5.5458,5.6274
1996-02-26,5.7089,5.7089,5.7089,5.7089
1996-02-27,5.5458,5.5458,5.5458,5.5458
1996-02-28,5.8484,5.8484,5.6013,5.6013
1996-02-29,5.8484,5.8484,5.8484,5.8484
1996-03-01,5.6013,5.8484,5.6013,5.8484
1996-03-04,5.6013,5.8484,5.6013,5.8484
1996-03-05,5.8484,5.8484,5.8484,5.8484
1996-03-06,5.8484,5.8484,5.8484,5.8484
1996-03-07,5.8484,5.8484,5.8484,5.8484
1996-03-08,5.6013,5.6375,5.6013,5.6013
1996-03-11,5.6013,5.7660,5.6013,5.7660
1996-03-12,5.6375,5.6375,5.6375,5.6375
1996-03-13,5.5189,5.5189,5.5189,5.5189
1996-03-14,5.7199,5.7199,5.4728,5.4728
1996-03-15,5.4728,5.4728,5.4365,5.4365
1996-03-18,5.6013,5.6013,5.4365,5.6013
1996-03-19,5.6013,5.6013,5.6013,5.6013
1996-03-20,5.6013,5.6013,5.6013,5.6013
1996-03-21,5.4365,5.5189,5.4365,5.5189
1996-03-22,5.5189,5.5189,5.5189,5.5189
1996-03-25,5.5189,5.5189,5.5189,5.5189
1996-03-26,5.5189,5.5189,5.5189,5.5189
1996-03-27,5.6013,5.6013,5.6013,5.6013
1996-03-28,5.4365,5.6013,5.4365,5.6013
1996-03-29,5.6013,5.6013,5.6013,5.6013
1996-04-01,5.2718,5.2718,5.2718,5.2718
1996-04-02,5.2718,5.2718,5.2718,5.2718
1996-04-03,5.2718,5.2718,5.2718,5.2718
1996-04-04,5.5189,5.5189,5.2718,5.2718
1996-04-08,5.2718,5.2718,5.2718,5.2718
1996-04-09,5.2718,5.3541,5.2718,5.2882
1996-04-10,5.3541,5.3541,5.3541,5.3541
1996-04-11,5.2718,5.5189,5.2718,5.5189
1996-04-12,5.5189,5.5189,5.5189,5.5189
1996-04-15,5.5189,5.5189,5.5189,5.5189
1996-04-16,5.2718,5.2718,5.2718,5.2718
1996-04-17,5.5189,5.5189,5.5189,5.5189
1996-04-18,5.5189,5.6013,5.3904,5.6013
1996-04-19,5.3541,5.6013,5.3541,5.5189
1996-04-22,5.7660,5.7660,5.7660,5.7660
1996-04-23,5.7660,5.7660,5.7660,5.7660
1996-04-24,5.7660,5.7660,5.7660,5.7660
1996-04-25,5.4365,5.4728,5.4365,5.4728
