DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-02-05,10.2500,10.2500,10.1400,10.2000,0.026,
2021-02-08,10.1900,10.2500,10.1200,10.1500,0.471,
2021-02-09,10.1500,10.1700,10.1000,10.1600,0.061,
2021-02-10,10.1900,10.2499,10.0600,10.2200,0.295,
2021-02-11,10.2200,10.2500,10.1000,10.2000,0.035,
2021-02-12,10.2000,10.2400,10.2000,10.2300,0.078,
2021-02-16,10.1750,10.2000,10.1500,10.1700,0.013,
2021-02-17,10.3231,10.3231,10.1800,10.1800,0.017,
2021-02-18,10.2400,10.2400,10.1800,10.2400,0.038,
2021-02-19,10.5000,10.5000,10.1801,10.2000,0.007,
2021-02-22,10.2200,10.2400,10.1500,10.1600,0.031,
2021-02-23,10.1000,10.4600,10.1000,10.1850,0.111,
2021-02-24,10.1900,10.2500,10.1700,10.2500,0.029,
2021-02-25,10.2500,10.2500,10.1500,10.2000,0.413,
2021-02-26,10.3000,10.3000,10.1300,10.1395,0.010,
2021-03-01,10.2100,10.4800,10.1300,10.1800,0.018,
2021-03-02,10.1000,10.1000,10.0250,10.0500,0.137,
2021-03-03,10.0100,10.0500,9.9500,9.9700,0.099,
2021-03-04,9.9700,9.9780,9.9500,9.9600,0.186,
2021-03-05,9.9600,9.9600,9.9500,9.9500,0.252,
2021-03-08,9.9600,9.9600,9.9600,9.9600,0.009,
2021-03-09,9.9700,9.9750,9.9700,9.9700,0.302,
2021-03-10,9.9600,9.9600,9.9300,9.9300,0.132,
2021-03-11,9.9500,10.0000,9.9500,9.9500,0.159,
2021-03-12,9.9501,9.9900,9.9500,9.9500,0.004,
2021-03-15,9.9822,9.9822,9.9200,9.9500,0.323,
2021-03-16,9.9500,9.9750,9.9500,9.9750,0.006,
2021-03-17,9.9500,9.9625,9.9500,9.9500,0.008,
2021-03-18,9.9500,9.9900,9.9500,9.9900,0.007,
2021-03-19,9.9500,9.9500,9.8800,9.9100,0.116,
2021-03-22,9.9200,9.9200,9.9200,9.9200,0.001,
2021-03-23,9.8870,9.8870,9.8800,9.8800,0.000,
2021-03-24,9.9800,9.9800,9.8300,9.8300,0.037,
2021-03-25,9.8600,9.8700,9.8400,9.8500,0.045,
2021-03-26,9.8510,9.8510,9.8510,9.8510,0.000,
2021-03-29,9.8700,10.0700,9.8700,10.0700,0.001,
2021-03-30,9.9500,9.9500,9.9100,9.9500,0.163,
2021-03-31,9.9100,9.9100,9.9000,9.9100,0.009,
2021-04-01,9.9100,9.9500,9.9100,9.9500,0.016,
2021-04-05,9.9500,10.0000,9.9300,9.9300,0.053,
2021-04-06,9.9300,9.9499,9.9300,9.9499,0.001,
2021-04-07,9.9500,9.9700,9.9500,9.9700,0.003,
2021-04-08,9.9500,9.9800,9.9300,9.9800,0.085,
2021-04-09,9.9300,9.9800,9.9300,9.9800,0.045,
2021-04-12,10.0000,10.1400,10.0000,10.0700,0.018,
2021-04-13,9.9208,10.0000,9.9208,10.0000,0.001,
2021-04-14,10.0000,10.0700,10.0000,10.0700,0.027,
2021-04-15,10.0700,10.0700,10.0700,10.0700,0.000,
2021-04-16,10.0700,10.0700,10.0700,10.0700,0.000,
2021-04-19,9.9300,10.0300,9.9201,10.0200,0.004,10.037
2021-04-20,9.9600,9.9900,9.9500,9.9800,0.002,10.033
2021-04-21,9.9300,9.9300,9.9300,9.9300,0.000,10.028
2021-04-22,9.9300,9.9300,9.9300,9.9300,0.000,10.024
2021-04-23,9.9300,9.9900,9.9300,9.9900,0.001,10.019
2021-04-26,9.9900,9.9900,9.9900,9.9900,0.000,10.015
2021-04-27,9.9900,9.9900,9.9900,9.9900,0.000,10.010
2021-04-28,9.9500,10.0000,9.9500,10.0000,0.004,10.007
2021-04-29,10.0000,10.0000,10.0000,10.0000,0.008,10.003
2021-04-30,10.0000,10.0000,10.0000,10.0000,0.000,9.998
2021-05-03,9.9300,9.9300,9.9300,9.9300,0.000,9.993
2021-05-04,9.9301,10.0000,9.9301,10.0000,0.005,9.990
2021-05-05,9.9338,10.0000,9.9300,9.9700,0.010,9.985
2021-05-06,9.9700,10.0000,9.9700,9.9700,0.010,9.980
2021-05-07,10.0000,10.0000,10.0000,10.0000,0.000,9.976
2021-05-10,9.9500,9.9500,9.9500,9.9500,0.002,9.972
2021-05-11,9.9400,9.9800,9.9000,9.9600,0.016,9.968
2021-05-12,9.9400,10.0000,9.9200,10.0000,0.059,9.967
2021-05-13,9.9400,9.9900,9.9200,9.9900,0.068,9.967
2021-05-14,9.9900,9.9900,9.9400,9.9900,0.000,9.968
2021-05-17,9.9400,9.9400,9.9400,9.9400,0.000,9.967
2021-05-18,9.9400,9.9400,9.9400,9.9400,0.000,9.967
2021-05-19,9.9300,9.9900,9.9200,9.9600,0.018,9.967
2021-05-20,9.9400,9.9800,9.9400,9.9400,0.001,9.967
2021-05-21,9.9400,9.9400,9.9400,9.9400,0.000,9.967
2021-05-24,9.9400,9.9400,9.9400,9.9400,0.001,9.967
2021-05-25,9.9200,9.9700,9.9000,9.9700,0.124,9.967
2021-05-26,9.9700,9.9800,9.9200,9.9500,0.006,9.966
2021-05-27,9.9500,9.9500,9.9500,9.9500,0.001,9.966
2021-05-28,9.9500,9.9733,9.9500,9.9733,0.002,9.966
2021-06-01,9.9733,9.9733,9.9733,9.9733,0.000,9.967
2021-06-02,9.9400,9.9800,9.9400,9.9700,0.099,9.968
2021-06-03,9.9700,10.0000,9.9700,10.0000,0.002,9.971
2021-06-04,10.0000,10.0000,10.0000,10.0000,0.000,9.974
2021-06-07,10.0000,10.0000,10.0000,10.0000,0.000,9.977
2021-06-08,9.9500,9.9900,9.9400,9.9600,0.052,9.979
2021-06-09,9.9900,9.9900,9.9880,9.9880,0.000,9.978
2021-06-10,9.9800,10.0000,9.9800,10.0000,0.003,9.979
2021-06-11,10.0000,10.0100,9.9900,10.0100,0.009,9.981
2021-06-14,9.9800,9.9800,9.9700,9.9700,0.000,9.981
