DATE,OPEN,HIGH,LOW,CLOSE
2017-08-28,19.3758,19.5618,19.3758,19.4378
2017-08-29,19.4301,19.4455,19.3913,19.4223
2017-08-30,19.4146,19.4998,19.4146,19.4378
2017-08-31,19.4610,19.4688,19.4146,19.4378
2017-09-01,19.4378,19.4688,19.4068,19.4610
2017-09-05,19.5153,19.5153,19.4223,19.4223
2017-09-06,19.4765,19.5455,19.4301,19.5455
2017-09-07,19.5618,19.6315,19.4920,19.6315
2017-09-08,19.5618,19.6625,19.5618,19.6388
2017-09-11,19.6780,19.6780,19.5927,19.6160
2017-09-12,19.6315,19.6702,19.5927,19.6547
2017-09-13,19.6160,19.6702,19.5540,19.6082
2017-09-14,19.5850,19.7167,19.5850,19.6625
2017-09-15,19.6702,19.6702,19.5927,19.6237
2017-09-18,19.6392,19.7167,19.5927,19.7167
2017-09-19,19.7167,19.7167,19.6392,19.6702
2017-09-20,19.7012,19.7399,19.6470,19.6780
2017-09-21,19.6702,19.7322,19.6392,19.6470
2017-09-22,19.6237,19.6935,19.6160,19.6780
2017-09-25,19.6935,19.7322,19.6780,19.7199
2017-09-26,19.7477,19.7787,19.7012,19.7554
2017-09-27,19.7322,19.8329,19.7090,19.7864
2017-09-28,19.8613,19.9552,19.7987,19.9395
2017-09-29,19.9474,20.2995,19.8779,20.2213
2017-10-02,20.2369,20.2369,20.0647,20.1508
2017-10-03,20.1821,20.1821,20.0726,20.0804
2017-10-04,20.0726,20.2134,20.0647,20.0961
2017-10-05,20.1508,20.1900,20.1117,20.1665
2017-10-06,20.1118,20.1821,20.0178,20.1508
2017-10-09,20.1508,20.2291,20.1117,20.1274
2017-10-10,20.1821,20.1900,20.0832,20.1352
2017-10-11,20.1195,20.2291,20.1195,20.1900
2017-10-12,20.2056,20.2995,20.1936,20.2760
2017-10-13,20.2995,20.4795,20.2760,20.4560
2017-10-16,20.3699,20.6986,20.3699,20.4952
2017-10-17,20.5030,20.5578,20.4560,20.5030
2017-10-18,20.5499,20.7612,20.5031,20.6908
2017-10-19,20.6595,20.7299,20.6204,20.7064
2017-10-20,20.7299,20.7417,20.5578,20.6986
2017-10-23,20.6830,20.9021,20.6360,20.7690
2017-10-24,20.7925,20.7925,20.5030,20.7064
2017-10-25,20.7456,20.8708,20.5884,20.7064
2017-10-26,20.6595,20.8242,20.6387,20.8082
2017-10-27,20.8082,20.9647,20.7377,20.7847
2017-10-30,20.8160,20.8551,20.7678,20.7769
2017-10-31,20.8551,20.9647,20.8160,20.9334
2017-11-01,20.9334,20.9334,20.6751,20.7299
2017-11-02,20.8160,20.8160,20.6634,20.7221
2017-11-03,20.7221,20.7299,20.6673,20.6830
2017-11-06,20.6595,20.6751,20.6179,20.6204
2017-11-07,20.7221,20.7221,20.5405,20.6282
2017-11-08,20.6908,20.6908,20.4717,20.5108
2017-11-09,20.5030,20.6413,20.3934,20.4326
2017-11-10,20.5656,20.5812,20.4326,20.5421
2017-11-13,20.7299,20.7299,20.4482,20.4639
2017-11-14,20.4639,20.7221,20.3386,20.5499
2017-11-15,20.7221,20.7299,20.5073,20.7143
2017-11-16,20.7221,20.7221,20.1978,20.2056
2017-11-17,20.1900,20.3073,20.0178,20.1900
2017-11-20,20.2682,20.3621,20.2291,20.2369
2017-11-21,20.2369,20.3386,20.1821,20.2213
2017-11-22,20.2682,20.4103,20.1900,20.3308
2017-11-24,20.4091,20.4091,20.3543,20.3684
2017-11-27,20.3621,20.3856,20.2760,20.3543
2017-11-28,20.3699,20.3699,20.2447,20.3386
2017-11-29,20.3465,20.3465,20.1743,20.2682
2017-11-30,20.2917,20.4169,20.1743,20.2056
2017-12-01,20.1743,20.3307,20.1508,20.2604
2017-12-04,20.3465,20.3465,20.2600,20.3465
2017-12-05,20.3465,20.4169,20.3185,20.4012
2017-12-06,20.3699,20.5213,20.2995,20.2995
2017-12-07,20.4091,20.5734,20.3856,20.5656
2017-12-08,20.5578,20.5891,20.4639,20.5578
2017-12-11,20.5812,20.6360,20.4928,20.5421
2017-12-12,20.6282,20.6282,20.4952,20.5343
2017-12-13,20.4560,20.6125,20.4560,20.5107
2017-12-14,20.6908,20.6908,20.4404,20.5891
2017-12-15,20.5891,20.6908,20.4873,20.4873
2017-12-18,20.6360,20.6517,20.5030,20.5617
2017-12-19,20.5030,20.5734,20.5030,20.5421
