DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1996-11-15,11.3496,11.3496,10.7522,10.8000,0.020,
1996-11-18,11.3496,11.3496,10.5531,10.9513,0.022,
1996-11-19,10.9513,10.9513,10.5531,10.9513,0.016,
1996-11-20,10.9513,10.9513,10.7522,10.7522,0.013,
1996-11-21,10.5531,10.9513,8.9602,9.5575,0.347,
1996-11-22,9.6531,9.6531,7.7655,8.9602,0.609,
1996-11-25,9.1593,9.6531,8.7611,9.6531,0.209,
1996-11-26,9.6531,10.1549,9.3584,10.1549,0.190,
1996-11-27,10.2027,10.5531,9.5575,9.8602,0.067,
1996-11-29,10.0513,10.0513,9.7566,10.0513,0.016,
1996-12-02,10.3540,10.5531,9.7566,10.1549,0.053,
1996-12-03,9.7566,10.1549,9.7566,9.8602,0.079,
1996-12-04,9.9558,9.9558,9.3584,9.3584,0.035,
1996-12-05,9.7566,9.7566,8.9602,9.5575,0.030,
1996-12-06,8.5619,9.3584,8.3628,9.3584,0.085,
1996-12-09,9.3584,9.4619,8.9602,9.0637,0.024,
1996-12-10,9.4619,9.4619,9.0637,9.0637,0.079,
1996-12-11,9.4619,9.9558,9.1593,9.7566,0.205,
1996-12-12,9.7566,9.9558,9.5575,9.5575,0.145,
1996-12-13,9.9558,10.1549,9.4619,10.0513,0.055,
1996-12-16,10.0513,10.5531,9.7566,10.5531,0.044,
1996-12-17,10.3540,10.5531,9.9558,10.5531,0.017,
1996-12-18,9.9558,10.5531,9.9558,10.5531,0.021,
1996-12-19,9.9558,10.3540,9.9558,10.3540,0.023,
1996-12-20,9.9558,10.3540,9.9558,9.9558,0.018,
1996-12-23,10.3540,10.3540,9.7566,10.1549,0.034,
1996-12-24,9.7566,10.1549,9.5575,9.9558,0.015,
1996-12-26,9.6531,9.9558,9.5575,9.9558,0.051,
1996-12-27,9.6531,9.9558,9.5575,9.5575,0.012,
1996-12-30,9.5575,9.9558,9.1593,9.1593,0.038,
1996-12-31,9.0637,9.9558,9.0637,9.9558,0.031,
1997-01-02,9.9558,10.3540,9.7566,10.3540,0.007,
