DATE,OPEN,HIGH,LOW,CLOSE
1994-08-18,5.2500,5.2500,5.2500,5.2500
1994-08-19,5.2500,5.2500,5.2500,5.2500
1994-08-22,5.2500,5.2500,5.2500,5.2500
1994-08-23,5.2500,5.2500,5.2500,5.2500
1994-08-24,5.2500,5.2500,5.2500,5.2500
1994-08-25,5.2500,5.2500,5.2500,5.2500
1994-08-26,5.2500,5.2500,5.2500,5.2500
1994-08-29,5.2500,5.2500,5.2500,5.2500
1994-08-30,5.2500,5.2500,5.2500,5.2500
1994-08-31,5.2500,5.2500,5.2500,5.2500
1994-09-01,5.2500,5.2500,5.2500,5.2500
1994-09-02,5.4375,5.4375,5.4375,5.4375
1994-09-06,5.4375,5.4375,5.4375,5.4375
1994-09-07,5.4375,5.4375,5.4375,5.4375
1994-09-08,5.0625,5.0625,5.0625,5.0625
1994-09-09,5.0625,5.0625,5.0625,5.0625
1994-09-12,5.0625,5.0625,5.0625,5.0625
1994-09-13,5.0625,5.0625,5.0625,5.0625
1994-09-14,5.0625,5.0625,5.0625,5.0625
1994-09-15,5.0625,5.0625,5.0625,5.0625
1994-09-16,5.4375,5.4375,5.4375,5.4375
1994-09-19,5.2650,5.2650,5.2650,5.2650
1994-09-20,5.2650,5.2650,5.2650,5.2650
1994-09-21,5.2650,5.2650,5.2650,5.2650
1994-09-22,5.2650,5.2650,5.2650,5.2650
1994-09-23,5.2650,5.2650,5.2650,5.2650
1994-09-26,5.2650,5.2650,5.2650,5.2650
1994-09-27,5.2650,5.2650,5.2650,5.2650
1994-09-28,5.0625,5.0625,5.0625,5.0625
1994-09-29,5.0625,5.0625,5.0625,5.0625
1994-09-30,5.4375,5.4375,5.2500,5.2500
1994-10-03,5.2500,5.2500,5.2500,5.2500
1994-10-04,5.2500,5.2500,5.2500,5.2500
1994-10-05,5.2500,5.2500,5.2500,5.2500
1994-10-06,5.2500,5.2500,5.2500,5.2500
1994-10-07,5.2500,5.2500,5.2500,5.2500
1994-10-10,5.0625,5.0625,5.0625,5.0625
1994-10-11,5.0625,5.0625,5.0625,5.0625
1994-10-12,5.0625,5.0625,5.0625,5.0625
1994-10-13,5.3400,5.3400,5.3400,5.3400
1994-10-14,5.3400,5.3400,5.3400,5.3400
1994-10-17,5.4375,5.4375,5.4375,5.4375
1994-10-18,5.0625,5.0625,5.0625,5.0625
1994-10-19,5.0625,5.3400,5.0625,5.3400
1994-10-20,5.3400,5.3400,5.3400,5.3400
1994-10-21,5.3400,5.3400,5.3400,5.3400
1994-10-24,5.0625,5.4375,5.0625,5.4375
1994-10-25,5.4375,5.4375,5.4375,5.4375
1994-10-26,5.4375,5.4375,5.4375,5.4375
1994-10-27,5.4375,5.4375,5.4375,5.4375
1994-10-28,5.0625,5.0625,5.0625,5.0625
1994-10-31,5.0625,5.4375,5.0625,5.4375
1994-11-01,5.4375,5.4375,5.4375,5.4375
1994-11-02,5.4375,5.4375,5.4375,5.4375
1994-11-03,5.4375,5.4375,5.4375,5.4375
1994-11-04,5.0625,5.0625,5.0625,5.0625
1994-11-07,5.4375,5.4375,5.4375,5.4375
