DATE,OPEN,HIGH,LOW,CLOSE
2019-02-15,241.0000,242.0000,235.0000,236.0000
2019-02-19,235.8000,237.4080,230.0000,230.8000
2019-02-20,230.8000,233.0000,228.0000,230.0000
2019-02-21,229.8000,230.9980,214.8000,219.8000
2019-02-22,219.6000,226.6000,215.6000,221.8000
2019-02-25,220.8000,222.8000,211.0000,219.8000
2019-02-26,218.4000,219.8000,200.2000,209.6000
2019-02-27,208.8000,214.4000,205.8000,213.4000
2019-02-28,212.6000,214.4000,210.8000,213.2000
2019-03-01,214.8000,216.2000,209.6000,215.8000
2019-03-04,216.6000,226.0000,216.6000,219.4000
2019-03-05,219.6000,225.0000,216.0000,221.8000
2019-03-06,222.8000,230.0000,221.2000,228.6000
2019-03-07,228.6000,231.0000,219.2000,220.4000
2019-03-08,212.0000,226.6000,212.0000,223.6000
2019-03-11,225.6000,265.2000,225.6000,255.0000
2019-03-12,254.6000,270.4000,251.2000,270.0000
2019-03-13,270.0000,283.0000,269.4000,283.0000
2019-03-14,290.2000,295.4000,277.6000,279.0000
2019-03-15,285.0000,285.0000,272.2000,277.2000
2019-03-18,281.0000,281.0000,271.4000,276.2000
2019-03-19,276.8000,284.8000,272.4000,277.2000
2019-03-20,269.0000,272.7000,246.2020,255.8000
2019-03-21,252.6000,262.2000,252.6000,255.8000
2019-03-22,253.8000,259.8000,237.6000,246.6000
2019-03-25,246.0000,252.8000,245.6000,251.0000
2019-03-26,252.4000,254.8000,241.2000,242.4000
2019-03-27,242.2000,244.8000,231.4000,238.6000
2019-03-28,238.0000,245.4000,236.0000,239.8000
2019-03-29,240.4000,247.3080,239.8000,245.8000
2019-04-01,247.2000,256.5000,245.9600,251.0000
2019-04-02,250.8000,258.0000,244.6000,245.0000
2019-04-03,246.0000,255.9980,245.8000,251.2000
2019-04-04,251.2000,255.6000,248.0000,249.0000
2019-04-05,248.8000,251.2000,237.0000,239.8000
2019-04-08,239.6000,247.4080,233.0000,236.2000
2019-04-09,234.4000,235.8000,226.2000,229.8000
2019-04-10,230.0000,238.2000,227.4000,228.0000
2019-04-11,227.6000,227.6000,222.0000,222.2000
2019-04-12,223.6000,225.8000,215.6000,224.0000
2019-04-15,223.6000,224.0000,219.4000,220.0000
2019-04-16,220.0000,222.4000,217.4000,221.4000
2019-04-17,222.8000,226.8000,219.8000,224.0000
2019-04-18,222.0000,222.0000,201.6000,220.0000
2019-04-22,218.8000,220.6180,211.8000,219.0000
2019-04-23,219.2000,221.8000,214.6000,219.2000
2019-04-24,219.6000,220.8000,209.4000,211.8000
