DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2006-06-12,105.3600,105.6000,101.0400,102.0000,0.013,
2006-06-13,100.9200,101.5200,98.4000,100.8000,0.006,
2006-06-14,100.8000,101.2800,99.7200,99.7200,0.006,
2006-06-15,99.4800,100.2000,97.6800,97.8000,0.003,
2006-06-16,99.0000,99.0000,95.0400,95.0400,0.005,
2006-06-19,97.5600,100.8000,94.8000,96.8400,0.010,
2006-06-20,95.8800,99.0000,88.3200,89.5200,0.021,
2006-06-21,88.8000,88.8000,85.9200,87.4800,0.018,
2006-06-22,87.4800,87.6000,82.9200,85.5600,0.011,
2006-06-23,85.0800,85.3200,84.6000,84.6000,0.003,
2006-06-26,88.4400,88.4400,81.0000,82.6800,0.009,
2006-06-27,82.6800,84.0000,79.2000,79.3200,0.005,
2006-06-28,83.2800,83.2800,71.7600,75.6000,0.012,
2006-06-29,75.2400,84.2400,75.0000,76.2000,0.006,
2006-06-30,78.0000,78.7200,74.4000,75.6000,0.002,
2006-07-03,78.7200,83.6400,76.8000,77.1600,0.001,
2006-07-05,75.9600,77.7648,74.4000,74.5200,0.000,
2006-07-06,75.3600,78.1200,75.3600,78.0000,0.002,
2006-07-07,75.6000,77.6340,75.1200,77.1600,0.001,
2006-07-10,78.0288,78.7200,73.9200,75.0000,0.002,
2006-07-11,73.8000,75.8400,72.7200,74.6400,0.004,
2006-07-12,74.7600,77.4000,74.7600,74.7600,0.002,
2006-07-13,78.0000,80.4000,70.6800,71.2800,0.006,
2006-07-14,76.8000,76.8000,69.3600,69.3600,0.003,
2006-07-17,78.4800,78.4800,63.1200,66.7200,0.004,
2006-07-18,67.8000,78.4680,67.8000,72.0000,0.003,
2006-07-19,71.4000,71.4000,67.4400,68.8800,0.003,
2006-07-20,76.6800,76.6800,64.8756,66.0000,0.002,
2006-07-21,64.8000,67.8000,64.8000,66.0000,0.001,
2006-07-24,65.5200,67.2000,65.5200,66.0000,0.000,
2006-07-25,65.4000,66.0000,63.0000,63.6000,0.004,
2006-07-26,64.2000,67.2000,63.8400,66.2400,0.002,
2006-07-27,67.3200,67.3200,63.6000,64.2000,0.008,
2006-07-28,63.6000,66.0000,60.0000,62.4000,0.014,
2006-07-31,63.6000,63.6000,60.4800,60.4800,0.001,
2006-08-01,60.4800,60.4800,55.8000,56.8800,0.015,
2006-08-02,57.0000,60.2400,57.0000,57.8400,0.012,
2006-08-03,58.2000,59.2800,57.6000,58.2000,0.004,
2006-08-04,57.7200,60.2400,57.7200,58.2000,0.010,
2006-08-07,57.6000,61.2000,57.6000,61.2000,0.006,
2006-08-08,61.2000,72.4800,61.2000,71.4000,0.016,
2006-08-09,72.2400,73.5600,67.0800,73.0800,0.007,
2006-08-10,71.1840,75.1200,65.4000,72.8400,0.003,
2006-08-11,71.1840,73.3200,65.4000,69.9600,0.003,
2006-08-14,71.6400,76.2000,67.9200,73.6800,0.004,
2006-08-15,75.6000,76.3200,73.9200,74.2800,0.001,
2006-08-16,76.4400,77.4000,73.2000,73.2000,0.001,
2006-08-17,73.2000,74.7600,69.7200,69.7200,0.002,
2006-08-18,70.4400,70.4400,67.4400,68.4000,0.000,
2006-08-21,68.4000,68.6400,67.8000,68.1600,0.001,74.604
2006-08-22,66.7200,67.8000,66.0000,67.8000,0.003,73.920
2006-08-23,67.2000,67.2000,63.6000,63.6000,0.003,73.176
2006-08-24,66.1200,71.4000,60.8400,62.4000,0.006,72.430
2006-08-25,66.0000,66.0000,59.7600,61.2000,0.003,71.698
2006-08-28,61.8000,70.2000,61.8000,66.0000,0.003,71.117
2006-08-29,65.4000,69.6000,62.0400,64.9200,0.001,70.478
2006-08-30,64.3200,66.9600,63.0648,66.2400,0.001,70.013
2006-08-31,66.2400,71.8800,66.2400,67.4400,0.001,69.612
2006-09-01,69.6000,69.6000,66.2400,69.0000,0.001,69.281
2006-09-05,75.8400,75.8400,67.4400,68.7600,0.001,68.964
2006-09-06,69.6000,69.6000,66.7200,66.9600,0.001,68.650
2006-09-07,66.8400,66.8400,62.1600,63.4800,0.015,68.333
2006-09-08,61.8000,65.7600,61.3200,65.7600,0.017,68.136
2006-09-11,63.8400,64.0800,63.2400,63.4800,0.000,67.882
2006-09-12,63.3600,64.2000,63.1200,63.4800,0.001,67.639
2006-09-13,64.2000,64.4400,62.0400,63.6000,0.004,67.368
2006-09-14,64.8000,66.4800,63.0000,65.8800,0.014,67.195
2006-09-15,66.0000,66.1200,64.9200,66.0000,0.009,66.955
2006-09-18,67.2000,69.0000,66.1200,68.8800,0.004,66.790
2006-09-19,69.0000,74.0400,68.0400,70.6800,0.001,66.703
2006-09-20,68.5200,78.8400,68.5200,77.4000,0.007,66.758
2006-09-21,78.3600,80.7600,76.8000,79.6800,0.010,66.857
2006-09-22,78.0000,78.6000,72.6000,73.6800,0.001,66.905
2006-09-25,78.7200,78.8400,69.1200,72.7200,0.001,66.972
2006-09-26,73.2000,76.0800,73.2000,74.6400,0.002,67.130
2006-09-27,76.2000,81.0000,73.4400,78.0000,0.002,67.250
