DATE,OPEN,HIGH,LOW,CLOSE
2004-03-16,8.2612,8.2932,8.2292,8.2932
2004-03-17,8.2612,8.2932,8.2612,8.2932
2004-03-18,8.2772,8.2932,8.2772,8.2932
2004-03-19,8.2932,8.4082,8.2932,8.3091
2004-03-22,8.3091,8.3091,8.3091,8.3091
2004-03-23,8.3091,8.4242,8.2484,8.2484
2004-03-24,8.3887,8.3890,8.3887,8.3890
2004-03-25,8.3411,8.3411,8.3411,8.3411
2004-03-26,8.3411,8.3411,8.3251,8.3251
2004-03-29,8.3284,8.3284,8.3251,8.3251
2004-03-30,8.3251,8.4064,8.3251,8.3869
2004-03-31,8.3902,8.3902,8.3251,8.3251
2004-04-01,8.3251,8.3837,8.3251,8.3707
2004-04-02,8.3414,8.3804,8.3089,8.3414
2004-04-05,8.3707,8.3739,8.3707,8.3707
2004-04-06,8.3707,8.3707,8.3707,8.3707
2004-04-07,8.3544,8.3544,8.3544,8.3544
2004-04-08,8.3544,8.3544,8.3544,8.3544
2004-04-12,8.2959,8.2959,8.2959,8.2959
2004-04-13,8.2959,8.3251,8.1950,8.2113
2004-04-14,8.2601,8.3251,8.2113,8.3251
2004-04-15,8.3251,8.3251,8.3251,8.3251
2004-04-16,8.3251,8.3414,8.3251,8.3414
2004-04-19,8.3414,8.3414,8.2601,8.3414
2004-04-20,8.3089,8.3414,8.2113,8.3414
2004-04-21,8.2601,8.2601,8.1853,8.1853
2004-04-22,8.1950,8.3414,8.1950,8.3414
2004-04-23,8.2796,8.3186,8.1788,8.2276
2004-04-26,8.2894,8.2894,8.2276,8.2601
2004-04-27,8.2601,8.2763,8.2276,8.2763
2004-04-28,8.2276,8.3251,8.2113,8.2276
2004-04-29,8.2926,8.2926,8.2601,8.2601
2004-04-30,8.2926,8.2926,8.2276,8.2276
2004-05-03,8.2276,8.2276,8.2276,8.2276
2004-05-04,8.2926,8.2926,8.2926,8.2926
2004-05-05,8.2601,8.2601,8.2438,8.2438
