DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-11-11,5.4000,5.4699,4.2200,4.6900,2.635,
2021-11-12,4.4000,4.7800,4.1000,4.2500,0.924,
2021-11-15,4.2000,4.2500,4.0601,4.1100,0.225,
2021-11-16,4.0600,4.1900,3.9500,4.1000,0.287,
2021-11-17,4.1000,4.1800,3.9700,4.1800,0.092,
2021-11-18,4.1500,4.4000,4.0000,4.1800,0.186,
2021-11-19,4.1500,4.4832,4.1201,4.3600,0.182,
2021-11-22,4.4200,4.4200,3.9701,4.0400,0.111,
2021-11-23,4.0800,4.3500,3.8500,4.2900,0.217,
2021-11-24,4.3100,4.3100,3.9900,4.1400,0.328,
2021-11-26,3.7900,3.9800,3.7600,3.8700,0.093,
2021-11-29,4.0400,4.0400,3.6006,3.7100,0.158,
2021-11-30,3.5000,3.6423,3.4500,3.5700,0.139,
2021-12-01,3.5900,4.7200,3.5001,4.6500,1.016,
2021-12-02,4.2600,4.5190,4.0500,4.2200,0.136,
2021-12-03,4.3100,4.3700,4.2000,4.3000,0.046,
2021-12-06,4.3500,4.3999,3.9200,4.1450,0.214,
2021-12-07,4.2000,4.3500,3.9649,4.1700,0.134,
2021-12-08,4.1200,4.1800,3.9600,4.0800,0.227,
2021-12-09,4.0500,4.1400,3.7107,3.8500,0.153,
2021-12-10,3.8000,3.9400,3.7800,3.8100,0.073,
2021-12-13,3.8500,3.8900,3.0900,3.4200,0.186,
2021-12-14,3.3382,3.3700,3.1350,3.2000,0.084,
2021-12-15,3.2400,3.4000,3.1000,3.3900,0.115,
2021-12-16,3.3900,3.4800,3.1800,3.2900,0.108,
2021-12-17,3.3000,3.3000,2.8000,2.9300,0.233,
2021-12-20,2.9300,3.7000,2.7500,3.5600,1.516,
2021-12-21,3.5600,4.2000,3.1700,3.6000,1.298,
2021-12-22,3.5700,3.7500,3.3500,3.5600,0.451,
2021-12-23,3.6000,3.6000,3.3500,3.4100,0.190,
2021-12-27,3.4500,3.5900,3.2626,3.3200,0.317,
2021-12-28,3.1100,3.3100,3.0900,3.1100,0.152,
2021-12-29,3.1400,3.3000,3.1101,3.1200,0.254,
2021-12-30,3.0900,3.3154,3.0900,3.1500,0.106,
2021-12-31,3.1300,3.2543,3.0500,3.0800,0.148,
2022-01-03,3.2100,3.7286,3.1001,3.6700,1.025,
2022-01-04,3.7000,4.1900,3.3700,3.6400,2.217,
2022-01-05,3.6400,3.6400,3.2700,3.3500,0.526,
2022-01-06,3.2400,3.3500,3.1100,3.2100,0.161,
2022-01-07,3.1900,3.5400,3.0700,3.4900,0.699,
2022-01-10,3.4900,3.4900,3.2521,3.3200,0.260,
2022-01-11,3.3400,3.4400,3.2500,3.3650,0.407,
2022-01-12,3.3100,3.4965,3.3000,3.3600,0.223,
2022-01-13,3.3700,3.4000,3.1800,3.2200,0.220,
2022-01-14,3.1500,3.2281,3.1000,3.2100,0.116,
2022-01-18,3.1900,3.1935,2.9501,3.0400,0.363,
2022-01-19,3.0800,3.1000,2.8500,3.0000,0.293,
2022-01-20,2.9800,3.0800,2.8500,2.8600,0.104,
2022-01-21,2.9300,3.0300,2.5500,2.6100,0.289,
2022-01-24,2.5000,2.5742,2.2001,2.4500,0.437,3.613
2022-01-25,2.3900,2.4999,2.3001,2.4100,0.096,3.567
2022-01-26,2.3700,2.4600,2.1200,2.1700,0.136,3.526
2022-01-27,2.2000,2.2699,2.0400,2.0400,0.133,3.484
2022-01-28,2.0700,2.1101,1.7600,1.9500,0.229,3.441
2022-01-31,1.9500,2.1700,1.9500,2.1700,0.114,3.401
2022-02-01,2.2000,2.2300,2.1300,2.1800,0.028,3.361
2022-02-02,2.2300,2.2300,2.0150,2.0500,0.100,3.315
2022-02-03,2.1400,2.1600,1.9300,2.1000,0.196,3.276
2022-02-04,2.1300,2.1999,1.9900,2.0700,0.087,3.232
2022-02-07,2.0100,2.0600,1.9500,1.9500,0.036,3.188
2022-02-08,1.9400,2.0400,1.8850,1.9800,0.055,3.150
