DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1984-09-07,11.1657,11.5575,11.1657,11.1657,0.022,
1984-09-10,11.5575,11.9493,11.5575,11.5575,0.024,
1984-09-11,11.7534,11.9493,11.7534,11.7534,0.044,
1984-09-12,11.7534,11.9493,11.7534,11.7534,0.022,
1984-09-13,11.7534,11.9493,11.7534,11.7534,0.017,
1984-09-14,12.1452,12.5370,12.1452,12.1452,0.041,
1984-09-17,12.7329,13.1247,12.7329,12.7329,0.037,
1984-09-18,13.5164,13.7123,13.5164,13.5164,0.042,
1984-09-19,12.3411,12.3411,12.1452,12.1452,0.261,
1984-09-20,11.7534,11.7534,11.5575,11.5575,0.066,
1984-09-21,11.7534,11.9493,11.7534,11.7534,0.044,
1984-09-24,11.7534,11.7534,11.3616,11.3616,0.017,
1984-09-25,11.3616,11.7534,11.3616,11.3616,0.028,
1984-09-26,11.5575,11.7534,11.5575,11.5575,0.027,
1984-09-27,11.5575,11.7534,11.5575,11.5575,0.015,
1984-09-28,11.5575,11.7534,11.3616,11.3616,0.032,
1984-10-01,11.3616,11.3616,11.1657,11.1657,0.019,
1984-10-02,10.7740,10.7740,10.3822,10.3822,0.033,
1984-10-03,10.3822,10.5781,10.3822,10.3822,0.023,
1984-10-04,10.1863,10.1863,9.9904,9.9904,0.020,
1984-10-05,9.9904,10.3822,9.9904,9.9904,0.016,
1984-10-08,10.1863,10.3822,10.1863,10.1863,0.011,
1984-10-09,10.1863,10.3822,10.1863,10.1863,0.034,
1984-10-10,10.1863,10.1863,9.7945,9.7945,0.056,
1984-10-11,9.7945,10.1863,9.7945,9.7945,0.018,
1984-10-12,9.7945,10.1863,9.7945,9.7945,0.010,
1984-10-15,9.7945,10.1863,9.7945,9.7945,0.012,
1984-10-16,9.7945,10.1863,9.7945,9.7945,0.017,
1984-10-17,9.7945,9.9904,9.5986,9.5986,0.026,
1984-10-18,9.7945,10.1863,9.7945,9.7945,0.016,
1984-10-19,9.7945,10.1863,9.7945,9.7945,0.036,
1984-10-22,9.7945,10.1863,9.7945,9.7945,0.014,
1984-10-23,9.7945,10.1863,9.7945,9.7945,0.008,
1984-10-24,9.7945,9.9904,9.7945,9.7945,0.008,
1984-10-25,9.7945,9.7945,9.4027,9.4027,0.013,
1984-10-26,9.4027,9.5986,9.4027,9.4027,0.013,
1984-10-29,9.4027,9.5986,9.4027,9.4027,0.015,
1984-10-30,9.4027,9.5986,9.2068,9.2068,0.025,
1984-10-31,8.8151,8.8151,8.4233,8.4233,0.028,
1984-11-01,8.4233,8.4233,8.2274,8.2274,0.055,
1984-11-02,8.4233,8.6192,8.4233,8.4233,0.017,
1984-11-05,8.6192,8.8151,8.6192,8.6192,0.047,
1984-11-06,9.5986,9.7945,9.5986,9.5986,0.060,
