DATE,OPEN,HIGH,LOW,CLOSE
2005-06-28,9.2076,9.3451,9.1046,9.2076
2005-06-29,9.2283,9.3038,9.1733,9.1870
2005-06-30,9.1389,9.2076,9.0221,9.1595
2005-07-01,9.1046,9.2145,9.0977,9.2076
2005-07-05,9.2695,9.2695,9.1389,9.1389
2005-07-06,9.0908,9.1939,9.0908,9.1609
2005-07-07,9.1389,9.1733,9.0015,9.0908
2005-07-08,9.0221,9.1183,9.0221,9.1183
2005-07-11,9.0015,9.1527,9.0015,9.1389
2005-07-12,9.1389,9.1733,9.1183,9.1527
2005-07-13,9.1389,9.2351,9.1142,9.2076
2005-07-14,9.2351,9.2351,9.1733,9.1939
2005-07-15,9.1527,9.2557,9.1183,9.1183
2005-07-18,9.1389,9.2076,9.1183,9.1870
2005-07-19,9.1527,9.2557,9.1527,9.2489
2005-07-20,9.2557,9.2557,9.0427,9.2283
2005-07-21,9.2420,9.2420,9.1733,9.2283
2005-07-22,9.2076,9.4138,9.1733,9.3451
2005-07-25,9.3932,9.6543,9.3107,9.4825
2005-07-26,9.4825,9.5993,9.4138,9.5512
2005-07-27,9.6131,9.6131,9.4825,9.6062
2005-07-28,9.6199,9.6818,9.4825,9.6543
2005-07-29,9.6543,9.7573,9.5856,9.7573
2005-08-01,9.7917,9.7917,9.7024,9.7367
2005-08-02,9.6680,9.7848,9.6680,9.7436
2005-08-03,9.7436,9.9360,9.7436,9.9291
2005-08-04,9.9566,9.9841,9.8604,9.9429
2005-08-05,9.9635,9.9635,9.7986,9.8948
2005-08-08,9.8261,9.9635,9.7917,9.8810
2005-08-09,9.8948,9.9978,9.8329,9.9291
2005-08-10,9.9291,9.9910,9.8948,9.8948
2005-08-11,9.9016,9.9635,9.8742,9.8948
2005-08-12,9.9566,9.9978,9.8810,9.9223
2005-08-15,9.9497,9.9635,9.8742,9.9635
2005-08-16,9.8948,9.9635,9.7780,9.7992
2005-08-17,9.7780,9.9085,9.7711,9.8948
2005-08-18,9.9085,9.9085,9.8261,9.8879
2005-08-19,9.8673,9.8948,9.7917,9.8948
2005-08-22,9.9085,9.9085,9.8329,9.8329
2005-08-23,9.8879,9.8879,9.8261,9.8810
2005-08-24,9.7917,9.8714,9.7917,9.8398
2005-08-25,9.8467,9.8673,9.7766,9.8673
2005-08-26,9.8742,9.8742,9.7436,9.8192
2005-08-29,9.7161,9.8192,9.7161,9.7917
2005-08-30,9.8398,9.8398,9.7230,9.7917
2005-08-31,9.8261,9.8261,9.7230,9.7917
2005-09-01,9.7573,9.8261,9.7237,9.7986
2005-09-02,9.8191,9.8191,9.7573,9.7917
2005-09-06,9.8054,9.8535,9.7642,9.8398
2005-09-07,9.7780,9.8604,9.7573,9.8535
2005-09-08,9.8535,9.8535,9.7917,9.8467
2005-09-09,9.7986,9.8879,9.7986,9.8810
2005-09-12,9.8948,9.9291,9.8082,9.9291
2005-09-13,9.8604,9.9635,9.8604,9.9429
2005-09-14,9.8948,9.9635,9.8948,9.9291
2005-09-15,9.8948,9.9497,9.8879,9.9291
2005-09-16,9.8742,10.1009,9.8604,10.1009
2005-09-19,9.9910,10.2383,9.9635,10.2383
2005-09-20,10.3071,10.3071,10.1628,10.2246
2005-09-21,10.2383,10.2383,9.9429,9.9704
2005-09-22,10.0322,10.1215,9.9429,9.9910
2005-09-23,9.9704,10.0666,9.8050,10.0597
2005-09-26,9.9223,10.0666,9.9223,10.0666
2005-09-27,10.0940,10.1147,9.9635,10.0666
2005-09-28,10.1009,10.1009,9.9978,10.0666
2005-09-29,9.9635,10.1078,9.9635,10.0666
2005-09-30,10.1078,10.2177,9.7556,9.7573
2005-10-03,9.8604,9.8879,9.7367,9.8123
2005-10-04,9.7573,9.8878,9.7573,9.7780
2005-10-05,9.7573,9.8261,9.7367,9.7505
2005-10-06,9.7573,9.8123,9.3932,9.5375
2005-10-07,9.6474,9.6474,9.4481,9.4756
2005-10-10,9.5306,9.5581,9.3726,9.4275
2005-10-11,9.4481,9.5924,9.3038,9.3451
2005-10-12,9.3932,9.4000,9.0565,9.0977
2005-10-13,9.0702,9.3245,8.9259,9.2832
2005-10-14,9.2214,9.4138,9.1802,9.3794
2005-10-17,9.3176,9.3863,9.1733,9.2420
2005-10-18,9.2901,9.2901,9.0840,9.1733
2005-10-19,9.1939,9.6199,9.0771,9.4344
