DATE,OPEN,HIGH,LOW,CLOSE
2022-01-10,0.4750,0.4750,0.4600,0.4700
2022-01-11,0.5000,0.5000,0.4755,0.4755
2022-01-12,0.4710,0.4750,0.4700,0.4750
2022-01-13,0.4751,0.4751,0.4700,0.4751
2022-01-14,0.4701,0.4704,0.4700,0.4700
2022-01-18,0.4701,0.5000,0.4600,0.4700
2022-01-19,0.4600,0.4600,0.3700,0.4150
2022-01-20,0.4101,0.4101,0.4100,0.4100
2022-01-21,0.3800,0.3800,0.3700,0.3700
2022-01-24,0.3875,0.3875,0.3875,0.3875
2022-01-25,0.3875,0.3875,0.3875,0.3875
2022-01-26,0.3900,0.3900,0.3700,0.3700
2022-01-27,0.3700,0.3700,0.3700,0.3700
2022-01-28,0.3706,0.3706,0.3706,0.3706
2022-01-31,0.3706,0.3706,0.3706,0.3706
2022-02-01,0.3910,0.4346,0.3805,0.3805
2022-02-02,0.3805,0.3805,0.3805,0.3805
2022-02-03,0.3805,0.3805,0.3805,0.3805
