DATE,OPEN,HIGH,LOW,CLOSE
1999-12-23,5.1505,5.2650,5.1505,5.2650
1999-12-27,5.2650,5.9517,5.2650,5.2650
1999-12-28,5.2650,5.2650,5.2650,5.2650
1999-12-29,5.2650,5.2650,5.2650,5.2650
1999-12-30,5.3222,5.7228,5.3222,5.7228
1999-12-31,5.7228,5.7228,5.7228,5.7228
2000-01-03,5.4504,5.7228,5.4504,5.7228
2000-01-04,5.7228,5.7228,5.7228,5.7228
2000-01-05,5.2650,5.6083,5.2650,5.6083
2000-01-06,5.3794,5.4939,5.3794,5.4939
2000-01-07,5.2924,5.2924,5.2924,5.2924
2000-01-10,5.2924,5.2924,5.2924,5.2924
2000-01-11,5.2650,5.4939,5.2650,5.2650
2000-01-12,5.2650,5.3794,5.2650,5.3794
2000-01-13,5.3794,5.3794,5.3794,5.3794
2000-01-14,5.3794,5.3794,5.3794,5.3794
2000-01-18,5.3794,5.4367,5.3794,5.4367
2000-01-19,5.4367,5.4367,5.4367,5.4367
2000-01-20,5.4367,5.4367,5.4367,5.4367
2000-01-21,5.3794,5.3794,5.3794,5.3794
2000-01-24,5.3794,5.3794,5.3794,5.3794
2000-01-25,5.2650,5.2650,5.2650,5.2650
2000-01-26,5.2650,5.2650,5.2650,5.2650
2000-01-27,5.2650,5.2650,5.2650,5.2650
2000-01-28,5.2650,5.2650,5.2650,5.2650
2000-01-31,5.2650,5.2650,5.2650,5.2650
2000-02-01,5.2650,5.2650,5.2078,5.2650
2000-02-02,5.2650,5.2650,5.2650,5.2650
2000-02-03,5.2924,5.2924,5.2924,5.2924
2000-02-04,5.2924,5.2924,5.1505,5.1505
2000-02-07,5.1505,5.1505,5.1505,5.1505
2000-02-08,5.1505,5.1505,5.1505,5.1505
2000-02-09,5.2078,5.2078,5.2078,5.2078
2000-02-10,5.1780,5.1780,5.1780,5.1780
2000-02-11,5.1208,5.1208,5.1208,5.1208
2000-02-14,5.1208,5.1208,5.1208,5.1208
2000-02-15,5.1208,5.1208,5.1208,5.1208
2000-02-16,5.1208,5.1208,5.1208,5.1208
2000-02-17,5.1208,5.1208,5.1208,5.1208
2000-02-18,5.1208,5.1208,5.0933,5.0933
2000-02-22,5.0933,5.1505,5.0933,5.1505
2000-02-23,5.0933,5.0933,4.9788,4.9788
2000-02-24,4.8644,4.8644,4.6355,4.8072
2000-02-25,4.8072,4.8072,4.8072,4.8072
2000-02-28,4.9216,4.9216,4.7499,4.7499
2000-02-29,4.7499,4.7499,4.7499,4.7499
2000-03-01,4.7499,4.7499,4.6927,4.7499
2000-03-02,4.6927,4.6927,4.6927,4.6927
2000-03-03,4.6927,4.6927,4.6927,4.6927
2000-03-06,4.6927,4.8644,4.6927,4.8644
2000-03-07,4.9216,4.9216,4.8644,4.8644
2000-03-08,4.9216,4.9216,4.8644,4.8644
2000-03-09,4.8346,4.9216,4.8346,4.9216
2000-03-10,4.9216,4.9216,4.9216,4.9216
2000-03-13,4.9216,5.0361,4.9216,5.0361
2000-03-14,4.9216,4.9216,4.9216,4.9216
2000-03-15,4.9216,4.9216,4.8644,4.8644
2000-03-16,5.0361,5.0361,5.0361,5.0361
2000-03-17,5.0361,5.0361,5.0361,5.0361
2000-03-20,5.0361,5.0361,5.0361,5.0361
2000-03-21,5.0361,5.0361,5.0361,5.0361
2000-03-22,4.8644,4.8644,4.8644,4.8644
2000-03-23,4.8072,4.8072,4.6927,4.6927
2000-03-24,4.6355,4.6927,4.6355,4.6927
2000-03-27,4.6629,4.7499,4.6629,4.7499
2000-03-28,4.7499,4.8346,4.7499,4.8346
2000-03-29,4.8346,4.8346,4.8346,4.8346
2000-03-30,4.8346,4.8346,4.8346,4.8346
2000-03-31,4.8346,4.8644,4.8346,4.8346
2000-04-03,4.8346,4.8346,4.7499,4.8346
2000-04-04,4.8346,4.8346,4.8346,4.8346
2000-04-05,4.8072,4.8072,4.8072,4.8072
2000-04-06,4.8072,4.8072,4.7499,4.7499
2000-04-07,4.7499,4.7499,4.7499,4.7499
2000-04-10,4.7202,4.7202,4.7202,4.7202
2000-04-11,4.8072,4.8072,4.7202,4.7499
2000-04-12,4.7499,4.7499,4.7499,4.7499
2000-04-13,4.7499,4.7499,4.6927,4.6927
2000-04-14,4.6629,4.6629,4.6629,4.6629
2000-04-17,4.6927,4.6927,4.6629,4.6629
2000-04-18,4.6629,4.7202,4.6629,4.6629
2000-04-19,4.8072,4.8072,4.5782,4.6927
2000-04-20,4.6355,4.8072,4.6355,4.8072
2000-04-24,4.6355,4.6355,4.6355,4.6355
2000-04-25,4.6355,4.6355,4.6355,4.6355
2000-04-26,4.7499,4.7499,4.7499,4.7499
2000-04-27,4.7774,4.7774,4.5782,4.5782
2000-04-28,4.5782,4.6927,4.5782,4.6927
2000-05-01,4.6355,4.6355,4.6355,4.6355
2000-05-02,4.6355,4.6355,4.6355,4.6355
2000-05-03,4.6355,4.6629,4.6355,4.6629
2000-05-04,4.6629,4.6629,4.6629,4.6629
2000-05-05,4.6355,4.6355,4.6355,4.6355
2000-05-08,4.6355,4.6355,4.6355,4.6355
2000-05-09,4.8072,4.8072,4.6355,4.6355
2000-05-10,4.7774,4.7774,4.6927,4.7774
2000-05-11,4.7774,4.7774,4.7774,4.7774
2000-05-12,4.6629,4.6629,4.6629,4.6629
2000-05-15,4.6927,4.6927,4.6927,4.6927
2000-05-16,4.6927,4.6927,4.6927,4.6927
2000-05-17,4.6927,4.6927,4.6927,4.6927
2000-05-18,4.6927,4.6927,4.6927,4.6927
2000-05-19,4.6355,5.0063,4.6355,5.0063
2000-05-22,5.0063,5.0063,5.0063,5.0063
2000-05-23,5.0063,5.0063,5.0063,5.0063
2000-05-24,4.7499,4.7499,4.7499,4.7499
2000-05-25,4.7499,4.7499,4.7499,4.7499
2000-05-26,4.7499,4.7499,4.7499,4.7499
2000-05-30,4.7499,4.7499,4.7499,4.7499
2000-05-31,4.7499,4.7499,4.7499,4.7499
2000-06-01,4.6927,5.1505,4.6927,5.0361
2000-06-02,4.9788,5.1505,4.9788,5.1505
2000-06-05,5.1505,5.1505,5.1505,5.1505
2000-06-06,5.2650,5.2650,5.2650,5.2650
2000-06-07,5.2650,5.2650,5.2650,5.2650
2000-06-08,5.2078,5.2078,5.2078,5.2078
2000-06-09,5.2078,5.2078,5.2078,5.2078
2000-06-12,5.2078,5.2078,5.2078,5.2078
2000-06-13,5.0361,5.0361,4.8644,4.8644
2000-06-14,4.8644,4.8644,4.8644,4.8644
2000-06-15,4.8644,4.8644,4.8644,4.8644
2000-06-16,4.8644,4.8644,4.8644,4.8644
2000-06-19,4.8644,4.8644,4.8644,4.8644
2000-06-20,4.8644,4.8644,4.8644,4.8644
2000-06-21,5.0361,5.1505,5.0361,5.1505
2000-06-22,5.1505,5.1505,5.1505,5.1505
2000-06-23,5.1505,5.1505,5.1505,5.1505
2000-06-26,4.8644,4.8644,4.8644,4.8644
2000-06-27,4.8644,4.8644,4.8644,4.8644
