DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2022-08-03,0.3300,0.4400,0.3300,0.4399,0.070,
2022-08-04,0.5555,0.8150,0.5000,0.5200,0.061,
2022-08-05,0.4800,0.4899,0.4600,0.4700,0.019,
2022-08-08,0.4502,0.5001,0.4501,0.5001,0.015,
2022-08-09,0.4502,0.5200,0.4501,0.5200,0.006,
2022-08-10,0.5343,0.5700,0.5300,0.5700,0.010,
2022-08-11,0.5600,0.6700,0.5600,0.6299,0.006,
2022-08-12,0.4601,0.5700,0.4601,0.5700,0.004,
2022-08-15,0.5500,0.5618,0.5500,0.5500,0.007,
2022-08-16,0.5495,0.5508,0.5005,0.5500,0.002,
2022-08-17,0.5000,0.5510,0.5000,0.5500,0.003,
2022-08-18,0.6500,0.6500,0.5500,0.5500,0.013,
2022-08-19,0.5500,0.5500,0.5500,0.5500,0.002,
2022-08-22,0.5500,0.5500,0.5500,0.5500,0.000,
2022-08-23,0.5000,0.5208,0.4201,0.4500,0.011,
2022-08-24,0.4501,0.4501,0.4501,0.4501,0.000,
2022-08-25,0.5499,0.5499,0.5499,0.5499,0.000,
2022-08-26,0.4501,0.4501,0.4501,0.4501,0.001,
2022-08-29,0.3310,0.3410,0.3310,0.3410,0.001,
2022-08-30,0.5000,0.5000,0.5000,0.5000,0.001,
2022-08-31,0.4000,0.4000,0.4000,0.4000,0.000,
2022-09-01,0.4001,0.4001,0.4000,0.4000,0.005,
2022-09-02,0.4500,0.4500,0.4500,0.4500,0.003,
2022-09-06,0.4500,0.4500,0.4500,0.4500,0.000,
2022-09-07,0.4000,0.4023,0.4000,0.4023,0.001,
2022-09-08,0.4000,0.4000,0.3923,0.3923,0.001,
2022-09-09,0.4100,0.4239,0.4000,0.4000,0.001,
2022-09-12,0.4260,0.4260,0.4000,0.4100,0.001,
2022-09-13,0.4200,0.4209,0.4100,0.4100,0.001,
2022-09-14,0.4000,0.4000,0.4000,0.4000,0.000,
2022-09-15,0.4500,0.4500,0.4000,0.4000,0.004,
2022-09-16,0.3500,0.4000,0.3500,0.4000,0.021,
2022-09-19,0.4500,0.4500,0.4499,0.4500,0.001,
2022-09-20,0.4500,0.4500,0.4500,0.4500,0.000,
2022-09-21,0.3400,0.3400,0.3400,0.3400,0.001,
2022-09-22,0.5500,0.5500,0.5300,0.5300,0.003,
2022-09-23,0.3600,0.3600,0.3400,0.3400,0.003,
2022-09-26,0.3204,0.3973,0.2713,0.2713,0.002,
2022-09-27,0.2713,0.2713,0.2713,0.2713,0.000,
2022-09-28,0.2713,0.2713,0.2713,0.2713,0.000,
2022-09-29,0.2713,0.2713,0.2713,0.2713,0.000,
2022-09-30,0.2713,0.2713,0.2713,0.2713,0.000,
2022-10-03,0.3100,0.3100,0.3100,0.3100,0.001,
2022-10-04,0.3100,0.3300,0.3100,0.3200,0.001,
2022-10-05,0.3100,0.3100,0.3000,0.3000,0.001,
2022-10-06,0.3000,0.3000,0.3000,0.3000,0.000,
2022-10-07,0.3000,0.3000,0.3000,0.3000,0.000,
2022-10-10,0.3000,0.3000,0.3000,0.3000,0.000,
