DATE,OPEN,HIGH,LOW,CLOSE
2015-08-21,63.3462,76.8462,63.3462,76.8462
2015-08-24,186.9231,186.9231,84.9808,86.3654
2015-08-25,86.5385,86.5385,69.1442,80.4808
2015-08-26,73.0385,82.2115,73.0385,77.8846
2015-08-27,68.6250,79.6154,68.6250,79.6154
2015-08-28,77.4519,79.6154,72.5192,77.8846
2015-08-31,77.8846,107.1337,77.8846,102.1154
2015-09-01,103.5865,109.6010,94.6298,100.8173
2015-09-02,103.8461,103.8461,95.4528,100.8173
2015-09-03,108.6058,111.2885,95.6250,102.1154
2015-09-04,101.4231,102.1154,96.1442,98.2211
2015-09-08,99.5192,99.5192,94.3269,97.0096
2015-09-09,97.3558,97.5721,92.5961,94.3269
2015-09-10,93.8942,93.8942,82.7308,84.5481
2015-09-11,84.7211,84.7211,81.3366,82.2115
2015-09-14,82.2115,84.6346,81.1731,82.2115
2015-09-15,82.2115,82.2115,78.3562,82.1250
2015-09-16,87.1442,87.1442,78.0577,78.4038
2015-09-17,78.8365,82.2115,64.9471,67.2404
2015-09-18,64.9038,73.3846,58.8462,58.8462
2015-09-21,57.2885,59.7115,43.4423,48.8077
2015-09-22,48.8077,51.9222,47.2500,47.7692
2015-09-23,47.5962,47.5962,45.4327,45.9519
2015-09-24,46.0385,46.7308,43.3558,45.3462
2015-09-25,44.6538,49.5000,44.6538,45.6923
2015-09-28,45.6923,46.5577,36.1731,42.3173
2015-09-29,42.3173,44.6538,37.3846,41.3654
2015-09-30,41.2814,43.4423,39.2885,40.3269
2015-10-01,40.3269,41.4173,36.7797,37.2115
2015-10-02,37.2115,43.0962,37.2115,43.0096
2015-10-05,40.1538,43.1827,40.1538,42.0577
2015-10-06,42.1442,42.1442,40.7224,41.3645
2015-10-07,41.2788,46.3846,40.3269,45.7788
2015-10-08,48.4615,50.3247,44.8269,46.0393
2015-10-09,47.5962,51.8365,47.5962,49.2404
2015-10-12,49.3269,50.1058,46.9038,47.5953
2015-10-13,47.9821,50.3654,44.3942,47.6827
2015-10-14,47.8558,52.2692,46.7308,46.7308
2015-10-15,48.4615,50.6250,46.8173,48.0288
2015-10-16,48.4615,48.4615,36.7788,36.9519
2015-10-19,36.9519,37.2955,33.8365,35.1346
2015-10-20,34.5288,35.6538,33.0577,34.2978
2015-10-21,33.8365,36.6914,30.3750,34.3558
2015-10-22,36.8654,41.7115,36.3462,38.0769
2015-10-23,38.2500,39.8077,34.0096,36.9519
2015-10-26,33.7500,38.9423,32.7115,36.9519
2015-10-27,34.7893,36.5980,32.4519,33.3173
2015-10-28,33.5769,35.9135,32.6250,33.1442
2015-10-29,32.9712,33.8365,31.8470,31.9327
2015-10-30,33.3173,34.7019,30.4875,33.4038
2015-11-02,34.6154,34.6154,34.1827,34.4423
2015-11-03,34.7019,35.0135,33.2308,34.2874
2015-11-04,34.6154,34.6154,31.1538,31.2404
2015-11-05,31.1538,33.4038,31.1538,31.8462
2015-11-06,32.8846,32.8846,30.3750,30.5481
2015-11-09,30.3750,34.0962,30.3750,30.3750
2015-11-10,30.3759,31.6731,30.3750,30.7212
2015-11-11,30.8008,30.9808,30.3750,30.4615
2015-11-12,30.4615,30.4615,26.0481,27.0000
2015-11-13,27.0000,28.8692,25.9615,26.7404
2015-11-16,27.3462,29.1635,26.5673,27.6058
2015-11-17,29.6091,29.6091,27.3202,29.1635
2015-11-18,29.1635,29.1635,25.4423,26.8269
2015-11-19,26.7404,26.7404,25.6154,25.9615
2015-11-20,26.6538,30.2019,21.6346,25.8750
2015-11-23,25.8750,30.2885,25.4432,27.8654
2015-11-24,28.2115,28.8173,26.9143,27.6923
2015-11-25,26.2212,29.1635,24.8365,25.2692
2015-11-27,25.9615,27.6473,25.7028,26.9135
2015-11-30,26.5673,28.0385,25.4423,25.9615
2015-12-01,25.7885,27.5712,25.0096,25.0096
2015-12-02,24.6635,25.4856,22.6731,24.4021
2015-12-03,25.0962,25.0962,22.7596,23.6250
2015-12-04,23.7981,25.1827,22.9327,23.7115
2015-12-07,23.7115,23.9712,21.1240,22.6731
2015-12-08,21.4615,23.7115,21.4615,22.1538
2015-12-09,21.4615,22.6731,21.4615,21.4615
2015-12-10,19.6442,21.0288,18.8654,19.8173
2015-12-11,19.1250,21.0288,18.3462,19.6442
2015-12-14,18.6923,19.9038,18.5192,18.8654
2015-12-15,18.3462,19.9904,18.0000,19.0385
2015-12-16,18.0865,19.4712,17.2212,17.3077
2015-12-17,16.8750,17.7404,16.6933,17.3077
2015-12-18,17.3077,18.6058,16.3566,17.3077
2015-12-21,17.4808,19.2115,17.3068,18.5192
2015-12-22,19.1250,20.7692,18.6819,19.2981
2015-12-23,19.3846,20.9423,18.6923,19.9038
2015-12-24,20.1635,22.8375,20.1635,22.5865
2015-12-28,23.1923,23.1923,21.0635,22.5000
2015-12-29,24.0577,33.5769,23.3654,30.4615
2015-12-30,30.8077,39.5481,26.8269,27.6058
2015-12-31,28.1250,28.7169,24.4904,27.0865
2016-01-04,24.9231,26.7412,20.1635,26.5673
2016-01-05,26.5673,29.4231,24.4142,25.7019
2016-01-06,24.4904,25.9615,21.6346,24.7500
2016-01-07,23.5385,28.3846,19.2548,27.2596
2016-01-08,26.2212,26.5673,24.4038,25.2692
2016-01-11,24.3173,26.0481,21.9808,24.3173
2016-01-12,24.1442,24.6635,22.0673,23.5385
2016-01-13,22.8462,23.5056,20.2500,20.2500
2016-01-14,20.7692,21.8458,19.2989,20.9423
2016-01-15,19.9038,20.2656,18.0865,19.3846
2016-01-19,19.5577,19.9038,18.2596,18.2596
2016-01-20,18.2596,18.3462,16.0113,17.2212
2016-01-21,16.6154,21.0288,16.6154,18.9519
2016-01-22,18.3462,19.2115,18.1246,18.6923
2016-01-25,19.3846,21.1154,18.6923,19.1250
2016-01-26,19.9038,19.9904,18.6404,19.9038
2016-01-27,19.5577,19.6442,18.1739,18.7788
2016-01-28,15.9231,19.2115,15.9231,18.5192
2016-01-29,18.1731,20.3365,18.1731,19.1250
2016-02-01,18.1731,20.8558,16.0096,19.2115
2016-02-02,18.1731,18.4327,16.9615,18.0865
2016-02-03,17.2212,17.7361,17.2212,17.3942
2016-02-04,19.0385,19.4928,18.3029,18.3029
2016-02-05,20.5962,20.5962,18.3462,19.0385
2016-02-08,19.0385,19.0385,17.5673,18.9519
2016-02-09,20.7692,20.9423,17.4808,19.4712
2016-02-10,19.9038,20.8558,18.6923,18.6923
2016-02-11,18.9952,18.9952,17.3942,17.3942
2016-02-12,17.0481,19.2981,17.0481,19.2981
2016-02-16,17.8183,17.8269,17.8183,17.8269
2016-02-17,17.5673,19.6010,17.5673,18.8654
2016-02-18,20.2500,20.2500,17.3077,18.7702
2016-02-19,17.3077,20.6827,17.3077,18.7788
2016-02-22,18.1731,19.5577,18.1731,18.4327
2016-02-23,19.0385,19.4703,18.3462,18.8654
2016-02-24,18.1938,19.8173,17.5275,17.7404
2016-02-25,17.7837,17.7837,17.7837,17.7837
2016-02-26,18.7105,18.7105,18.1731,18.1731
2016-02-29,18.1731,18.6058,17.3942,17.3942
2016-03-01,17.7404,18.6058,17.2212,18.6058
2016-03-02,17.3951,18.1731,17.3951,18.0277
2016-03-03,18.6058,18.7356,18.0000,18.0000
2016-03-04,17.7404,18.1731,17.7404,18.1731
2016-03-07,18.1601,18.1731,17.3077,17.4808
2016-03-08,17.7404,18.0865,16.5072,17.1467
2016-03-09,16.8750,17.2212,16.7885,17.0481
2016-03-10,17.2212,17.2212,16.7582,17.0481
2016-03-11,17.1346,17.6971,17.0481,17.6971
2016-03-14,17.8269,18.1731,16.0096,16.1827
2016-03-15,16.2692,17.3086,16.0096,16.0962
2016-03-16,15.5769,16.0096,14.2788,14.7115
2016-03-17,15.5769,15.5769,13.4135,14.7115
2016-03-18,13.5865,15.2308,13.5865,14.2788
2016-03-21,14.4519,15.4038,12.9816,14.0192
2016-03-22,14.9712,15.5769,14.5385,15.5769
2016-03-23,16.0096,16.0096,15.4038,15.5769
2016-03-24,15.5769,15.5769,15.4904,15.4904
2016-03-28,16.4423,17.0481,14.7115,16.4423
2016-03-29,15.9231,15.9231,14.7115,15.0577
2016-03-30,15.0577,16.0096,14.3654,14.3654
2016-03-31,14.9712,15.4904,14.5385,14.5385
2016-04-01,16.6154,16.6154,14.5385,14.5385
2016-04-04,14.4519,16.0962,14.4519,15.4038
2016-04-05,15.5830,15.8365,14.6250,14.6250
2016-04-06,15.5769,15.5769,15.4904,15.4904
2016-04-07,16.4250,16.4250,15.5008,15.6635
2016-04-08,15.9231,16.1827,15.1537,16.0918
2016-04-11,15.2308,15.6635,14.4978,14.7107
2016-04-12,14.7115,14.7115,14.2788,14.2788
2016-04-13,14.2788,14.2788,13.8462,14.1058
2016-04-14,13.8462,15.0577,13.2231,14.2788
2016-04-15,14.3654,14.5385,13.7648,13.9327
2016-04-18,13.8462,13.8462,13.1538,13.1538
2016-04-19,13.2404,13.5865,12.1154,12.2019
2016-04-20,12.5481,13.1538,11.7692,12.1154
2016-04-21,11.9423,12.3741,11.2846,12.1145
2016-04-22,12.5481,13.5865,12.0288,12.6346
2016-04-25,12.2019,14.7115,12.2019,13.5865
2016-04-26,14.0192,15.1269,13.7596,14.2788
2016-04-27,14.4519,14.9712,13.4135,13.4135
2016-04-28,14.1058,14.4519,13.4143,13.4143
2016-04-29,13.9327,13.9327,12.1154,12.2019
2016-05-02,11.7692,13.4126,11.4231,11.5962
2016-05-03,11.2500,12.9808,11.2500,11.9423
2016-05-04,12.2885,12.8077,11.6827,11.9423
2016-05-05,11.6827,12.7212,11.5962,12.2019
2016-05-06,12.6346,12.8077,11.5096,11.5096
2016-05-09,12.0288,12.0288,11.2500,11.6836
2016-05-10,11.3365,12.2019,11.3365,11.8558
2016-05-11,12.2798,14.3654,12.0288,13.0673
2016-05-12,13.6731,13.6731,12.1154,12.4615
2016-05-13,12.7212,12.9808,11.8558,12.1154
2016-05-16,12.1154,12.9808,11.8558,12.1154
2016-05-17,12.3750,12.5481,11.8558,11.8558
2016-05-18,12.1154,12.9808,12.1154,12.8942
2016-05-19,12.9808,12.9808,11.6827,12.0288
2016-05-20,11.9510,12.3750,11.9510,12.3750
2016-05-23,12.1154,12.8916,11.9423,11.9423
2016-05-24,12.9808,12.9808,11.8558,11.8558
2016-05-25,12.2019,12.8942,11.6827,12.8942
2016-05-26,12.7212,14.6250,11.8558,13.8462
2016-05-27,14.5385,15.8365,13.9327,14.1058
2016-05-31,14.3654,15.7500,13.2404,13.3269
2016-06-01,13.4135,13.4135,12.3759,12.4615
2016-06-02,12.8077,14.3654,12.8077,13.4135
2016-06-03,13.7596,14.3541,13.4135,13.7596
2016-06-06,13.7596,14.3654,12.2885,12.9808
2016-06-07,13.3269,14.1923,12.5481,13.1538
