DATE,OPEN,HIGH,LOW,CLOSE
2013-06-27,16.3446,17.3730,16.1037,17.0210
2013-06-28,17.0488,17.7622,17.0302,17.2526
2013-07-01,17.2804,17.5120,16.9932,16.9932
2013-07-02,16.9932,18.2005,16.9221,17.8085
2013-07-03,17.5954,17.7946,17.2989,17.6788
2013-07-05,17.4194,17.9383,17.1877,17.8085
2013-07-08,17.6510,18.0494,17.4750,17.8178
2013-07-09,17.7251,18.4571,17.6603,18.0680
2013-07-10,18.0402,18.4849,17.6510,17.6973
2013-07-11,17.6510,18.2070,17.6510,18.1421
2013-07-12,17.8178,18.1050,17.7993,18.0772
2013-07-15,17.9383,18.2996,17.8085,18.1236
2013-07-16,17.6418,19.1335,17.6418,18.6239
2013-07-17,18.5405,18.9667,18.2718,18.8741
2013-07-18,18.9945,19.4532,18.5906,19.3003
2013-07-19,19.4578,19.8207,19.2447,19.3096
2013-07-22,19.0872,19.1798,18.7351,18.8463
2013-07-23,18.8000,19.1706,18.5313,18.7351
2013-07-24,18.7444,19.1706,18.5776,19.0594
2013-07-25,18.8463,20.3658,18.5313,20.3658
2013-07-26,20.4956,20.5141,19.5041,20.0045
2013-07-29,19.9211,20.3844,19.5134,20.1064
2013-07-30,20.1157,20.1991,19.2725,20.0138
2013-07-31,20.1898,20.1898,19.6339,19.9211
2013-08-01,19.8748,20.1981,19.6107,20.0693
2013-08-02,20.0786,20.8477,19.6153,20.7828
2013-08-05,20.7828,21.3109,20.6253,21.1164
2013-08-06,21.1534,21.4036,20.9310,21.1349
2013-08-07,21.1256,21.3017,20.9774,21.2646
2013-08-08,21.3109,21.4036,21.1256,21.3758
2013-08-09,21.1720,21.4221,21.1720,21.3573
2013-08-12,21.1720,21.4963,21.1720,21.4592
2013-08-13,21.4407,21.8205,21.1720,21.6816
2013-08-14,21.5889,21.6816,21.4499,21.6445
2013-08-15,21.6816,21.6816,21.1256,21.3109
2013-08-16,21.2924,21.3943,21.1256,21.3573
2013-08-19,21.3109,21.4407,21.0293,21.3943
2013-08-20,21.3758,22.0059,21.1905,21.4129
2013-08-21,21.3758,21.5889,21.1256,21.3387
2013-08-22,21.3573,21.5843,21.1720,21.3202
2013-08-23,21.2739,21.5982,21.1905,21.5611
2013-08-26,21.5611,21.5611,21.2692,21.2924
2013-08-27,21.1905,21.2275,20.3844,20.5882
2013-08-28,20.5790,20.7921,20.2917,20.3658
2013-08-29,20.2547,20.5141,19.7080,20.4585
2013-08-30,20.3936,20.5326,20.2454,20.3195
2013-09-03,20.5326,21.4685,20.1805,20.8755
2013-09-04,20.8106,21.3202,20.4029,21.3202
2013-09-05,21.2275,22.0059,21.1256,21.6074
2013-09-06,21.5982,22.0059,21.2998,21.5333
2013-09-09,21.5611,21.7928,20.9913,21.2739
2013-09-10,21.3109,21.5333,20.9320,21.3387
2013-09-11,21.2183,21.7928,20.8569,21.7001
2013-09-12,21.6816,21.8113,21.3295,21.3943
2013-09-13,21.3295,21.7928,21.2183,21.7742
2013-09-16,21.9132,22.2097,21.5426,22.1170
2013-09-17,22.0707,22.2190,21.3943,21.5240
2013-09-18,21.3851,22.2282,21.2739,22.0411
2013-09-19,21.8669,22.1448,21.4592,21.7372
2013-09-20,21.6445,21.8020,21.0144,21.2090
2013-09-23,21.2183,22.1912,21.0700,22.1059
2013-09-24,22.1170,22.5989,22.0985,22.5155
2013-09-25,22.5155,22.6359,22.2375,22.3580
2013-09-26,22.4784,22.7100,22.0800,22.2282
2013-09-27,22.2004,22.6081,22.0429,22.2190
2013-09-30,22.0707,22.3227,21.1071,21.1534
2013-10-01,21.0330,21.4963,20.9681,21.4963
2013-10-02,21.4314,21.4499,20.6345,21.1071
2013-10-03,21.0515,21.6074,20.9778,21.6074
2013-10-04,21.6260,21.6491,21.4592,21.6352
2013-10-07,21.4870,21.6074,21.2831,21.3573
2013-10-08,21.3109,21.5796,21.1349,21.4221
2013-10-09,21.4777,21.6160,20.8569,21.0144
2013-10-10,21.1349,21.6028,21.0700,21.3573
2013-10-11,21.3665,21.5611,21.1905,21.3017
2013-10-14,21.2553,21.2646,20.8662,21.1071
2013-10-15,21.1164,21.2275,20.8569,20.9866
2013-10-16,21.0330,21.2275,20.7189,21.0052
2013-10-17,20.9033,21.3758,20.5141,21.1071
2013-10-18,21.1256,21.4499,20.9125,21.3017
2013-10-21,21.3017,21.4314,20.8477,20.9033
2013-10-22,20.9218,21.2275,20.4029,21.1256
2013-10-23,21.0515,21.4036,20.1157,21.0515
2013-10-24,21.0330,21.0330,19.6431,20.3936
2013-10-25,20.3844,20.9866,19.9118,20.5234
2013-10-28,20.6253,20.8199,20.2361,20.4307
2013-10-29,20.5419,20.7179,20.1620,20.3380
2013-10-30,20.3103,20.5512,19.5319,20.4770
2013-10-31,20.3844,20.6068,19.7450,20.3751
2013-11-01,21.3109,21.8298,20.2917,20.4307
2013-11-04,20.1991,21.3480,20.1065,21.2553
2013-11-05,21.0886,21.6352,20.9681,21.3109
2013-11-06,21.3109,21.5426,21.1256,21.3017
2013-11-07,21.2739,21.5333,20.9588,21.2924
2013-11-08,21.2739,21.3665,20.8847,21.2646
2013-11-11,20.7457,20.7457,20.0230,20.1249
2013-11-12,20.0045,20.0601,19.1798,19.5412
2013-11-13,19.2376,19.7111,19.0798,19.3008
2013-11-14,19.5162,19.9247,19.1309,19.1819
2013-11-15,19.1726,20.1475,19.0334,20.0361
2013-11-18,19.9804,20.3332,19.4976,19.7947
2013-11-19,19.7204,19.9525,19.5904,19.7390
2013-11-20,19.7019,20.3796,19.5997,20.1754
2013-11-21,20.1289,20.7696,19.8792,20.4168
2013-11-22,20.4353,20.8253,20.2868,20.5839
2013-11-25,20.9274,21.3359,20.6675,20.7046
2013-11-26,20.7232,20.8699,20.4632,20.6210
2013-11-27,20.6025,20.8624,20.2218,20.6117
2013-11-29,20.6582,20.7416,20.4353,20.7046
2013-12-02,20.6303,20.9738,20.4818,20.8531
2013-12-03,20.7046,20.9460,20.6350,20.8531
2013-12-04,20.7510,21.3545,20.5653,21.2617
2013-12-05,21.1502,21.2802,20.6210,20.8996
2013-12-06,21.0110,21.1224,20.7603,20.9738
2013-12-09,20.9460,21.0295,20.8624,21.0017
2013-12-10,20.8717,20.9646,20.6582,20.8810
2013-12-11,20.9088,20.9367,20.4725,20.7510
2013-12-12,20.6582,21.1317,20.6164,20.9367
2013-12-13,20.8717,21.1967,20.4446,20.6582
2013-12-16,20.6675,20.9831,20.3518,20.8439
2013-12-17,20.7510,20.8346,20.4632,20.5653
2013-12-18,20.5468,20.8439,20.3889,20.7881
2013-12-19,20.7324,20.8253,20.4632,20.4818
2013-12-20,20.4353,20.8346,20.4121,20.7649
2013-12-23,20.8346,20.9274,20.4632,20.6953
2013-12-24,20.7789,21.1317,20.7046,21.0017
2013-12-26,21.0203,21.4381,20.9924,21.2617
2013-12-27,21.3359,21.5398,21.0388,21.3545
2013-12-30,21.2709,21.6702,21.2152,21.5588
2013-12-31,21.6795,21.8744,21.2988,21.6888
2014-01-02,21.6888,22.0044,21.4845,21.7073
2014-01-03,21.8002,21.9302,21.5402,21.6980
2014-01-06,21.8095,22.2458,21.1781,22.0509
2014-01-07,22.0601,22.4687,21.9302,22.2644
2014-01-08,22.1901,22.4872,22.1530,22.2644
2014-01-09,22.3758,22.7472,22.3015,22.7472
2014-01-10,22.6543,23.2207,22.6543,23.1000
2014-01-13,22.9979,23.7522,22.8679,22.9236
2014-01-14,22.9793,23.1836,22.6636,22.7286
2014-01-15,22.6822,22.7750,22.5336,22.7101
2014-01-16,22.6915,22.7936,22.5151,22.7193
2014-01-17,22.5986,22.7565,22.4297,22.6915
2014-01-21,22.8586,23.1312,22.5476,23.0257
2014-01-22,23.0814,23.3553,22.6636,22.7472
2014-01-23,22.7379,22.7843,22.4408,22.6079
2014-01-24,22.4965,22.4965,21.8652,21.9302
2014-01-27,21.9580,22.6915,21.5588,21.6330
2014-01-28,21.7537,22.0601,21.4845,22.0044
2014-01-29,21.7166,21.8559,21.1967,21.3359
2014-01-30,21.4195,21.9023,21.4195,21.8837
2014-01-31,21.6888,22.3201,21.6238,21.9766
2014-02-03,21.9766,22.0671,21.0945,21.4288
2014-02-04,21.5402,21.8930,21.3081,21.6980
2014-02-05,21.6516,21.7445,21.4381,21.6330
2014-02-06,21.6423,21.9766,21.4566,21.7259
2014-02-07,21.7445,21.9859,21.5681,21.8652
2014-02-10,21.8744,21.9302,21.4752,21.4845
2014-02-11,21.4752,21.7770,21.2942,21.4288
2014-02-12,21.4938,22.2273,21.1892,21.9766
2014-02-13,22.1437,23.0814,21.4566,23.0629
2014-02-14,21.4938,23.1464,21.3642,22.5708
2014-02-18,22.5058,23.1650,22.2830,22.8957
2014-02-19,22.8029,23.3414,22.8029,22.9329
2014-02-20,22.8772,23.1743,22.8354,22.9886
2014-02-21,22.9166,22.9910,22.8032,22.9259
2014-02-24,22.8887,23.3072,22.8422,22.9166
2014-02-25,22.8236,23.0189,22.4516,22.5911
2014-02-26,22.7027,23.1584,22.4144,23.0003
2014-02-27,22.9817,23.8374,22.9817,23.7537
2014-02-28,23.7072,24.5814,23.7072,24.3396
2014-03-03,24.0978,24.3303,23.7537,24.1164
2014-03-04,24.3303,24.4605,24.0885,24.3117
2014-03-05,24.4140,24.9162,24.0978,24.8325
2014-03-06,24.7767,25.0744,24.6279,24.9255
2014-03-07,24.1908,24.2838,23.7537,23.9490
2014-03-10,23.9676,24.4605,23.7258,23.8839
2014-03-11,24.4140,24.4698,23.6886,23.8002
2014-03-12,23.8281,23.8653,23.5305,23.6142
2014-03-13,23.6793,24.0001,23.0282,23.1119
2014-03-14,23.0375,23.5398,22.5446,23.0561
2014-03-17,23.1584,23.7351,23.1584,23.6886
2014-03-18,23.6328,23.9490,23.4282,23.6607
2014-03-19,23.5677,23.9398,23.5677,23.7165
2014-03-20,23.5677,24.0141,23.4003,23.6142
2014-03-21,23.6421,23.9397,23.3630,23.5491
2014-03-24,23.5305,23.7165,23.3910,23.5212
2014-03-25,23.5956,24.4140,23.2952,24.4140
