DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2018-05-24,30.8500,31.3100,28.1100,28.2000,2.943,
2018-05-25,28.2500,28.7399,26.7000,26.9000,2.786,
2018-05-29,27.6400,29.0000,27.2500,28.1200,2.603,
2018-05-30,28.4100,28.9000,28.0500,28.8800,2.971,
2018-05-31,29.0100,29.1900,28.1400,28.3700,1.359,
2018-06-01,28.5000,29.3000,28.3100,29.1200,1.363,
2018-06-04,29.4600,30.7500,29.3000,30.6500,2.824,
2018-06-05,30.5600,31.8600,29.1500,30.5900,3.806,
2018-06-06,31.4100,31.6800,30.6100,31.4300,3.937,
2018-06-07,31.6700,31.9000,29.6100,30.2700,4.798,
2018-06-08,29.4400,30.5000,28.5000,30.4900,4.168,
2018-06-11,30.1300,30.1400,29.3901,29.5500,2.653,
2018-06-12,29.2100,30.1600,28.9000,29.6000,2.165,
2018-06-13,29.9000,30.7400,29.6000,30.7400,2.203,
2018-06-14,30.0300,30.5599,29.4000,29.4900,2.421,
2018-06-15,29.5900,29.9500,29.1900,29.8700,1.314,
2018-06-18,29.7700,30.9424,29.5500,30.8300,1.474,
2018-06-19,30.4000,32.8800,30.3000,32.0500,4.489,
2018-06-20,33.7100,34.1400,31.4200,34.1000,7.134,
2018-06-21,34.3600,36.4000,33.6000,35.9600,7.542,
2018-06-22,35.9900,36.5500,32.7000,32.7700,7.564,
2018-06-25,32.3900,33.7000,30.8100,31.1100,5.149,
2018-06-26,30.9700,31.6500,30.0000,30.9500,4.000,
2018-06-27,29.7300,30.4800,27.3100,27.6100,6.753,
2018-06-28,27.4400,30.6400,27.2500,30.6400,7.302,
2018-06-29,30.9400,31.1400,28.6804,29.2900,4.439,
2018-07-02,29.1000,30.9999,28.6314,30.8100,2.555,
2018-07-03,30.1700,30.3500,29.2900,29.5700,2.166,
2018-07-05,30.1800,30.6300,29.6700,30.2500,2.602,
2018-07-06,29.9600,30.3000,29.7100,30.0400,1.547,
2018-07-09,30.2300,30.2300,29.4500,29.6100,1.378,
2018-07-10,29.6100,29.6100,28.8600,29.0600,1.861,
2018-07-11,28.7645,29.8700,28.2700,29.5900,3.484,
2018-07-12,30.4100,30.4400,29.5000,29.5900,3.521,
2018-07-13,29.4500,29.5000,28.5000,28.8300,2.643,
2018-07-16,28.6900,28.7000,27.0100,27.6100,3.551,
2018-07-17,27.2800,27.3500,26.3000,26.4600,3.606,
2018-07-18,26.2400,27.1700,25.1700,26.6100,3.682,
2018-07-19,26.1700,26.6700,25.3500,25.4200,2.941,
2018-07-20,25.1800,26.0000,24.2100,24.3100,4.746,
2018-07-23,24.4300,26.3000,24.4000,25.6500,4.111,
2018-07-24,26.2900,26.2900,24.3600,25.2000,3.697,
2018-07-25,24.7500,25.8600,24.7500,25.6800,1.824,
2018-07-26,25.2900,25.5000,24.8800,25.1400,1.161,
2018-07-27,26.1600,26.4000,25.4600,25.6600,1.551,
2018-07-30,26.1800,26.7300,25.7500,26.0900,2.261,
2018-07-31,26.0400,26.4490,25.5800,26.3300,1.641,
2018-08-01,26.6000,26.7600,25.8000,25.8700,1.970,
2018-08-02,25.5500,26.5500,25.2700,26.4600,1.613,
2018-08-03,26.4600,26.4800,25.8100,26.0900,0.884,28.870
2018-08-06,26.1300,26.4999,26.0000,26.3800,0.657,28.834
2018-08-07,26.3800,26.6500,26.0800,26.2100,1.157,28.820
2018-08-08,26.3800,27.9600,26.3000,27.5500,2.855,28.809
2018-08-09,27.9600,28.6800,27.5704,28.5800,2.742,28.803
2018-08-10,28.4000,28.7600,27.8900,28.2500,1.619,28.800
2018-08-13,28.3500,28.3700,26.3600,26.7300,3.068,28.752
2018-08-14,25.9600,26.3700,24.4600,24.6200,5.260,28.632
2018-08-15,32.6200,33.0000,29.0500,32.1100,35.479,28.662
2018-08-16,32.2300,33.0000,30.7500,30.9200,10.903,28.652
2018-08-17,30.5100,33.8800,30.2000,33.7500,11.496,28.722
2018-08-20,34.4000,37.6500,34.1600,37.5400,20.388,28.863
2018-08-21,38.8300,40.2600,37.2800,38.6700,21.017,29.045
2018-08-22,38.1100,40.4000,36.6500,40.0800,15.825,29.255
2018-08-23,40.3500,42.7400,39.0924,41.5200,17.520,29.470
2018-08-24,42.6500,45.9200,42.1400,45.0000,24.235,29.780
2018-08-27,47.6400,48.1900,45.0800,46.3200,22.448,30.109
2018-08-28,43.6400,44.8500,41.1500,43.2000,21.668,30.357
2018-08-29,44.6000,46.4000,43.3600,46.4000,14.120,30.644
2018-08-30,44.7500,46.1200,43.1200,44.4800,15.179,30.851
2018-08-31,44.4600,46.3800,44.2500,45.7200,14.121,31.047
2018-09-04,47.0500,52.4880,46.4100,52.4000,23.234,31.439
2018-09-05,55.6900,56.5999,48.6300,52.0000,37.629,31.857
2018-09-06,50.0600,51.2200,47.8500,50.6700,17.018,32.251
2018-09-07,49.6500,52.7400,48.8000,51.5300,13.092,32.730
2018-09-10,52.2400,53.2900,51.2400,52.2500,10.645,33.162
2018-09-11,52.0200,52.1300,49.7800,51.2100,10.593,33.600
2018-09-12,50.4300,52.0000,48.7201,51.0500,11.716,34.005
2018-09-13,50.9400,51.4800,43.7700,44.0700,20.407,34.295
2018-09-14,40.7400,47.6200,40.6800,47.1900,22.430,34.634
2018-09-17,49.1900,50.2100,46.5600,48.6000,15.815,35.005
2018-09-18,49.8800,52.4200,49.0400,51.8900,20.940,35.451
2018-09-19,54.6800,55.6900,46.2000,49.3500,36.410,35.857
2018-09-20,50.3900,52.4000,48.5400,52.4000,19.081,36.313
2018-09-21,50.5000,51.5900,49.4000,49.7800,11.459,36.717
2018-09-24,48.4000,52.9500,48.0200,52.5000,11.696,37.190
2018-09-25,54.0200,55.0000,52.5910,52.7400,12.918,37.693
2018-09-26,53.0700,53.4900,51.0862,51.9800,7.535,38.203
2018-09-27,50.9700,51.0365,48.9000,49.4200,14.654,38.659
2018-09-28,48.5000,51.2100,48.4200,48.6400,9.768,39.124
2018-10-01,50.1200,51.1475,48.4960,48.8500,9.314,39.614
2018-10-02,48.7900,49.4600,44.9000,45.7400,10.434,40.016
2018-10-03,46.7400,49.2864,45.9300,49.2800,8.034,40.498
2018-10-04,49.7000,50.2100,47.6300,48.3200,9.935,40.951
2018-10-05,48.5700,49.2900,46.4200,47.4900,5.635,41.398
2018-10-08,47.9000,50.9900,47.4900,50.4100,8.192,41.893
2018-10-09,50.0600,50.2399,48.3500,48.7200,7.945,42.345
2018-10-10,48.5300,49.8800,46.6300,47.8600,8.879,42.776
2018-10-11,46.6900,48.3400,46.5200,47.1400,5.835,43.201
2018-10-12,48.0300,49.9600,47.7400,49.8000,7.980,43.668
2018-10-15,50.3200,57.0000,50.3200,56.8900,23.858,44.284
2018-10-16,58.7500,59.2500,51.2600,53.0100,37.508,44.817
2018-10-17,50.2500,52.8700,48.3000,50.6900,21.215,45.306
2018-10-18,50.1200,52.3753,48.5000,48.9100,12.416,45.733
2018-10-19,49.8400,51.2100,45.4300,46.8500,17.427,46.099
2018-10-22,46.6400,47.8300,39.7100,41.6000,25.806,46.366
2018-10-23,37.1400,42.3800,36.6201,41.0100,26.586,46.651
2018-10-24,42.3300,42.4300,37.6100,37.7600,12.410,46.914
2018-10-25,37.4800,41.0590,37.4500,39.4700,9.833,47.061
2018-10-26,38.7300,40.3700,37.3500,38.7000,8.185,47.217
2018-10-29,39.3100,39.7000,32.3100,33.0700,16.709,47.203
2018-10-30,32.0100,34.9200,31.8200,33.9700,12.123,47.132
2018-10-31,35.3200,37.3700,34.6200,36.8900,11.770,47.096
2018-11-01,37.2300,38.2783,35.8500,37.0300,8.829,47.035
2018-11-02,37.4300,38.1750,35.8700,37.1400,6.357,46.948
2018-11-05,37.3900,40.3000,36.3700,40.0900,8.096,46.850
2018-11-06,40.3900,43.9400,39.1900,42.5900,19.656,46.775
2018-11-07,44.4000,46.7400,41.2400,46.0700,26.948,46.832
2018-11-08,44.5900,45.1700,42.0800,42.4500,13.184,46.753
2018-11-09,41.2700,41.3200,38.7700,39.1400,12.106,46.647
2018-11-12,39.7900,40.5500,37.3500,39.1800,9.077,46.516
2018-11-13,38.5000,40.0400,38.2450,38.4800,6.642,46.237
2018-11-14,35.5200,37.1200,32.0800,34.3000,20.133,45.883
2018-11-15,34.0300,36.9000,33.1100,35.3300,9.991,45.577
2018-11-16,35.2500,36.2400,34.5800,35.2100,6.267,45.250
2018-11-19,34.9300,35.1900,32.2200,32.7700,8.580,44.861
2018-11-20,30.5800,33.5700,30.2600,32.1600,9.788,44.480
2018-11-21,32.8500,34.6200,32.8000,33.7400,6.338,44.133
2018-11-23,33.4000,34.8500,33.0800,33.5600,3.362,43.923
2018-11-26,34.5300,34.6400,31.4100,31.5500,7.309,43.610
2018-11-27,31.6500,32.5300,30.9500,31.7000,5.048,43.272
2018-11-28,32.5000,34.0000,32.2600,34.0000,6.815,42.915
2018-11-29,33.9500,34.1200,32.3500,33.1800,6.194,42.591
2018-11-30,33.0400,33.9500,32.3600,33.5500,3.921,42.214
2018-12-03,34.5000,35.1800,32.3600,33.3300,10.831,41.885
2018-12-04,32.8600,33.1600,31.2200,31.4500,6.707,41.464
2018-12-06,28.7900,30.6500,28.1000,30.3400,10.713,41.016
2018-12-07,32.3900,32.5500,30.8000,31.4000,6.139,40.605
2018-12-10,31.4600,32.1700,30.2100,31.0200,4.577,40.237
2018-12-11,31.6900,33.3500,31.1600,33.1600,7.920,39.927
2018-12-12,33.6500,33.6500,32.0100,32.0300,5.713,39.591
2018-12-13,32.6400,32.6600,30.5300,30.8200,5.488,39.292
2018-12-14,30.4000,32.0900,29.7100,30.9200,4.623,38.925
2018-12-17,30.5200,31.2799,29.0600,29.3700,5.264,38.546
2018-12-18,29.7400,30.0900,28.3100,29.2300,5.916,38.181
2018-12-19,29.3250,29.8399,27.8700,28.1000,4.109,37.735
2018-12-20,27.9300,28.8000,26.7800,27.6000,5.682,37.312
2018-12-21,28.4300,28.4600,25.7700,26.2200,6.328,36.879
2018-12-24,25.3600,27.5500,25.2636,26.8100,3.554,36.473
2018-12-26,27.1900,27.6400,25.5603,27.3600,3.970,36.024
2018-12-27,27.1000,27.5500,25.6200,26.8100,3.802,35.422
2018-12-28,27.1200,28.0600,26.1900,27.3700,4.350,34.910
2018-12-31,27.6900,27.7500,26.5000,26.8700,3.912,34.433
2019-01-02,26.5200,29.3000,26.3000,28.9200,4.969,34.033
2019-01-03,29.0700,29.2700,28.1000,28.1100,4.636,33.659
2019-01-04,28.7100,28.9300,28.0100,28.2300,4.558,33.391
2019-01-07,28.5500,29.6900,28.2500,28.9000,5.197,33.149
2019-01-08,29.5500,29.7300,28.0100,29.6400,5.547,32.987
2019-01-09,30.4200,33.8300,29.9600,33.6000,17.084,32.869
2019-01-10,34.3700,38.0300,33.2300,37.5500,27.685,32.846
2019-01-11,37.4300,40.0800,36.6200,38.2500,19.641,32.950
2019-01-14,38.1800,43.5596,36.8600,42.4900,33.610,33.120
2019-01-15,43.3000,44.8800,40.8100,41.3000,27.168,33.208
