DATE,OPEN,HIGH,LOW,CLOSE
2021-05-28,20.2500,24.8300,20.0000,21.7500
2021-06-01,20.7500,24.3000,20.4800,23.5800
2021-06-02,23.2600,25.8200,22.0000,25.1100
2021-06-03,24.1400,24.7500,20.6800,22.0600
2021-06-04,22.0200,24.0000,22.0200,22.8300
2021-06-07,24.6800,25.0000,22.1900,23.1500
2021-06-08,23.0600,23.4900,22.3350,22.7000
2021-06-09,22.7100,23.2450,21.5000,21.8300
2021-06-10,21.8900,22.9600,21.3100,21.8600
2021-06-11,21.0000,22.2650,20.4000,21.7100
2021-06-14,22.0300,26.0900,22.0000,25.0000
2021-06-15,24.8000,25.8920,23.4500,24.0300
2021-06-16,24.2300,24.5800,23.5000,24.3300
2021-06-17,24.6300,25.6600,24.0000,25.6600
