DATE,OPEN,HIGH,LOW,CLOSE
2022-12-29,4.7500,4.8500,4.5000,4.5700
2022-12-30,4.7900,4.8499,4.6000,4.7381
2023-01-03,4.6000,4.8400,4.6000,4.6500
2023-01-04,4.8500,4.8500,4.6100,4.6200
2023-01-05,4.6500,4.7899,4.6000,4.7000
2023-01-06,4.7900,4.7900,4.6000,4.6701
2023-01-09,4.6800,4.6800,4.6094,4.6500
2023-01-10,4.9500,4.9500,4.7001,4.9300
2023-01-11,4.9100,5.6700,4.7600,4.9000
2023-01-12,4.9300,4.9300,4.8100,4.8500
2023-01-13,4.8600,5.0800,4.8001,4.8001
2023-01-17,4.9700,4.9700,4.7100,4.7100
2023-01-18,4.7000,4.8000,4.7000,4.7308
2023-01-19,4.7930,4.8000,4.6500,4.6500
2023-01-20,4.7800,4.7800,4.7150,4.7700
