DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2006-11-08,6.0000,6.2300,5.4000,6.1000,1.572,
2006-11-09,6.1400,6.2000,6.0900,6.1500,0.278,
2006-11-10,6.1500,6.1900,6.0800,6.1400,0.039,
2006-11-13,6.1400,6.1500,6.0000,6.1000,0.077,
2006-11-14,6.2500,6.2500,6.0000,6.0300,0.013,
2006-11-15,6.1400,6.1500,6.0000,6.0000,0.033,
2006-11-16,6.0010,6.0500,5.9200,6.0000,0.007,
2006-11-17,6.0500,6.0500,5.6710,5.8700,0.131,
2006-11-20,5.8100,6.0400,5.8000,5.8100,0.007,
2006-11-21,6.0500,6.0500,5.7500,6.0000,0.002,
2006-11-22,6.0000,6.0000,6.0000,6.0000,0.000,
2006-11-24,5.9990,6.0000,5.9990,6.0000,0.000,
2006-11-27,6.0000,6.0000,5.7500,5.7500,0.016,
2006-11-28,5.9900,5.9900,5.7500,5.7500,0.005,
2006-11-29,5.9600,5.9800,5.7500,5.7500,0.008,
2006-11-30,5.7500,5.7500,5.5000,5.5000,0.039,
2006-12-01,5.5000,5.7500,5.3500,5.7500,0.012,
2006-12-04,5.9900,5.9900,5.5000,5.5000,0.001,
2006-12-05,5.5000,5.5100,5.5000,5.5100,0.009,
2006-12-06,5.5000,5.5100,5.3500,5.5000,0.006,
2006-12-07,5.5000,5.5000,5.0300,5.4100,0.022,
2006-12-08,5.4100,5.5000,5.1200,5.3000,0.017,
2006-12-11,5.2500,5.2600,5.2500,5.2600,0.001,
2006-12-12,5.3500,5.5000,5.2600,5.2600,0.006,
2006-12-13,5.3216,5.4200,5.3216,5.4200,0.001,
2006-12-14,5.5200,5.5200,5.5200,5.5200,0.000,
2006-12-15,5.2500,6.0000,5.1900,5.5100,0.012,
2006-12-18,5.3500,5.3600,4.7500,4.8000,0.048,
2006-12-19,4.8000,4.8000,4.3600,4.6400,0.011,
2006-12-20,4.5000,4.6500,4.2700,4.5000,0.015,
2006-12-21,4.6000,4.8500,3.7600,4.8500,0.071,
2006-12-22,4.9500,4.9500,4.4300,4.4800,0.005,
2006-12-26,4.3500,4.3500,3.9100,4.2500,0.069,
2006-12-27,4.4900,4.4999,4.2480,4.2500,0.011,
2006-12-28,4.2400,4.6700,4.0100,4.4700,0.012,
2006-12-29,4.6500,5.0400,4.3600,4.8300,0.229,
2007-01-03,5.0000,5.1000,4.2200,4.5000,0.020,
2007-01-04,4.5000,4.5000,4.1000,4.2500,0.037,
2007-01-05,4.3500,4.3500,4.0500,4.2000,0.083,
2007-01-08,4.1200,4.2500,4.0000,4.0300,0.041,
2007-01-09,4.0000,4.2500,4.0000,4.1500,0.001,
2007-01-10,4.1000,4.2500,3.9000,3.9300,0.026,
2007-01-11,3.8800,3.9200,3.8800,3.9200,0.000,
2007-01-12,4.1400,4.1400,3.9800,3.9800,0.010,
2007-01-16,4.0000,4.0500,3.9800,3.9800,0.024,
2007-01-17,3.9800,4.0400,3.9800,3.9900,0.013,
2007-01-18,3.9800,4.0000,3.9700,3.9700,0.020,
2007-01-19,3.9600,3.9799,3.9600,3.9799,0.031,
2007-01-22,3.9900,4.2300,3.8900,3.8900,0.276,
2007-01-23,3.9500,3.9600,3.9500,3.9600,0.008,5.054
2007-01-24,4.0000,4.0000,3.8000,3.8000,0.005,5.008
2007-01-25,3.7000,4.0000,3.6800,4.0000,0.004,4.965
2007-01-26,4.0000,4.6400,3.9500,3.9500,0.050,4.921
2007-01-29,4.0900,4.5500,3.8100,4.2400,0.022,4.884
2007-01-30,4.8000,5.3100,4.3700,5.2300,0.120,4.868
2007-01-31,5.8500,6.5100,5.5300,6.3800,0.612,4.875
2007-02-01,7.3900,7.4300,6.5000,6.8300,0.239,4.892
2007-02-02,6.8500,6.8500,5.5100,5.7000,0.155,4.889
2007-02-05,5.9400,6.0499,5.7000,5.8500,0.049,4.889
2007-02-06,5.7500,5.7500,5.4500,5.5500,0.053,4.880
2007-02-07,5.7000,5.7100,5.3500,5.4146,0.037,4.869
2007-02-08,5.4100,5.4900,5.2300,5.2500,0.036,4.854
2007-02-09,5.2700,5.4700,4.7800,4.7900,0.047,4.834
2007-02-12,4.8200,5.0700,4.7800,4.9900,0.022,4.819
2007-02-13,4.9600,5.1000,4.7800,4.7800,0.052,4.800
2007-02-14,5.0600,5.0600,4.6000,4.7000,0.034,4.784
2007-02-15,4.6600,4.9000,4.5500,4.6100,0.014,4.761
2007-02-16,4.6500,4.7300,4.4900,4.6000,0.009,4.743
2007-02-20,4.6000,4.8200,4.6000,4.6300,0.009,4.725
2007-02-21,4.8600,4.8600,4.4000,4.6300,0.011,4.708
2007-02-22,4.7000,4.7500,4.6500,4.6500,0.008,4.693
2007-02-23,4.6500,4.7500,4.5100,4.5690,0.008,4.678
2007-02-26,4.5400,4.9500,4.3100,4.8100,0.032,4.669
2007-02-27,5.0300,5.0300,4.5000,4.5200,0.027,4.654
2007-02-28,4.5000,5.0000,4.5000,4.8400,0.023,4.643
2007-03-01,4.8500,5.0000,4.4100,4.6600,0.028,4.626
2007-03-02,4.8400,4.9600,4.6400,4.7200,0.009,4.610
2007-03-05,4.5600,4.9899,4.5000,4.6000,0.018,4.606
2007-03-06,4.6101,4.9600,4.6000,4.7500,0.016,4.608
2007-03-07,4.9500,4.9700,4.6700,4.8500,0.009,4.615
2007-03-08,4.9400,4.9400,4.8500,4.8500,0.001,4.615
2007-03-09,4.8200,4.8200,4.7500,4.7600,0.009,4.621
2007-03-12,4.7700,5.0000,4.7600,4.8900,0.006,4.633
2007-03-13,4.9900,5.0000,4.8000,4.8000,0.009,4.644
2007-03-14,4.8000,4.8000,4.5700,4.6600,0.008,4.648
2007-03-15,4.6800,4.9000,4.6800,4.7500,0.013,4.647
2007-03-16,4.5800,4.7200,4.5800,4.7200,0.004,4.651
2007-03-19,4.6800,4.6800,4.4000,4.5899,0.013,4.658
2007-03-20,4.5400,4.5500,4.2500,4.2600,0.015,4.659
2007-03-21,4.3242,4.5000,4.3242,4.4400,0.003,4.667
