DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2019-11-26,14.3970,14.4042,14.3322,14.3898,0.626,
2019-11-27,14.3682,14.4042,14.2242,14.3898,0.609,
2019-11-29,14.3898,14.4258,14.3322,14.4042,0.367,
2019-12-02,14.4330,14.4330,14.3322,14.3322,0.047,
2019-12-03,14.2458,14.3970,14.2458,14.3682,0.055,
2019-12-04,14.3970,14.3970,14.1882,14.3466,0.056,
2019-12-05,14.4114,14.4114,14.3623,14.3754,0.029,
2019-12-06,14.3754,14.4042,14.1161,14.1161,0.088,
2019-12-09,14.2242,14.3466,14.2242,14.3070,0.018,
2019-12-10,14.2098,14.3466,14.1882,14.2818,0.042,
2019-12-11,14.2818,14.3682,14.2818,14.3322,0.027,
2019-12-12,14.3682,14.4114,14.3395,14.3962,0.022,
2019-12-13,14.4042,14.4042,14.3610,14.3838,0.017,
2019-12-16,14.4042,14.4114,14.3898,14.4114,0.033,
2019-12-17,14.4114,14.4114,14.3970,14.4042,0.024,
2019-12-18,14.3814,14.4114,14.3682,14.4114,0.011,
2019-12-19,14.3682,14.7427,14.3682,14.4186,0.041,
2019-12-20,14.5339,14.6203,14.4690,14.5123,0.025,
2019-12-23,14.5195,14.5843,14.4690,14.4690,0.025,
2019-12-24,14.2386,14.5267,14.0801,14.2170,0.070,
2019-12-26,14.3322,14.3322,14.1161,14.1233,0.044,
2019-12-27,14.2242,14.2242,14.0513,14.1878,0.064,
2019-12-30,14.2112,14.3122,14.0813,14.2965,0.061,
2019-12-31,14.2906,14.2906,14.1462,14.1534,0.102,
2020-01-02,14.2978,14.2978,14.1823,14.2159,0.030,
2020-01-03,14.2622,14.2978,14.1534,14.1967,0.021,
2020-01-06,14.1967,14.3536,14.1534,14.2545,0.027,
2020-01-07,14.1886,14.7599,14.1886,14.3555,0.050,
2020-01-08,14.4183,14.4349,14.2906,14.3194,0.029,
2020-01-09,14.6566,14.6875,14.3627,14.5071,0.048,
2020-01-10,14.4652,14.4931,14.3772,14.4277,0.033,
2020-01-13,14.4833,14.5360,14.3699,14.4205,0.025,
2020-01-14,14.3824,14.5215,14.1606,14.4205,0.017,
2020-01-15,14.4205,14.4205,14.1968,14.3627,0.018,
2020-01-16,14.3266,14.4205,14.3266,14.3988,0.027,
2020-01-17,14.4205,14.4205,14.2545,14.2545,0.020,
2020-01-21,14.2545,14.3916,14.1173,14.2256,0.022,
2020-01-22,14.1751,14.2766,14.0307,14.0740,0.069,
2020-01-23,14.1462,14.1779,13.8647,13.9658,0.054,
2020-01-24,14.0361,14.0372,13.8719,14.0019,0.030,
2020-01-27,13.9080,14.0235,13.8864,14.0019,0.022,
2020-01-28,14.0379,14.0668,13.9513,14.0202,0.033,
2020-01-29,13.9513,14.0596,13.9513,14.0019,0.030,
2020-01-30,13.9723,14.0882,13.9658,14.0740,0.012,
2020-01-31,14.0756,14.1101,13.9658,14.1029,0.023,
2020-02-03,14.0596,14.1029,13.9730,14.0641,0.033,
2020-02-04,14.1534,14.1895,14.0740,14.1462,0.041,
2020-02-05,14.1594,14.2473,14.1386,14.2184,0.010,
2020-02-06,14.1679,14.1679,14.0091,14.0091,0.038,
2020-02-07,13.9802,14.1101,13.9658,13.9730,0.030,14.261
2020-02-10,13.9946,14.1029,13.8936,13.9152,0.032,14.251
2020-02-11,13.9297,14.2307,13.9297,14.0740,0.043,14.245
2020-02-12,14.1246,14.1246,14.0091,14.0626,0.040,14.238
2020-02-13,14.0525,14.1281,13.9944,14.0307,0.027,14.232
2020-02-14,14.0090,14.0961,14.0090,14.0779,0.017,14.226
2020-02-18,14.0815,14.1323,14.0815,14.1165,0.011,14.222
2020-02-19,14.1178,14.1251,14.0380,14.0380,0.026,14.215
2020-02-20,14.0815,14.0815,13.9789,14.0380,0.052,14.213
2020-02-21,13.9872,14.0452,13.7694,13.7694,0.064,14.203
2020-02-24,13.6243,13.9111,13.0581,13.3557,0.164,14.184
2020-02-25,13.2178,13.8223,13.0436,13.0436,0.118,14.158
2020-02-26,13.2779,13.3992,13.0653,13.3568,0.128,14.138
2020-02-27,13.0799,13.4210,13.0581,13.2109,0.105,14.114
2020-02-28,12.8984,13.4138,12.6019,13.2395,0.325,14.091
2020-03-02,13.1307,13.1887,12.5995,12.9492,0.094,14.062
2020-03-03,12.9347,13.3593,12.6806,12.7762,0.054,14.029
2020-03-04,13.1742,13.1742,12.9057,13.1307,0.058,14.003
2020-03-05,13.0291,13.7403,12.9565,13.1379,0.102,13.976
2020-03-06,12.9492,13.0840,12.9492,13.0508,0.012,13.947
2020-03-09,12.6661,13.1024,11.2653,11.6935,0.097,13.897
2020-03-10,11.7951,12.9782,11.3088,11.8024,0.062,13.850
2020-03-11,11.7878,11.7878,10.5176,10.9241,0.132,13.785
2020-03-12,10.4171,11.7778,7.1983,10.2708,0.340,13.705
2020-03-13,10.4537,10.4537,8.2664,10.1245,0.134,13.624
2020-03-16,8.0762,10.0587,8.0762,8.2225,0.088,13.504
2020-03-17,8.0469,8.8297,7.3959,8.8297,0.204,13.397
2020-03-18,7.4983,8.8224,6.7302,7.0520,0.186,13.253
2020-03-19,7.3081,8.4859,6.7448,8.1640,0.121,13.129
2020-03-20,8.7346,9.3271,7.3300,7.9811,0.106,13.002
2020-03-23,7.9079,8.4127,7.3227,8.1201,0.173,12.874
2020-03-24,8.7785,8.7785,8.1932,8.6505,0.101,12.759
2020-03-25,8.7785,9.5759,8.4346,9.1808,0.124,12.654
2020-03-26,9.3637,10.1026,9.2540,9.8831,0.249,12.563
2020-03-27,9.8758,10.6951,9.6051,10.3147,0.093,12.482
2020-03-30,10.2196,10.7301,9.5466,10.5195,0.143,12.405
2020-03-31,10.8341,10.9292,9.8904,10.5634,0.168,12.331
2020-04-01,10.1903,10.4610,9.8026,9.8758,0.044,12.244
2020-04-02,9.5173,10.0660,9.5100,9.6417,0.075,12.155
2020-04-03,9.5173,9.8758,9.4076,9.4076,0.098,12.064
2020-04-06,9.5173,10.2416,9.3710,10.2050,0.053,11.988
2020-04-07,10.2781,10.6073,10.0967,10.1611,0.093,11.911
2020-04-08,10.1611,10.7171,10.1611,10.3440,0.126,11.838
2020-04-09,10.3732,11.8509,9.9563,11.3681,0.418,11.785
2020-04-13,11.1067,11.1067,10.3992,10.8414,0.170,11.721
2020-04-14,10.7014,11.4974,10.5392,10.9741,0.103,11.658
2020-04-15,10.6287,10.8709,10.3476,10.8709,0.052,11.594
2020-04-16,10.8046,10.8709,10.0882,10.4361,0.078,11.520
2020-04-17,10.6129,10.8893,10.4655,10.6572,0.087,11.449
2020-04-20,10.8856,10.9077,10.5098,10.6866,0.076,11.382
2020-04-21,10.5687,11.0551,10.4066,10.6424,0.116,11.316
2020-04-22,10.6866,11.0036,10.6248,10.9741,0.125,11.257
2020-04-23,10.9888,10.9888,10.4803,10.5245,0.098,11.186
2020-04-24,10.5540,10.6793,10.4508,10.4803,0.058,11.114
2020-04-27,10.4876,10.6129,10.3181,10.4729,0.126,11.043
2020-04-28,10.5098,10.6424,10.3918,10.5024,0.142,10.972
2020-04-29,10.6129,11.3573,10.6129,10.9962,0.115,10.909
2020-04-30,11.0551,11.5416,10.8709,11.2247,0.173,10.853
2020-05-01,11.0478,11.2173,10.9888,11.0920,0.090,10.794
2020-05-04,10.9962,11.1878,10.8709,11.0551,0.040,10.740
2020-05-05,11.1288,11.3205,11.0183,11.0257,0.088,10.693
2020-05-06,11.0257,11.0846,10.8930,10.8930,0.042,10.650
2020-05-07,11.0625,11.1215,10.9814,11.0144,0.048,10.603
2020-05-08,10.9962,11.1288,10.8783,11.0404,0.028,10.560
2020-05-11,10.9962,11.2099,10.8114,11.1710,0.055,10.518
2020-05-12,11.1369,11.2334,10.9765,11.0478,0.037,10.480
2020-05-13,11.0107,11.1220,10.4315,10.5615,0.040,10.436
2020-05-14,10.4761,10.5281,10.2088,10.3647,0.058,10.381
2020-05-15,10.3276,10.5281,10.1643,10.2236,0.034,10.322
2020-05-18,10.3573,10.6617,10.3127,10.5875,0.117,10.273
2020-05-19,10.6765,11.0923,10.2682,10.8956,0.082,10.257
2020-05-20,11.0997,11.0997,10.6914,10.9587,0.063,10.240
2020-05-21,11.0849,11.1290,10.6552,10.8770,0.059,10.239
2020-05-22,10.8696,11.1146,10.8473,10.9921,0.019,10.254
2020-05-26,11.1072,11.2928,10.8959,11.1369,0.073,10.274
2020-05-27,11.2111,11.4487,11.0404,11.2037,0.079,10.334
2020-05-28,11.3225,11.5823,11.3039,11.5512,0.043,10.388
2020-05-29,11.4487,11.6588,11.4339,11.6229,0.028,10.480
2020-06-01,11.5452,11.6900,11.1460,11.6492,0.030,10.549
2020-06-02,11.7605,11.7605,11.3225,11.5898,0.038,10.621
2020-06-03,11.5081,12.0130,11.5081,12.0130,0.092,10.699
2020-06-04,11.8793,12.4031,11.8793,12.0872,0.070,10.768
2020-06-05,12.3990,12.8505,12.2552,12.7480,0.059,10.839
2020-06-08,12.8445,13.2158,12.7406,13.1415,0.048,10.905
2020-06-09,12.8148,13.1415,12.7740,13.0264,0.073,10.959
2020-06-10,12.9559,13.0524,12.5550,12.8148,0.050,11.005
2020-06-11,12.5657,12.5695,11.9229,12.0724,0.045,11.035
2020-06-12,12.3340,12.6137,11.9827,12.3190,0.029,11.084
2020-06-15,12.0667,12.4088,11.9154,12.4088,0.034,11.139
2020-06-16,12.5956,12.8872,12.4985,12.7302,0.060,11.206
2020-06-17,12.7003,12.7078,12.3340,12.5732,0.030,11.253
2020-06-18,12.4686,12.5657,12.0724,12.1845,0.053,11.293
2020-06-19,12.2219,12.4088,11.9827,12.1247,0.079,11.329
2020-06-22,11.9303,12.1844,11.9303,12.0798,0.077,11.343
2020-06-23,11.9602,12.1097,11.7809,12.0480,0.061,11.367
2020-06-24,11.9677,12.0350,11.5095,11.6612,0.037,11.381
2020-06-25,11.5865,11.7285,11.2501,11.6687,0.051,11.397
2020-06-26,11.1754,11.5902,11.1754,11.2800,0.108,11.414
2020-06-29,11.2800,11.5940,11.2800,11.4893,0.033,11.431
2020-06-30,11.3996,11.6612,11.3697,11.5715,0.079,11.448
2020-07-01,11.5715,11.6538,11.4295,11.4370,0.035,11.464
2020-07-02,11.5117,11.6340,11.3772,11.3772,0.175,11.472
2020-07-06,11.4893,11.7734,11.3921,11.5043,0.074,11.492
2020-07-07,11.2660,11.7336,11.2660,11.3403,0.059,11.509
2020-07-08,11.5072,11.5258,11.3551,11.4701,0.037,11.529
2020-07-09,11.4367,11.5035,11.3180,11.3996,0.048,11.547
2020-07-10,11.4601,11.5580,11.2343,11.3585,0.075,11.554
2020-07-13,11.3773,11.6484,11.3321,11.4451,0.055,11.559
2020-07-14,11.4451,11.5730,11.2192,11.2794,0.066,11.562
2020-07-15,11.6032,11.6710,11.4017,11.6710,0.064,11.575
2020-07-16,11.4978,11.9496,11.4752,11.8969,0.048,11.592
2020-07-17,11.9420,11.9420,11.5580,11.6936,0.027,11.608
2020-07-20,11.9420,11.9420,11.6710,11.7463,0.048,11.623
2020-07-21,11.7463,12.1604,11.6710,11.8216,0.061,11.638
2020-07-22,11.8893,11.9985,11.7237,11.7613,0.035,11.650
2020-07-23,11.7689,11.9646,11.7463,11.7463,0.044,11.664
2020-07-24,12.0098,12.0324,11.7539,11.8517,0.020,11.690
2020-07-27,11.7764,11.8856,11.3097,11.7162,0.070,11.717
2020-07-28,11.6333,11.6634,11.4300,11.4376,0.092,11.741
2020-07-29,11.3547,11.6559,11.3547,11.5881,0.137,11.761
2020-07-30,11.5731,11.6107,11.3321,11.5505,0.098,11.774
2020-07-31,11.4295,11.5881,11.3698,11.5128,0.065,11.785
2020-08-03,11.6107,11.6559,11.3849,11.4526,0.025,11.797
2020-08-04,11.4451,11.5957,11.4150,11.4639,0.041,11.806
2020-08-05,11.5354,11.9947,11.5128,11.9947,0.066,11.824
2020-08-06,12.0625,12.0625,11.6409,11.8366,0.044,11.836
2020-08-07,11.9345,12.0324,11.9345,12.0249,0.016,11.846
2020-08-10,12.0249,12.1679,11.9722,11.9872,0.037,11.853
2020-08-11,12.1378,12.2206,11.8396,12.1529,0.041,11.863
2020-08-12,12.1303,12.4239,12.1228,12.4239,0.045,11.880
2020-08-13,12.4015,12.4989,12.3561,12.3788,0.021,11.887
2020-08-14,12.5076,12.5076,12.2423,12.2651,0.029,11.891
2020-08-17,12.2575,12.3181,12.1286,12.2347,0.041,11.880
2020-08-18,12.3636,12.3636,12.0528,12.1968,0.056,11.861
2020-08-19,12.1362,12.2954,12.0907,12.1362,0.034,11.844
2020-08-20,12.2120,12.2120,11.9391,11.9618,0.050,11.827
2020-08-21,12.0225,12.0384,11.7572,12.0225,0.042,11.826
2020-08-24,11.8633,12.0149,11.8406,12.0149,0.062,11.819
2020-08-25,12.0528,12.0528,11.7572,11.8785,0.046,11.809
2020-08-26,11.8557,12.0073,11.7723,11.8633,0.067,11.792
2020-08-27,11.8254,12.0591,11.6662,11.7344,0.077,11.775
2020-08-28,11.6889,11.9239,11.6283,11.8330,0.093,11.768
2020-08-31,11.7654,11.8936,11.6814,11.8330,0.117,11.762
2020-09-01,11.7420,11.8178,11.6738,11.8178,0.041,11.757
2020-09-02,11.7268,11.8254,11.5601,11.8102,0.098,11.752
2020-09-03,11.7647,11.7647,11.4389,11.5298,0.066,11.749
2020-09-04,11.6056,11.6379,11.2569,11.4312,0.076,11.744
2020-09-08,11.3782,11.4691,11.2796,11.2796,0.046,11.744
2020-09-09,11.3175,11.5601,11.2493,11.4464,0.091,11.744
2020-09-10,11.4312,11.9386,11.3934,11.5601,0.067,11.743
2020-09-11,11.6211,11.6440,11.5218,11.5677,0.026,11.746
2020-09-14,11.5753,11.8578,11.5539,11.8578,0.044,11.756
2020-09-15,11.8349,12.0388,11.5371,11.7051,0.051,11.760
2020-09-16,11.6516,11.7966,11.4684,11.7051,0.059,11.767
2020-09-17,11.6898,11.9265,11.5371,11.6364,0.064,11.770
2020-09-18,11.9036,11.9036,11.4989,11.5600,0.067,11.773
2020-09-21,11.5448,11.5448,11.2851,11.3157,0.037,11.773
2020-09-22,11.3539,11.3636,10.8881,11.1783,0.130,11.767
2020-09-23,11.0408,11.1783,10.8499,10.9110,0.197,11.760
2020-09-24,10.8576,10.9148,10.6896,10.7087,0.151,11.741
