DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2008-02-11,5.7052,5.7052,5.0247,5.0247,0.885,
2008-02-12,5.0945,5.1643,4.5223,4.7456,1.270,
2008-02-13,4.8503,4.9305,4.5362,4.8119,0.217,
2008-02-14,4.8503,4.9549,4.6723,4.6758,0.533,
2008-02-15,4.6409,4.6932,4.4664,4.5990,0.391,
2008-02-19,4.5432,4.6758,4.5188,4.6235,0.078,
2008-02-20,4.5188,4.6060,4.5013,4.5362,0.782,
2008-02-21,4.4246,4.5292,4.2780,4.3443,0.257,
2008-02-22,4.3408,4.5851,4.3269,4.5502,0.543,
2008-02-25,4.4839,4.8642,4.4839,4.7700,0.305,
2008-02-26,4.7979,4.8363,4.5816,4.6549,0.426,
2008-02-27,4.6025,4.6025,4.3652,4.4315,0.187,
2008-02-28,4.4699,4.4699,4.3234,4.3303,0.085,
2008-02-29,4.4699,4.4699,4.2396,4.2466,0.094,
2008-03-03,4.2396,4.2606,4.2047,4.2501,0.141,
2008-03-04,4.2745,4.2780,4.0303,4.1000,0.095,
2008-03-05,4.0651,4.1070,4.0477,4.0931,0.089,
2008-03-06,4.0477,4.1105,4.0477,4.1000,0.206,
2008-03-07,4.0651,4.1175,4.0303,4.0651,0.188,
2008-03-10,4.1070,4.1105,3.9291,4.0303,0.245,
2008-03-11,4.1314,4.2571,3.9779,3.9814,0.160,
2008-03-12,4.0093,4.0721,3.9500,3.9500,0.173,
2008-03-13,3.9256,4.0651,3.8732,4.0163,0.169,
2008-03-14,4.0128,4.0303,3.8453,3.9919,0.153,
2008-03-17,3.8383,3.8907,3.7581,3.8034,0.085,
2008-03-18,4.1175,4.1175,3.6708,3.8104,0.153,
2008-03-19,3.8837,3.9395,3.7197,3.7197,0.075,
2008-03-20,3.7232,4.1245,3.6464,4.0163,0.282,
2008-03-24,3.8732,4.1419,3.8348,3.9186,0.072,
2008-03-25,3.7685,4.2571,3.7511,4.1663,0.070,
2008-03-26,4.1524,4.1524,3.9326,4.0547,0.043,
2008-03-27,4.0896,4.1000,3.8977,3.9709,0.044,
2008-03-28,3.9709,4.0268,3.9326,3.9605,0.028,
2008-03-31,4.0128,4.0861,3.9430,3.9884,0.126,
