DATE,OPEN,HIGH,LOW,CLOSE
2021-11-15,9.3000,9.6200,9.0000,9.0000
2021-11-16,9.3300,9.3400,8.2000,8.2000
2021-11-17,8.2700,9.2500,8.2700,9.1700
2021-11-18,9.2000,9.5899,9.0000,9.1200
2021-11-19,9.3300,9.3300,8.2500,8.7900
2021-11-22,8.5000,9.2400,8.2100,8.3300
2021-11-23,8.6200,8.6500,8.2000,8.2000
2021-11-24,8.2000,8.5800,8.2000,8.2500
2021-11-26,8.2000,8.6000,8.2000,8.4900
2021-11-29,8.5500,8.5500,8.2000,8.2200
2021-11-30,8.2100,8.4900,7.8000,7.9100
2021-12-01,7.9200,8.2100,7.8000,7.8900
2021-12-02,7.9000,8.0000,6.0000,6.7500
