DATE,OPEN,HIGH,LOW,CLOSE
2021-07-01,16.3000,21.6900,15.5000,21.0000
2021-07-02,19.8538,20.4500,18.3201,19.1200
2021-07-06,18.9000,19.1200,17.0000,17.0000
2021-07-07,17.2891,18.1600,17.0000,17.7800
2021-07-08,17.2500,18.3500,17.0000,18.2000
2021-07-09,18.3702,20.0000,18.3700,19.2900
2021-07-12,19.7000,20.0600,17.8200,18.0600
2021-07-13,18.2500,18.6450,17.5000,17.6000
2021-07-14,17.6500,17.9700,17.1500,17.2200
2021-07-15,17.3300,17.5300,16.9900,17.1100
2021-07-16,17.0200,17.3300,17.0000,17.0400
2021-07-19,16.6100,16.9999,16.0300,16.9600
2021-07-20,17.0100,17.1000,16.2500,16.5900
2021-07-21,16.5000,16.7900,16.0800,16.2800
2021-07-22,16.0500,16.2800,15.7900,16.0700
2021-07-23,15.9600,16.7400,15.5500,16.7100
2021-07-26,16.7300,17.9700,16.6850,17.1700
2021-07-27,17.4400,17.4690,16.2500,16.4300
