DATE,OPEN,HIGH,LOW,CLOSE
1993-04-01,112.5000,120.0000,112.5000,118.0500
1993-04-02,116.2500,116.2500,114.3000,116.2500
1993-04-05,114.3000,118.0500,112.5000,112.5000
1993-04-06,112.5000,112.5000,112.5000,112.5000
1993-04-07,112.5000,118.0500,112.5000,114.3000
1993-04-08,112.5000,112.5000,112.5000,112.5000
1993-04-12,112.5000,116.2500,112.5000,116.2500
1993-04-13,116.2500,116.2500,112.5000,114.3000
1993-04-14,110.5500,114.3000,110.5500,112.5000
1993-04-15,108.7500,116.2500,108.7500,114.3000
1993-04-16,110.5500,112.5000,108.7500,112.5000
1993-04-19,112.5000,112.5000,108.7500,108.7500
1993-04-20,112.5000,116.2500,108.7500,116.2500
1993-04-21,114.3000,116.2500,110.5500,114.3000
1993-04-22,116.2500,120.0000,114.3000,116.2500
1993-04-23,116.2500,118.0500,116.2500,118.0500
1993-04-26,120.0000,123.7500,120.0000,120.0000
1993-04-27,121.8000,131.2500,121.8000,131.2500
1993-04-28,129.3000,135.0000,129.3000,133.0500
1993-04-29,136.8000,136.8000,131.2500,131.2500
1993-04-30,135.0000,138.7500,131.2500,136.8000
1993-05-03,135.0000,142.5000,135.0000,138.7500
1993-05-04,142.5000,144.3000,138.7500,138.7500
1993-05-05,140.5500,142.5000,136.8000,138.7500
1993-05-06,138.7500,140.5500,133.0500,135.0000
1993-05-07,131.2500,136.8000,131.2500,131.2500
1993-05-10,133.0500,135.0000,131.2500,131.2500
1993-05-11,133.0500,133.0500,129.3000,129.3000
1993-05-12,131.2500,135.0000,131.2500,131.2500
1993-05-13,135.0000,135.0000,127.5000,129.3000
1993-05-14,133.0500,138.7500,133.0500,135.0000
1993-05-17,138.7500,142.5000,135.0000,138.7500
1993-05-18,140.5500,142.5000,136.8000,136.8000
1993-05-19,138.7500,138.7500,135.0000,136.8000
1993-05-20,140.5500,140.5500,135.0000,135.0000
1993-05-21,135.0000,136.8000,135.0000,136.8000
1993-05-24,136.8000,136.8000,131.2500,133.0500
