DATE,OPEN,HIGH,LOW,CLOSE
1998-09-24,0.8388,0.8506,0.6938,0.7429
1998-09-25,0.7134,0.7233,0.6449,0.7037
1998-09-28,0.7448,0.7978,0.7212,0.7565
1998-09-29,0.7742,0.7879,0.7487,0.7664
1998-09-30,0.7399,0.7526,0.6781,0.7065
1998-10-01,0.6684,0.6781,0.6272,0.6272
1998-10-02,0.6350,0.6546,0.5488,0.6272
1998-10-05,0.6135,0.6135,0.5469,0.5626
1998-10-06,0.5997,0.5997,0.5017,0.5723
1998-10-07,0.5488,0.5586,0.4842,0.4842
1998-10-08,0.4371,0.4586,0.3959,0.4547
1998-10-09,0.4821,0.5057,0.4625,0.4831
1998-10-12,0.5017,0.5017,0.4939,0.4939
1998-10-13,0.4948,0.4978,0.4586,0.4607
1998-10-14,0.4567,0.5038,0.4567,0.4724
1998-10-15,0.4724,0.5135,0.4724,0.5116
1998-10-16,0.5234,0.5723,0.5174,0.5644
1998-10-19,0.5822,0.7212,0.5801,0.7115
1998-10-20,0.7683,0.8134,0.7095,0.7291
1998-10-21,0.7683,0.8075,0.7408,0.7927
1998-10-22,0.8114,0.8388,0.7722,0.8084
1998-10-23,0.8095,0.8192,0.7761,0.7860
1998-10-26,0.9407,1.1524,0.9211,1.1505
1998-10-27,1.2778,1.4238,1.2582,1.2935
1998-10-28,1.2230,1.3288,1.1994,1.2543
1998-10-29,1.2739,1.3004,1.2504,1.2524
1998-10-30,1.2681,1.3230,1.2553,1.3034
1998-11-02,1.3622,1.3758,1.3131,1.3170
1998-11-03,1.3327,1.3406,1.3014,1.3170
1998-11-04,1.3406,1.3445,1.2808,1.2965
1998-11-05,1.2700,1.3131,1.2347,1.2730
1998-11-06,1.2603,1.3239,1.2582,1.3170
1998-11-09,1.3269,1.6149,1.3249,1.6149
1998-11-10,1.7670,2.1951,1.7419,2.0524
1998-11-11,1.9959,2.1214,1.7890,1.8172
1998-11-12,1.7858,2.0837,1.7639,1.9771
1998-11-13,2.0383,2.0837,1.8784,1.9426
1998-11-16,2.0304,2.0383,1.9160,2.0007
1998-11-17,1.9991,2.0853,1.9442,2.0163
1998-11-18,2.0461,2.3283,1.9662,2.3127
1998-11-19,2.3675,2.4318,2.2233,2.2547
1998-11-20,2.3519,2.3519,2.2013,2.3048
1998-11-23,2.3989,3.0653,2.3785,3.0261
1998-11-24,2.9633,3.6705,2.7909,3.0856
1998-11-25,3.1515,3.3592,3.0653,3.2064
1998-11-27,3.3083,3.4510,3.2456,3.4180
1998-11-30,3.5184,3.5278,2.9477,3.0982
1998-12-01,2.9336,3.2769,2.8536,3.2503
1998-12-02,3.2299,3.3553,3.1045,3.1829
1998-12-03,3.1092,3.2660,2.9006,2.9320
1998-12-04,3.0653,3.1045,2.5134,2.8614
1998-12-07,2.8693,2.8693,2.6184,2.7329
1998-12-08,2.6341,2.8536,2.6106,2.7736
1998-12-09,2.7846,3.0496,2.7093,2.8144
1998-12-10,2.8849,2.9884,2.8238,2.9179
1998-12-11,2.8583,3.0308,2.8552,3.0104
1998-12-14,2.9147,3.0261,2.9085,2.9555
1998-12-15,3.0182,3.0480,2.9680,3.0417
1998-12-16,3.1374,3.5435,3.1358,3.5043
1998-12-17,3.4180,3.8179,3.3788,3.7363
1998-12-18,3.9198,4.1126,3.8414,3.9558
1998-12-21,4.0530,4.7116,4.0295,4.6473
1998-12-22,4.7994,4.8778,4.4262,4.7194
1998-12-23,4.8307,4.8809,4.6018,4.6724
1998-12-24,4.5469,4.6583,4.4215,4.4842
1998-12-28,4.5077,4.7351,4.3274,4.4779
1998-12-29,4.5626,4.5626,4.2334,4.2945
1998-12-30,4.2239,4.2318,3.5968,3.9652
1998-12-31,3.8226,4.0468,3.7787,3.7834
1999-01-04,3.7065,3.9354,3.6375,3.7630
1999-01-05,3.5764,3.6454,3.4463,3.5121
1999-01-06,3.6689,4.4685,3.6532,4.4372
1999-01-07,4.2663,4.9389,4.2349,4.6724
1999-01-08,4.9389,5.0251,4.5015,4.5846
1999-01-11,4.7680,4.7821,4.3588,4.5705
1999-01-12,4.3901,4.4842,3.7630,3.7708
1999-01-13,3.4180,3.7003,3.3302,3.3788
1999-01-14,3.5200,3.7912,3.4353,3.5325
1999-01-15,3.5670,3.7943,3.4808,3.5027
1999-01-19,3.8806,3.9198,3.3475,3.6046
1999-01-20,3.5999,3.6156,3.2926,3.3522
1999-01-21,3.0888,3.1672,2.8254,2.8505
1999-01-22,2.6027,3.4494,2.6027,3.0856
1999-01-25,3.1358,3.4149,2.8693,3.4102
1999-01-26,3.4337,3.6814,3.3396,3.4635
1999-01-27,4.7664,4.9232,4.4529,4.7586
1999-01-28,4.7664,4.7962,4.4842,4.5877
1999-01-29,4.4842,4.6504,4.2647,4.3525
1999-02-01,4.3745,4.3901,4.1001,4.1079
1999-02-02,4.0781,4.0781,3.8414,3.9872
1999-02-03,3.9041,4.3901,3.8727,4.3635
1999-02-04,4.2961,4.3588,3.7159,3.7473
1999-02-05,3.8492,3.8727,3.4494,3.4698
1999-02-08,3.6062,3.8320,3.4980,3.6219
1999-02-09,3.6219,3.6375,3.2926,3.3381
1999-02-10,3.2910,3.3930,3.0104,3.3240
1999-02-11,3.4384,3.7708,3.3396,3.7551
1999-02-12,3.6987,3.8853,3.5795,3.7003
1999-02-16,3.7834,3.8571,3.5795,3.6234
1999-02-17,3.7395,3.8571,3.6031,3.6532
1999-02-18,3.6752,3.7363,3.4886,3.6862
1999-02-19,3.7128,3.7865,3.6344,3.7551
1999-02-22,3.8382,4.4685,3.7865,4.3713
1999-02-23,4.4513,4.6488,4.3588,4.4309
1999-02-24,4.5532,4.7429,4.4685,4.4842
1999-02-25,4.5548,4.7022,4.4105,4.6959
1999-02-26,4.8213,5.2697,4.6975,5.2368
1999-03-01,5.1239,5.5551,4.8025,5.0643
1999-03-02,5.2023,5.6915,5.1412,5.5081
1999-03-03,5.7950,5.8797,5.5269,5.8091
1999-03-04,6.0631,6.1666,5.8091,6.1525
1999-03-05,6.5335,7.1073,6.3500,7.0227
1999-03-08,7.2625,8.0434,7.1638,8.0434
1999-03-09,8.2362,8.3444,7.5918,7.8223
1999-03-10,7.8787,7.9399,7.1497,7.2955
1999-03-11,7.2437,7.5683,6.8204,7.0556
1999-03-12,6.7781,7.0085,6.5288,6.6793
1999-03-15,6.8439,7.4178,6.6981,7.3754
1999-03-16,7.5542,7.7753,7.3049,7.4225
1999-03-17,7.2673,7.4695,7.1073,7.3284
1999-03-18,7.3284,7.7141,7.1638,7.5636
1999-03-19,7.7188,7.7517,7.3613,7.5165
1999-03-22,7.4554,7.6200,7.2437,7.2955
1999-03-23,7.1967,7.2437,6.6322,6.8863
1999-03-24,6.7545,6.8674,6.4582,6.8392
1999-03-25,7.5260,7.6906,7.3378,7.4977
1999-03-26,7.3378,7.6200,7.1967,7.2673
1999-03-29,6.9756,7.2390,6.8674,6.9521
1999-03-30,6.8439,6.8674,6.3641,6.4488
1999-03-31,6.2371,6.8204,6.2324,6.4582
1999-04-01,6.7734,6.7734,6.2607,6.5194
1999-04-05,6.5617,7.3801,6.3735,6.9991
1999-04-06,7.0462,7.4084,6.8910,7.1497
1999-04-07,7.3848,7.4084,6.8815,7.0556
1999-04-08,7.1167,8.0951,6.9286,8.0810
1999-04-09,7.8552,8.9841,7.8082,8.6266
1999-04-12,8.4667,9.1723,8.0575,8.3068
1999-04-13,8.2127,8.7395,8.1327,8.1327
1999-04-14,8.4667,8.4714,7.5730,7.6624
1999-04-15,7.6200,8.5608,7.1732,8.4150
1999-04-16,8.2550,8.4808,7.9963,8.2786
1999-04-19,8.1327,8.1798,7.1497,7.2484
1999-04-20,7.0650,7.7094,6.8815,7.6435
1999-04-21,7.7423,8.0198,7.5965,7.8458
1999-04-22,8.0434,8.2456,7.7329,8.0904
1999-04-23,8.1092,9.5956,7.9963,9.4121
1999-04-26,9.8731,10.2353,9.5533,9.8308
1999-04-27,11.0020,11.0020,9.5486,9.8449
1999-04-28,9.6897,9.6897,9.0123,9.0594
1999-04-29,8.4338,10.1600,8.4338,10.1130
1999-04-30,10.2024,10.4423,9.3604,9.7884
1999-05-03,9.4121,9.5909,8.9371,8.9653
1999-05-04,8.9371,9.4498,8.2786,8.5278
1999-05-05,8.4385,8.7960,7.9023,8.7866
1999-05-06,8.7677,9.1393,8.2315,8.2550
1999-05-07,8.4103,8.7866,8.1374,8.3115
1999-05-10,8.5749,9.2099,8.4667,9.0970
1999-05-11,9.2946,9.4545,9.0688,9.1864
1999-05-12,9.1676,9.4968,8.8383,9.3510
1999-05-13,9.4827,9.7085,8.9841,9.0547
1999-05-14,8.7536,8.9841,8.6690,8.7442
1999-05-17,8.5608,9.3604,8.2362,9.3322
1999-05-18,9.1723,9.3604,8.8900,8.9183
