DATE,OPEN,HIGH,LOW,CLOSE
2000-04-06,1.3917,1.5463,1.3144,1.3144
2000-04-07,1.3917,1.5463,1.3917,1.5463
2000-04-10,1.3144,1.3144,1.2370,1.2370
2000-04-11,1.2370,1.2370,1.2370,1.2370
2000-04-12,1.2463,1.2463,1.2463,1.2463
2000-04-13,1.2463,1.2463,1.2463,1.2463
2000-04-14,1.2463,1.2463,1.2463,1.2463
2000-04-17,1.2463,1.2463,1.2463,1.2463
2000-04-18,1.2463,1.2463,1.2463,1.2463
2000-04-19,1.2463,1.2463,1.2463,1.2463
2000-04-20,1.2463,1.2463,1.2463,1.2463
2000-04-24,1.2463,1.2463,1.2463,1.2463
2000-04-25,1.6035,1.6035,1.6035,1.6035
2000-04-26,1.2370,1.2370,1.2370,1.2370
2000-04-27,1.2370,1.2370,1.2370,1.2370
2000-04-28,1.3144,1.3144,1.3144,1.3144
2000-05-01,1.3144,1.3144,1.3144,1.3144
2000-05-02,1.3144,1.3144,1.3144,1.3144
2000-05-03,1.3144,1.3144,1.3144,1.3144
2000-05-04,1.3144,1.3144,1.3144,1.3144
2000-05-05,1.3144,1.3144,1.3144,1.3144
2000-05-08,1.2757,1.2757,1.2757,1.2757
2000-05-09,1.2757,1.2757,1.2757,1.2757
2000-05-10,1.2757,1.2757,1.2757,1.2757
2000-05-11,1.2571,1.2571,1.2571,1.2571
2000-05-12,1.2571,1.2571,1.2571,1.2571
2000-05-15,1.2571,1.2571,1.2571,1.2571
2000-05-16,1.2571,1.2571,1.2571,1.2571
2000-05-17,1.2571,1.2571,1.2571,1.2571
2000-05-18,1.2757,1.2757,1.2757,1.2757
2000-05-19,1.2757,1.2757,1.2757,1.2757
2000-05-22,1.2757,1.2757,1.2757,1.2757
2000-05-23,1.2757,1.2757,1.2757,1.2757
2000-05-24,1.2571,1.3144,1.2571,1.2958
2000-05-25,1.2757,1.3144,1.2757,1.3144
2000-05-26,1.3144,1.3144,1.3144,1.3144
2000-05-30,1.3144,1.3144,1.3144,1.3144
2000-05-31,1.3345,1.3345,1.3345,1.3345
2000-06-01,1.2958,1.3144,1.2958,1.3144
2000-06-02,1.3144,1.3144,1.3144,1.3144
2000-06-05,1.3144,1.3144,1.3144,1.3144
2000-06-06,1.2958,1.2958,1.2958,1.2958
2000-06-07,1.3144,1.3144,1.3144,1.3144
2000-06-08,1.3345,1.3345,1.3144,1.3144
2000-06-09,1.3144,1.3144,1.3144,1.3144
2000-06-12,1.3144,1.3144,1.3144,1.3144
2000-06-13,1.3144,1.3144,1.3144,1.3144
2000-06-14,1.3144,1.3144,1.3144,1.3144
2000-06-15,1.3144,1.3144,1.3144,1.3144
2000-06-16,1.2958,1.2958,1.2958,1.2958
2000-06-19,1.2958,1.3144,1.2958,1.3144
2000-06-20,1.3144,1.3144,1.3144,1.3144
2000-06-21,1.3144,1.3144,1.3144,1.3144
2000-06-22,1.2757,1.3144,1.2757,1.3144
2000-06-23,1.3144,1.3144,1.3144,1.3144
2000-06-26,1.3144,1.3144,1.3144,1.3144
2000-06-27,1.3144,1.3144,1.3144,1.3144
2000-06-28,1.2850,1.2850,1.2850,1.2850
2000-06-29,1.2850,1.2850,1.2850,1.2850
2000-06-30,1.2850,1.2850,1.2850,1.2850
2000-07-03,1.2850,1.2850,1.2850,1.2850
2000-07-05,1.3345,1.3345,1.3345,1.3345
2000-07-06,1.3345,1.3345,1.3345,1.3345
2000-07-07,1.3345,1.3345,1.3345,1.3345
2000-07-10,1.3345,1.3345,1.3345,1.3345
2000-07-11,1.3345,1.3345,1.3345,1.3345
2000-07-12,1.3917,1.4118,1.3731,1.3917
2000-07-13,1.4118,1.4118,1.3917,1.3917
2000-07-14,1.3917,1.3917,1.3917,1.3917
2000-07-17,1.3917,1.3917,1.3917,1.3917
2000-07-18,1.3917,1.3917,1.3917,1.3917
2000-07-19,1.3530,1.3530,1.3530,1.3530
2000-07-20,1.3530,1.3530,1.3530,1.3530
2000-07-21,1.3530,1.3530,1.3530,1.3530
2000-07-24,1.4690,1.4690,1.4690,1.4690
2000-07-25,1.4690,1.4690,1.4690,1.4690
2000-07-26,1.4118,1.4118,1.4118,1.4118
2000-07-27,1.4118,1.4118,1.4118,1.4118
2000-07-28,1.4118,1.4118,1.4118,1.4118
2000-07-31,1.3345,1.3345,1.3345,1.3345
2000-08-01,1.3731,1.3731,1.3345,1.3345
2000-08-02,1.3252,1.3252,1.3252,1.3252
2000-08-03,1.3252,1.3252,1.3252,1.3252
2000-08-04,1.3252,1.3252,1.3252,1.3252
2000-08-07,1.3252,1.3252,1.3252,1.3252
2000-08-08,1.3454,1.3454,1.3454,1.3454
2000-08-09,1.3454,1.3454,1.3454,1.3454
2000-08-10,1.3454,1.3454,1.3454,1.3454
2000-08-11,1.3454,1.3454,1.3454,1.3454
2000-08-14,1.3454,1.3454,1.3454,1.3454
2000-08-15,1.3454,1.3454,1.3454,1.3454
2000-08-16,1.3454,1.3454,1.3454,1.3454
2000-08-17,1.3642,1.3642,1.3642,1.3642
2000-08-18,1.5201,1.5388,1.5201,1.5232
2000-08-21,1.5232,1.5232,1.5232,1.5232
2000-08-22,1.5232,1.5232,1.5232,1.5232
2000-08-23,1.5232,1.5232,1.5232,1.5232
2000-08-24,1.5232,1.5232,1.5232,1.5232
2000-08-25,1.5232,1.5232,1.5232,1.5232
2000-08-28,1.5232,1.5232,1.5232,1.5232
2000-08-29,1.5590,1.8708,1.5590,1.6760
2000-08-30,1.5980,1.6167,1.5590,1.5590
2000-08-31,1.5590,1.5590,1.5590,1.5590
2000-09-01,1.5590,1.5590,1.5590,1.5590
2000-09-05,1.5590,1.5590,1.5590,1.5590
