DATE,OPEN,HIGH,LOW,CLOSE
1999-07-14,2.4190,2.6004,2.4190,2.6004
1999-07-15,2.5399,2.5399,2.5399,2.5399
1999-07-16,2.5399,2.5399,2.5399,2.5399
1999-07-19,2.5399,2.5399,2.5399,2.5399
1999-07-20,2.5399,2.5399,2.5399,2.5399
1999-07-21,2.5399,2.5399,2.5399,2.5399
1999-07-22,2.5399,2.5399,2.5399,2.5399
1999-07-23,2.5399,2.5399,2.5399,2.5399
1999-07-26,2.5399,2.5399,2.5399,2.5399
1999-07-27,2.5399,2.5399,2.5399,2.5399
1999-07-28,2.5399,2.5399,2.5399,2.5399
1999-07-29,2.5399,2.5399,2.5399,2.5399
1999-07-30,2.5399,2.5399,2.5399,2.5399
1999-08-02,2.5399,2.5399,2.5399,2.5399
1999-08-03,2.5399,2.5399,2.5399,2.5399
1999-08-04,2.5399,2.5399,2.5399,2.5399
1999-08-05,2.5399,2.5399,2.5399,2.5399
1999-08-06,2.5399,2.5399,2.5399,2.5399
1999-08-09,2.5399,2.5399,2.5399,2.5399
1999-08-10,2.5399,2.5399,2.5399,2.5399
1999-08-11,2.5399,2.5399,2.5399,2.5399
1999-08-12,2.5399,2.5399,2.5399,2.5399
1999-08-13,2.4190,2.5399,2.4190,2.5399
1999-08-16,2.5399,2.5399,2.5399,2.5399
1999-08-17,2.7818,2.7818,2.7818,2.7818
1999-08-18,2.6004,2.6004,2.4190,2.4190
1999-08-19,2.5399,2.5399,2.5399,2.5399
1999-08-20,2.4190,2.4190,2.4190,2.4190
1999-08-23,2.4190,2.4190,2.4190,2.4190
1999-08-24,2.4190,2.4190,2.4190,2.4190
1999-08-25,2.4190,2.4190,2.4190,2.4190
1999-08-26,2.5085,2.5085,2.5085,2.5085
1999-08-27,2.5399,2.5399,2.5399,2.5399
1999-08-30,2.5399,2.5399,2.5399,2.5399
1999-08-31,2.5399,2.5399,2.5399,2.5399
1999-09-01,2.5399,2.5399,2.5399,2.5399
1999-09-02,2.5399,2.5399,2.5399,2.5399
1999-09-03,2.5399,2.5399,2.5399,2.5399
1999-09-07,2.5399,2.5399,2.5399,2.5399
1999-09-08,2.5399,2.5399,2.5399,2.5399
1999-09-09,2.5399,2.5399,2.5399,2.5399
1999-09-10,2.5399,2.5399,2.5399,2.5399
1999-09-13,2.5399,2.5399,2.5399,2.5399
1999-09-14,2.5399,2.5399,2.5399,2.5399
1999-09-15,2.5399,2.5399,2.5399,2.5399
1999-09-16,2.5399,2.5399,2.5399,2.5399
1999-09-17,2.5399,2.5399,2.5399,2.5399
1999-09-20,2.5399,2.5399,2.5399,2.5399
1999-09-21,2.5399,2.5399,2.5399,2.5399
1999-09-22,2.5399,2.5399,2.5399,2.5399
1999-09-23,2.5399,2.5399,2.5399,2.5399
1999-09-24,2.5399,2.5399,2.5399,2.5399
1999-09-27,2.5399,2.5399,2.5399,2.5399
1999-09-28,2.5399,2.5399,2.5399,2.5399
1999-09-29,2.5399,2.5399,2.5399,2.5399
1999-09-30,2.5399,2.5399,2.5399,2.5399
1999-10-01,2.5399,2.5399,2.5399,2.5399
1999-10-04,2.5399,2.5399,2.5399,2.5399
1999-10-05,2.5399,2.5399,2.5399,2.5399
1999-10-06,2.5399,2.5399,2.5399,2.5399
1999-10-07,2.5399,2.5399,2.5399,2.5399
1999-10-08,2.4190,2.4190,2.4190,2.4190
1999-10-11,2.4190,2.4190,2.4190,2.4190
1999-10-12,2.4190,2.4190,2.4190,2.4190
1999-10-13,2.4190,2.4190,2.4190,2.4190
1999-10-14,2.5399,2.5399,2.5399,2.5399
1999-10-15,2.5399,2.5399,2.5399,2.5399
1999-10-18,2.4190,2.4190,2.4190,2.4190
1999-10-19,2.5399,2.5399,2.5399,2.5399
1999-10-20,2.5399,2.5399,2.5399,2.5399
1999-10-21,2.4190,2.5399,2.4190,2.5399
1999-10-22,2.5399,2.5399,2.5399,2.5399
1999-10-25,2.4190,2.4190,2.4190,2.4190
1999-10-26,2.4190,2.4190,2.4190,2.4190
1999-10-27,2.4190,2.4190,2.4190,2.4190
1999-10-28,2.4190,2.4190,2.4190,2.4190
1999-10-29,2.4190,2.4190,2.4190,2.4190
1999-11-01,2.4190,2.4190,2.4190,2.4190
1999-11-02,2.5399,2.5399,2.5399,2.5399
1999-11-03,2.5399,2.5399,2.5399,2.5399
1999-11-04,2.6609,2.6609,2.6609,2.6609
1999-11-05,2.6609,2.6609,2.6609,2.6609
1999-11-08,2.6609,2.6609,2.6609,2.6609
1999-11-09,2.6609,2.6609,2.6609,2.6609
1999-11-10,2.5399,2.5399,2.5399,2.5399
1999-11-11,2.5399,2.5399,2.5399,2.5399
1999-11-12,2.5399,2.5399,2.5399,2.5399
1999-11-15,2.5399,2.5399,2.5399,2.5399
1999-11-16,2.5399,2.5399,2.5399,2.5399
1999-11-17,2.5399,2.5399,2.5399,2.5399
1999-11-18,2.5399,2.5399,2.5399,2.5399
1999-11-19,2.5399,2.5399,2.5399,2.5399
1999-11-22,2.5399,2.5399,2.5399,2.5399
1999-11-23,2.5399,2.5399,2.5399,2.5399
1999-11-24,2.5399,2.5399,2.5399,2.5399
1999-11-26,2.5399,2.5399,2.5399,2.5399
1999-11-29,2.5254,2.5254,2.5254,2.5254
1999-11-30,2.5254,2.5254,2.5254,2.5254
1999-12-01,2.5254,2.5254,2.5254,2.5254
1999-12-02,2.4190,2.4190,2.4190,2.4190
1999-12-03,2.4190,2.4190,2.4190,2.4190
1999-12-06,2.4190,2.4190,2.4190,2.4190
1999-12-07,2.5399,2.5399,2.4480,2.4480
1999-12-08,2.5399,2.5399,2.5399,2.5399
1999-12-09,2.5399,2.5399,2.5399,2.5399
1999-12-10,2.5399,2.5399,2.5399,2.5399
1999-12-13,2.5399,2.5399,2.5399,2.5399
1999-12-14,2.5399,2.5399,2.5399,2.5399
1999-12-15,2.4190,2.4190,2.4190,2.4190
1999-12-16,2.4190,2.4190,2.4190,2.4190
1999-12-17,2.4190,2.4190,2.4190,2.4190
1999-12-20,2.4190,2.4190,2.4190,2.4190
1999-12-21,2.4190,2.4190,2.4190,2.4190
1999-12-22,2.5399,2.5399,2.5399,2.5399
1999-12-23,2.5399,2.5399,2.5399,2.5399
1999-12-27,2.5399,2.5399,2.5399,2.5399
1999-12-28,2.5399,2.5399,2.5399,2.5399
1999-12-29,2.5399,2.5399,2.5399,2.5399
1999-12-30,2.5399,2.5399,2.5399,2.5399
1999-12-31,2.5399,2.5399,2.5399,2.5399
2000-01-03,2.5399,2.5399,2.5399,2.5399
2000-01-04,2.5399,2.5399,2.5399,2.5399
2000-01-05,2.5399,2.5399,2.5399,2.5399
2000-01-06,2.5399,2.5399,2.5399,2.5399
2000-01-07,2.5399,2.5399,2.5399,2.5399
2000-01-10,2.5399,2.5399,2.5399,2.5399
2000-01-11,2.5399,2.5399,2.5399,2.5399
