DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-01-05,13.5000,19.0200,12.5500,12.5500,0.007,
2021-01-06,13.4800,13.7500,11.7900,12.7500,0.021,
2021-01-07,13.0200,14.3300,12.8200,13.9300,0.021,
2021-01-08,18.8800,20.0600,13.2501,13.7000,0.102,
2021-01-11,13.2600,14.0000,12.0400,12.6700,0.129,
2021-01-12,12.7500,17.7500,12.7500,13.7800,0.218,
2021-01-13,13.9300,14.4575,13.1050,13.3800,0.101,
2021-01-14,13.6300,14.4800,13.3000,13.6000,0.371,
2021-01-15,13.8800,13.9600,13.1500,13.7900,0.092,
2021-01-19,14.0000,14.4499,13.5700,14.4000,0.078,
2021-01-20,14.3500,14.9900,13.9500,14.3900,0.077,
2021-01-21,14.6800,15.4500,14.1000,14.5000,0.152,
2021-01-22,15.5700,15.5900,14.5000,15.0000,0.167,
2021-01-25,15.0000,15.4788,13.8750,13.9500,0.121,
2021-01-26,14.0500,14.9500,12.7600,13.0400,0.188,
2021-01-27,12.9400,13.2099,12.1500,12.5000,0.243,
2021-01-28,12.3200,13.0699,12.2500,12.6700,0.134,
2021-01-29,12.8900,13.5700,12.3001,13.5700,0.085,
2021-02-01,13.6400,14.4000,13.3000,14.2600,0.071,
2021-02-02,14.5800,14.7800,14.0000,14.7800,0.074,
2021-02-03,15.2500,16.4850,14.7784,15.7500,0.112,
2021-02-04,15.8500,15.8500,15.1800,15.5500,0.034,
2021-02-05,15.5500,16.0000,15.0000,15.9800,0.071,
2021-02-08,16.0000,17.3200,15.6000,16.6700,0.076,
2021-02-09,16.7300,16.8000,15.9900,16.5650,0.031,
2021-02-10,16.3800,17.4700,16.0600,16.1300,0.078,
2021-02-11,15.9300,16.8700,15.5001,15.9500,0.086,
2021-02-12,16.0000,16.8800,15.7200,15.7500,0.223,
2021-02-16,16.0000,17.4000,15.9100,16.0000,0.052,
2021-02-17,16.2500,17.2500,16.0100,16.4500,0.088,
2021-02-18,16.5000,16.8799,15.6101,15.9400,0.044,
2021-02-19,15.9300,16.4700,15.6501,15.7500,0.075,
2021-02-22,20.0000,28.5000,19.0000,20.8000,20.226,
2021-02-23,19.0000,20.9900,17.5300,20.5100,1.443,
2021-02-24,20.4500,21.8599,18.1200,19.9100,0.680,
2021-02-25,19.3000,19.7500,16.4200,16.5600,0.861,
2021-02-26,16.1200,17.4200,15.1600,15.3100,0.506,
2021-03-01,16.5000,19.2600,15.8264,19.1800,1.095,
2021-03-02,19.1800,19.6000,17.5600,18.1400,0.308,
2021-03-03,18.4900,18.4900,16.2800,16.4000,0.361,
2021-03-04,16.4000,16.7100,13.0500,14.8800,0.886,
2021-03-05,14.5500,15.4900,12.7100,14.3900,0.551,
2021-03-08,14.4400,14.9299,13.6200,13.7800,0.831,
2021-03-09,14.0900,14.8500,14.0100,14.1000,0.230,
2021-03-10,14.3900,14.6764,14.0700,14.2200,0.225,
2021-03-11,15.5000,16.7300,14.3000,14.6700,0.979,
2021-03-12,14.5900,15.4500,14.2500,15.3600,0.201,
2021-03-15,15.7000,16.2600,14.9500,16.2600,0.210,
2021-03-16,16.1500,16.1500,15.6090,15.8700,0.130,
2021-03-17,15.2200,15.7300,14.5500,15.1300,0.356,15.223
2021-03-18,14.5800,15.1300,14.5600,15.0700,0.158,15.274
2021-03-19,14.7000,15.2400,14.1250,14.4000,0.347,15.307
2021-03-22,14.4000,14.8200,14.0500,14.2400,0.179,15.313
2021-03-23,14.7500,14.7500,13.5000,13.9900,0.215,15.319
2021-03-24,13.8100,15.0300,13.6700,13.8600,0.397,15.343
2021-03-25,13.3600,13.7200,12.7700,13.5100,0.284,15.337
2021-03-26,13.4000,13.9100,13.3000,13.9100,0.132,15.348
2021-03-29,13.9700,14.0000,13.1600,13.8400,0.167,15.353
2021-03-30,13.4000,13.6000,12.8500,13.1000,0.989,15.339
2021-03-31,13.3800,14.0000,13.1200,13.3100,0.177,15.317
2021-04-01,13.6100,14.3800,13.6100,14.0700,0.162,15.311
2021-04-05,14.0200,14.5000,13.7800,14.2100,0.144,15.305
2021-04-06,13.8900,14.1400,13.3800,13.9700,0.158,15.284
2021-04-07,14.0600,14.4800,13.9100,14.3400,0.109,15.292
2021-04-08,14.1200,17.8700,13.9000,17.4900,0.868,15.381
2021-04-09,17.1700,17.3200,16.0400,17.3200,0.201,15.477
2021-04-12,17.0000,17.1705,16.0000,16.1100,0.192,15.546
2021-04-13,16.1100,16.2200,16.0000,16.0800,0.120,15.596
2021-04-14,16.2500,17.0009,15.0100,15.3900,0.350,15.619
2021-04-15,15.4400,16.0881,14.1100,15.0000,0.511,15.623
2021-04-16,14.8500,14.9475,14.1200,14.1900,0.156,15.592
2021-04-19,14.0000,14.1878,13.2200,14.0000,0.166,15.561
2021-04-20,14.1500,14.3599,12.8800,13.1800,0.355,15.505
2021-04-21,13.1800,13.3800,12.9500,13.2300,0.093,15.436
2021-04-22,13.3000,13.7500,13.1000,13.3100,0.270,15.371
2021-04-23,13.5000,13.7500,13.2500,13.4200,0.054,15.317
2021-04-26,13.3500,14.4100,13.1300,14.1900,0.183,15.282
2021-04-27,14.0600,14.1960,13.1000,13.8000,0.171,15.243
2021-04-28,13.7100,13.7100,13.2100,13.5000,0.110,15.193
2021-04-29,13.7000,13.7200,13.3100,13.3500,0.042,15.131
2021-04-30,13.2600,13.8350,13.2600,13.8100,0.076,15.088
2021-05-03,13.7600,13.7600,13.3400,13.3600,0.075,15.040
2021-05-04,13.3000,13.6600,13.0600,13.6100,0.132,14.897
2021-05-05,13.5000,13.6000,13.0000,13.1300,0.123,14.749
