DATE,OPEN,HIGH,LOW,CLOSE
1989-09-28,2.2198,2.2600,2.2198,2.2579
1989-09-29,2.2823,2.2868,2.2511,2.2600
1989-10-02,2.2443,2.2443,2.2287,2.2400
1989-10-03,2.2600,2.2713,2.2555,2.2713
1989-10-04,2.2779,2.2823,2.2757,2.2779
1989-10-05,2.2800,2.2868,2.2734,2.2779
1989-10-06,2.2689,2.2757,2.2666,2.2689
1989-10-09,2.2713,2.2713,2.2645,2.2689
1989-10-10,2.2800,2.2800,2.2713,2.2734
1989-10-11,2.2622,2.2622,2.2466,2.2511
1989-10-12,2.2400,2.2466,2.2332,2.2377
1989-10-13,2.2421,2.2466,2.1841,2.1864
1989-10-16,2.0903,2.1707,2.0903,2.1707
1989-10-17,2.1439,2.1594,2.1216,2.1507
1989-10-18,2.1528,2.1796,2.1528,2.1773
1989-10-19,2.2421,2.3158,2.2421,2.3115
1989-10-20,2.3136,2.3136,2.3002,2.3002
1989-10-23,2.2600,2.3136,2.2600,2.2936
1989-10-24,2.2936,2.2936,2.2198,2.2466
1989-10-25,2.2534,2.2823,2.2534,2.2823
1989-10-26,2.3002,2.3181,2.2845,2.2957
1989-10-27,2.2823,2.2868,2.2421,2.2555
1989-10-30,2.2645,2.2800,2.2645,2.2800
1989-10-31,2.2689,2.2868,2.2689,2.2800
1989-11-01,2.2868,2.2868,2.2713,2.2800
1989-11-02,2.3181,2.3538,2.3181,2.3538
1989-11-03,2.3047,2.3381,2.3047,2.3202
1989-11-06,2.3158,2.3158,2.2823,2.2913
1989-11-07,2.2823,2.3091,2.2823,2.3070
1989-11-08,2.3225,2.3359,2.3225,2.3270
1989-11-09,2.3359,2.3359,2.3181,2.3181
1989-11-10,2.3359,2.3449,2.3336,2.3449
1989-11-13,2.3293,2.3359,2.3225,2.3359
1989-11-14,2.3091,2.3181,2.2979,2.2979
1989-11-15,2.3181,2.3515,2.3181,2.3427
1989-11-16,2.3158,2.3202,2.2957,2.3024
1989-11-17,2.2555,2.2555,2.2377,2.2400
1989-11-20,2.2600,2.2689,2.2579,2.2579
1989-11-21,2.2579,2.2579,2.2377,2.2443
1989-11-22,2.2332,2.2332,2.2177,2.2221
1989-11-24,2.2421,2.2511,2.2377,2.2511
1989-11-27,2.2600,2.2666,2.2600,2.2666
1989-11-28,2.2645,2.2845,2.2645,2.2823
1989-11-29,2.2891,2.2979,2.2868,2.2868
1989-11-30,2.3091,2.3181,2.3002,2.3158
1989-12-01,2.3047,2.3136,2.3024,2.3136
1989-12-04,2.3136,2.3202,2.3091,2.3202
1989-12-05,2.3202,2.3293,2.3202,2.3293
1989-12-06,2.3427,2.3672,2.3427,2.3651
1989-12-07,2.3606,2.3694,2.3449,2.3449
1989-12-08,2.3895,2.4051,2.3895,2.3940
1989-12-11,2.4119,2.4321,2.4119,2.4321
1989-12-12,2.4678,2.5035,2.4678,2.5035
1989-12-13,2.4857,2.4967,2.4857,2.4944
1989-12-14,2.4610,2.4655,2.4521,2.4610
1989-12-15,2.4678,2.4678,2.4587,2.4678
1989-12-18,2.4297,2.4342,2.4163,2.4253
1989-12-19,2.4610,2.4789,2.4610,2.4765
1989-12-20,2.4723,2.4765,2.4699,2.4765
1989-12-21,2.4678,2.4789,2.4678,2.4789
1989-12-22,2.4655,2.4765,2.4610,2.4655
1989-12-26,2.4765,2.4789,2.4765,2.4789
1989-12-27,2.5012,2.5235,2.5012,2.5146
1989-12-28,2.5593,2.5593,2.5437,2.5503
1989-12-29,2.5637,2.5727,2.5616,2.5659
1990-01-02,2.5703,2.5795,2.5659,2.5795
1990-01-03,2.5861,2.5905,2.5750,2.5795
1990-01-04,2.6486,2.7245,2.6464,2.7201
1990-01-05,2.6888,2.7156,2.6709,2.6954
1990-01-08,2.7022,2.7245,2.6933,2.7245
1990-01-09,2.7245,2.7311,2.7133,2.7156
1990-01-10,2.7245,2.7445,2.6575,2.6731
1990-01-11,2.6933,2.7022,2.6933,2.6977
1990-01-12,2.6799,2.6799,2.6352,2.6352
1990-01-15,2.6486,2.6688,2.6486,2.6597
1990-01-16,2.6129,2.6441,2.5995,2.6441
1990-01-17,2.6552,2.6575,2.6352,2.6352
1990-01-18,2.6239,2.6239,2.6061,2.6152
1990-01-19,2.5995,2.6173,2.5950,2.5950
1990-01-22,2.5995,2.5995,2.5414,2.5414
1990-01-23,2.5727,2.5861,2.5593,2.5703
1990-01-24,2.5682,2.5771,2.5369,2.5771
1990-01-25,2.6486,2.6575,2.6263,2.6263
1990-01-26,2.6933,2.6933,2.6531,2.6709
1990-01-29,2.6888,2.6977,2.6731,2.6799
1990-01-30,2.6888,2.7067,2.6665,2.6665
1990-01-31,2.7156,2.7603,2.7111,2.7603
1990-02-01,2.7826,2.7915,2.7826,2.7871
1990-02-02,2.8228,2.8674,2.8228,2.8585
1990-02-05,2.8585,2.8898,2.8585,2.8875
1990-02-06,2.8808,2.8808,2.8317,2.8317
1990-02-07,2.8406,2.8540,2.8228,2.8451
1990-02-08,2.8451,2.8451,2.8005,2.8139
1990-02-09,2.7915,2.7915,2.6643,2.7603
1990-02-12,2.6754,2.6754,2.6084,2.6107
1990-02-13,2.6084,2.6084,2.5637,2.5995
1990-02-14,2.5995,2.6084,2.5369,2.5414
1990-02-15,2.5369,2.5548,2.4208,2.4476
1990-02-16,2.5548,2.5548,2.4857,2.5280
1990-02-20,2.5437,2.5437,2.4208,2.4431
1990-02-21,2.4521,2.4744,2.4342,2.4744
1990-02-22,2.5057,2.5235,2.4878,2.5101
1990-02-23,2.4789,2.4923,2.4610,2.4878
1990-02-26,2.4833,2.4878,2.4744,2.4878
1990-02-27,2.5191,2.5191,2.4967,2.4989
1990-02-28,2.4923,2.4967,2.4297,2.4521
1990-03-01,2.4163,2.4253,2.3895,2.3895
1990-03-02,2.3895,2.3895,2.3717,2.3738
1990-03-05,2.3829,2.3829,2.3515,2.3515
1990-03-06,2.3315,2.3315,2.3091,2.3225
1990-03-07,2.3336,2.3449,2.3293,2.3404
1990-03-08,2.3785,2.4321,2.3785,2.4321
1990-03-09,2.4565,2.4565,2.4029,2.4029
