DATE,OPEN,HIGH,LOW,CLOSE
2021-07-02,4.3852,5.2000,4.1754,4.4000
2021-07-06,4.7000,4.7800,4.1201,4.2500
2021-07-07,4.2100,4.2100,3.5200,3.7000
2021-07-08,3.3500,3.5800,3.3500,3.3851
2021-07-09,3.5100,3.5100,3.1500,3.1502
2021-07-12,3.3400,3.5000,3.1500,3.1500
2021-07-13,3.3100,3.3100,2.5100,2.9500
2021-07-14,3.1000,3.1000,2.5500,2.6600
2021-07-15,2.7000,3.3600,2.5999,2.8500
2021-07-16,2.8800,2.9750,2.5000,2.5000
2021-07-19,2.4900,2.5899,2.2300,2.4400
2021-07-20,2.6000,3.0706,2.4900,3.0100
2021-07-21,3.0000,3.1300,2.7500,2.9800
2021-07-22,3.1200,3.3500,2.8400,2.8900
2021-07-23,2.9800,2.9800,2.6850,2.7100
2021-07-26,2.6500,2.9900,2.5800,2.5923
2021-07-27,2.8050,2.9000,2.4200,2.5100
2021-07-28,2.5201,2.9000,2.4100,2.8100
2021-07-29,2.8100,2.8800,2.6301,2.8048
2021-07-30,2.7600,2.9199,2.7400,2.7899
2021-08-02,2.6800,2.8000,2.2500,2.3900
2021-08-03,2.3200,2.4200,2.1100,2.2100
2021-08-04,2.2100,2.3500,2.0500,2.1300
2021-08-05,2.2000,2.5900,2.2000,2.4800
2021-08-06,2.8300,2.8300,2.2800,2.4000
2021-08-09,2.8000,2.8400,2.4000,2.6200
2021-08-10,2.6100,2.9500,2.6000,2.6100
2021-08-11,2.6400,2.9600,2.5000,2.6500
2021-08-12,2.6500,2.7650,2.4100,2.6500
2021-08-13,2.6500,2.6500,2.4100,2.4100
2021-08-16,2.4100,2.5000,2.2100,2.2100
