DATE,OPEN,HIGH,LOW,CLOSE
2021-07-19,11.5300,12.6800,10.2200,10.2200
2021-07-20,11.1347,12.0000,11.1347,11.4400
2021-07-21,10.5000,10.5000,10.3900,10.3900
2021-07-22,9.7700,9.8000,8.7900,9.6500
2021-07-23,9.5200,13.4323,8.9600,11.2500
2021-07-26,12.2100,12.5200,10.2200,10.4400
2021-07-27,10.5100,10.5100,10.0100,10.5005
2021-07-28,9.9800,9.9800,9.2200,9.2200
2021-07-29,9.9900,9.9900,9.0200,9.4900
2021-07-30,9.5500,9.5500,9.5400,9.5400
2021-08-02,9.5400,9.5400,9.5400,9.5400
2021-08-03,8.6000,8.8500,8.2800,8.2800
2021-08-04,8.7700,9.4200,8.1000,8.4700
2021-08-05,7.6400,8.3900,7.6400,8.3900
2021-08-06,9.3400,9.3400,8.2800,8.2800
2021-08-09,9.0900,9.3150,8.9800,9.3150
2021-08-10,10.2200,10.7600,10.0100,10.6250
