DATE,OPEN,HIGH,LOW,CLOSE
2021-07-19,0.7000,2.0000,0.7000,1.7200
2021-07-20,1.7300,1.8300,1.6000,1.7400
2021-07-21,1.7400,1.7400,1.5500,1.6000
2021-07-22,1.4000,1.5650,1.3000,1.4500
2021-07-23,1.4600,2.0100,1.2600,1.5399
2021-07-26,1.6200,1.6900,1.3500,1.5000
2021-07-27,1.4700,1.5000,1.2500,1.4500
2021-07-28,1.4000,1.4200,1.3200,1.3700
2021-07-29,1.4400,1.4500,1.2700,1.4000
2021-07-30,1.5400,1.5400,1.3000,1.3800
2021-08-02,1.2600,1.4400,1.2600,1.4400
2021-08-03,1.4400,1.4400,1.2800,1.3800
2021-08-04,1.4300,1.4300,1.2800,1.3700
2021-08-05,1.5400,1.5400,1.3500,1.4400
2021-08-06,1.7500,1.7500,1.3100,1.6000
2021-08-09,1.7500,1.7500,1.3900,1.6900
2021-08-10,1.6500,1.8000,1.6400,1.7800
2021-08-11,1.9800,1.9800,1.7300,1.8600
2021-08-12,1.8850,1.9000,1.8000,1.8800
2021-08-13,1.8246,1.9300,1.6500,1.8500
2021-08-16,1.9400,1.9400,1.5500,1.6200
2021-08-17,1.6200,1.6600,1.4000,1.4000
2021-08-18,1.5150,1.6700,1.5150,1.5700
2021-08-19,1.5800,1.6600,1.5000,1.5300
2021-08-20,1.6300,1.6400,1.4100,1.4200
2021-08-23,1.4500,1.4500,1.1700,1.2500
2021-08-24,1.4400,1.4800,1.1450,1.1900
2021-08-25,1.2019,1.2400,1.0600,1.0700
2021-08-26,1.0900,1.1200,1.0800,1.0900
2021-08-27,1.1600,1.5300,1.1250,1.2200
2021-08-30,1.5166,1.5166,1.1600,1.3450
2021-08-31,1.3300,1.3500,1.1760,1.2714
2021-09-01,1.2200,1.3919,1.2200,1.3500
2021-09-02,1.3100,1.4100,1.3000,1.3500
2021-09-03,1.3600,1.4450,1.2900,1.2900
2021-09-07,1.2900,1.3300,1.2000,1.2500
2021-09-08,1.2500,1.2893,1.1500,1.2200
2021-09-09,1.2800,1.2900,1.0800,1.1100
2021-09-10,1.2700,1.2800,1.1400,1.1500
2021-09-13,1.2200,1.2200,1.1100,1.1600
2021-09-14,1.1600,1.2600,1.1300,1.2300
2021-09-15,1.2400,1.2600,1.1400,1.2400
2021-09-16,1.2400,1.2500,1.1900,1.2450
2021-09-17,1.2700,1.4600,1.2500,1.4500
2021-09-20,1.4800,1.5900,1.4100,1.4500
2021-09-21,1.4550,1.5000,1.3000,1.4200
2021-09-22,1.6800,1.6800,1.3101,1.5900
2021-09-23,1.7500,1.7500,1.4000,1.5800
2021-09-24,1.5900,1.5900,1.3800,1.5000
2021-09-27,1.5900,1.7500,1.5400,1.7500
2021-09-28,1.7500,1.7500,1.5403,1.7000
2021-09-29,1.7500,1.7500,1.4300,1.7500
2021-09-30,1.4200,1.6899,1.4200,1.4300
2021-10-01,1.5800,1.5900,1.3900,1.5900
2021-10-04,1.5900,1.5900,1.2901,1.4400
2021-10-05,1.5600,1.5600,1.3500,1.3500
2021-10-06,1.5800,1.5800,1.2500,1.3400
2021-10-07,1.5600,1.5600,1.3000,1.3500
2021-10-08,1.5900,1.5900,1.2200,1.4100
2021-10-11,1.2300,1.3000,1.1100,1.1600
2021-10-12,1.2500,1.3098,1.0400,1.0900
2021-10-13,1.1900,1.1900,1.0500,1.1000
2021-10-14,1.1000,1.1000,1.0100,1.1000
2021-10-15,1.1000,1.1000,1.0600,1.1000
2021-10-18,1.1000,1.1000,1.0100,1.0400
2021-10-19,1.1000,1.1000,1.0500,1.1000
2021-10-20,1.1000,1.2800,1.1000,1.2300
2021-10-21,1.3300,1.3500,1.2200,1.2600
2021-10-22,1.2000,1.2600,1.1300,1.2200
2021-10-25,1.2900,1.2900,1.1200,1.1800
2021-10-26,1.2000,1.2000,1.0900,1.1200
2021-10-27,1.2100,1.2800,1.1900,1.2350
2021-10-28,1.2200,1.2200,1.2100,1.2101
2021-10-29,1.2300,1.2700,1.0800,1.2200
2021-11-01,1.3700,1.5400,1.2900,1.4500
2021-11-02,1.3800,1.4400,1.3700,1.3700
2021-11-03,1.3649,1.3700,1.2700,1.2800
2021-11-04,1.3401,1.3401,1.2300,1.2500
2021-11-05,1.2900,1.3900,1.2650,1.3800
2021-11-08,1.4500,1.4600,1.4200,1.4200
2021-11-09,1.3500,1.4100,1.3500,1.3900
2021-11-10,1.3000,1.4300,1.3000,1.3700
2021-11-11,1.4700,1.7500,1.4700,1.6600
2021-11-12,1.6100,1.7500,1.6100,1.6900
2021-11-15,1.6000,1.7700,1.4000,1.4900
2021-11-16,1.8900,1.8900,1.4500,1.4600
2021-11-17,1.8800,1.8800,1.3700,1.4200
2021-11-18,1.8800,1.8800,1.2800,1.4100
2021-11-19,1.7500,1.7500,1.2000,1.2400
2021-11-22,1.3000,1.3000,1.2000,1.2700
2021-11-23,1.6000,1.6000,1.2000,1.5500
2021-11-24,1.5300,1.5300,1.2901,1.4500
2021-11-26,1.4400,1.5000,1.3100,1.5000
2021-11-29,1.5300,1.5300,1.3700,1.4100
2021-11-30,1.4000,1.4000,1.1500,1.2000
2021-12-01,1.3500,1.3500,1.1300,1.1400
2021-12-02,1.2800,1.2800,1.0300,1.1200
