DATE,OPEN,HIGH,LOW,CLOSE
1997-05-09,8.0005,8.0005,8.0005,8.0005
1997-05-12,8.0005,8.0005,8.0005,8.0005
1997-05-13,7.8005,7.8672,7.8005,7.8672
1997-05-14,7.8672,7.8672,7.8672,7.8672
1997-05-15,7.8672,7.8672,7.8672,7.8672
1997-05-16,7.8672,7.8672,7.8672,7.8672
1997-05-19,8.5339,8.5339,7.8672,8.0672
1997-05-20,8.0005,8.0005,8.0005,8.0005
1997-05-21,7.7338,7.7338,7.7338,7.7338
1997-05-22,7.7338,7.7338,7.7338,7.7338
1997-05-23,8.5339,8.5339,8.0005,8.0005
1997-05-27,7.8672,8.0005,7.8672,8.0005
1997-05-28,8.0005,8.0005,8.0005,8.0005
1997-05-29,8.0005,8.0005,8.0005,8.0005
1997-05-30,7.8672,8.2352,7.8672,8.2352
1997-06-02,8.2352,8.2352,8.2352,8.2352
1997-06-03,8.2325,8.2325,8.2325,8.2325
1997-06-04,8.3685,8.3685,8.3685,8.3685
1997-06-05,8.3685,8.3685,8.3685,8.3685
1997-06-06,8.5339,8.5339,8.5339,8.5339
1997-06-09,8.4672,8.4672,8.4672,8.4672
1997-06-10,8.5339,8.5339,8.5339,8.5339
1997-06-11,7.8672,8.4352,7.8672,8.4352
1997-06-12,8.3769,8.6472,8.1418,8.1418
1997-06-13,8.1067,8.1067,8.1067,8.1067
1997-06-16,8.1067,8.1067,8.1067,8.1067
1997-06-17,8.2418,8.2418,8.2418,8.2418
1997-06-18,8.3769,8.6472,8.1067,8.6472
1997-06-19,8.3769,8.6472,8.3769,8.5120
1997-06-20,8.3769,8.3769,8.3769,8.3769
1997-06-23,8.1067,8.5796,8.1067,8.5796
1997-06-24,8.7498,8.7498,8.5120,8.5120
1997-06-25,8.9174,8.9174,8.3769,8.3769
1997-06-26,8.3769,8.3769,8.3769,8.3769
1997-06-27,8.6472,8.6472,8.6472,8.6472
1997-06-30,8.9174,8.9174,8.9174,8.9174
1997-07-01,8.5120,8.7823,8.3769,8.6472
1997-07-02,8.6472,8.6472,8.6472,8.6472
1997-07-03,8.6472,8.6472,8.6472,8.6472
1997-07-07,8.6472,8.6472,8.6472,8.6472
1997-07-08,8.6472,8.6472,8.6472,8.6472
1997-07-09,8.9174,8.9174,8.6472,8.9174
1997-07-10,8.7147,8.7147,8.5796,8.7147
1997-07-11,8.7823,8.7823,8.6472,8.7823
1997-07-14,8.9174,8.9174,8.7823,8.7823
1997-07-15,8.8498,8.8498,8.6472,8.6472
1997-07-16,8.6472,8.6472,8.6472,8.6472
1997-07-17,8.5120,8.5120,8.5120,8.5120
1997-07-18,8.5120,8.5120,8.5120,8.5120
1997-07-21,8.5120,8.5120,8.5120,8.5120
1997-07-22,8.9174,8.9174,8.6472,8.7147
1997-07-23,8.5796,8.8498,8.5796,8.8498
1997-07-24,8.8498,8.8498,8.8498,8.8498
1997-07-25,8.8498,8.8498,8.8498,8.8498
1997-07-28,8.8498,8.8498,8.8498,8.8498
1997-07-29,8.9174,9.0525,8.6472,8.8174
