DATE,OPEN,HIGH,LOW,CLOSE
1990-03-26,4.2334,4.2334,4.2334,4.2334
1990-03-27,4.0129,4.1231,4.0129,4.1231
1990-03-28,4.0455,4.0790,4.0129,4.0790
1990-03-29,4.1231,4.1231,4.1231,4.1231
1990-03-30,4.0570,4.0570,4.0570,4.0570
1990-04-02,4.1893,4.1893,3.9688,4.1893
1990-04-03,4.1893,4.1893,4.1452,4.1452
1990-04-04,4.1452,4.1452,3.9688,3.9688
1990-04-05,3.9688,4.1893,3.9688,4.1893
1990-04-06,3.9688,3.9908,3.9688,3.9908
1990-04-09,3.9908,3.9908,3.9908,3.9908
1990-04-10,4.1231,4.1231,4.1011,4.1011
1990-04-11,4.1011,4.1011,4.1011,4.1011
1990-04-12,4.0570,4.1452,4.0570,4.1452
1990-04-16,4.1011,4.1011,4.1011,4.1011
1990-04-17,4.1011,4.1011,4.1011,4.1011
1990-04-18,4.0570,4.1672,3.9688,3.9688
1990-04-19,3.9688,3.9688,3.9688,3.9688
1990-04-20,4.1893,4.1893,4.0570,4.0570
1990-04-23,4.0570,4.0570,4.0570,4.0570
1990-04-24,4.0570,4.0570,4.0570,4.0570
1990-04-25,4.0570,4.0570,4.0570,4.0570
1990-04-26,3.9247,3.9247,3.9247,3.9247
1990-04-27,3.9247,3.9247,3.9247,3.9247
1990-04-30,3.9247,3.9247,3.9247,3.9247
1990-05-01,4.1011,4.1452,3.9688,4.1452
1990-05-02,4.0129,4.1011,3.9247,4.1011
1990-05-03,4.1011,4.1011,4.1011,4.1011
1990-05-04,4.1011,4.1011,4.1011,4.1011
1990-05-07,3.9247,3.9247,3.9247,3.9247
1990-05-08,3.9247,3.9247,3.9247,3.9247
1990-05-09,4.0570,4.0570,4.0570,4.0570
1990-05-10,4.0129,4.1231,3.9247,4.0129
1990-05-11,4.0129,4.0129,4.0129,4.0129
1990-05-14,3.9247,3.9247,3.9247,3.9247
1990-05-15,4.0570,4.0570,3.9247,3.9247
1990-05-16,4.1452,4.1452,3.9247,4.1231
1990-05-17,4.1452,4.1452,4.1452,4.1452
1990-05-18,4.2334,4.2334,4.0570,4.0570
1990-05-21,4.2334,4.2334,4.0570,4.1672
1990-05-22,4.1672,4.1672,4.1011,4.1672
1990-05-23,4.1011,4.1011,3.9908,3.9908
1990-05-24,4.0790,4.1672,4.0790,4.1672
1990-05-25,4.1672,4.1672,4.1672,4.1672
1990-05-29,4.0570,4.0570,4.0570,4.0570
1990-05-30,4.0349,4.0349,4.0349,4.0349
1990-05-31,4.1011,4.1011,4.1011,4.1011
1990-06-01,4.1011,4.1011,4.1011,4.1011
1990-06-04,4.1275,4.1275,4.1275,4.1275
1990-06-05,4.1719,4.1719,4.0831,4.0831
1990-06-06,4.1275,4.1275,4.1275,4.1275
1990-06-07,4.0388,4.0388,4.0388,4.0388
1990-06-08,4.1275,4.1275,4.1275,4.1275
1990-06-11,4.1719,4.1719,4.1719,4.1719
1990-06-12,4.1053,4.1719,4.1053,4.1719
1990-06-13,4.1719,4.1719,4.1719,4.1719
1990-06-14,3.9944,3.9944,3.9056,3.9056
1990-06-15,3.9056,3.9056,3.9056,3.9056
1990-06-18,3.9056,3.9056,3.9056,3.9056
1990-06-19,4.1719,4.1719,4.1719,4.1719
1990-06-20,3.9056,4.1719,3.9056,4.1719
1990-06-21,4.1719,4.1719,4.1719,4.1719
1990-06-22,4.1719,4.1719,4.1719,4.1719
1990-06-25,4.1719,4.1719,4.1719,4.1719
1990-06-26,4.1275,4.1275,3.9722,3.9722
1990-06-27,4.0610,4.0610,4.0610,4.0610
1990-06-28,4.0610,4.0610,4.0610,4.0610
1990-06-29,3.9278,3.9278,3.9278,3.9278
1990-07-02,4.0610,4.0610,4.0610,4.0610
1990-07-03,3.9278,3.9278,3.9278,3.9278
1990-07-05,4.0610,4.0610,3.9278,3.9278
1990-07-06,3.9278,3.9722,3.8834,3.8834
1990-07-09,3.8834,3.8834,3.8834,3.8834
1990-07-10,3.8834,3.9278,3.8719,3.8941
1990-07-11,4.0610,4.0610,4.0610,4.0610
1990-07-12,4.0610,4.0610,3.8169,3.9056
1990-07-13,4.0610,4.0610,4.0610,4.0610
1990-07-16,4.0610,4.0610,3.8169,3.8169
1990-07-17,3.8169,3.8169,3.8169,3.8169
1990-07-18,3.8169,3.9056,3.7725,3.8390
1990-07-19,3.7503,3.8169,3.7503,3.8169
1990-07-20,3.8390,3.8390,3.8390,3.8390
1990-07-23,3.8169,3.8169,3.8169,3.8169
1990-07-24,3.7503,3.8612,3.7503,3.7503
1990-07-25,3.9278,3.9278,3.7059,3.9056
1990-07-26,3.9278,3.9278,3.6615,3.8169
1990-07-27,3.8169,3.8169,3.7281,3.8169
1990-07-30,3.6393,3.6393,3.6393,3.6393
1990-07-31,3.6171,3.8169,3.6171,3.8169
1990-08-01,3.7725,3.7725,3.5728,3.6615
1990-08-02,3.7503,3.7503,3.5506,3.6615
1990-08-03,3.5949,3.5949,3.4840,3.5506
1990-08-06,3.5506,3.5506,3.5506,3.5506
1990-08-07,3.4618,3.6393,3.4618,3.5728
1990-08-08,3.5506,3.6393,3.4618,3.6393
1990-08-09,3.5728,3.6171,3.4618,3.5506
1990-08-10,3.4618,3.5506,3.3730,3.4618
1990-08-13,3.4618,3.4618,3.4618,3.4618
1990-08-14,3.4618,3.4618,3.4618,3.4618
1990-08-15,3.2843,3.2843,3.2843,3.2843
1990-08-16,3.2399,3.3287,3.2177,3.3287
1990-08-17,3.1955,3.2621,3.1955,3.2621
1990-08-20,3.3287,3.3287,3.3287,3.3287
1990-08-21,3.1955,3.2843,3.1955,3.1955
1990-08-22,3.2177,3.2177,3.2177,3.2177
1990-08-23,3.2177,3.2177,3.2177,3.2177
1990-08-24,3.1955,3.1955,3.1955,3.1955
