DATE,OPEN,HIGH,LOW,CLOSE
1995-11-21,1.9736,2.0088,1.9383,2.0046
1995-11-22,2.0271,2.0624,2.0088,2.0441
1995-11-24,2.0441,2.0793,2.0271,2.0441
1995-11-27,2.0271,2.0624,2.0088,2.0173
1995-11-28,2.0088,2.0271,1.9919,1.9919
1995-11-29,2.0116,2.0271,1.9919,2.0173
1995-11-30,2.0173,2.0525,2.0088,2.0441
1995-12-01,2.0441,2.0793,2.0441,2.0624
1995-12-04,2.0793,2.0793,2.0356,2.0624
1995-12-05,2.0271,2.0624,2.0271,2.0624
1995-12-06,2.0624,2.0624,2.0271,2.0525
1995-12-07,2.0441,2.0624,2.0271,2.0271
1995-12-08,2.0271,2.0624,2.0088,2.0328
1995-12-11,2.0624,2.0624,2.0159,2.0525
1995-12-12,2.0271,2.0441,2.0088,2.0271
1995-12-13,2.0441,2.0441,2.0271,2.0271
1995-12-14,2.0441,2.0441,2.0271,2.0441
1995-12-15,2.0441,2.0441,2.0271,2.0441
1995-12-18,2.0441,2.0441,1.9919,2.0004
1995-12-19,1.9919,2.0441,1.9919,1.9919
1995-12-20,2.0441,2.0441,1.9919,2.0271
1995-12-21,2.0271,2.0441,1.9919,2.0088
1995-12-22,2.0441,2.0624,2.0271,2.0624
1995-12-26,2.0441,2.0624,2.0271,2.0624
1995-12-27,2.0624,2.0624,2.0271,2.0624
1995-12-28,2.0624,2.1329,2.0441,2.1145
1995-12-29,2.1329,2.2033,2.1145,2.1681
1996-01-02,2.1850,2.1850,2.0976,2.1315
1996-01-03,2.1145,2.1315,2.0976,2.1315
1996-01-04,2.1850,2.1850,2.0969,2.1322
1996-01-05,2.1145,2.1322,2.0969,2.1322
1996-01-08,2.0976,2.1145,2.0878,2.1145
1996-01-09,2.0976,2.1315,2.0976,2.1315
1996-01-10,2.0969,2.1145,2.0881,2.1145
1996-01-11,2.0969,2.1322,2.0969,2.1322
1996-01-12,2.0793,2.0969,2.0617,2.0969
1996-01-15,2.0793,2.1315,2.0793,2.0793
1996-01-16,2.0793,2.1145,2.0610,2.0793
1996-01-17,2.0793,2.1322,2.0793,2.0793
1996-01-18,2.0793,2.1145,2.0617,2.0793
1996-01-19,2.0617,2.1145,2.0617,2.0969
1996-01-22,2.0976,2.1145,2.0793,2.1145
1996-01-23,2.1145,2.1315,2.0976,2.1061
1996-01-24,2.0969,2.1145,2.0793,2.1145
1996-01-25,2.1145,2.1322,2.0969,2.1057
1996-01-26,2.1145,2.1145,2.0969,2.0969
1996-01-29,2.0976,2.1145,2.0793,2.0878
1996-01-30,2.0793,2.1145,2.0793,2.0976
1996-01-31,2.0969,2.1145,2.0793,2.0881
1996-02-01,2.0793,2.1145,2.0793,2.0969
1996-02-02,2.0793,2.1145,2.0793,2.1057
1996-02-05,2.1410,2.1674,2.1322,2.1674
1996-02-06,2.1322,2.1674,2.1322,2.1498
1996-02-07,2.1498,2.1850,2.1498,2.1674
1996-02-08,2.1850,2.1850,2.1322,2.1498
1996-02-09,2.1674,2.1850,2.1322,2.1762
1996-02-12,2.1850,2.1850,2.1498,2.1674
1996-02-13,2.1674,2.1850,2.1498,2.1850
1996-02-14,2.1850,2.1850,2.1498,2.1850
1996-02-15,2.1850,2.2026,2.1564,2.1762
1996-02-16,2.2026,2.2026,2.1498,2.1850
1996-02-20,2.1498,2.1850,2.1498,2.1850
1996-02-21,2.1850,2.1850,2.1145,2.1145
1996-02-22,2.1145,2.1498,2.1145,2.1145
1996-02-23,2.1145,2.1322,2.0969,2.1145
1996-02-26,2.1145,2.1322,2.0969,2.1322
1996-02-27,2.0969,2.1322,2.0969,2.1057
1996-02-28,2.1057,2.1322,2.0969,2.1057
1996-02-29,2.1322,2.1322,2.0793,2.1322
1996-03-01,2.1315,2.1315,2.0793,2.1145
1996-03-04,2.1145,2.1498,2.0793,2.1145
1996-03-05,2.1315,2.1498,2.0976,2.1315
1996-03-06,2.1145,2.1498,2.0793,2.1145
1996-03-07,2.1322,2.1498,2.0969,2.1322
1996-03-08,2.1498,2.1674,2.1322,2.1498
1996-03-11,2.0441,2.1145,2.0271,2.1145
1996-03-12,2.1145,2.1145,2.0793,2.0793
1996-03-13,2.0441,2.1145,2.0264,2.1145
1996-03-14,2.1145,2.1145,2.0793,2.0793
1996-03-15,2.1145,2.1322,2.0793,2.0969
1996-03-18,2.1145,2.1315,2.0976,2.1230
1996-03-19,2.1315,2.1498,2.0976,2.1315
1996-03-20,2.1145,2.1322,2.0969,2.1233
1996-03-21,2.1322,2.1498,2.0969,2.1322
1996-03-22,2.1145,2.1322,2.0969,2.1145
1996-03-25,2.1315,2.1315,2.1145,2.1315
1996-03-26,2.1315,2.1315,2.0976,2.1315
1996-03-27,2.1322,2.1322,2.1145,2.1322
1996-03-28,2.1322,2.1322,2.0969,2.1322
1996-03-29,2.1322,2.1322,2.0969,2.1322
1996-04-01,2.1145,2.1498,2.1145,2.1315
1996-04-02,2.1145,2.1498,2.1145,2.1322
1996-04-03,2.1498,2.1498,2.1145,2.1322
