DATE,OPEN,HIGH,LOW,CLOSE
1996-03-11,7.0389,7.1334,6.9953,7.1334
1996-03-12,7.0861,7.1770,6.9517,7.1770
1996-03-13,7.1770,7.2678,7.1334,7.2678
1996-03-14,7.2206,7.2678,7.1770,7.2206
1996-03-15,7.2206,7.2678,7.1770,7.2206
1996-03-18,7.2206,7.3587,7.2206,7.3587
1996-03-19,7.3587,7.4059,7.3114,7.3587
1996-03-20,7.3114,7.4059,7.2678,7.3587
1996-03-21,7.4059,7.5404,7.3587,7.4931
1996-03-22,7.4931,7.5404,7.4495,7.5404
1996-03-25,7.4931,7.6312,7.4931,7.6312
1996-03-26,7.5876,7.5876,7.4931,7.4931
1996-03-27,7.5404,7.5404,7.4931,7.4931
1996-03-28,7.4059,7.4059,7.3587,7.4059
1996-03-29,7.3587,7.4059,7.3587,7.3587
1996-04-01,7.4059,7.5404,7.4059,7.5404
1996-04-02,7.4931,7.5876,7.4495,7.5404
1996-04-03,7.4495,7.4931,7.2678,7.3587
1996-04-04,7.2678,7.3114,7.1334,7.1770
1996-04-08,6.9517,7.0389,6.9044,7.0389
1996-04-09,7.2206,7.2206,7.0389,7.1334
1996-04-10,7.0861,7.0861,6.9044,6.9517
1996-04-11,7.0389,7.0861,6.9517,6.9953
1996-04-12,6.9953,6.9953,6.9044,6.9044
1996-04-15,6.9044,7.0389,6.9044,6.9517
1996-04-16,6.9517,6.9517,6.8572,6.9517
1996-04-17,6.9953,7.0861,6.9953,7.0389
1996-04-18,7.0389,7.3587,7.0389,7.1770
1996-04-19,7.2206,7.2206,7.0861,7.1770
1996-04-22,7.1770,7.2206,7.0861,7.1334
1996-04-23,7.1770,7.4495,7.1334,7.3587
1996-04-24,7.4059,7.4495,7.3587,7.4495
1996-04-25,7.4495,7.4931,7.4495,7.4495
1996-04-26,7.4495,7.5404,7.4495,7.5404
1996-04-29,7.4495,7.4931,7.4059,7.4059
1996-04-30,7.4495,7.4495,7.4059,7.4059
1996-05-01,7.4059,7.4059,7.3587,7.4059
1996-05-02,7.3587,7.3587,7.2678,7.3587
1996-05-03,7.3114,7.3587,7.2206,7.2206
1996-05-06,7.2678,7.3114,7.2206,7.3114
1996-05-07,7.3114,7.3587,7.1770,7.2206
1996-05-08,7.1334,7.1334,6.8572,7.0389
1996-05-09,6.9953,6.9953,6.9044,6.9517
1996-05-10,6.9953,6.9953,6.9044,6.9044
1996-05-13,6.9517,7.0389,6.9044,7.0389
1996-05-14,7.0389,7.0389,6.9044,6.9517
1996-05-15,6.9044,6.9044,6.7663,6.7663
1996-05-16,6.8136,6.8572,6.7663,6.8136
1996-05-17,6.8136,6.9517,6.7227,6.9517
1996-05-20,6.9044,6.9517,6.8572,6.9044
1996-05-21,6.8572,6.9044,6.8136,6.8136
1996-05-22,6.7663,6.8572,6.7663,6.8572
1996-05-23,6.8136,6.9953,6.8136,6.9044
1996-05-24,6.9044,6.9517,6.8572,6.9517
1996-05-28,6.9517,6.9953,6.9044,6.9517
1996-05-29,6.9517,7.0389,6.9517,7.0389
1996-05-30,7.0389,7.0389,6.9517,7.0389
1996-05-31,7.0389,7.0861,6.9953,7.0389
1996-06-03,6.9517,6.9517,6.8572,6.9517
1996-06-04,6.9517,6.9953,6.9044,6.9044
1996-06-05,6.9044,6.9953,6.8572,6.9517
1996-06-06,6.9044,6.9044,6.8572,6.8572
1996-06-07,6.8136,6.8572,6.7663,6.8136
1996-06-10,6.8136,6.8572,6.8136,6.8136
1996-06-11,6.7663,6.8136,6.6319,6.6319
1996-06-12,6.6791,6.8136,6.6791,6.7227
1996-06-13,6.7227,6.7663,6.6791,6.7227
1996-06-14,6.7663,6.8136,6.7227,6.8136
1996-06-17,6.8136,6.9953,6.8136,6.9953
1996-06-18,7.0389,7.1770,7.0389,7.1334
1996-06-19,7.1334,7.1770,7.0861,7.1770
1996-06-20,7.1770,7.1770,7.0861,7.1770
1996-06-21,7.1334,7.1770,7.0861,7.1334
1996-06-24,7.0861,7.1770,7.0861,7.1770
1996-06-25,7.1770,7.2206,7.1334,7.1770
1996-06-26,7.1770,7.1770,7.0861,7.0861
1996-06-27,7.0861,7.1334,7.0389,7.1334
1996-06-28,7.1334,7.3114,7.1334,7.3114
1996-07-01,7.2678,7.3114,7.1334,7.1770
1996-07-02,7.2206,7.2206,7.1334,7.1988
