DATE,OPEN,HIGH,LOW,CLOSE
2019-11-18,11.1714,12.4753,11.1714,12.4753
2019-11-19,12.0730,12.2534,12.0730,12.1516
2019-11-20,12.0222,12.0222,11.7447,11.8372
2019-11-21,11.5389,12.0568,11.5389,12.0568
2019-11-22,11.7632,11.7632,11.7632,11.7632
2019-11-25,11.7817,12.5678,11.6366,12.4846
2019-11-26,11.8372,12.7158,11.8372,12.7158
2019-11-27,12.7435,12.9377,12.3429,12.9377
2019-11-29,12.8118,12.9285,12.8118,12.8442
2019-12-02,12.8082,12.9470,12.7158,12.9007
2019-12-03,11.7474,12.9470,11.7474,12.9470
2019-12-04,13.1966,13.1966,12.7806,13.1412
2019-12-05,13.5484,13.5484,13.4825,13.5296
2019-12-06,13.5578,13.8749,13.1720,13.5437
2019-12-09,13.3851,13.6489,13.3851,13.5484
2019-12-10,13.2379,14.1035,13.2003,13.6472
2019-12-11,13.7742,13.9883,13.6331,13.8448
2019-12-12,13.8401,16.2769,13.7083,16.2769
2019-12-13,16.2769,24.2742,16.2769,24.2742
2019-12-16,23.4462,25.8642,20.3227,22.3454
2019-12-17,22.0300,23.0511,18.9677,19.7581
2019-12-18,18.9207,19.7581,18.0081,18.3468
2019-12-19,18.8266,21.1599,17.7775,18.8078
2019-12-20,18.7231,20.7648,17.2177,17.9610
2019-12-23,19.2500,20.2285,18.5914,18.5914
2019-12-24,20.3132,20.8953,19.6405,20.6989
2019-12-26,21.1693,23.2769,20.3392,23.0417
2019-12-27,23.5121,23.5215,22.6465,22.7030
2019-12-30,23.5027,23.5027,20.7554,21.4046
2019-12-31,21.2070,21.8938,21.2070,21.8280
2020-01-02,22.0067,22.9664,21.9007,22.9382
2020-01-03,22.2984,22.7344,20.8506,21.6398
2020-01-06,21.7433,22.9758,21.7150,22.2607
2020-01-07,22.2043,22.4395,20.8306,21.1505
2020-01-08,21.0470,21.5175,20.2708,20.4355
2020-01-09,20.4261,21.0468,20.4261,20.6989
2020-01-10,20.6989,21.0517,20.3085,20.8400
2020-01-13,21.0564,21.0564,19.8427,19.8427
2020-01-14,19.9255,20.2839,18.9254,19.1465
2020-01-15,18.8737,20.1030,18.8737,19.3817
2020-01-16,19.5840,21.3952,19.1070,20.9247
2020-01-17,20.5390,22.2702,20.3819,21.6304
2020-01-21,21.9879,22.4960,20.2219,22.1290
2020-01-22,21.5833,22.4395,21.3952,22.4395
2020-01-23,22.2372,22.2372,19.5228,20.0027
2020-01-24,20.3132,20.3132,19.3535,20.0027
2020-01-27,18.8737,20.0780,18.8172,19.4946
2020-01-28,19.2970,20.6754,18.9301,20.3226
2020-01-29,19.7581,21.1223,19.1026,20.6895
2020-01-30,20.1250,21.1693,20.0598,20.8965
2020-01-31,21.3763,21.3763,20.3226,20.8024
2020-02-03,20.1212,21.4046,19.5323,20.9294
2020-02-04,21.1505,21.2352,20.9153,21.1599
2020-02-05,19.4843,21.5128,19.4843,21.1129
2020-02-06,21.1693,21.6021,20.2849,21.6021
2020-02-07,21.4892,22.0538,20.9387,21.7527
2020-02-10,21.7433,22.3125,21.7433,22.0914
2020-02-11,22.2043,22.3078,22.0228,22.1102
2020-02-12,22.2984,22.2984,21.6423,22.1102
2020-02-13,22.0443,22.1102,21.7715,22.0726
2020-02-14,22.0349,23.5215,21.8750,23.3427
2020-02-18,23.3051,23.5121,22.1196,23.0417
2020-02-19,23.0887,23.0887,22.1290,22.3078
2020-02-20,22.3454,22.6841,22.3454,22.5336
2020-02-21,22.4960,23.5215,22.4630,22.5242
2020-02-24,22.2043,22.3925,21.0753,22.1573
2020-02-25,22.1573,22.1573,20.1457,21.2164
2020-02-26,21.3481,21.3481,20.1034,20.3320
2020-02-27,19.7675,21.0282,18.9301,20.4731
2020-02-28,20.4731,21.8280,19.9556,21.8280
2020-03-02,21.4516,23.3521,20.9624,22.9005
2020-03-03,22.9099,23.5215,22.8159,22.9005
2020-03-04,23.3992,23.5215,22.6653,23.3804
2020-03-05,23.0605,23.5121,22.5807,23.3333
2020-03-06,22.8253,23.1452,22.6371,23.1357
2020-03-09,22.1008,22.1008,19.8146,20.0780
2020-03-10,20.6105,21.5269,19.8333,20.1532
2020-03-11,19.7675,19.9462,15.2419,17.7823
2020-03-12,16.4839,16.6485,14.1035,14.4610
2020-03-13,15.4489,15.4489,13.8683,15.0632
2020-03-16,13.6425,14.1599,13.1814,14.1599
2020-03-17,13.6237,13.6472,11.2903,11.7419
2020-03-18,11.4314,12.0148,6.4825,7.4516
2020-03-19,7.4516,13.1532,5.8710,6.4073
2020-03-20,6.7930,7.9973,5.4099,6.0874
2020-03-23,6.5860,8.6768,6.1156,7.8280
2020-03-24,8.6557,10.0202,8.6557,10.0202
