DATE,OPEN,HIGH,LOW,CLOSE
1993-05-21,3.3175,3.6018,3.3175,3.4947
1993-05-24,3.4597,3.6018,3.4597,3.6018
1993-05-25,3.6966,3.6966,3.4123,3.5071
1993-05-26,3.6966,3.6966,3.6966,3.6966
1993-05-27,3.5071,3.5071,3.5071,3.5071
1993-05-28,3.5071,3.5071,3.5071,3.5071
1993-06-01,3.6966,3.6966,3.6966,3.6966
1993-06-02,3.7914,3.7914,3.6018,3.6018
1993-06-03,3.8862,3.9810,3.8862,3.9810
1993-06-04,3.9810,3.9810,3.9810,3.9810
1993-06-07,3.9810,3.9810,3.9810,3.9810
1993-06-08,3.9810,3.9810,3.9810,3.9810
1993-06-09,3.9810,3.9810,3.9810,3.9810
1993-06-10,3.9810,3.9810,3.7914,3.7914
1993-06-11,4.0758,4.0758,4.0758,4.0758
1993-06-14,4.0758,4.0758,4.0758,4.0758
1993-06-15,4.0758,4.0758,4.0758,4.0758
1993-06-16,4.0758,4.0758,4.0758,4.0758
1993-06-17,4.0758,4.0758,4.0758,4.0758
1993-06-18,4.0758,4.0758,4.0758,4.0758
1993-06-21,4.0758,4.0758,4.0758,4.0758
1993-06-22,3.7914,3.7914,3.7914,3.7914
1993-06-23,3.7914,3.7914,3.7914,3.7914
1993-06-24,3.7914,3.7914,3.7914,3.7914
1993-06-25,3.7914,3.7914,3.7914,3.7914
1993-06-28,3.7914,3.9336,3.7914,3.9336
1993-06-29,3.9336,3.9336,3.9336,3.9336
1993-06-30,3.9336,3.9336,3.9336,3.9336
1993-07-01,3.9336,3.9336,3.9336,3.9336
1993-07-02,3.8862,3.9810,3.8862,3.9810
1993-07-06,3.9810,3.9810,3.9810,3.9810
1993-07-07,3.9810,3.9810,3.9810,3.9810
1993-07-08,3.9810,3.9810,3.9810,3.9810
1993-07-09,3.8862,3.9810,3.8862,3.9810
1993-07-12,3.8862,4.0758,3.8862,4.0758
1993-07-13,4.0758,4.0758,4.0758,4.0758
1993-07-14,4.0758,4.0758,4.0758,4.0758
1993-07-15,4.0758,4.0758,4.0758,4.0758
1993-07-16,3.9336,4.0758,3.9336,4.0758
1993-07-19,4.0758,4.0758,4.0758,4.0758
1993-07-20,3.8862,4.1706,3.8862,4.1706
1993-07-21,4.1943,4.1943,4.1943,4.1943
1993-07-22,4.1943,4.1943,4.1943,4.1943
1993-07-23,4.1943,4.1943,4.1943,4.1943
1993-07-26,4.1943,4.1943,4.1943,4.1943
1993-07-27,4.2896,4.2896,4.2896,4.2896
1993-07-28,4.2896,4.2896,4.2896,4.2896
1993-07-29,4.2896,4.2896,4.2896,4.2896
1993-07-30,4.0036,4.0036,4.0036,4.0036
1993-08-02,4.0036,4.0036,4.0036,4.0036
1993-08-03,4.0036,4.0036,4.0036,4.0036
1993-08-04,4.3849,4.3849,4.3849,4.3849
1993-08-05,4.3849,4.3849,4.3849,4.3849
1993-08-06,4.3849,4.3849,4.3849,4.3849
1993-08-09,4.0036,4.2419,4.0036,4.2419
