DATE,OPEN,HIGH,LOW,CLOSE
1999-06-30,1.1951,1.1951,1.1951,1.1951
1999-07-01,1.1951,1.1951,1.1951,1.1951
1999-07-02,1.1951,1.1951,1.1951,1.1951
1999-07-06,1.1796,1.1951,1.1796,1.1951
1999-07-07,1.1305,1.1305,1.1305,1.1305
1999-07-08,1.1305,1.1305,1.1305,1.1305
1999-07-09,1.2274,1.2274,1.2274,1.2274
1999-07-12,1.1382,1.2274,1.1382,1.2274
1999-07-13,1.2196,1.2196,1.2196,1.2196
1999-07-14,1.2274,1.2274,1.2274,1.2274
1999-07-15,1.2274,1.2274,1.2274,1.2274
1999-07-16,1.1951,1.1951,1.1951,1.1951
1999-07-19,1.2274,1.2274,1.2274,1.2274
1999-07-20,1.2274,1.2274,1.2274,1.2274
1999-07-21,1.2274,1.2274,1.2274,1.2274
1999-07-22,1.1137,1.1137,1.1137,1.1137
1999-07-23,1.1137,1.1137,1.1137,1.1137
1999-07-26,1.1628,1.1628,1.0659,1.1305
1999-07-27,1.1305,1.1305,1.1305,1.1305
1999-07-28,1.1305,1.1305,1.1305,1.1305
1999-07-29,1.1305,1.1305,1.1305,1.1305
1999-07-30,1.1305,1.1305,1.1305,1.1305
1999-08-02,1.1628,1.1628,1.1628,1.1628
1999-08-03,1.1628,1.1628,1.1628,1.1628
1999-08-04,1.1783,1.1783,1.1783,1.1783
1999-08-05,1.1783,1.1783,1.1783,1.1783
1999-08-06,1.1628,1.1783,1.1628,1.1783
1999-08-09,1.1783,1.1783,1.1783,1.1783
1999-08-10,1.1783,1.1783,1.1783,1.1783
1999-08-11,1.1783,1.1783,1.1783,1.1783
1999-08-12,1.1783,1.1783,1.1783,1.1783
1999-08-13,1.1783,1.1783,1.1783,1.1783
1999-08-16,1.1783,1.1783,1.1783,1.1783
1999-08-17,1.1783,1.1783,1.1783,1.1783
1999-08-18,1.1473,1.2842,1.1473,1.2842
1999-08-19,1.1628,1.1951,1.1628,1.1628
1999-08-20,1.1628,1.1628,1.1628,1.1628
1999-08-23,1.1783,1.2429,1.1783,1.2429
1999-08-24,1.2597,1.3889,1.2597,1.3566
1999-08-25,1.3889,1.3889,1.3243,1.3566
1999-08-26,1.3721,1.3721,1.3411,1.3411
1999-08-27,1.2765,1.3243,1.2765,1.3243
1999-08-30,1.3243,1.3243,1.3243,1.3243
1999-08-31,1.3411,1.3411,1.3411,1.3411
1999-09-01,1.3411,1.3566,1.3075,1.3566
1999-09-02,1.3411,1.3566,1.3075,1.3075
1999-09-03,1.3075,1.3075,1.3075,1.3075
1999-09-07,1.2765,1.2765,1.2765,1.2765
1999-09-08,1.2765,1.2920,1.2765,1.2920
1999-09-09,1.3243,1.3243,1.3243,1.3243
1999-09-10,1.3243,1.3243,1.3243,1.3243
1999-09-13,1.3243,1.3243,1.2765,1.3243
1999-09-14,1.3243,1.3243,1.3243,1.3243
1999-09-15,1.3075,1.3075,1.2920,1.2920
1999-09-16,1.2765,1.3075,1.2765,1.2920
1999-09-17,1.3075,1.3075,1.3075,1.3075
1999-09-20,1.2920,1.2920,1.2920,1.2920
1999-09-21,1.2765,1.3243,1.2765,1.3243
1999-09-22,1.3165,1.3165,1.2920,1.2920
1999-09-23,1.2920,1.2920,1.2920,1.2920
1999-09-24,1.3075,1.3075,1.3075,1.3075
1999-09-27,1.3075,1.3075,1.3075,1.3075
1999-09-28,1.3165,1.3165,1.2765,1.2765
1999-09-29,1.3165,1.3243,1.2765,1.2765
1999-09-30,1.3075,1.3075,1.3075,1.3075
1999-10-01,1.3075,1.3075,1.3075,1.3075
1999-10-04,1.3243,1.3243,1.3165,1.3243
1999-10-05,1.3243,1.3243,1.3243,1.3243
1999-10-06,1.3243,1.3243,1.3243,1.3243
1999-10-07,1.3243,1.3243,1.3243,1.3243
1999-10-08,1.3243,1.3243,1.3243,1.3243
1999-10-11,1.3243,1.3243,1.3243,1.3243
1999-10-12,1.3243,1.3243,1.3243,1.3243
1999-10-13,1.3243,1.3243,1.3243,1.3243
1999-10-14,1.3243,1.3243,1.3243,1.3243
1999-10-15,1.3243,1.3243,1.3243,1.3243
1999-10-18,1.3075,1.3075,1.0827,1.1473
1999-10-19,1.2597,1.2597,1.1473,1.1473
1999-10-20,1.2119,1.2597,1.1783,1.2597
1999-10-21,1.1473,1.1550,1.1137,1.1137
1999-10-22,1.1137,1.1137,1.1137,1.1137
1999-10-25,1.1137,1.1137,1.1137,1.1137
1999-10-26,1.1305,1.1473,1.1305,1.1473
1999-10-27,1.1473,1.2429,1.1473,1.2429
1999-10-28,1.2429,1.2429,1.2429,1.2429
1999-10-29,1.1473,1.1473,1.1473,1.1473
1999-11-01,1.2429,1.2429,1.2429,1.2429
1999-11-02,1.2274,1.2274,1.2274,1.2274
1999-11-03,1.1783,1.1783,1.1628,1.1628
1999-11-04,1.1628,1.1628,1.1628,1.1628
1999-11-05,1.1628,1.1628,1.1628,1.1628
1999-11-08,1.1628,1.1628,1.1628,1.1628
1999-11-09,1.1783,1.1783,1.1783,1.1783
1999-11-10,1.1783,1.1783,1.1783,1.1783
1999-11-11,1.1783,1.1783,1.1783,1.1783
1999-11-12,1.1783,1.1783,1.1783,1.1783
1999-11-15,1.1628,1.1628,1.1628,1.1628
1999-11-16,1.1628,1.1628,1.1628,1.1628
1999-11-17,1.1783,1.1783,1.1628,1.1628
1999-11-18,1.1628,1.1783,1.1628,1.1783
1999-11-19,1.1783,1.1951,1.1783,1.1783
1999-11-22,1.2274,1.2274,1.2274,1.2274
1999-11-23,1.1783,1.2274,1.1783,1.2274
1999-11-24,1.2274,1.2274,1.2274,1.2274
1999-11-26,1.2274,1.2274,1.2274,1.2274
1999-11-29,1.2274,1.2274,1.2274,1.2274
1999-11-30,1.1783,1.1951,1.1783,1.1951
1999-12-01,1.1951,1.1951,1.1951,1.1951
1999-12-02,1.1951,1.1951,1.1951,1.1951
1999-12-03,1.1951,1.1951,1.1951,1.1951
1999-12-06,1.1783,1.1783,1.1783,1.1783
1999-12-07,1.1783,1.1783,1.1783,1.1783
1999-12-08,1.1783,1.1783,1.1783,1.1783
1999-12-09,1.1783,1.1783,1.1783,1.1783
1999-12-10,1.1783,1.1783,1.1783,1.1783
1999-12-13,1.1783,1.1783,1.1783,1.1783
1999-12-14,1.1783,1.1783,1.1783,1.1783
1999-12-15,1.2196,1.2196,1.1783,1.1783
1999-12-16,1.1783,1.1783,1.1783,1.1783
1999-12-17,1.1783,1.1783,1.1783,1.1783
1999-12-20,1.1473,1.1473,1.1473,1.1473
1999-12-21,1.1550,1.1628,1.1059,1.1473
1999-12-22,1.1227,1.1227,1.1227,1.1227
1999-12-23,1.1227,1.1227,1.1227,1.1227
1999-12-27,1.1305,1.1305,1.1227,1.1227
1999-12-28,1.1227,1.1227,1.1227,1.1227
1999-12-29,1.1227,1.1227,1.1227,1.1227
1999-12-30,1.1227,1.1227,1.1227,1.1227
1999-12-31,1.1227,1.1227,1.1227,1.1227
2000-01-03,1.1227,1.1227,1.1227,1.1227
2000-01-04,1.1227,1.1382,1.1227,1.1382
2000-01-05,1.1227,1.1227,1.1227,1.1227
2000-01-06,1.1227,1.1227,1.1227,1.1227
2000-01-07,1.1227,1.1227,1.1227,1.1227
2000-01-10,1.1628,1.1628,1.1550,1.1550
2000-01-11,1.1550,1.1550,1.1550,1.1550
