DATE,OPEN,HIGH,LOW,CLOSE
2017-05-10,24.4534,26.8172,24.2496,24.5757
2017-05-11,24.6490,25.2114,24.5349,25.0240
2017-05-12,24.5430,25.3500,24.4615,25.2685
2017-05-15,25.1625,25.2685,25.0810,25.2522
2017-05-16,25.2440,25.3908,24.9331,25.3419
2017-05-17,25.1462,25.2685,24.5430,25.0647
2017-05-18,25.0647,25.2685,24.5512,25.0566
2017-05-19,24.7468,25.2685,24.7468,25.0647
2017-05-22,25.0647,26.1977,24.8691,25.7902
2017-05-23,25.6761,25.6761,25.1462,25.2685
2017-05-24,25.2685,25.9613,24.8609,25.2685
2017-05-25,25.2685,25.4071,25.0647,25.2848
2017-05-26,25.2685,25.5130,25.0732,25.2930
2017-05-30,25.2685,26.0673,25.0771,25.3582
2017-05-31,25.4967,27.5595,25.4723,26.6949
2017-06-01,26.6949,27.5101,26.5727,27.3470
2017-06-02,27.1514,27.4856,26.6297,27.2248
2017-06-05,26.4260,28.0236,26.4260,27.0862
2017-06-06,27.1188,27.3063,26.7341,27.1759
2017-06-07,27.2248,29.6538,27.0210,28.5493
2017-06-08,27.7627,28.6552,27.4204,27.9421
2017-06-09,28.3415,28.5290,28.2029,28.4067
2017-06-12,28.2763,28.3414,26.1489,27.2818
2017-06-13,27.1514,27.9910,26.3281,27.4285
2017-06-14,27.3715,28.1662,26.8335,27.2248
2017-06-15,27.0047,27.4367,26.7276,26.8906
2017-06-16,27.1351,27.4612,25.7983,25.8228
2017-06-19,25.9124,26.4626,24.5879,24.8283
2017-06-20,24.6653,25.4315,24.1433,24.4534
2017-06-21,25.0647,25.0647,24.3230,24.6979
2017-06-22,24.6572,24.6898,24.4208,24.4289
2017-06-23,24.5267,24.6816,24.3963,24.4615
2017-06-26,24.5186,25.6679,24.4941,25.1381
2017-06-27,25.1136,27.1188,24.8202,25.8146
2017-06-28,25.8276,26.7196,25.1156,26.6623
2017-06-29,26.9979,27.4725,25.7949,26.2041
2017-06-30,26.0404,26.6542,25.6230,26.1468
2017-07-03,25.8031,26.5969,25.5657,26.1631
2017-07-05,26.3268,26.6296,25.9995,26.6296
2017-07-06,26.2695,26.5216,25.8890,25.9422
2017-07-07,25.9340,26.5641,25.9340,26.4659
2017-07-10,26.0813,27.1370,25.9585,25.9585
2017-07-11,26.1304,26.5805,25.7785,26.2368
2017-07-12,26.3841,26.3841,25.6148,25.8358
2017-07-13,25.6885,26.3186,25.4839,26.0076
2017-07-14,25.7867,25.7867,25.2138,25.4839
2017-07-17,25.3202,25.3202,24.9601,25.1729
2017-07-18,25.1074,25.7867,25.0502,25.3039
2017-07-19,25.5494,25.5494,25.1205,25.1893
2017-07-20,25.0420,25.9970,25.0420,25.8603
2017-07-21,25.9258,25.9258,25.0420,25.3202
2017-07-24,25.3857,26.1795,25.3284,25.9258
2017-07-25,25.7867,25.9258,25.1320,25.5821
2017-07-26,25.4593,25.4757,25.4348,25.4348
2017-07-27,25.3693,26.0649,25.1402,25.2711
2017-07-28,25.2548,25.6803,25.0502,25.0502
2017-07-31,25.0993,25.7867,24.7556,24.8865
2017-08-01,25.3898,25.3898,25.2057,25.2057
2017-08-02,25.0502,25.8603,24.8374,25.0420
2017-08-03,25.0420,25.1647,24.8210,24.8292
2017-08-04,24.8947,25.2466,24.7556,24.9601
2017-08-07,24.8128,24.8947,24.5591,24.7228
2017-08-08,24.5510,25.4757,24.5510,25.0174
2017-08-09,24.5100,24.6328,24.4691,24.4773
2017-08-10,24.4118,24.6655,23.1434,24.4609
2017-08-11,24.4691,25.2057,23.4625,24.4609
2017-08-14,24.3873,24.6737,23.8963,24.6328
2017-08-15,24.5673,25.1893,24.0549,24.7719
2017-08-16,24.7556,25.1975,24.4691,24.9847
2017-08-17,24.8210,25.1975,24.4855,24.4855
2017-08-18,24.5591,24.7146,23.9699,24.6492
2017-08-21,24.4855,25.2711,24.4364,24.7474
2017-08-22,24.8128,25.2548,24.7146,25.0911
2017-08-23,24.8947,26.9447,24.8947,26.7114
2017-08-24,26.8424,27.0061,26.1631,26.6460
2017-08-25,26.3514,26.3923,25.6394,26.0076
2017-08-28,26.0240,26.5150,23.1352,26.4578
2017-08-29,25.5575,26.4005,25.3202,25.6721
2017-08-30,25.5330,25.5330,24.6082,24.7637
2017-08-31,24.9110,25.7376,24.6737,24.7474
2017-09-01,25.3120,25.6803,24.8047,24.8047
2017-09-05,24.8865,25.3202,23.6098,24.0845
2017-09-06,24.1418,25.1156,24.1418,24.3873
2017-09-07,24.3873,24.9192,24.1418,24.6328
2017-09-08,24.7719,24.9520,24.6737,24.7392
2017-09-11,24.8292,25.9013,24.6983,25.5575
2017-09-12,25.7785,26.1059,25.3448,25.5003
2017-09-13,25.5330,25.9749,25.3516,25.4021
2017-09-14,25.4430,26.1304,24.1500,24.3054
2017-09-15,24.3709,24.8538,23.9372,24.2400
2017-09-18,24.3873,24.9929,23.9045,24.0027
2017-09-19,24.2318,24.5428,23.6671,23.9536
2017-09-20,24.1336,25.6967,23.9045,25.5248
2017-09-21,25.2302,25.5657,24.8865,25.1893
2017-09-22,25.5657,25.6721,24.8333,25.2548
2017-09-25,25.3693,25.5739,24.9847,25.0011
2017-09-26,24.5755,25.7540,24.5755,25.3857
2017-09-27,25.2875,25.7540,25.0092,25.3284
2017-09-28,25.2603,26.0492,25.2603,25.8931
2017-09-29,25.5644,26.3779,25.4896,26.2875
2017-10-02,25.7986,26.0492,25.5069,25.7452
2017-10-03,25.3918,25.9259,24.9883,25.3179
2017-10-04,25.4493,25.5841,24.9984,25.3918
2017-10-05,25.0680,26.0410,25.0678,25.7945
2017-10-06,25.5644,25.7041,25.2603,25.4658
2017-10-09,25.2521,25.4740,25.2275,25.4083
2017-10-10,25.3917,25.4740,25.3285,25.4658
2017-10-11,25.3918,25.4411,25.2521,25.2521
2017-10-12,25.2275,25.2275,24.7016,25.0056
2017-10-13,24.8659,24.8659,24.5290,24.6358
2017-10-16,24.4139,24.6029,24.1592,24.3975
2017-10-17,24.2578,24.2907,24.1592,24.1674
2017-10-18,24.1674,24.4797,23.8880,24.3153
2017-10-19,24.0770,24.6440,23.7894,24.5454
2017-10-20,24.6440,24.7262,24.3893,24.4550
2017-10-23,24.1181,24.2578,23.6826,23.9620
2017-10-24,23.6826,24.1722,23.5511,23.6744
2017-10-25,23.8552,24.2907,23.6333,24.2742
2017-10-26,24.0195,24.1222,23.6415,23.9291
2017-10-27,23.9456,24.1674,23.7155,23.9045
2017-10-30,23.9866,24.0154,23.6497,23.6908
2017-10-31,23.6990,23.7442,23.1402,23.5675
2017-11-01,23.6538,23.7566,23.1813,23.4196
2017-11-02,23.4196,24.0606,23.4196,24.0277
2017-11-03,23.8716,23.8716,23.5018,23.5018
2017-11-06,23.5018,23.5018,23.3457,23.4443
2017-11-07,23.5840,23.5840,23.0088,23.4032
2017-11-08,23.4525,23.9784,23.4361,23.7483
2017-11-09,23.2553,23.7483,23.0499,23.5265
2017-11-10,23.6251,24.2167,23.5429,23.8305
2017-11-13,23.5840,23.6908,23.3868,23.5675
2017-11-14,23.0992,23.8223,23.0992,23.6662
2017-11-15,23.1731,23.7401,23.1731,23.4114
2017-11-16,23.4854,24.3400,23.4607,24.2825
2017-11-17,24.1839,25.1946,24.0770,24.6769
2017-11-20,24.7591,24.8330,24.4879,24.7180
2017-11-21,25.2275,25.2686,23.8798,24.2003
2017-11-22,24.1387,25.1042,24.0606,24.4797
2017-11-24,24.6769,25.0631,23.8880,24.5701
2017-11-27,25.0220,25.0796,23.9538,24.1592
2017-11-28,24.1839,24.8166,24.1674,24.8002
2017-11-29,24.8330,25.4576,24.8166,25.2193
2017-11-30,25.0631,25.4165,25.0631,25.1782
2017-12-01,25.1453,25.2275,24.1674,25.1371
2017-12-04,25.2439,25.3589,25.0344,25.0549
2017-12-05,25.1617,25.3261,24.8823,25.0138
2017-12-06,25.3096,25.3096,24.8248,24.8248
2017-12-07,24.9399,25.2768,24.9399,25.0302
2017-12-08,24.9727,25.3096,24.9070,25.1617
2017-12-11,25.1042,25.3425,25.1042,25.1371
2017-12-12,25.3260,25.5151,25.1868,25.3261
2017-12-13,25.4083,25.4740,24.6851,25.4740
2017-12-14,25.4740,25.4740,24.8577,24.9727
2017-12-15,24.8906,25.5973,24.6933,25.2193
2017-12-18,25.1864,25.2275,25.1453,25.2275
2017-12-19,24.7591,25.2193,24.4674,25.2028
2017-12-20,25.1699,25.2398,25.1289,25.1864
2017-12-21,25.2275,25.2275,25.1453,25.2110
2017-12-22,25.1304,25.2955,24.3792,24.7919
2017-12-26,24.3129,25.3038,24.3129,25.0479
2017-12-27,25.1800,25.3451,24.9653,25.0066
2017-12-28,25.1057,25.3037,24.9736,25.2130
2017-12-29,25.2460,25.3286,25.1139,25.3038
2018-01-02,25.3451,25.3451,24.7259,24.9571
2018-01-03,24.8497,25.5849,24.8497,25.5019
2018-01-04,25.5267,26.1830,25.2543,25.9147
2018-01-05,25.8941,26.2945,25.6588,26.0963
2018-01-08,25.8487,26.0468,25.3781,25.6093
2018-01-09,25.9230,25.9230,25.5845,25.8239
2018-01-10,25.7166,25.7166,25.2955,25.4359
2018-01-11,26.2173,26.2173,25.6134,25.8487
2018-01-12,26.1046,26.1954,25.8817,26.1954
2018-01-16,25.9643,26.1707,25.6671,25.6671
2018-01-17,25.9725,25.9725,25.6093,25.6093
2018-01-18,25.6671,26.4101,25.5680,26.2532
2018-01-19,26.3770,26.4183,26.0055,26.3688
2018-01-22,26.1129,26.3193,25.7744,26.2862
2018-01-23,26.1294,26.1294,25.9890,25.9890
2018-01-24,26.1789,26.2367,25.8107,26.0138
2018-01-25,26.0055,26.1707,25.9560,25.9643
2018-01-26,26.0344,26.0344,25.5432,25.5680
2018-01-29,25.4276,25.8900,25.4276,25.4359
2018-01-30,25.5143,26.2697,25.5019,26.1294
2018-01-31,25.9973,26.3770,25.9766,26.1376
2018-02-01,26.1376,27.0705,26.0881,26.9962
2018-02-02,26.7981,26.9302,26.6247,26.8311
2018-02-05,26.4679,26.8229,25.8652,26.7403
2018-02-06,26.2780,26.5587,26.1872,26.1872
2018-02-07,26.4266,26.4266,25.9973,26.2945
2018-02-08,26.6495,26.6495,25.6258,25.6258
2018-02-09,25.5597,25.9362,25.3616,25.7414
2018-02-12,25.7991,26.2780,25.6505,25.7001
2018-02-13,25.8404,26.0055,25.7826,25.9973
2018-02-14,25.6258,25.8487,25.2378,25.7001
2018-02-15,25.9230,26.0716,24.5938,25.3368
2018-02-16,25.1387,26.8229,25.1387,26.5834
2018-02-20,25.8322,26.6330,25.8322,25.9147
2018-02-21,26.0963,26.2532,26.0055,26.0055
2018-02-22,26.2037,26.9715,25.8734,26.7486
2018-02-23,26.7816,27.5906,26.7816,27.3677
2018-02-26,27.5246,27.6732,27.1902,27.6402
2018-02-27,27.3265,27.7970,27.3265,27.7475
2018-02-28,27.6980,30.8434,27.6567,29.3491
2018-03-01,29.2748,29.2748,28.7547,28.9776
2018-03-02,28.8125,29.0519,27.9952,28.6474
2018-03-05,28.4492,28.7299,28.1685,28.4162
2018-03-06,28.3749,28.6886,27.7805,28.5648
2018-03-07,28.3667,28.5978,28.1768,28.4080
