DATE,OPEN,HIGH,LOW,CLOSE
2016-04-28,6.9081,6.9081,5.3021,5.3106
2016-04-29,5.4296,5.4806,5.3531,5.4381
2016-05-02,5.4806,5.4806,5.3106,5.4126
2016-05-03,5.4381,5.5995,5.3106,5.4296
2016-05-04,5.5740,5.5825,5.2936,5.5146
2016-05-05,5.5910,6.0329,5.5486,5.9479
2016-05-06,6.0329,6.2198,5.8638,5.9819
2016-05-09,6.1094,6.1603,5.9649,6.1179
2016-05-10,6.1603,6.1603,5.9479,6.0329
2016-05-11,6.1518,6.1518,5.8205,5.9904
2016-05-12,5.9479,6.0499,5.9479,6.0499
2016-05-13,6.0499,6.0669,5.8795,6.0499
2016-05-16,6.1862,6.2629,5.9135,6.2629
2016-05-17,5.9647,6.1947,5.9306,6.1947
2016-05-18,6.1521,6.3907,5.9664,6.3907
2016-05-19,6.3907,6.3907,6.0584,6.1180
2016-05-20,6.1606,6.3907,6.1351,6.3907
2016-05-23,6.3140,6.6037,6.2714,6.3396
2016-05-24,6.4589,6.5270,6.1777,6.3566
2016-05-25,6.3481,6.3481,6.1095,6.2118
2016-05-26,6.0243,6.3481,6.0243,6.3481
2016-05-27,6.3481,6.3481,5.9564,6.1862
2016-05-31,6.1947,6.2629,5.9392,6.2629
2016-06-01,5.9817,6.1351,5.9817,6.0328
2016-06-02,6.1010,6.1010,6.0243,6.0925
2016-06-03,6.2714,6.3055,6.0669,6.3055
2016-06-06,5.9988,6.1351,5.9988,6.0925
2016-06-07,6.0584,6.1351,6.0414,6.0840
2016-06-08,6.1436,6.3481,6.0754,6.3481
2016-06-09,6.3481,6.3481,6.0925,6.0925
2016-06-10,6.1854,6.2118,6.1011,6.2118
2016-06-13,6.2799,6.5952,6.2672,6.4930
2016-06-14,6.4932,6.4932,6.3480,6.4078
2016-06-15,6.3082,6.5017,6.3082,6.4078
2016-06-16,6.2967,6.4333,6.1258,6.2198
2016-06-17,6.4419,6.4419,6.1258,6.1771
2016-06-20,6.3052,6.5957,6.2796,6.4590
2016-06-21,6.4078,6.5103,6.4078,6.5103
2016-06-22,6.4078,6.7324,6.4078,6.7324
2016-06-23,6.7495,6.8349,6.6384,6.8008
2016-06-24,6.5188,6.9546,6.5188,6.8862
2016-06-27,6.9375,6.9460,6.7239,6.8264
2016-06-28,7.0058,7.2280,6.8349,6.9716
2016-06-29,7.0656,7.2365,7.0058,7.1938
2016-06-30,7.2621,7.6637,7.1818,7.5184
2016-07-01,7.5184,7.5868,7.2365,7.5697
