DATE,OPEN,HIGH,LOW,CLOSE
2021-11-24,9.5900,11.0300,9.5900,9.7200
2021-11-26,9.7600,9.7600,9.7200,9.7400
2021-11-29,9.6939,9.7150,9.6900,9.6900
2021-11-30,9.6800,9.6800,9.6800,9.6800
2021-12-01,9.6900,9.7000,9.6900,9.6900
2021-12-02,9.6900,9.6900,9.6900,9.6900
2021-12-03,9.7200,9.7400,9.7080,9.7080
2021-12-06,10.1700,10.1700,9.6800,9.7033
2021-12-07,9.6900,9.6900,9.6900,9.6900
2021-12-08,9.7050,9.7200,9.6900,9.6900
2021-12-09,9.6800,9.6800,9.6800,9.6800
2021-12-10,9.7200,9.7300,9.6800,9.7000
2021-12-13,9.6900,9.7000,9.6900,9.6900
2021-12-14,9.6900,9.6900,9.6900,9.6900
2021-12-15,9.6800,9.6900,9.6750,9.6800
2021-12-16,9.6800,9.6800,9.6500,9.6600
2021-12-17,9.6300,9.6800,9.6250,9.6498
2021-12-20,9.6500,9.6600,9.6250,9.6500
2021-12-21,9.6300,9.6700,9.6300,9.6400
