DATE,OPEN,HIGH,LOW,CLOSE
1997-01-20,0.8231,0.8231,0.8231,0.8231
1997-01-21,0.8231,0.8231,0.8231,0.8231
1997-01-22,1.1358,1.1358,1.1358,1.1358
1997-01-23,1.4404,1.4404,1.2346,1.4404
1997-01-24,1.8519,1.8519,1.8519,1.8519
1997-01-27,1.8519,1.8519,1.8519,1.8519
1997-01-28,1.8519,1.8519,1.8519,1.8519
1997-01-29,1.8519,1.8519,1.8519,1.8519
1997-01-30,2.2635,2.2635,2.2635,2.2635
1997-01-31,2.2635,2.2635,2.2635,2.2635
1997-02-03,2.4692,2.4692,2.4692,2.4692
1997-02-04,2.4692,2.4692,2.4692,2.4692
1997-02-05,2.4692,2.4692,2.4692,2.4692
1997-02-06,2.4692,2.4692,2.4692,2.4692
1997-02-07,2.4692,2.4692,2.4692,2.4692
1997-02-10,2.4692,2.4692,2.4692,2.4692
1997-02-11,2.4692,2.4692,2.4692,2.4692
1997-02-12,2.4692,2.4692,2.4692,2.4692
1997-02-13,2.4692,2.4692,2.4692,2.4692
1997-02-14,2.4692,2.4692,2.4692,2.4692
1997-02-18,2.4692,2.4692,2.4692,2.4692
1997-02-19,2.4692,2.4692,2.4692,2.4692
1997-02-20,2.4692,2.4692,2.4692,2.4692
1997-02-21,2.4692,2.4692,2.4692,2.4692
1997-02-24,2.4692,2.4692,2.4692,2.4692
1997-02-25,2.4692,2.4692,2.4692,2.4692
1997-02-26,1.4404,1.4404,1.4404,1.4404
1997-02-27,1.4404,1.4404,1.4404,1.4404
1997-02-28,1.4404,1.4404,1.4404,1.4404
1997-03-03,1.4404,1.4404,1.4404,1.4404
1997-03-04,1.4404,1.4404,1.4404,1.4404
1997-03-05,1.4404,1.4404,1.4404,1.4404
1997-03-06,1.4404,1.4404,1.4404,1.4404
1997-03-07,1.4404,1.4404,1.4404,1.4404
1997-03-10,1.4404,1.4404,1.4404,1.4404
1997-03-11,1.4404,1.4404,1.4404,1.4404
1997-03-12,1.4404,1.4404,1.4404,1.4404
1997-03-13,1.4404,1.4404,1.4404,1.4404
1997-03-14,1.4404,1.4404,1.4404,1.4404
1997-03-17,1.4404,1.4404,1.4404,1.4404
1997-03-18,1.4404,1.4404,1.4404,1.4404
1997-03-19,1.4404,1.4404,1.4404,1.4404
1997-03-20,1.4404,1.4404,1.4404,1.4404
1997-03-21,1.4404,1.4404,1.4404,1.4404
1997-03-24,1.4404,1.4404,1.4404,1.4404
1997-03-25,1.4404,1.4404,1.4404,1.4404
1997-03-26,1.4404,1.4404,1.4404,1.4404
1997-03-27,1.4404,1.4404,1.4404,1.4404
1997-03-31,1.4404,1.4404,1.4404,1.4404
1997-04-01,1.4404,1.4404,1.4404,1.4404
1997-04-02,1.4404,1.4404,1.4404,1.4404
1997-04-03,1.4404,1.4404,1.4404,1.4404
1997-04-04,1.4404,1.4404,1.4404,1.4404
1997-04-07,1.4404,1.4404,1.4404,1.4404
1997-04-08,1.4404,1.4404,1.4404,1.4404
1997-04-09,1.4404,1.4404,1.4404,1.4404
1997-04-10,1.4404,1.4404,1.4404,1.4404
