DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2000-04-11,8.6550,9.2243,7.6075,8.1461,1.103,
2000-04-12,8.3857,8.3857,7.6075,7.6669,0.177,
2000-04-13,7.6669,8.1461,7.6669,7.7867,0.338,
2000-04-14,7.7867,8.1461,7.1878,7.3076,0.081,
2000-04-17,7.6669,7.6669,7.0680,7.1878,0.109,
2000-04-18,7.1878,7.6669,7.1878,7.5471,0.179,
2000-04-19,7.5471,7.5471,7.3076,7.5471,0.027,
2000-04-20,7.4274,7.6669,7.4274,7.6669,0.007,
2000-04-24,7.6669,7.6669,7.3076,7.4877,0.037,
2000-04-25,7.4274,7.6669,7.4274,7.5471,0.016,
2000-04-26,7.5471,7.6669,7.5471,7.5471,0.080,
2000-04-27,7.5471,7.8471,7.5471,7.8471,0.029,
2000-04-28,8.1461,9.7083,7.5471,9.7083,0.060,
2000-05-01,10.5421,10.5421,8.2659,8.6253,0.074,
2000-05-02,8.5055,8.6253,8.1461,8.4461,0.046,
2000-05-03,8.2659,8.5659,7.9065,7.9065,0.016,
2000-05-04,7.8471,8.5055,7.8471,8.1164,0.022,
2000-05-05,7.7867,8.0263,7.7273,7.7867,0.004,
2000-05-08,7.4274,7.6669,7.3976,7.4274,0.018,
2000-05-09,7.4274,7.5471,7.1878,7.1878,0.009,
2000-05-10,7.1878,7.6669,6.8581,7.6669,0.104,
2000-05-11,7.6075,7.9516,7.4571,7.4571,0.006,
2000-05-12,7.5471,7.6669,7.4274,7.4274,0.018,
2000-05-15,7.5769,7.5769,7.0680,7.0680,0.014,
2000-05-16,7.1878,7.1878,6.8284,6.8284,0.027,
2000-05-17,6.8284,7.1878,6.2294,6.3492,0.021,
2000-05-18,6.1700,6.2294,5.8403,5.8700,0.024,
2000-05-19,5.8700,6.5591,5.8700,6.3492,0.010,
2000-05-22,5.9601,6.5591,5.0918,5.2710,0.023,
2000-05-23,5.8700,5.8700,4.9116,5.2116,0.025,
2000-05-24,4.9116,5.2116,4.3127,4.5522,0.059,
2000-05-25,4.4325,4.5522,4.3127,4.3127,0.038,
2000-05-26,4.5522,4.5522,3.2949,3.5939,0.065,
2000-05-30,3.5345,3.7137,2.9949,3.4741,0.333,
2000-05-31,3.6543,3.9830,3.6543,3.8335,0.016,
2000-06-01,4.4325,6.7690,4.4325,5.8853,0.016,
2000-06-02,6.0195,6.4690,5.7502,5.7502,0.022,
2000-06-05,5.6304,5.7502,5.1512,5.1512,0.005,
2000-06-06,5.1512,5.8700,5.0314,5.7502,0.014,
2000-06-07,5.7502,5.7502,4.6720,5.0314,0.007,
2000-06-08,5.2710,6.4690,5.2710,6.1096,0.017,
2000-06-09,5.8700,5.9898,5.5106,5.7502,0.004,
2000-06-12,6.4690,6.4690,5.6304,5.7502,0.001,
2000-06-13,5.6304,5.7502,5.6304,5.7502,0.001,
2000-06-14,5.6304,5.6304,4.8216,4.8216,0.007,
2000-06-15,4.7918,5.6908,4.5522,4.5522,0.026,
2000-06-16,5.1512,5.1512,4.5522,4.9116,0.004,
2000-06-19,4.7918,5.2710,4.5522,4.5522,0.008,
2000-06-20,4.7918,4.8522,4.7324,4.7324,0.009,
2000-06-21,4.7918,4.9116,4.6720,4.9116,0.011,6.423
2000-06-22,4.9116,5.2710,4.6720,5.1512,0.002,6.363
2000-06-23,5.0314,5.0314,4.9116,5.0314,0.042,6.311
2000-06-26,4.9116,5.1512,4.9116,5.1512,0.018,6.258
2000-06-27,4.9116,5.2710,4.9116,5.0314,1.159,6.212
2000-06-28,5.2710,5.2710,4.9116,5.0314,0.003,6.169
2000-06-29,4.9116,5.2710,4.9116,5.0314,0.009,6.119
2000-06-30,5.7502,5.7502,5.1512,5.2710,0.027,6.073
2000-07-03,5.2116,5.2710,5.2116,5.2710,0.002,6.026
2000-07-05,5.1512,5.7502,5.1512,5.1809,0.012,5.979
2000-07-06,5.7502,5.7502,5.1512,5.1512,0.003,5.932
2000-07-07,5.2710,5.2710,5.2710,5.2710,0.001,5.886
2000-07-10,5.1512,6.2294,5.1512,5.2710,0.007,5.834
2000-07-11,5.2710,5.7502,5.2710,5.2710,0.001,5.746
2000-07-12,5.2710,5.7502,5.1512,5.1512,0.007,5.676
2000-07-13,5.2710,5.5106,5.1512,5.5106,0.010,5.618
2000-07-14,5.1512,5.1512,4.7918,4.9116,0.017,5.558
2000-07-17,4.7918,5.2710,4.7918,5.2710,0.011,5.501
2000-07-18,4.9720,5.1512,4.9116,4.9116,0.107,5.443
2000-07-19,4.8072,4.9116,4.7918,4.7918,0.114,5.391
2000-07-20,4.7918,4.7918,4.3127,4.3127,0.002,5.333
2000-07-21,4.6720,4.6720,4.3127,4.3127,0.004,5.266
2000-07-24,4.9116,4.9116,4.1929,4.1929,0.003,5.201
2000-07-25,4.0731,4.3127,4.0731,4.1929,0.007,5.136
2000-07-26,4.0731,4.3127,3.5939,3.5939,0.016,5.066
2000-07-27,3.8335,3.8335,3.5939,3.7137,0.012,5.004
2000-07-28,4.3127,4.3127,3.5939,3.5939,0.010,4.949
2000-07-31,4.0731,4.0731,3.3543,3.3543,0.043,4.899
2000-08-01,3.3543,3.7137,3.3543,3.4741,0.015,4.841
2000-08-02,3.3543,3.4741,3.3543,3.3543,0.012,4.803
2000-08-03,3.6543,3.6840,3.1147,3.3543,0.013,4.766
2000-08-04,3.3543,3.4147,2.8751,3.2345,0.040,4.739
2000-08-07,2.8751,3.2345,2.5157,2.6355,0.032,4.706
2000-08-08,2.6959,2.9949,1.9464,1.9771,0.229,4.674
2000-08-09,2.1563,2.5157,2.0365,2.4563,0.251,4.653
2000-08-10,2.8751,2.8751,2.3959,2.3959,0.049,4.624
2000-08-11,2.6355,2.6355,1.9167,2.1563,0.057,4.550
2000-08-14,2.3806,2.5157,2.0068,2.5157,0.008,4.485
2000-08-15,2.4563,2.4563,2.2761,2.3959,0.031,4.430
2000-08-16,2.2761,2.6355,2.2761,2.3959,0.017,4.363
2000-08-17,2.3959,2.5761,2.3959,2.3959,0.006,4.310
2000-08-18,2.6355,2.6355,2.3365,2.5157,0.040,4.238
2000-08-21,2.3959,2.3959,1.9167,1.9167,0.178,4.162
2000-08-22,2.1563,2.1563,1.5276,1.9167,0.201,4.085
2000-08-23,1.9167,2.0365,1.9167,1.9167,0.051,4.008
2000-08-24,1.9771,2.0365,1.9167,1.9167,0.056,3.950
2000-08-25,2.2167,2.2761,1.9167,2.1563,0.026,3.902
2000-08-28,2.1563,2.1563,2.0365,2.0365,0.006,3.845
2000-08-29,2.0365,2.1563,1.9771,2.0969,0.008,3.796
2000-08-30,2.1563,2.1563,2.0365,2.0365,0.002,3.742
2000-08-31,2.0969,2.3365,2.0969,2.2761,0.501,3.689
2000-09-01,2.3365,2.7553,2.3365,2.4563,0.039,3.635
2000-09-05,2.6806,2.7553,2.4563,2.6355,0.004,3.587
2000-09-06,2.7553,2.7553,2.4563,2.6355,0.057,3.537
2000-09-07,2.6959,2.6959,2.5157,2.5157,0.010,3.487
2000-09-08,2.7553,2.7553,2.6355,2.6355,0.037,3.439
2000-09-11,2.6959,2.6959,2.5157,2.5157,0.023,3.388
2000-09-12,2.5157,2.6355,2.3959,2.3959,0.019,3.331
2000-09-13,2.3959,2.5157,2.3959,2.3959,0.058,3.273
2000-09-14,2.6355,2.7553,2.3959,2.3959,0.018,3.218
2000-09-15,2.4563,2.4563,2.1563,2.1563,0.024,3.158
2000-09-18,2.4563,2.4563,2.0068,2.0365,0.009,3.093
2000-09-19,2.0365,2.5157,2.0365,2.1563,0.052,3.031
2000-09-20,2.4860,2.5157,2.2761,2.3365,0.014,2.972
2000-09-21,2.3959,2.6355,2.1563,2.3959,0.033,2.917
2000-09-22,2.3662,2.5157,2.0365,2.1563,0.030,2.850
2000-09-25,2.1563,2.6355,1.7969,1.7969,0.096,2.788
2000-09-26,2.0068,2.0969,1.6771,2.0365,0.188,2.723
2000-09-27,2.0365,2.1563,1.9167,1.9771,0.432,2.664
2000-09-28,2.0068,2.0969,1.8573,2.0365,0.031,2.609
2000-09-29,1.9742,2.0317,1.5238,2.0317,0.238,2.564
2000-10-02,1.8573,2.1563,1.8573,1.9771,0.074,2.517
2000-10-03,2.0365,2.2761,2.0365,2.0365,0.004,2.474
2000-10-04,2.1266,2.6355,2.0365,2.5157,0.029,2.440
2000-10-05,2.2761,2.3959,2.2761,2.3365,0.007,2.415
2000-10-06,2.1563,2.1563,1.9167,1.9167,0.007,2.379
2000-10-09,1.9771,2.2167,1.7969,1.9771,0.057,2.347
2000-10-10,1.9771,2.1563,1.9771,1.9771,0.052,2.319
2000-10-11,1.9771,1.9771,1.9167,1.9167,0.022,2.288
2000-10-12,2.1563,2.1563,1.9167,2.0365,0.022,2.262
2000-10-13,1.9167,2.0365,1.9167,2.0365,0.054,2.235
2000-10-16,2.0662,2.0662,2.0365,2.0365,0.003,2.211
2000-10-17,2.0365,2.0365,2.0365,2.0365,0.005,2.199
2000-10-18,1.9167,2.0365,1.7969,1.9167,0.005,2.198
2000-10-19,2.1410,2.1563,1.8573,1.9167,0.005,2.187
2000-10-20,1.9167,1.9167,1.9167,1.9167,0.012,2.178
2000-10-23,2.0365,2.0969,1.9167,2.0365,0.017,2.175
2000-10-24,1.9618,2.1563,1.9167,2.1563,0.219,2.168
2000-10-25,2.1860,2.3959,2.0365,2.1860,0.005,2.164
2000-10-26,2.3959,2.3959,2.0365,2.1563,0.019,2.159
2000-10-27,2.0969,2.0969,1.9771,1.9771,0.020,2.151
2000-10-30,2.0365,2.0365,1.9771,2.0365,0.017,2.141
2000-10-31,2.0365,2.0365,1.9771,1.9771,0.003,2.143
2000-11-01,1.9915,2.0365,1.9771,1.9771,0.004,2.144
2000-11-02,1.9771,2.0365,1.9167,2.0365,0.053,2.146
2000-11-03,1.8573,2.0365,1.8573,1.9167,0.215,2.146
2000-11-06,1.9167,2.0969,1.9167,1.9771,0.020,2.143
2000-11-07,1.9167,2.0365,1.8870,2.0365,0.022,2.143
2000-11-08,1.9167,2.0365,1.9167,2.0365,0.011,2.141
2000-11-09,1.9771,1.9771,1.9771,1.9771,0.007,2.140
2000-11-10,1.8870,1.9771,1.8420,1.8573,0.457,2.132
2000-11-13,1.9167,1.9167,1.7375,1.7969,0.006,2.119
2000-11-14,1.9167,1.9167,1.4376,1.6177,2.157,2.098
2000-11-15,1.6771,1.9167,1.4376,1.6771,0.017,2.079
2000-11-16,1.6177,1.6771,1.4376,1.5573,0.003,2.060
2000-11-17,1.6177,1.9167,1.5573,1.9167,0.031,2.046
2000-11-20,1.7969,1.7969,1.3475,1.4376,0.020,2.024
2000-11-21,1.4376,1.4376,0.9584,0.9584,0.034,1.995
2000-11-22,0.9584,1.7375,0.9584,1.0782,0.088,1.969
2000-11-24,1.0782,1.4078,1.0782,1.1980,0.002,1.945
2000-11-27,1.3024,1.6771,1.1980,1.3178,0.011,1.928
2000-11-28,1.6771,1.6925,1.5573,1.6771,0.004,1.921
2000-11-29,1.6771,1.6771,1.1980,1.1980,0.014,1.902
2000-11-30,1.3178,1.7969,1.3178,1.6177,0.033,1.887
2000-12-01,1.6177,1.6177,1.4376,1.4979,0.003,1.869
2000-12-04,1.4376,1.4979,1.0782,1.0782,0.027,1.848
2000-12-05,1.1980,1.1980,1.0485,1.0485,0.005,1.833
2000-12-06,1.1385,1.1385,0.7787,1.0782,0.056,1.814
2000-12-07,0.9881,1.1980,0.9584,1.1980,0.102,1.798
2000-12-08,1.1980,1.4376,0.9737,1.1980,0.008,1.781
2000-12-11,1.1385,1.2583,1.0187,1.2583,0.007,1.766
2000-12-12,1.1385,1.1385,0.9584,1.1385,0.011,1.749
2000-12-13,1.0034,1.3178,1.0034,1.0782,0.051,1.730
2000-12-14,1.0782,1.2583,1.0782,1.1980,0.029,1.704
2000-12-15,1.1385,1.3178,1.1385,1.1385,0.025,1.680
2000-12-18,1.1980,1.3178,1.0782,1.2583,0.021,1.666
2000-12-19,1.1980,1.2583,1.0782,1.1980,0.011,1.651
2000-12-20,1.1980,1.1980,1.0782,1.0782,0.088,1.633
2000-12-21,1.1079,1.1385,1.0187,1.0187,0.049,1.615
2000-12-22,1.0782,1.0782,0.9584,0.9584,0.039,1.593
2000-12-26,1.0446,1.0446,0.7188,0.7188,0.044,1.567
2000-12-27,0.8686,1.1980,0.7188,1.0782,0.144,1.548
2000-12-28,1.0782,1.0782,0.9584,0.9584,0.026,1.526
2000-12-29,0.9584,1.2583,0.9584,0.9584,0.066,1.507
2001-01-02,1.1385,1.3178,0.9584,0.9881,0.005,1.489
2001-01-03,0.9584,1.0782,0.9584,1.0782,0.020,1.472
2001-01-04,1.0782,1.2583,1.0782,1.2583,0.042,1.456
2001-01-05,1.2277,1.3178,1.1385,1.3178,0.027,1.439
2001-01-08,1.3178,1.5573,1.1980,1.4376,0.201,1.425
2001-01-09,1.3781,1.4376,1.2583,1.2583,0.016,1.407
2001-01-10,1.3178,1.4376,1.2880,1.3781,0.015,1.395
2001-01-11,1.3178,1.7375,1.3178,1.5573,0.085,1.385
2001-01-12,1.7969,1.9167,1.5573,1.9167,0.018,1.384
2001-01-16,1.8123,1.8123,1.5573,1.6771,0.008,1.378
2001-01-17,1.7375,1.7375,1.5573,1.5573,0.008,1.368
2001-01-18,1.4376,1.8573,1.3781,1.8573,0.011,1.367
2001-01-19,1.6177,1.6177,1.3781,1.4376,0.012,1.356
2001-01-22,1.5573,1.8573,1.4979,1.8573,0.018,1.353
2001-01-23,1.6177,1.7969,1.6177,1.7969,0.004,1.348
2001-01-24,1.5573,1.7969,1.5573,1.6771,0.026,1.342
2001-01-25,1.6771,1.7969,1.5871,1.5871,0.015,1.336
2001-01-26,1.7969,1.9167,1.7375,1.7375,0.015,1.335
2001-01-29,1.7969,1.7969,1.5573,1.5871,0.015,1.335
