DATE,OPEN,HIGH,LOW,CLOSE
2010-02-02,59.1461,59.1461,53.7692,55.6127
2010-02-03,65.2912,65.2912,53.7692,55.3055
2010-02-04,53.7692,57.6099,53.7692,56.0736
2010-02-05,56.0736,56.0736,49.3909,53.0011
2010-02-08,52.2329,55.3055,50.6967,53.0011
2010-02-09,52.2329,58.3780,51.4648,55.3055
2010-02-10,53.7692,56.8417,51.6184,56.8417
2010-02-11,53.7692,56.8417,53.0779,54.5373
2010-02-12,53.7692,55.3055,53.7692,53.7692
2010-02-16,56.8417,57.6099,55.3055,56.0736
2010-02-17,57.6099,62.9868,53.7692,59.8374
2010-02-18,59.1461,70.6681,57.6099,61.4505
2010-02-19,61.4505,61.4505,59.9143,61.2969
2010-02-22,76.8132,76.8132,62.2187,63.7549
2010-02-23,69.9000,69.9000,62.2187,66.0593
2010-02-24,61.4505,66.0593,61.4505,63.7549
2010-02-25,61.4505,62.9868,55.3823,56.8417
2010-02-26,57.6099,58.3780,56.8417,57.6099
2010-03-01,56.8417,61.4505,56.0736,59.1461
2010-03-02,57.6099,58.3012,55.3055,57.6099
2010-03-03,56.8417,57.6099,54.5373,55.6895
2010-03-04,54.5373,57.6099,54.5373,57.6099
2010-03-05,55.3055,59.1461,55.3055,58.3780
2010-03-08,56.8417,59.8374,56.8417,59.8374
2010-03-09,61.4505,62.9868,56.8417,56.8417
2010-03-10,56.0736,62.2187,55.3055,56.3809
2010-03-11,55.3055,61.4505,54.5373,58.7621
2010-03-12,59.9143,61.4505,58.3780,59.1461
2010-03-15,60.6824,60.6824,52.2329,55.3055
2010-03-16,57.6099,59.1461,55.3055,58.9925
2010-03-17,59.9143,66.0593,56.2272,61.4505
2010-03-18,63.7549,65.2912,58.3780,63.6013
2010-03-19,61.4505,67.5956,56.8417,56.8417
2010-03-22,56.8417,60.6824,56.8417,59.1461
2010-03-23,56.8417,60.5288,56.8417,59.9143
2010-03-24,59.9143,59.9143,55.3055,57.6099
2010-03-25,56.8417,59.1461,56.0736,57.6099
2010-03-26,59.1461,59.1461,54.5373,56.0736
2010-03-29,54.5373,57.6099,54.5373,56.8417
2010-03-30,59.9143,59.9143,53.7692,53.7692
2010-03-31,53.7692,55.3055,53.7692,53.7692
2010-04-01,54.5373,57.5331,54.5373,55.3055
2010-04-05,56.0736,56.8417,53.0011,53.7692
2010-04-06,54.5373,54.5373,52.2329,52.2329
2010-04-07,52.4634,53.0011,47.2401,51.4648
2010-04-08,51.4648,51.4648,48.3923,48.7764
2010-04-09,52.1561,54.5373,49.9286,53.7692
2010-04-12,53.7692,57.6099,53.7692,57.6099
2010-04-13,57.6099,57.6099,54.6910,56.8417
2010-04-14,56.8417,57.6099,54.5373,54.9214
2010-04-15,57.5331,57.5331,54.5373,54.5373
2010-04-16,56.0736,58.1476,55.3055,56.0736
2010-04-19,56.0736,60.6824,56.0736,56.0736
2010-04-20,56.6113,59.1461,56.2272,59.1461
2010-04-21,61.4505,74.5088,61.3737,70.6681
2010-04-22,76.8132,149.7857,76.8132,112.1472
2010-04-23,115.9879,119.0604,96.0164,102.9296
2010-04-26,118.2923,159.7714,106.0022,124.4373
2010-04-27,129.8142,149.7857,107.5384,115.2197
2010-04-28,115.2197,123.6692,96.0164,98.3208
2010-04-29,98.3208,99.0890,85.2626,88.3351
2010-04-30,96.7846,96.8614,84.4945,88.3351
2010-05-03,83.7263,88.3351,69.9000,81.4219
2010-05-04,80.6538,82.9582,73.7406,80.6538
2010-05-05,80.6538,80.6538,70.6681,77.5813
2010-05-06,80.6538,86.0307,68.3637,73.7406
2010-05-07,78.3494,78.3494,71.4362,73.7406
2010-05-10,83.7263,88.3351,76.8132,77.5813
2010-05-11,78.3494,78.3494,66.8274,67.5956
2010-05-12,67.5956,72.2044,67.5956,71.4362
2010-05-13,72.9725,76.0450,71.4362,76.0450
2010-05-14,73.7406,76.8132,70.6681,70.6681
2010-05-17,69.1318,72.2044,64.5231,65.6752
2010-05-18,66.0593,66.0593,61.6042,63.7549
2010-05-19,61.4505,63.6781,57.6099,59.1461
2010-05-20,58.3780,71.4362,56.8417,69.9000
2010-05-21,62.9868,69.9000,59.1461,67.5956
2010-05-24,67.5956,72.9725,62.4491,65.2912
2010-05-25,61.4505,67.5956,59.4534,61.4505
2010-05-26,66.0593,67.5956,63.7549,66.0593
2010-05-27,76.0450,76.0450,65.2912,67.5956
2010-05-28,72.9725,72.9725,63.8317,65.2912
2010-06-01,63.7549,71.4362,63.7549,65.2912
2010-06-02,65.2912,65.2912,63.7549,65.1376
2010-06-03,65.1376,67.5956,62.2955,62.9868
2010-06-04,66.0593,66.0593,61.4505,63.7549
2010-06-07,63.7549,71.4362,63.7549,67.5956
2010-06-08,65.2912,67.5956,62.9868,63.7549
2010-06-09,61.4505,63.6781,61.4505,61.8346
2010-06-10,61.4505,63.7549,61.4505,61.6042
2010-06-11,67.5956,67.5956,62.9868,65.2912
2010-06-14,62.2187,64.7535,61.4505,62.9868
2010-06-15,62.9868,65.2912,57.6099,59.9143
2010-06-16,59.9143,62.8332,57.6099,60.6824
2010-06-17,62.8332,62.8332,56.0736,58.3780
2010-06-18,58.3780,61.4505,50.6967,50.6967
2010-06-21,57.6099,57.6099,39.9428,40.3269
2010-06-22,42.2472,43.0154,36.3326,38.4066
2010-06-23,38.4066,39.9428,33.7978,35.3341
2010-06-24,33.7978,33.7978,26.1165,30.6484
2010-06-25,30.7253,32.2615,29.3426,31.8775
2010-06-28,32.2615,32.2615,29.1890,29.9571
2010-06-29,29.9571,29.9571,26.2701,26.8846
2010-06-30,29.9571,29.9571,26.8846,29.1122
2010-07-01,29.1890,29.1890,25.3483,28.3441
2010-07-02,29.9571,29.9571,25.8092,26.8846
2010-07-06,30.7253,30.7253,25.3483,26.1165
2010-07-07,29.1890,29.1890,25.3483,26.8846
2010-07-08,28.4209,28.4209,25.5788,26.1165
2010-07-09,25.5788,25.5788,17.6670,20.7396
2010-07-12,19.9714,21.8917,19.9714,21.5077
2010-07-13,22.6599,23.0439,20.8164,21.5077
2010-07-14,21.5077,22.2758,21.1236,21.6613
2010-07-15,22.2758,22.4294,20.8164,21.5077
2010-07-16,21.5077,21.5077,19.9714,21.5077
2010-07-19,21.5077,27.6527,20.5859,23.8121
2010-07-20,24.4266,25.2715,22.2758,24.5802
2010-07-21,24.5802,25.2715,23.0439,23.0439
2010-07-22,23.0439,26.0397,23.0439,24.5802
2010-07-23,26.1165,26.1165,23.8889,24.7338
2010-07-26,26.8078,26.8846,24.6570,26.6542
2010-07-27,28.4209,29.8803,26.8846,28.4209
2010-07-28,27.6527,28.8049,25.3483,27.2687
2010-07-29,27.2687,28.0368,25.5788,26.1165
2010-07-30,25.3483,27.5759,25.3483,26.8846
2010-08-02,27.6527,28.0368,26.8846,27.5759
2010-08-03,28.4209,28.4209,25.5788,26.8846
2010-08-04,27.5759,27.6527,26.5005,26.5005
2010-08-05,27.6527,32.2615,21.5077,25.3483
2010-08-06,25.3483,25.3483,21.5077,21.8917
2010-08-09,23.8121,23.8121,21.5077,23.0439
2010-08-10,23.0439,23.0439,21.6613,22.2758
2010-08-11,22.2758,22.2758,20.8164,22.1222
2010-08-12,22.2758,22.2758,20.7396,21.4309
2010-08-13,21.5077,23.0439,20.7396,22.2758
2010-08-16,21.5077,23.4280,21.5077,23.0439
2010-08-17,23.0439,23.5816,22.2758,22.8135
2010-08-18,22.6599,22.6599,20.8932,20.8932
2010-08-19,20.7396,22.2758,16.1308,20.7396
2010-08-20,19.2033,19.2033,15.4394,16.8989
2010-08-23,18.4352,19.1265,15.3626,15.9771
2010-08-24,16.8989,16.8989,15.3626,16.1308
2010-08-25,15.5163,16.1308,15.5163,16.1308
2010-08-26,16.8989,16.8989,13.0582,13.7496
2010-08-27,13.5959,13.8264,13.0582,13.8264
2010-08-30,15.2090,16.0539,14.5177,15.3626
2010-08-31,15.6699,16.0539,14.5945,14.5945
2010-09-01,13.6727,16.1308,13.6727,15.2090
2010-09-02,1.6899,2.0509,1.4902,1.8666
2010-09-03,1.9971,1.9971,1.7437,1.8128
2010-09-07,1.8435,1.8435,1.4671,1.5363
2010-09-08,1.7053,1.7053,1.4441,1.5516
2010-09-09,1.4210,1.5132,1.4210,1.4825
2010-09-10,1.4825,1.5363,1.4364,1.4364
2010-09-13,1.4364,1.5743,1.3442,1.5286
2010-09-14,1.4979,1.4979,1.4057,1.4671
2010-09-15,1.4287,1.4287,1.3826,1.4287
2010-09-16,1.3980,1.4825,1.3980,1.4210
2010-09-17,1.3980,1.4440,1.3289,1.3289
2010-09-20,1.4134,1.4134,1.2136,1.2213
2010-09-21,1.2213,1.2905,1.1676,1.2290
2010-09-22,1.2136,1.2290,1.1676,1.1676
2010-09-23,1.1906,1.2828,1.1522,1.2136
2010-09-24,1.2597,1.2597,1.2136,1.2444
2010-09-27,1.2444,1.2751,1.1752,1.2060
2010-09-28,1.1906,1.1906,1.1522,1.1598
2010-09-29,1.1522,1.1828,1.0677,1.1061
2010-09-30,1.1522,1.1522,1.0600,1.0677
2010-10-01,1.0907,1.0907,1.0370,1.0600
2010-10-04,1.0600,1.0984,0.9678,1.0600
2010-10-05,1.1138,1.1138,1.0063,1.0370
2010-10-06,1.0677,1.2290,1.0447,1.1522
2010-10-07,1.1522,1.1522,1.0754,1.1215
2010-10-08,1.1599,1.1599,1.0140,1.0754
2010-10-11,1.0447,1.0831,1.0216,1.0631
2010-10-12,1.0677,1.1130,1.0216,1.0754
2010-10-13,1.0754,1.1437,1.0754,1.1399
2010-10-14,1.1445,1.1522,1.0754,1.0947
2010-10-15,1.0754,1.1130,1.0293,1.0523
2010-10-18,1.0293,1.0831,0.9141,1.0600
2010-10-19,1.0600,1.0754,0.9986,1.0370
2010-10-20,1.0370,1.3826,1.0370,1.1752
2010-10-21,1.1445,1.2060,1.1138,1.1292
2010-10-22,1.1138,1.1676,1.1138,1.1368
2010-10-25,1.1676,1.2210,1.1215,1.1676
2010-10-26,1.1829,1.4287,1.1752,1.3826
2010-10-27,1.4057,1.5824,1.3826,1.4671
2010-10-28,1.4594,1.4595,1.3212,1.3596
2010-10-29,1.3442,1.3826,1.2674,1.3365
2010-11-01,1.3135,1.3826,1.2367,1.3826
2010-11-02,1.3826,1.3826,1.2828,1.3826
2010-11-03,1.3903,1.3903,1.2675,1.2675
2010-11-04,1.2597,1.2905,1.2444,1.2521
2010-11-05,1.2444,1.2597,1.0523,1.1599
2010-11-08,1.3365,1.3365,1.0831,1.0907
2010-11-09,1.2060,1.2213,1.0984,1.1829
2010-11-10,1.1829,1.2213,1.1752,1.1752
2010-11-11,1.2444,1.2597,1.0907,1.1215
2010-11-12,1.0984,1.1292,0.9909,1.0370
2010-11-15,1.0370,1.0523,0.9755,0.9986
2010-11-16,0.9678,1.0600,0.9678,0.9986
2010-11-17,1.0216,1.0370,0.9218,0.9525
2010-11-18,1.0293,1.0293,0.9294,0.9909
2010-11-19,0.9832,1.0185,0.9602,0.9832
2010-11-22,0.9602,0.9801,0.9371,0.9678
2010-11-23,0.9525,0.9755,0.9448,0.9678
2010-11-24,0.9525,0.9526,0.9218,0.9525
