DATE,OPEN,HIGH,LOW,CLOSE
1990-03-26,2.9025,2.9741,2.9025,2.9369
1990-03-27,2.8652,2.9025,2.8652,2.8652
1990-03-28,2.8652,2.9369,2.8652,2.8652
1990-03-29,2.9369,2.9369,2.8652,2.8652
1990-03-30,2.9025,2.9369,2.8652,2.9369
1990-04-02,2.8652,2.8652,2.7936,2.7936
1990-04-03,2.7936,2.7936,2.7936,2.7936
1990-04-04,2.8294,2.8652,2.7936,2.7936
1990-04-05,2.7936,2.8294,2.7220,2.7936
1990-04-06,2.7220,2.7936,2.7220,2.7936
1990-04-09,2.7936,2.7936,2.7220,2.7220
1990-04-10,2.7936,2.7936,2.7220,2.7936
1990-04-11,2.7936,2.8294,2.7936,2.7936
1990-04-12,2.7578,2.8294,2.7578,2.8294
1990-04-16,2.7578,2.8294,2.7578,2.7578
1990-04-17,2.7578,2.8294,2.6861,2.7578
1990-04-18,2.6861,2.7578,2.6145,2.7220
1990-04-19,2.6861,2.6861,2.5787,2.6861
1990-04-20,2.6503,2.7220,2.6145,2.6503
1990-04-23,2.6503,2.6503,2.5787,2.6145
1990-04-24,2.6503,2.6861,2.5787,2.6145
1990-04-25,2.5787,2.6503,2.5429,2.6145
1990-04-26,2.5429,2.6145,2.5429,2.5787
1990-04-27,2.6145,2.6145,2.5429,2.5787
1990-04-30,2.6145,2.6145,2.5429,2.6145
1990-05-01,2.5787,2.6145,2.5429,2.5787
1990-05-02,2.5429,2.5787,2.5071,2.5787
1990-05-03,2.5787,2.5787,2.5071,2.5787
1990-05-04,2.5787,2.5787,2.5071,2.5429
1990-05-07,2.5071,2.5787,2.5071,2.5787
1990-05-08,2.5429,2.7220,2.5429,2.7220
1990-05-09,2.7578,2.7936,2.6861,2.7936
1990-05-10,2.7220,2.8294,2.7220,2.7936
1990-05-11,2.7936,2.7936,2.6503,2.6503
1990-05-14,2.6503,2.7220,2.5787,2.6861
1990-05-15,2.6861,2.6861,2.6503,2.6503
1990-05-16,2.6503,2.6861,2.6145,2.6145
1990-05-17,2.6861,2.6861,2.5429,2.5429
1990-05-18,2.5429,2.5787,2.5429,2.5429
1990-05-21,2.5947,2.6307,2.5586,2.5586
1990-05-22,2.6307,2.6307,2.5586,2.5586
1990-05-23,2.5226,2.5586,2.4505,2.5226
1990-05-24,2.4505,2.5586,2.4505,2.4866
1990-05-25,2.5586,2.5947,2.4866,2.5226
1990-05-29,2.5226,2.5947,2.5226,2.5947
1990-05-30,2.5947,2.5947,2.5226,2.5226
1990-05-31,2.5586,2.5947,2.4866,2.4866
1990-06-01,2.5226,2.5586,2.4866,2.5586
1990-06-04,2.5586,2.5947,2.4866,2.5586
1990-06-05,2.4866,2.5586,2.4866,2.5226
1990-06-06,2.5586,2.5947,2.5226,2.5947
1990-06-07,2.5586,2.5947,2.5226,2.5226
1990-06-08,2.5586,2.5947,2.4866,2.4866
1990-06-11,2.4866,2.5226,2.4505,2.4505
1990-06-12,2.5226,2.5947,2.4505,2.5947
1990-06-13,2.5226,2.5947,2.4866,2.5586
1990-06-14,2.4866,2.5226,2.4866,2.4866
1990-06-15,2.5226,2.5226,2.4866,2.4866
1990-06-18,2.5226,2.5586,2.4505,2.5586
1990-06-19,2.5226,2.6668,2.5226,2.6668
1990-06-20,2.6668,2.7388,2.6307,2.7388
1990-06-21,2.7749,2.8469,2.7388,2.8469
1990-06-22,2.8469,2.8469,2.7028,2.7388
1990-06-25,2.6668,2.7749,2.6668,2.7388
1990-06-26,2.7028,2.7388,2.6307,2.6668
1990-06-27,2.5947,2.6668,2.5947,2.6668
1990-06-28,2.5947,2.6668,2.5947,2.5947
1990-06-29,2.5947,2.6668,2.5226,2.5586
1990-07-02,2.5947,2.5947,2.5586,2.5947
1990-07-03,2.5947,2.5947,2.5586,2.5947
1990-07-05,2.6307,2.7388,2.5947,2.7388
1990-07-06,2.7388,2.7749,2.7028,2.7749
1990-07-09,2.7749,2.7749,2.7388,2.7749
1990-07-10,2.7749,2.8109,2.7028,2.7749
