DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2019-10-04,9.7750,9.8000,9.7750,9.8000,0.436,
2019-10-07,9.7900,9.7900,9.7900,9.7900,0.250,
2019-10-08,9.8300,9.8300,9.7900,9.8000,0.006,
2019-10-09,9.7900,9.8100,9.7900,9.8000,0.326,
2019-10-10,9.8000,9.9000,9.8000,9.8900,0.079,
2019-10-11,9.8900,9.8900,9.8900,9.8900,0.000,
2019-10-14,9.8900,9.8900,9.8900,9.8900,0.000,
2019-10-15,9.8900,9.8900,9.8500,9.8500,0.004,
2019-10-16,9.8500,9.8500,9.8500,9.8500,0.000,
2019-10-17,9.8500,9.8500,9.8500,9.8500,0.000,
2019-10-18,9.8500,9.8500,9.8500,9.8500,0.000,
2019-10-21,9.8700,9.8700,9.8200,9.8200,0.177,
2019-10-22,9.8000,9.8800,9.8000,9.8500,0.201,
2019-10-23,9.8500,9.8500,9.8500,9.8500,0.000,
2019-10-24,9.8500,9.8500,9.8500,9.8500,0.000,
2019-10-25,9.8400,9.8400,9.8400,9.8400,0.001,
2019-10-28,9.8400,9.8400,9.8400,9.8400,0.000,
2019-10-29,9.8400,9.8400,9.8400,9.8400,0.000,
2019-10-30,9.8400,9.8400,9.8400,9.8400,0.882,
2019-10-31,9.8400,9.8400,9.8400,9.8400,0.000,
2019-11-01,9.8400,9.8400,9.8400,9.8400,0.000,
2019-11-04,9.8400,10.0000,9.8400,9.8600,0.021,
2019-11-05,9.8500,10.0000,9.8500,10.0000,0.048,
2019-11-06,9.8500,9.8800,9.8410,9.8410,0.010,
2019-11-07,9.8400,9.9000,9.8400,9.9000,0.133,
2019-11-08,9.8800,9.8800,9.8800,9.8800,0.000,
2019-11-11,9.8600,9.8600,9.8600,9.8600,0.109,
2019-11-12,9.9400,10.8700,9.8900,9.9800,0.003,
2019-11-13,9.8700,9.9000,9.8500,9.8500,0.108,
2019-11-15,9.8800,9.8800,9.8800,9.8800,0.000,
2019-11-18,9.8600,9.8600,9.8600,9.8600,0.740,
2019-11-19,9.8600,9.8700,9.8500,9.8700,0.105,
2019-11-20,9.8700,9.8800,9.8500,9.8500,0.677,
2019-11-21,9.8500,9.8500,9.8500,9.8500,0.000,
2019-11-22,9.8600,9.8800,9.8500,9.8500,0.062,
2019-11-25,9.8500,9.8500,9.8500,9.8500,0.000,
2019-11-26,9.8400,9.8500,9.8400,9.8500,0.000,
2019-11-27,9.8700,9.8700,9.8500,9.8500,0.007,
2019-11-29,9.8500,9.8500,9.8500,9.8500,0.017,
2019-12-02,9.8500,9.8500,9.8500,9.8500,0.000,
2019-12-03,9.8500,10.2200,9.8500,9.8500,0.002,
2019-12-04,9.9000,9.9000,9.8600,9.9000,0.302,
2019-12-05,10.3700,10.3700,9.8600,9.8900,0.001,
2019-12-06,9.9100,10.2500,9.8700,10.2500,0.002,
2019-12-09,10.1900,10.1900,9.8600,9.8600,0.005,
2019-12-10,9.9083,9.9083,9.8400,9.9000,0.001,
2019-12-11,9.9000,9.9000,9.9000,9.9000,0.000,
2019-12-12,9.8500,9.8900,9.8500,9.8800,0.000,
2019-12-13,9.8800,9.8800,9.8700,9.8700,0.236,
2019-12-16,9.8800,9.9000,9.8700,9.8700,0.209,9.868
2019-12-17,9.8800,9.9150,9.8800,9.9150,0.066,9.871
2019-12-18,9.8800,9.8800,9.8800,9.8800,0.200,9.873
2019-12-19,9.9500,9.9500,9.8800,9.8800,0.006,9.874
2019-12-20,9.8800,9.8800,9.8800,9.8800,0.001,9.876
2019-12-23,9.9500,9.9500,9.9500,9.9500,0.000,9.877
2019-12-24,9.8800,9.9500,9.8800,9.9500,0.000,9.878
2019-12-26,9.8900,9.9000,9.8800,9.8800,0.001,9.878
2019-12-27,9.9100,9.9100,9.8800,9.8800,0.018,9.879
2019-12-30,9.9200,9.9500,9.9100,9.9100,0.091,9.880
2019-12-31,9.8800,9.9500,9.8800,9.9500,0.005,9.882
2020-01-02,9.9000,9.9000,9.9000,9.9000,0.000,9.883
2020-01-03,9.9000,9.9000,9.9000,9.9000,0.000,9.884
2020-01-06,9.9200,9.9200,9.9200,9.9200,0.100,9.886
2020-01-07,9.9500,9.9500,9.9300,9.9300,0.002,9.887
2020-01-08,10.7400,10.9200,9.9600,9.9600,0.022,9.890
2020-01-09,10.0100,10.0100,10.0100,10.0100,0.010,9.893
2020-01-10,10.0100,10.0100,10.0100,10.0100,0.000,9.896
2020-01-13,10.0100,10.0100,10.0100,10.0100,0.000,9.900
2020-01-14,10.0100,10.0100,10.0100,10.0100,0.000,9.903
2020-01-15,10.0300,10.1200,10.0300,10.1200,0.000,9.909
2020-01-16,10.0400,10.1000,10.0300,10.0300,0.007,9.913
2020-01-17,10.0300,10.0300,10.0300,10.0300,0.000,9.916
2020-01-21,10.0500,10.1198,9.9000,9.9000,0.031,9.914
2020-01-22,10.0300,10.1200,9.9000,9.9000,0.009,9.915
2020-01-23,9.9000,10.0500,9.9000,9.9600,0.021,9.916
2020-01-24,9.9600,9.9600,9.9500,9.9500,0.020,9.918
2020-01-27,9.9500,9.9500,9.9500,9.9500,0.000,9.920
2020-01-28,9.9500,9.9500,9.9500,9.9500,0.000,9.919
2020-01-29,9.9500,9.9500,9.9500,9.9500,0.000,9.921
2020-01-30,9.9500,9.9500,9.9500,9.9500,0.000,9.922
2020-01-31,9.9500,9.9500,9.9500,9.9500,0.000,9.924
2020-02-03,9.9500,9.9500,9.9500,9.9500,0.000,9.926
2020-02-04,9.9500,9.9500,9.9500,9.9500,0.000,9.928
2020-02-05,10.0200,10.0600,10.0200,10.0600,0.310,9.932
2020-02-06,10.0600,10.0600,10.0600,10.0600,0.000,9.936
2020-02-07,10.0600,10.0600,10.0600,10.0600,0.000,9.940
2020-02-10,10.1200,10.1200,10.0600,10.0750,0.119,9.945
2020-02-11,10.0950,10.1100,10.0700,10.1000,0.411,9.950
2020-02-12,10.0800,10.0800,10.0800,10.0800,0.000,9.954
2020-02-13,10.0900,10.0900,10.0900,10.0900,0.100,9.959
2020-02-14,10.0900,10.0900,10.0900,10.0900,0.000,9.964
2020-02-18,10.0900,10.0900,10.0900,10.0900,0.000,9.968
2020-02-19,10.0800,10.0800,10.0800,10.0800,0.007,9.972
2020-02-20,10.0800,10.0800,10.0800,10.0800,0.000,9.968
2020-02-21,10.0900,10.0900,10.0900,10.0900,0.010,9.973
2020-02-24,10.0900,10.0900,10.0900,10.0900,0.000,9.977
2020-02-25,10.0900,10.0900,10.0900,10.0900,0.100,9.980
2020-02-26,10.0900,10.0900,10.0900,10.0900,0.250,9.985
2020-02-27,10.0900,10.0900,10.0900,10.0900,0.000,9.989
2020-02-28,10.0900,10.0900,10.0900,10.0900,0.000,9.993
2020-03-02,10.0800,10.0800,10.0800,10.0800,0.075,9.997
2020-03-03,10.0800,10.1200,10.0800,10.1200,0.127,10.002
2020-03-04,10.1200,10.1200,10.1000,10.1000,0.315,10.006
2020-03-05,10.1000,10.1000,10.1000,10.1000,0.000,10.010
2020-03-06,10.0201,10.0201,10.0201,10.0201,0.000,10.012
2020-03-09,10.0201,10.0201,10.0201,10.0201,0.000,10.013
2020-03-10,10.0201,10.0201,10.0201,10.0201,0.000,10.016
2020-03-11,10.0000,10.0000,9.8500,9.9900,0.504,10.018
2020-03-12,9.9800,9.9800,9.8000,9.9000,1.254,10.018
2020-03-13,9.9000,9.9000,9.9000,9.9000,0.000,10.017
2020-03-16,9.5400,9.7000,9.5200,9.7000,0.048,10.013
2020-03-17,9.7000,9.7000,9.7000,9.7000,0.000,10.009
2020-03-18,9.5000,9.5000,9.2500,9.2500,0.457,9.996
2020-03-19,9.2500,9.2600,9.1500,9.2500,2.108,9.982
