DATE,OPEN,HIGH,LOW,CLOSE
2021-11-05,16.0000,17.8800,15.1500,15.6500
2021-11-08,15.0000,15.3500,12.5100,13.1500
2021-11-09,13.0000,13.9300,12.8500,13.3200
2021-11-10,13.0300,13.4800,11.4494,12.0800
2021-11-11,12.4300,13.4300,12.0200,12.1500
2021-11-12,11.0600,12.4900,11.0600,11.5000
2021-11-15,12.1800,12.4600,10.9500,11.2000
2021-11-16,11.1500,11.9100,10.8400,11.1200
2021-11-17,11.3500,12.3000,10.4561,10.5400
2021-11-18,10.5400,10.6973,9.1000,9.3500
2021-11-19,9.3500,10.0500,8.6600,8.7100
2021-11-22,8.8700,9.1950,7.7300,7.7400
2021-11-23,7.7400,8.1200,6.7500,7.1000
2021-11-24,7.0000,7.9700,7.0000,7.3000
2021-11-26,7.3200,8.5000,7.3200,7.6100
2021-11-29,8.1900,9.2900,8.0000,8.7400
2021-11-30,9.4900,10.6100,9.0000,9.3300
2021-12-01,9.1100,9.7197,7.3600,7.7000
2021-12-02,7.3700,8.6700,7.3700,8.2700
2021-12-03,9.8400,12.5800,9.5482,10.9000
2021-12-06,10.1500,10.5800,9.1500,10.1500
2021-12-07,9.7400,10.1400,9.0200,10.1300
2021-12-08,10.0000,11.0000,9.2500,10.8500
2021-12-09,10.6000,10.7010,10.1650,10.6000
2021-12-10,11.0000,11.1400,10.2101,10.5500
2021-12-13,10.5500,10.5500,10.0000,10.0300
2021-12-14,10.0000,10.7300,10.0000,10.1000
2021-12-15,10.1000,10.5887,9.5200,10.4700
2021-12-16,10.5600,10.8500,9.5700,10.3600
2021-12-17,10.5000,10.5000,9.7700,10.0000
2021-12-20,10.1100,10.1100,9.4000,10.0000
2021-12-21,10.0850,10.0850,8.0100,8.2600
2021-12-22,8.2600,8.4000,8.0000,8.0900
2021-12-23,8.0100,8.2500,7.8400,8.2500
2021-12-27,8.2400,8.2400,7.8600,7.9300
2021-12-28,8.1964,8.1964,7.0800,7.1501
2021-12-29,6.9900,7.3450,6.9900,7.2000
2021-12-30,7.3000,8.1000,6.5000,6.6800
2021-12-31,6.8500,6.9999,6.0200,6.4000
2022-01-03,6.5700,7.2600,6.5600,7.1300
2022-01-04,7.2800,7.7600,6.9700,7.3200
2022-01-05,7.3600,7.7000,7.0100,7.0600
2022-01-06,7.2800,7.4000,6.6700,6.6800
2022-01-07,6.6800,7.2000,6.4800,6.9300
2022-01-10,6.6300,7.2000,6.6000,7.1200
2022-01-11,7.1743,7.2000,6.8900,6.9600
2022-01-12,7.0000,7.3100,6.7800,7.3100
