DATE,OPEN,HIGH,LOW,CLOSE
2014-07-01,12.9750,13.2485,12.8565,12.9476
2014-07-02,12.8929,12.9932,12.8109,12.8565
2014-07-03,12.9385,12.9385,12.4826,12.8109
2014-07-07,12.7744,12.8747,12.7653,12.7653
2014-07-08,12.7835,12.8838,12.7653,12.7653
2014-07-09,12.8200,12.8200,12.7653,12.7653
2014-07-10,12.7653,12.8200,12.7653,12.8200
2014-07-11,12.8838,12.9449,12.7926,12.7926
2014-07-14,12.8019,12.9467,12.8019,12.8109
2014-07-15,12.8564,12.8565,12.8109,12.8109
2014-07-16,12.8565,13.5130,12.7653,13.1756
2014-07-17,12.8565,13.2212,12.8565,13.1482
2014-07-18,13.1300,13.1300,12.9203,13.1300
2014-07-21,13.2212,13.2212,12.7744,12.9021
2014-07-22,12.7926,13.0386,12.7926,12.8747
2014-07-23,12.8656,13.0133,12.8565,12.8565
2014-07-24,12.8656,12.8656,12.8656,12.8656
2014-07-25,12.9932,12.9932,12.8656,12.8929
2014-07-28,13.3853,13.3853,12.7653,12.7653
2014-07-29,12.7653,13.0024,12.7653,12.8929
2014-07-30,12.7744,12.8109,12.7471,12.7744
2014-07-31,12.7653,12.7835,12.7653,12.7835
2014-08-01,12.7653,12.8473,12.7653,12.7926
2014-08-04,12.8018,12.8018,12.8018,12.8018
2014-08-05,12.7653,12.8564,12.7653,12.7653
2014-08-06,12.7744,12.7744,12.7744,12.7744
2014-08-07,12.8109,12.8109,12.7744,12.8018
2014-08-08,12.7744,12.7744,12.7744,12.7744
2014-08-11,12.7653,12.8109,12.7653,12.7653
2014-08-12,12.5829,12.8109,12.5829,12.6121
2014-08-13,12.7652,12.7653,12.7652,12.7653
2014-08-14,12.5920,12.7653,12.5829,12.7653
2014-08-15,12.5465,12.8109,12.5465,12.5465
2014-08-18,12.5829,12.8109,12.5829,12.7015
2014-08-19,12.5920,12.8109,12.5920,12.7835
2014-08-20,12.7379,12.7835,12.5829,12.7835
2014-08-21,12.6103,12.7653,12.6103,12.6741
2014-08-22,12.5374,13.0753,12.5374,12.9021
2014-08-25,12.6741,12.8109,12.6741,12.6923
2014-08-26,12.6742,12.8109,12.6742,12.7288
2014-08-27,12.7197,12.7653,12.7197,12.7653
2014-08-28,12.7451,12.7653,12.6832,12.7471
2014-08-29,12.7423,12.7653,12.7015,12.7197
2014-09-02,12.6832,12.7653,12.6832,12.7197
2014-09-03,12.6741,12.8565,12.6741,12.8565
2014-09-04,12.8109,12.8109,12.7197,12.8109
2014-09-05,12.7653,12.8109,12.7215,12.8018
2014-09-08,12.8109,12.8109,12.7015,12.7835
2014-09-09,12.8109,12.8109,12.7471,12.8109
2014-09-10,12.8109,12.8109,12.7197,12.8109
2014-09-11,12.8109,13.6771,12.7653,13.1209
2014-09-12,17.3243,17.3243,12.7653,12.8382
2014-09-15,12.7653,12.7653,12.6750,12.7288
2014-09-16,12.6103,12.9568,12.4006,12.5191
2014-09-17,12.5373,12.6468,12.4917,12.4917
2014-09-18,12.4006,12.5920,12.3094,12.4188
2014-09-19,12.3550,12.7653,11.9082,11.9173
2014-09-22,11.9447,12.0267,11.9447,12.0267
2014-09-23,12.2911,12.2911,12.2911,12.2911
2014-09-24,12.2729,12.2729,12.1270,12.1270
2014-09-25,12.0997,12.0997,12.0814,12.0814
2014-09-26,12.3094,12.3094,12.1179,12.2547
2014-09-29,12.2729,12.2911,11.9720,12.2091
2014-09-30,12.2000,12.2091,12.1270,12.1270
2014-10-01,12.1817,12.1817,11.9447,11.9447
2014-10-02,12.0541,12.2091,12.0358,12.2091
2014-10-03,12.2182,12.2182,12.1361,12.1361
2014-10-06,12.1635,12.1635,11.8717,11.8991
2014-10-07,11.9264,11.9264,11.9264,11.9264
2014-10-08,11.9264,11.9264,11.9264,11.9264
2014-10-09,12.1635,12.1635,11.8535,11.9903
2014-10-10,11.9143,12.1788,11.9143,12.1788
2014-10-13,11.9507,11.9507,11.8869,11.9143
2014-10-14,11.9051,12.1788,11.9051,12.1788
2014-10-15,12.1788,12.1788,12.1788,12.1788
2014-10-16,11.9325,11.9964,11.9143,11.9964
2014-10-17,11.9964,11.9964,11.9325,11.9781
2014-10-20,11.9234,11.9964,11.9051,11.9872
2014-10-21,11.9964,11.9964,11.9234,11.9690
2014-10-22,11.9872,11.9964,11.9234,11.9507
2014-10-23,11.9234,11.9325,11.8686,11.9143
2014-10-24,11.8897,11.9954,11.8686,11.8686
2014-10-27,11.9963,11.9964,11.8595,11.9964
2014-10-28,11.9964,12.0146,11.9964,12.0064
2014-10-29,12.2983,12.3339,12.2974,12.3339
2014-10-30,12.3339,12.3339,12.3339,12.3339
2014-10-31,12.7627,12.7718,12.2974,12.7718
2014-11-03,12.7718,12.7718,12.2518,12.2700
2014-11-04,12.5437,12.5437,12.2883,12.2883
2014-11-05,12.2244,12.2244,12.1879,12.2062
2014-11-06,12.2062,12.5857,12.2062,12.4069
2014-11-07,12.2335,12.2427,12.2244,12.2427
2014-11-10,12.2244,12.2245,12.1971,12.2244
2014-11-11,12.2244,12.2244,12.2244,12.2244
2014-11-12,12.2335,12.4981,12.2244,12.4981
2014-11-13,12.4981,12.7535,12.4981,12.4981
2014-11-14,12.3248,12.5437,12.3157,12.3157
2014-11-17,12.3157,12.3157,12.3157,12.3157
2014-11-18,12.3521,12.5665,12.3521,12.4069
2014-11-19,12.4069,12.4848,12.4069,12.4069
2014-11-20,12.4069,12.6792,12.4069,12.4069
2014-11-21,12.4069,12.5923,12.4069,12.5437
