DATE,OPEN,HIGH,LOW,CLOSE
2020-07-22,46.0000,51.0000,35.8500,39.2000
2020-07-23,41.4800,43.2500,39.2500,39.8800
2020-07-24,38.5000,40.4000,36.7500,39.7000
2020-07-27,39.8200,42.5000,39.5000,40.2900
2020-07-28,40.6800,42.4000,39.5000,40.5000
2020-07-29,40.0000,41.0000,40.0000,40.3000
2020-07-30,39.8000,41.4700,38.9900,41.2800
2020-07-31,42.4000,42.8726,40.0200,40.6000
2020-08-03,40.2900,40.6633,37.6500,38.1300
2020-08-04,37.9000,38.9902,37.8450,38.8900
2020-08-05,38.9700,40.2500,38.5901,40.1900
2020-08-06,39.6700,40.5000,39.3700,40.0600
2020-08-07,39.5000,40.4000,39.2031,40.2400
2020-08-10,40.2000,40.2000,39.2100,39.4200
2020-08-11,39.8500,39.8500,38.6000,39.2000
2020-08-12,39.1300,39.6900,38.6500,39.0600
2020-08-13,38.9400,39.5500,38.0000,38.0000
2020-08-14,38.1100,38.2550,35.5000,35.7800
2020-08-17,36.6500,38.9000,35.8000,38.3300
2020-08-18,39.3200,40.4000,39.0100,39.7000
2020-08-19,40.2300,40.2300,37.2700,38.5400
2020-08-20,38.3000,39.0400,37.1200,38.8300
2020-08-21,38.4100,40.4000,38.2100,40.1300
2020-08-24,40.5000,40.9600,37.5500,39.1500
2020-08-25,39.2400,39.2400,37.5700,38.5400
2020-08-26,38.5100,39.7800,38.4600,39.3300
2020-08-27,39.3900,39.5150,37.7200,37.8000
2020-08-28,38.1600,38.3999,37.2100,37.5500
2020-08-31,37.7300,38.9000,37.7300,38.6000
2020-09-01,39.5000,41.2200,37.8500,41.1800
2020-09-02,37.3500,40.9600,36.7500,38.5000
2020-09-03,37.8900,38.8900,37.5000,38.5900
2020-09-04,38.6400,38.6400,34.6100,36.6600
2020-09-08,35.9300,35.9300,33.3400,33.9000
2020-09-09,34.4100,35.3000,34.0000,34.9300
2020-09-10,35.1300,35.6000,33.5300,33.7800
2020-09-11,33.9300,34.4000,32.5500,33.0600
2020-09-14,33.4100,34.1899,32.8800,33.0900
2020-09-15,33.3400,33.5920,31.9500,32.3500
2020-09-16,32.5000,33.2600,31.6200,32.3000
2020-09-17,31.6600,33.3200,31.3579,33.0700
2020-09-18,33.3300,33.3700,32.8000,33.2600
2020-09-21,32.4100,34.9100,32.1800,34.7700
2020-09-22,34.9900,36.9000,34.8900,36.4900
2020-09-23,36.4600,36.7200,34.9900,35.1200
2020-09-24,34.7900,34.7900,33.1800,34.3900
2020-09-25,34.2500,34.9400,33.6100,34.2400
2020-09-28,34.8100,36.0000,34.3000,35.8800
