DATE,OPEN,HIGH,LOW,CLOSE
2007-06-01,17.5000,18.0000,16.9000,17.7300
2007-06-04,17.5000,17.9400,17.5000,17.5500
2007-06-05,17.5600,17.7000,17.5000,17.5900
2007-06-06,17.5000,17.5910,16.2500,17.4700
2007-06-07,17.6700,17.6700,16.6900,17.2100
2007-06-08,17.2300,17.5500,17.2000,17.2500
2007-06-11,17.2200,17.4500,17.1300,17.2400
2007-06-12,17.2400,17.2400,17.0000,17.0000
2007-06-13,17.0000,17.5000,17.0000,17.0000
2007-06-14,17.0000,17.0900,16.6600,17.0000
2007-06-15,16.5100,17.8000,16.5100,17.5800
2007-06-18,17.1700,17.2100,16.9600,16.9700
2007-06-19,16.9600,17.2000,16.9000,16.9900
2007-06-20,16.9400,17.0300,16.6400,17.0000
2007-06-21,16.6300,16.9500,16.6300,16.9500
2007-06-22,16.6200,16.9500,16.6100,16.6400
2007-06-25,16.4400,16.9500,15.7500,16.0200
2007-06-26,16.0000,16.3000,15.5000,15.7100
2007-06-27,15.5100,15.8700,15.5100,15.7700
2007-06-28,15.5900,15.9500,15.5900,15.8200
2007-06-29,15.5400,16.0000,15.5400,16.0000
2007-07-02,16.0000,17.1100,15.9900,16.5000
2007-07-03,16.3200,16.3200,15.8800,16.0900
2007-07-05,15.9300,16.4280,15.9100,16.1800
2007-07-06,15.6500,16.1500,15.6300,15.9100
2007-07-09,16.2300,16.2300,15.9000,15.9800
2007-07-10,15.7500,16.0000,15.6800,16.0000
2007-07-11,16.2900,17.0000,15.7700,15.7700
2007-07-12,16.1100,16.9500,15.2000,15.3400
2007-07-13,15.5000,15.5000,14.4800,14.7300
2007-07-16,15.0000,15.2500,14.2500,14.7600
2007-07-17,15.1200,15.1200,14.4700,14.5100
2007-07-18,14.2600,14.8300,14.2000,14.2000
2007-07-19,14.2800,14.5180,14.2000,14.2600
2007-07-20,14.4000,14.4700,14.0200,14.3000
2007-07-23,14.5000,14.5000,14.3000,14.5000
2007-07-24,14.3500,14.8600,14.0300,14.5000
2007-07-25,14.5000,14.8900,14.4100,14.4600
2007-07-26,14.7900,14.8000,14.1500,14.2400
2007-07-27,14.6000,14.6200,13.5000,13.8500
2007-07-30,15.1900,15.1900,14.2400,14.9500
2007-07-31,15.1300,15.1300,14.0800,14.1900
2007-08-01,14.3500,14.3500,13.5000,13.6500
2007-08-02,13.8900,14.2500,13.3800,13.4900
2007-08-03,13.3800,14.5900,13.3300,13.5800
2007-08-06,13.7800,13.8500,13.1200,13.5100
2007-08-07,13.0700,14.3800,13.0500,13.2600
2007-08-08,13.0500,13.9100,12.9800,13.1700
2007-08-09,12.9700,12.9700,11.7800,12.1000
2007-08-10,11.8100,13.4600,11.8100,12.9300
2007-08-13,13.2600,13.2600,12.5100,13.2500
2007-08-14,13.2500,13.3700,12.8400,13.0900
2007-08-15,13.0600,13.0600,12.4600,12.7500
2007-08-16,12.6600,12.8300,11.5100,12.8300
2007-08-17,12.8400,13.1800,12.4400,13.1800
2007-08-20,11.5000,13.3300,11.5000,13.0000
2007-08-21,12.1500,13.3000,12.1500,12.5500
2007-08-22,12.2500,13.4500,12.2500,13.3700
2007-08-23,13.3700,13.3700,12.4900,13.2500
2007-08-24,13.2500,13.3800,12.8700,13.2900
2007-08-27,13.0000,13.4000,13.0000,13.4000
2007-08-28,13.4400,13.8000,12.4000,12.7700
2007-08-29,12.8400,13.1000,12.4200,13.1000
2007-08-30,13.3400,13.8100,12.0000,13.0700
2007-08-31,13.8100,13.8100,13.2200,13.4400
2007-09-04,13.5700,13.9500,13.5700,13.8500
2007-09-05,13.7900,13.9300,12.7500,13.1500
2007-09-06,12.8900,13.1400,12.3800,13.0300
2007-09-07,13.4000,13.4900,12.3500,13.4900
2007-09-10,13.0300,13.5900,12.7700,12.9900
2007-09-11,13.3800,13.3800,12.7800,13.0200
2007-09-12,13.5400,13.5400,13.0000,13.1400
2007-09-13,13.8000,13.8100,12.9800,13.0000
2007-09-14,12.8800,13.2800,12.8600,13.1200
2007-09-17,13.0900,13.0900,12.8900,12.9200
2007-09-18,12.8800,12.9000,12.7600,12.8600
2007-09-19,12.8800,13.6800,12.8800,12.9900
2007-09-20,12.9500,13.7500,12.5500,12.9900
2007-09-21,13.0200,13.1600,12.0700,13.1100
2007-09-24,13.7400,14.0000,12.4100,12.7000
2007-09-25,12.6000,13.7500,12.0000,12.9000
2007-09-26,12.9000,13.1100,12.0100,12.7600
2007-09-27,12.4800,12.6700,11.7700,11.9500
2007-09-28,12.0000,12.3000,11.2000,11.2000
2007-10-01,11.3000,13.9900,11.3000,13.0700
2007-10-02,13.1000,13.8800,12.7400,13.4800
2007-10-03,13.4600,13.7050,13.0000,13.2600
2007-10-04,13.3300,13.9100,13.1200,13.5000
2007-10-05,13.6300,14.0000,13.3600,13.5000
2007-10-08,13.5400,13.5400,12.9700,13.4400
2007-10-09,13.5000,13.5400,12.8800,13.4300
2007-10-10,13.3400,13.4800,13.1500,13.4300
2007-10-11,13.4500,13.7300,13.0700,13.4600
2007-10-12,13.2900,13.7900,13.2700,13.4200
2007-10-15,13.4100,13.5100,12.8800,13.0200
2007-10-16,13.0100,13.4000,12.6600,13.0800
2007-10-17,13.2100,13.3800,12.5000,13.1300
2007-10-18,13.1200,13.3400,12.8000,13.0500
2007-10-19,13.0300,13.0500,12.3700,12.5300
2007-10-22,12.2700,13.2300,12.2100,12.9700
2007-10-23,13.0700,13.4700,12.8000,13.0000
2007-10-24,12.8600,13.3100,12.2700,13.0100
2007-10-25,13.1100,13.3300,12.7800,13.0600
2007-10-26,13.2600,13.4800,12.5100,13.4800
2007-10-29,13.4000,13.4500,13.0400,13.4400
2007-10-30,13.3500,13.4000,13.0100,13.0700
2007-10-31,13.0900,13.4900,12.7100,13.3800
2007-11-01,13.2100,13.2100,12.6400,13.0200
2007-11-02,12.5700,13.3400,12.5700,13.0200
2007-11-05,12.5200,13.4700,12.5200,13.3300
2007-11-06,12.9700,13.5000,12.4400,13.2400
2007-11-07,12.8700,13.2500,12.8600,13.0000
2007-11-08,13.1000,13.7900,12.2000,13.7900
2007-11-09,13.5800,13.5800,13.0200,13.4200
2007-11-12,13.3900,13.5900,12.9700,13.4000
2007-11-13,13.4000,13.6100,13.1900,13.4800
2007-11-14,13.6200,13.9900,12.5900,12.7500
2007-11-15,13.9900,13.9900,12.7500,12.9000
2007-11-16,12.8900,13.6900,12.4000,13.6600
2007-11-19,13.5300,13.5300,12.9200,13.0900
2007-11-20,13.1300,13.5300,12.9000,13.4700
2007-11-21,13.4300,13.5500,13.2500,13.3000
2007-11-23,13.3600,13.8100,13.2500,13.3800
2007-11-26,13.3800,13.9100,13.3000,13.4500
2007-11-27,13.7900,13.9850,13.6700,13.8600
2007-11-28,13.9200,14.7400,13.7600,14.5600
2007-11-29,14.5700,16.0000,14.5700,15.6000
2007-11-30,15.8100,15.9900,15.5000,15.5100
2007-12-03,15.5000,15.7700,15.2200,15.7700
2007-12-04,15.5800,15.9000,15.0600,15.6600
2007-12-05,15.7700,15.8000,15.2100,15.4400
2007-12-06,15.5000,16.9500,15.5000,16.9500
2007-12-07,17.0300,17.0700,16.0200,17.0300
2007-12-10,17.1400,17.1400,15.9900,16.0700
2007-12-11,16.3100,16.9400,15.0400,15.0600
2007-12-12,15.3200,15.4900,14.2100,14.3100
2007-12-13,14.1900,15.7500,14.1900,15.5000
2007-12-14,15.4400,15.4900,15.0500,15.3700
2007-12-17,15.2500,15.4000,14.7200,15.1500
2007-12-18,15.3000,15.3000,14.3700,14.7000
2007-12-19,14.6400,15.4000,14.5300,14.7000
2007-12-20,14.8500,16.1100,14.8500,16.0600
2007-12-21,16.3100,16.4900,15.0200,15.4800
2007-12-24,15.7900,15.7900,13.7600,14.5900
2007-12-26,14.1500,15.4300,14.1500,15.0600
2007-12-27,14.8600,15.0000,14.8300,14.9400
2007-12-28,14.5200,15.2200,14.5200,14.7900
2007-12-31,15.1000,15.1000,14.1700,14.7000
2008-01-02,14.9200,14.9900,14.4600,14.8000
2008-01-03,14.6000,14.9100,14.3900,14.8100
2008-01-04,14.5900,14.8900,14.1500,14.2500
2008-01-07,14.0000,14.9900,14.0000,14.7700
2008-01-08,14.6200,14.7200,14.5000,14.6400
2008-01-09,14.3700,15.1000,14.3700,15.1000
2008-01-10,14.7600,15.5800,14.3500,15.4600
2008-01-11,15.4200,15.4200,14.7500,14.7500
2008-01-14,14.6100,15.3800,13.4700,14.5300
2008-01-15,14.1800,14.8800,13.6600,14.4800
2008-01-16,14.4700,14.9300,13.9300,14.8400
