DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2023-07-25,4.0000,5.5000,3.6600,3.8200,2.494,
2023-07-26,3.1100,3.6400,2.8500,3.2900,0.789,
2023-07-27,3.0000,3.0000,2.1700,2.3000,0.641,
2023-07-28,2.2200,2.4500,2.1500,2.1700,0.504,
2023-07-31,2.2000,2.3599,1.9000,2.1000,0.278,
2023-08-01,1.9900,2.1600,1.9400,1.9600,0.223,
2023-08-02,2.0000,2.0000,1.6300,1.6300,0.322,
2023-08-03,1.6500,1.7400,1.3500,1.3700,0.328,
2023-08-04,1.3700,1.4494,1.2800,1.3200,0.224,
2023-08-07,1.3000,1.4899,1.2900,1.3700,0.138,
2023-08-08,1.3600,1.4599,1.3200,1.4100,0.053,
2023-08-09,1.3700,1.5899,1.3700,1.4700,0.060,
