DATE,OPEN,HIGH,LOW,CLOSE
2020-08-06,10.0000,10.0000,9.9400,9.9800
2020-08-07,9.9500,10.0000,9.9500,10.0000
2020-08-10,10.0000,10.0000,9.9600,10.0000
2020-08-11,9.9900,9.9901,9.9600,9.9700
2020-08-12,9.9800,9.9900,9.9500,9.9600
2020-08-13,9.9898,10.0000,9.9500,10.0000
2020-08-14,9.9500,10.0000,9.9500,10.0000
2020-08-17,10.0000,10.0000,9.9500,9.9500
2020-08-18,9.9900,9.9900,9.9300,9.9300
2020-08-19,9.9450,9.9600,9.8500,9.9200
2020-08-20,9.9400,9.9600,9.8700,9.8700
2020-08-21,9.8700,9.8850,9.8500,9.8500
2020-08-24,9.8900,9.9000,9.8700,9.8700
2020-08-25,9.9000,9.9200,9.8700,9.8900
2020-08-26,9.8500,9.9700,9.8500,9.8700
2020-08-27,9.8700,10.0000,9.8700,9.9900
2020-08-28,9.9500,9.9500,9.9400,9.9400
2020-08-31,9.9300,9.9300,9.8700,9.8700
2020-09-01,9.9300,9.9500,9.9030,9.9030
2020-09-02,9.9000,9.9600,9.9000,9.9600
2020-09-03,9.9550,9.9800,9.9550,9.9600
2020-09-04,9.9760,9.9800,9.9700,9.9800
2020-09-08,9.9800,9.9900,9.9000,9.9900
2020-09-09,10.0000,10.0000,9.9740,9.9800
2020-09-10,10.0000,10.0000,9.9500,10.0000
2020-09-11,10.0000,10.0000,9.9796,9.9800
2020-09-14,9.9800,9.9800,9.9678,9.9800
2020-09-15,9.9800,9.9800,9.9617,9.9800
2020-09-16,9.9900,10.0000,9.9300,9.9800
2020-09-17,9.9900,10.0000,9.9800,9.9800
2020-09-18,9.9900,9.9900,9.9863,9.9869
2020-09-21,9.8500,10.0000,9.8500,9.9800
2020-09-22,9.9800,9.9900,9.9600,9.9900
2020-09-23,9.9800,9.9800,9.9500,9.9600
2020-09-24,9.9500,9.9800,9.9500,9.9717
2020-09-25,9.9500,9.9800,9.8000,9.9800
2020-09-28,9.9600,9.9900,9.9500,9.9700
2020-09-29,9.9750,9.9750,9.9750,9.9750
2020-09-30,9.9750,12.7700,9.9600,12.7700
2020-10-01,10.1500,10.1500,9.9600,9.9700
2020-10-02,10.0250,10.0250,9.9700,9.9700
2020-10-05,9.9700,10.0100,9.9500,9.9600
2020-10-06,10.0900,10.0900,9.9500,10.0200
2020-10-07,9.9600,9.9700,9.9600,9.9700
2020-10-08,10.0400,10.0400,9.9500,9.9500
2020-10-09,10.0300,10.0300,9.9700,9.9700
2020-10-12,9.9800,10.0000,9.9500,10.0000
2020-10-13,9.9600,9.9600,9.9500,9.9500
2020-10-14,10.0800,10.0800,9.9900,9.9900
2020-10-15,9.9700,9.9700,9.9686,9.9686
2020-10-16,10.0400,10.0400,9.9500,9.9500
2020-10-19,9.9500,9.9500,9.9500,9.9500
2020-10-20,9.9600,9.9600,9.9600,9.9600
2020-10-21,9.9600,10.0800,9.9500,10.0800
2020-10-22,9.9600,10.0800,9.9400,9.9500
2020-10-23,9.9500,9.9500,9.9500,9.9500
2020-10-26,9.9500,9.9750,9.9500,9.9500
2020-10-27,9.9500,10.0000,9.9500,10.0000
2020-10-28,9.9600,9.9600,9.9500,9.9500
2020-10-29,9.9850,10.0000,9.9200,10.0000
2020-10-30,9.9200,9.9200,9.9200,9.9200
2020-11-02,9.9200,9.9200,9.9200,9.9200
2020-11-04,9.9200,9.9200,9.9200,9.9200
2020-11-05,9.9500,10.1000,9.9303,9.9900
2020-11-06,10.0200,10.0500,10.0198,10.0500
2020-11-09,10.1000,10.1000,9.9200,9.9200
2020-11-10,10.0150,10.0983,9.9317,10.0354
2020-11-12,9.9200,9.9999,9.9200,9.9600
2020-11-13,10.0650,10.0650,9.9427,10.0250
2020-11-16,10.0000,10.0100,10.0000,10.0000
2020-11-17,10.0500,10.0500,9.9200,9.9700
2020-11-18,10.0300,10.0900,9.9700,9.9800
2020-11-19,10.0350,10.0900,9.9800,10.0500
2020-11-20,10.0000,10.0000,10.0000,10.0000
2020-11-23,10.0100,10.1000,9.9750,10.0600
2020-11-24,10.0445,10.1000,10.0301,10.0500
2020-11-25,10.0501,10.0720,10.0500,10.0720
2020-11-27,10.0720,10.0720,10.0720,10.0720
2020-11-30,10.0500,10.0500,10.0000,10.0500
2020-12-01,10.1898,10.1900,10.1895,10.1900
2020-12-02,10.0500,10.0500,10.0499,10.0500
2020-12-03,10.0900,10.4650,10.0900,10.2500
2020-12-04,10.4000,10.4000,10.2500,10.2600
2020-12-07,10.4500,11.0000,10.3550,10.4800
2020-12-08,10.4000,10.5500,10.0900,10.1600
2020-12-10,10.1600,10.1600,10.1600,10.1600
2020-12-11,10.2500,10.2500,10.2500,10.2500
2020-12-15,10.4800,10.6900,10.3800,10.3800
2020-12-16,10.2100,10.5000,10.2030,10.5000
2020-12-17,10.6300,10.7500,10.1900,10.4000
2020-12-18,10.7200,10.8200,10.0600,10.0600
2020-12-21,10.4800,10.4800,10.3900,10.3900
2020-12-22,10.5600,10.5600,10.4299,10.5000
2020-12-23,10.5900,10.8000,10.4900,10.5000
2020-12-24,10.5000,10.5000,10.5000,10.5000
2020-12-28,10.5300,10.6424,10.5100,10.5300
2020-12-29,10.6600,10.6600,10.6600,10.6600
2020-12-30,10.6600,10.6600,10.6600,10.6600
2020-12-31,10.7700,10.7700,10.5000,10.5000
2021-01-04,10.5000,10.5000,10.5000,10.5000
2021-01-05,10.5000,10.5000,10.5000,10.5000
2021-01-06,10.6900,10.6900,10.6900,10.6900
2021-01-07,10.5001,10.5002,10.5000,10.5001
2021-01-08,10.6957,10.7000,10.6400,10.6950
2021-01-11,10.8000,10.8000,10.6500,10.6500
2021-01-12,10.8000,10.8000,10.8000,10.8000
2021-01-13,10.8500,10.8500,10.7700,10.8500
2021-01-14,10.9000,11.2500,10.8900,11.0000
2021-01-15,11.0000,11.0000,11.0000,11.0000
2021-01-19,11.0200,11.0200,10.6000,10.6000
2021-01-20,11.2000,11.2000,10.6100,10.9900
2021-01-21,11.2000,11.2000,11.2000,11.2000
2021-01-22,11.0100,11.1000,11.0000,11.1000
2021-01-25,11.2100,12.1300,11.0001,11.5000
2021-01-26,11.6000,11.7500,11.5000,11.7000
2021-01-27,11.9000,11.9000,11.0000,11.0100
2021-01-28,11.2250,11.2250,11.0144,11.0999
2021-01-29,11.0100,11.1500,11.0000,11.1000
2021-02-01,11.9000,12.2300,11.0100,11.2700
2021-02-02,11.4900,11.4900,10.8500,10.8800
2021-02-03,10.8800,11.1000,10.8500,10.9300
2021-02-04,10.8400,11.1300,10.8400,10.9000
2021-02-05,10.8300,11.0200,10.7685,10.9500
2021-02-08,10.9000,10.9900,10.8300,10.9400
2021-02-09,11.0000,11.0900,10.9000,10.9600
2021-02-10,11.0750,11.0750,10.8100,10.9100
