DATE,OPEN,HIGH,LOW,CLOSE
2003-10-06,1.8688,1.9575,1.8515,1.9452
2003-10-07,1.9279,2.0450,1.9279,2.0018
2003-10-08,2.0142,2.0142,1.9464,1.9834
2003-10-09,1.9599,1.9834,1.9218,1.9218
2003-10-10,1.9218,1.9635,1.8663,1.8996
2003-10-13,1.9070,1.9070,1.8786,1.8860
2003-10-14,1.8934,2.0511,1.8860,2.0080
2003-10-15,2.0092,2.0844,1.9710,1.9723
2003-10-16,1.9883,2.0018,1.9710,1.9834
2003-10-17,1.9723,1.9784,1.9526,1.9526
2003-10-20,1.9686,1.9735,1.9415,1.9649
2003-10-21,1.9575,1.9686,1.9538,1.9649
2003-10-22,1.9710,1.9710,1.9464,1.9513
2003-10-23,1.9415,1.9415,1.8910,1.9094
2003-10-24,1.9045,1.9710,1.9045,1.9624
2003-10-27,1.9709,2.0450,1.9402,1.9710
2003-10-28,2.0203,2.0450,1.9316,1.9501
2003-10-29,1.9428,1.9981,1.9279,1.9834
2003-10-30,1.9834,2.0868,1.9710,2.0450
2003-10-31,2.0511,2.1312,2.0450,2.1312
2003-11-03,2.1312,2.2014,2.1028,2.1571
2003-11-04,2.1817,2.1817,2.0942,2.1226
2003-11-05,2.0930,2.1004,2.0573,2.0942
2003-11-06,2.0918,2.0942,2.0523,2.0794
2003-11-07,2.0942,2.0942,2.0585,2.0942
2003-11-10,2.0548,2.1065,2.0548,2.0881
2003-11-11,2.0634,2.0942,2.0634,2.0942
2003-11-12,2.0696,2.1176,2.0573,2.0930
2003-11-13,2.0573,2.0941,2.0462,2.0474
2003-11-14,2.0462,2.0696,2.0462,2.0622
2003-11-17,2.0634,2.0757,2.0203,2.0215
2003-11-18,2.0215,2.0326,2.0080,2.0080
2003-11-19,2.0043,2.0499,1.9957,2.0326
2003-11-20,2.0326,2.0448,2.0018,2.0265
2003-11-21,2.0018,2.0450,1.9957,2.0450
2003-11-24,2.0450,2.0573,2.0203,2.0573
2003-11-25,2.0696,2.1189,2.0326,2.0634
2003-11-26,2.0794,2.2113,2.0573,2.1928
2003-11-28,2.1928,2.1989,2.1435,2.1805
2003-12-01,2.2051,2.2174,2.1558,2.2174
2003-12-02,2.1558,2.2174,2.1558,2.1743
2003-12-03,2.1940,2.1989,2.1571,2.1977
2003-12-04,2.1928,2.2137,2.1866,2.2137
2003-12-05,2.1866,2.2421,2.1866,2.1879
2003-12-08,2.2113,2.2113,2.0819,2.0819
2003-12-09,2.1620,2.1620,1.9255,1.9772
2003-12-10,1.9784,2.0277,1.9710,2.0079
2003-12-11,2.0018,2.1115,1.9710,2.0819
2003-12-12,2.0708,2.1435,2.0684,2.1361
2003-12-15,2.0708,2.1805,2.0708,2.1250
2003-12-16,2.1263,2.1928,2.1263,2.1768
2003-12-17,2.1312,2.2285,2.1312,2.2174
2003-12-18,2.2236,2.2236,2.1952,2.2174
2003-12-19,2.1768,2.2174,2.1768,2.2174
2003-12-22,2.1571,2.2236,2.1571,2.2174
2003-12-23,2.2174,2.2482,2.2125,2.2421
2003-12-24,2.2544,2.2544,2.2125,2.2482
2003-12-26,2.2421,2.2482,2.2421,2.2482
2003-12-29,2.2113,2.2531,2.2113,2.2482
2003-12-30,2.2137,2.2790,2.2026,2.2026
2003-12-31,2.2186,2.2359,2.1842,2.2113
2004-01-02,2.1817,2.2174,2.1718,2.1829
2004-01-05,2.2358,2.2358,2.1681,2.1879
2004-01-06,2.1583,2.2482,2.1583,2.1879
2004-01-07,2.2174,2.2174,2.1928,2.2113
2004-01-08,2.1928,2.2137,2.1435,2.2088
2004-01-09,2.2174,2.2236,2.2014,2.2088
2004-01-12,2.1952,2.2174,2.1706,2.2051
2004-01-13,2.1435,2.2113,2.1324,2.1743
2004-01-14,2.1940,2.2039,2.1558,2.1743
2004-01-15,2.1977,2.2310,2.1805,2.2310
2004-01-16,2.2310,2.2778,2.2088,2.2642
2004-01-20,2.2433,2.3209,2.2396,2.3209
2004-01-21,2.3332,2.5168,2.2347,2.4367
2004-01-22,2.4392,2.4392,2.3948,2.4330
2004-01-23,2.4392,2.4515,2.3580,2.4134
2004-01-26,2.4243,2.4638,2.4047,2.4219
2004-01-27,2.4515,2.4515,2.2729,2.3431
2004-01-28,2.3714,2.3714,2.3258,2.3406
2004-01-29,2.3393,2.3443,2.3036,2.3061
2004-01-30,2.3160,2.3160,2.2631,2.3012
2004-02-02,2.3098,2.3098,2.2790,2.3098
2004-02-03,2.3098,2.3098,2.2544,2.2655
2004-02-04,2.3072,2.3098,2.2039,2.2285
2004-02-05,2.2667,2.2678,2.2051,2.2051
2004-02-06,2.2039,2.2162,2.0942,2.1065
2004-02-09,2.1915,2.1915,2.1275,2.1435
2004-02-10,2.1866,2.2174,2.1558,2.2037
2004-02-11,2.1558,2.2088,2.1558,2.1792
2004-02-12,2.1866,2.2137,2.1558,2.2014
2004-02-13,2.2008,2.2137,2.1681,2.2100
2004-02-17,2.1681,2.2076,2.1681,2.1681
2004-02-18,2.2050,2.2063,2.1743,2.2050
2004-02-19,2.2051,2.2051,2.1669,2.1697
2004-02-20,2.1435,2.2174,2.1435,2.1805
2004-02-23,2.1558,2.1927,2.1312,2.1571
2004-02-24,2.1718,2.1718,2.1373,2.1718
2004-02-25,2.1620,2.4675,2.1620,2.4453
2004-02-26,2.4515,2.4515,2.2815,2.3480
2004-02-27,2.3406,2.3936,2.2901,2.3160
2004-03-01,2.2913,2.3554,2.2655,2.2655
2004-03-02,2.3344,2.3406,2.2113,2.2113
2004-03-03,2.2088,2.2790,2.2051,2.2496
2004-03-04,2.2790,2.2790,2.2482,2.2778
2004-03-05,2.2667,2.2790,2.2618,2.2618
2004-03-08,2.2729,2.2729,2.2297,2.2531
2004-03-09,2.2667,2.2667,2.2458,2.2544
2004-03-10,2.2421,2.2544,2.1928,2.2544
2004-03-11,2.2593,2.2605,2.2125,2.2544
2004-03-12,2.2605,2.2605,2.2174,2.2470
