DATE,OPEN,HIGH,LOW,CLOSE
2002-02-07,13.3728,14.4677,13.3728,14.2409
2002-02-08,14.3895,15.6329,14.2722,15.4843
2002-02-11,15.6407,16.0005,15.4921,15.5625
2002-02-12,15.5234,15.6955,15.2497,15.2575
2002-02-13,15.2654,15.6407,15.0620,15.0933
2002-02-14,15.2888,15.3670,14.4286,14.7023
2002-02-15,14.7570,14.8196,14.4286,14.5459
2002-02-19,14.4286,14.6241,14.3113,14.6241
2002-02-20,14.9682,14.9682,14.5459,14.8196
2002-02-21,14.9134,15.0229,14.6475,14.8587
2002-02-22,14.8665,14.8743,14.2722,14.4677
2002-02-25,14.8587,14.8978,14.3895,14.4286
2002-02-26,14.3895,14.4677,13.9281,14.0845
2002-02-27,14.1079,14.4286,13.8029,14.1158
2002-02-28,14.1158,14.3113,14.0767,14.0845
2002-03-01,14.0923,14.4599,13.8655,14.4599
2002-03-04,14.4520,14.5068,14.1549,14.5068
2002-03-05,14.3034,15.4452,14.1940,14.7961
2002-03-06,15.0073,15.1324,14.7727,14.8978
2002-03-07,14.8822,15.0542,14.5302,14.6632
2002-03-08,14.7414,14.8352,14.3504,14.4520
2002-03-11,14.7023,15.1715,14.6163,14.8587
2002-03-12,14.7805,14.8978,14.6632,14.7101
2002-03-13,14.7257,14.7805,14.2331,14.3504
2002-03-14,14.5615,14.5615,13.9985,14.1158
2002-03-15,14.1861,14.2409,14.0767,14.1158
2002-03-18,14.0767,14.7023,13.9828,14.4599
2002-03-19,14.7805,14.7805,14.3504,14.3504
2002-03-20,14.4755,14.7805,14.1940,14.5068
2002-03-21,14.2331,15.2497,14.2331,15.0542
2002-03-22,15.4843,15.4921,14.5459,14.7257
2002-03-25,14.8587,15.0073,14.6554,14.8978
2002-03-26,14.8978,14.9369,14.7023,14.9291
2002-03-27,14.8587,14.9369,14.7257,14.8978
2002-03-28,14.7414,14.9760,14.2956,14.5459
2002-04-01,14.8978,15.0933,14.6632,14.9604
2002-04-02,14.8509,15.2341,14.7570,15.0151
2002-04-03,15.0933,15.5000,14.9369,15.4061
2002-04-04,15.3748,15.6642,14.9760,15.3983
2002-04-05,15.5547,15.6798,15.3279,15.5860
2002-04-08,15.4530,16.0708,14.7179,15.9301
2002-04-09,16.1569,16.6574,15.5703,16.4149
2002-04-10,16.6183,17.2048,16.5166,17.0953
2002-04-11,17.1266,17.8695,16.8920,17.6349
2002-04-12,17.9086,18.9800,17.7366,18.9566
2002-04-15,18.9175,18.9175,17.3612,17.5098
2002-04-16,17.4003,17.6740,16.2116,16.8842
2002-04-17,17.0328,17.9477,16.4697,16.7043
2002-04-18,17.2517,17.2517,15.6955,16.3446
2002-04-19,16.1178,17.6897,16.0708,17.6740
2002-04-22,17.5254,17.5958,17.1266,17.2830
2002-04-23,17.2752,17.2830,16.6261,17.0093
2002-04-24,16.8294,17.2048,16.8138,17.2048
2002-04-25,16.9154,17.4003,16.7747,17.2830
2002-04-26,17.2986,18.1198,17.2986,17.6349
2002-04-29,17.9165,18.0259,17.7757,18.0259
2002-04-30,17.9868,18.5186,17.2517,18.5186
2002-05-01,18.5343,18.5343,17.5958,17.5958
2002-05-02,17.6349,17.6427,16.9858,17.3065
2002-05-03,17.2048,17.3847,16.2351,16.2664
2002-05-06,16.8060,16.8920,16.2820,16.2820
2002-05-07,16.7356,17.7131,16.4228,16.6965
2002-05-08,17.2830,17.5567,15.0542,15.6407
2002-05-09,15.6642,16.7747,15.6407,16.4306
2002-05-10,16.6965,17.1657,16.4619,17.1657
2002-05-13,17.1970,17.8617,16.7747,17.7288
2002-05-14,17.8304,18.1432,17.4472,17.4472
2002-05-15,16.9780,17.0484,16.5870,16.6339
2002-05-16,16.6183,17.7209,16.6183,17.7209
2002-05-17,17.5958,17.7913,17.0484,17.7757
2002-05-20,17.7757,17.9712,17.2048,17.2048
2002-05-21,17.2126,17.4785,16.6730,17.1266
2002-05-22,16.7356,17.1657,16.5792,16.7434
2002-05-23,16.7356,16.7356,16.1960,16.2351
2002-05-24,16.4228,16.5010,16.2038,16.5010
2002-05-28,16.4228,16.4619,16.1882,16.3055
2002-05-29,16.3055,17.1892,16.1960,17.0562
2002-05-30,16.8920,17.5880,16.8842,17.4394
2002-05-31,17.5958,17.9868,17.0093,17.9868
2002-06-03,17.9790,17.9868,16.4384,16.4619
2002-06-04,16.4619,16.6808,15.3592,16.1803
2002-06-05,15.9535,17.0797,15.9535,16.7747
2002-06-06,16.6730,16.9624,16.5792,16.6730
2002-06-07,16.5870,17.2048,16.5792,17.2048
2002-06-10,17.2048,17.9868,17.2048,17.4394
2002-06-11,17.9712,17.9790,17.1892,17.1892
2002-06-12,17.0953,17.8304,17.0953,17.4238
2002-06-13,17.4003,18.5890,17.2048,17.7835
2002-06-14,17.3612,17.9165,16.8138,17.7913
2002-06-17,17.3299,18.3700,17.3299,18.0259
2002-06-18,18.0650,18.0650,17.8070,17.8070
2002-06-19,17.9868,18.1198,17.3612,18.1120
2002-06-20,18.1354,19.3241,17.9008,18.1667
2002-06-21,18.1432,18.3309,16.6965,17.0562
2002-06-24,16.8685,17.0953,15.1089,17.0249
2002-06-25,16.8920,17.2439,16.2273,16.3524
2002-06-26,16.3055,18.6046,16.3055,18.5264
2002-06-27,18.5655,18.9096,17.9008,18.6907
2002-06-28,18.8393,18.9175,17.3925,18.7611
2002-07-01,18.7532,18.8002,17.7913,18.1589
2002-07-02,17.9947,18.3388,17.4394,18.0650
2002-07-03,18.1980,18.9253,17.9321,18.2215
2002-07-05,18.6046,18.7689,18.5968,18.6829
2002-07-08,18.5890,18.9644,18.1120,18.1745
2002-07-09,18.6985,18.6985,18.3700,18.5734
2002-07-10,18.5968,18.6125,17.2986,18.0572
2002-07-11,17.6897,17.6897,16.2273,16.4619
2002-07-12,16.6965,16.8998,16.2038,16.3446
2002-07-15,16.4071,16.4228,15.8362,16.0005
2002-07-16,15.9144,16.2664,15.4921,15.6016
2002-07-17,15.8988,15.8988,14.0767,14.6866
2002-07-18,14.8587,15.3514,14.7805,14.8431
2002-07-19,14.8587,15.0542,14.5459,14.8352
2002-07-22,14.6241,15.9144,14.6241,15.8206
2002-07-23,16.0317,16.0787,15.1168,15.1871
2002-07-24,15.0698,15.3827,14.7414,15.2497
2002-07-25,15.2497,16.3915,15.2497,15.5860
2002-07-26,15.6016,15.8753,14.7414,14.8978
2002-07-29,14.8196,14.8587,12.7316,13.2086
2002-07-30,13.9202,15.6798,13.9202,15.6720
2002-07-31,15.6720,17.3690,15.1793,16.1100
2002-08-01,16.3837,16.5635,16.0317,16.1803
2002-08-02,16.0317,16.1100,15.4061,15.7346
2002-08-05,15.4061,15.7346,15.3905,15.5782
2002-08-06,15.6016,17.0093,15.5625,15.9770
2002-08-07,16.1334,16.6339,15.7815,16.5244
2002-08-08,16.4228,17.3143,16.1647,16.7747
2002-08-09,16.6652,17.8070,16.6261,17.2283
2002-08-12,16.9467,16.9467,16.3367,16.8607
2002-08-13,16.9780,17.4003,16.9780,17.0406
2002-08-14,17.3221,18.0963,17.0093,17.8304
2002-08-15,18.0103,18.2449,17.8539,18.0963
2002-08-16,17.9868,17.9868,17.8461,17.8539
2002-08-19,18.1041,18.1041,17.3377,17.9868
2002-08-20,17.9790,18.6516,17.9790,18.5734
2002-08-21,18.5421,18.5499,17.7992,18.1041
2002-08-22,18.2215,18.5734,18.2215,18.5734
2002-08-23,18.4795,18.8862,18.0650,18.0650
2002-08-26,18.3153,18.5343,18.0885,18.1432
2002-08-27,18.2997,19.6760,18.1354,19.4727
2002-08-28,19.5040,20.1687,18.6203,18.9800
2002-08-29,18.9800,19.2068,17.2830,17.3690
2002-08-30,17.2439,18.7298,17.2439,18.7298
2002-09-03,18.7298,19.0426,18.4013,18.6125
2002-09-04,18.7220,19.5353,18.4170,18.7689
2002-09-05,18.6437,18.7220,17.5567,18.3075
2002-09-06,18.1120,18.3935,17.7288,18.1041
2002-09-09,18.0963,18.1041,17.7444,18.0963
2002-09-10,18.0259,18.0416,17.8304,17.9790
2002-09-11,18.0259,18.2762,18.0181,18.1667
2002-09-12,18.2449,18.2449,17.4081,17.8070
2002-09-13,17.5958,18.7376,17.5958,18.3935
2002-09-16,18.2997,19.3867,18.1980,19.3867
2002-09-17,19.5196,19.7073,18.8158,19.1208
2002-09-18,19.1052,19.5353,18.9644,19.3710
2002-09-19,19.0426,19.0817,18.1354,18.1354
2002-09-20,18.4326,18.4326,16.7512,17.2048
2002-09-23,17.2752,17.2752,16.5792,16.6183
2002-09-24,16.5323,16.6574,15.7737,15.9457
2002-09-25,16.5088,16.6965,15.7815,16.5244
2002-09-26,16.5792,18.4482,16.5714,18.4482
2002-09-27,18.0729,18.6437,17.7835,17.9947
2002-09-30,18.0025,18.6437,17.6115,18.3466
2002-10-01,18.5577,18.8080,18.2606,18.7689
2002-10-02,18.5655,18.7063,17.9868,18.0650
2002-10-03,18.1589,18.1589,17.7522,17.8695
2002-10-04,17.8695,18.2215,17.8148,18.2215
2002-10-07,18.0338,18.4404,17.8695,18.2997
2002-10-08,18.1823,18.6907,18.1432,18.6046
2002-10-09,18.4091,18.7141,17.9008,18.1745
2002-10-10,17.9243,19.0269,17.9243,18.2606
2002-10-11,18.2215,18.4248,18.0259,18.1823
2002-10-14,18.0885,18.3779,17.8930,18.3779
2002-10-15,18.3779,18.7298,18.1041,18.3779
2002-10-16,18.1120,19.1599,17.7522,19.1521
2002-10-17,19.2850,19.9419,18.9800,19.2928
2002-10-18,19.1834,19.3867,18.8471,19.1443
2002-10-21,19.0504,19.2225,18.1120,18.2918
2002-10-22,18.2840,18.2840,16.9154,17.0249
2002-10-23,17.0640,18.2527,16.6417,18.0650
2002-10-24,18.2371,18.2762,17.9868,17.9868
2002-10-25,18.2371,18.2371,17.5802,17.8930
2002-10-28,17.6115,18.1041,17.6115,17.9712
2002-10-29,18.0650,18.6437,17.8695,18.4091
2002-10-30,18.5343,18.6516,18.1041,18.4326
2002-10-31,18.2840,19.5118,18.2606,19.3554
2002-11-01,18.9331,19.2225,18.1745,18.6750
2002-11-04,18.7689,18.8940,18.6907,18.7767
2002-11-05,18.6907,18.8549,17.6818,18.6125
2002-11-06,18.6359,19.4492,18.6359,19.2772
2002-11-07,19.0817,19.1599,18.5030,18.7689
2002-11-08,18.7689,18.9644,17.9243,17.9243
2002-11-11,18.0494,18.3231,17.8070,17.9399
2002-11-12,18.0025,18.0025,17.7600,17.7992
2002-11-13,17.7600,18.0259,17.1735,17.1735
2002-11-14,17.2908,17.5098,17.1579,17.2283
2002-11-15,17.2361,17.2361,12.8410,14.7023
2002-11-18,14.7570,15.8832,14.7101,15.6798
2002-11-19,15.6407,15.8675,14.9447,15.1324
2002-11-20,14.9369,15.4687,14.7023,15.4687
2002-11-21,15.4765,15.4765,14.2722,14.3113
2002-11-22,14.2800,14.3347,14.0376,14.1392
2002-11-25,14.3817,14.6554,14.1236,14.6084
2002-11-26,15.4609,16.4228,15.4061,15.6407
2002-11-27,15.7971,16.2664,15.7580,16.0708
2002-11-29,16.1334,16.2194,15.1246,15.7815
2002-12-02,15.8050,16.2194,15.5625,15.6407
2002-12-03,15.6486,15.8441,14.9369,15.0933
2002-12-04,15.1011,15.6407,15.0933,15.4921
2002-12-05,15.5547,15.5625,14.8978,14.8978
2002-12-06,14.9447,14.9838,14.6241,14.7101
