DATE,OPEN,HIGH,LOW,CLOSE
1998-05-20,6.8954,6.8954,6.7824,6.7824
1998-05-21,6.8954,6.8954,6.7281,6.7824
1998-05-22,6.7824,6.8954,6.7824,6.8683
1998-05-26,6.7824,6.8954,6.7824,6.7824
1998-05-27,6.8954,6.8954,6.7824,6.7824
1998-05-28,6.8954,6.8954,6.7824,6.7824
1998-05-29,6.8412,6.8954,6.8412,6.8954
1998-06-01,6.8954,6.8954,6.8412,6.8412
1998-06-02,6.8412,6.8954,6.8412,6.8683
1998-06-03,6.8683,6.8954,6.7824,6.7824
1998-06-04,6.7824,6.8954,6.7824,6.8954
1998-06-05,6.8683,6.8954,6.7824,6.8954
1998-06-08,6.8954,6.8954,6.7824,6.8954
1998-06-09,6.8954,6.8954,6.7824,6.8954
1998-06-10,6.7824,6.8954,6.7824,6.7824
1998-06-11,6.8954,6.8954,6.7824,6.7824
1998-06-12,6.7824,6.8954,6.7824,6.7824
1998-06-15,6.8954,6.8954,6.7824,6.7824
1998-06-16,6.7824,6.7824,6.7281,6.7281
1998-06-17,6.8954,6.8954,6.7281,6.8954
1998-06-18,6.6693,6.8954,6.6693,6.8954
1998-06-19,6.8412,6.8412,6.7281,6.7281
1998-06-22,6.7824,6.7824,6.6693,6.7281
1998-06-23,6.6693,6.7824,6.6693,6.6693
1998-06-24,6.6693,6.7824,6.6693,6.7824
1998-06-25,6.6693,6.7824,6.6693,6.6693
1998-06-26,6.6693,6.7824,6.6693,6.6693
1998-06-29,6.6693,6.6693,6.5563,6.6693
1998-06-30,6.5563,6.6693,6.5563,6.5563
1998-07-01,6.5563,6.7824,6.5563,6.5563
1998-07-02,6.5563,6.6693,6.4433,6.6693
1998-07-06,6.5020,6.6693,6.3302,6.3302
1998-07-07,6.3302,6.5563,6.3302,6.5563
1998-07-08,6.3302,6.5563,6.3302,6.4433
1998-07-09,6.3302,6.4433,6.3302,6.4433
1998-07-10,6.3302,6.6693,6.3302,6.6151
1998-07-13,6.5020,6.6693,6.4975,6.6693
1998-07-14,6.5020,6.6693,6.5020,6.6693
1998-07-15,6.5020,6.7824,6.5020,6.5563
1998-07-16,6.7824,6.7824,6.5563,6.5563
1998-07-17,6.5563,7.2345,6.5563,7.0085
1998-07-20,7.2345,7.2345,6.8954,7.0672
1998-07-21,6.7824,7.0672,6.7824,7.0672
1998-07-22,7.0672,7.0672,6.8954,7.0672
1998-07-23,7.0085,7.0085,6.8412,6.8412
1998-07-24,6.8412,6.8412,6.8412,6.8412
1998-07-27,7.0672,7.0672,6.7824,6.7824
1998-07-28,6.8954,7.2345,6.8954,7.0672
1998-07-29,7.0672,7.0672,7.0672,7.0672
1998-07-30,6.8954,7.1215,6.8954,6.8954
1998-07-31,6.9542,6.9542,6.8954,6.8954
1998-08-03,6.8954,7.1215,6.8954,6.8954
1998-08-04,6.8954,7.2345,6.8954,6.8954
1998-08-05,6.8954,7.2345,6.8954,7.2345
1998-08-06,6.8954,7.2345,6.8954,7.0672
1998-08-07,7.0085,7.1803,7.0085,7.1803
1998-08-10,7.2345,7.2345,7.0085,7.2345
1998-08-11,7.0672,7.1532,6.9542,7.1260
1998-08-12,7.1215,7.2074,7.0085,7.1803
1998-08-13,7.2345,7.2933,7.0085,7.2074
1998-08-14,7.3476,7.3476,7.0672,7.2933
1998-08-17,7.1215,7.1215,7.1215,7.1215
1998-08-18,7.0085,7.3476,7.0085,7.2345
1998-08-19,7.3476,7.3476,7.0672,7.0672
1998-08-20,7.0085,7.3476,7.0085,7.1215
1998-08-21,7.1215,7.1215,7.1215,7.1215
1998-08-24,7.3476,7.3476,7.1215,7.1215
1998-08-25,7.1215,7.3476,7.1215,7.2933
1998-08-26,7.3476,7.3476,7.1215,7.1215
1998-08-27,7.1215,7.3476,7.1215,7.1215
1998-08-28,7.3476,7.3476,7.1215,7.1215
1998-08-31,7.1215,7.2933,7.1215,7.2933
1998-09-01,7.1215,7.3476,7.1215,7.2617
1998-09-02,7.2933,7.3476,7.1215,7.1215
1998-09-03,7.1215,7.4606,7.1215,7.1215
1998-09-04,7.4606,7.4606,7.2345,7.2933
1998-09-08,7.3476,7.3476,7.2345,7.3476
1998-09-09,7.2345,7.4606,7.2345,7.3476
1998-09-10,7.2345,7.4606,7.1215,7.4606
1998-09-11,7.4606,7.4606,7.4606,7.4606
1998-09-14,7.4606,7.4606,7.4606,7.4606
1998-09-15,7.2933,7.2933,7.2345,7.2345
1998-09-16,7.1803,7.3476,7.1803,7.3476
1998-09-17,7.1215,7.3476,7.1215,7.3476
1998-09-18,7.3476,7.3476,7.2345,7.2345
1998-09-21,7.2345,7.2345,7.2345,7.2345
1998-09-22,7.3476,7.3476,7.3476,7.3476
1998-09-23,7.4606,7.4606,7.1215,7.1215
1998-09-24,7.3476,7.3476,7.1215,7.2345
1998-09-25,7.1215,7.3476,7.1215,7.1215
1998-09-28,7.2345,7.2345,7.1215,7.2345
1998-09-29,7.1215,7.2345,7.1215,7.1215
1998-09-30,7.1215,7.3476,7.1215,7.1215
1998-10-01,7.1215,7.3476,7.1215,7.2345
1998-10-02,7.2345,7.2345,7.2345,7.2345
1998-10-05,7.1215,7.2345,7.1215,7.1215
1998-10-06,7.3476,7.3476,7.1215,7.1215
1998-10-07,7.1215,7.3476,7.1215,7.2345
1998-10-08,7.1215,7.2345,7.1215,7.2345
1998-10-09,7.1215,7.3476,7.1215,7.3476
1998-10-12,7.3476,7.3476,7.3476,7.3476
1998-10-13,7.2345,7.3476,7.2345,7.3476
1998-10-14,7.3476,7.3476,7.3476,7.3476
1998-10-15,7.1215,7.3476,7.1215,7.3476
1998-10-16,7.1215,7.1215,7.1215,7.1215
1998-10-19,7.1215,7.3476,7.1215,7.3476
1998-10-20,7.1215,7.1215,7.1215,7.1215
1998-10-21,7.1215,7.3476,7.1215,7.2933
1998-10-22,7.1215,7.3476,7.1215,7.1215
1998-10-23,7.1803,7.3476,7.1215,7.2933
1998-10-26,7.1215,7.3476,7.1215,7.3476
