DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2020-01-31,6.9000,7.3500,6.0100,7.2269,0.014,
2020-02-03,6.9200,7.6100,6.3400,7.2100,0.004,
2020-02-04,6.8000,6.9200,6.3600,6.4100,0.002,
2020-02-05,6.4200,7.0005,6.4200,6.5900,0.014,
2020-02-06,6.6500,7.0000,6.6000,6.8000,0.014,
2020-02-07,6.9500,7.0000,6.8000,6.8900,0.004,
2020-02-10,6.8750,7.0500,6.5000,7.0000,0.011,
2020-02-11,7.0200,7.0500,7.0200,7.0500,0.001,
2020-02-12,7.1900,7.4800,6.5100,7.0000,0.010,
2020-02-13,6.9000,6.9800,6.5000,6.9800,0.001,
2020-02-14,6.6300,7.0000,6.6300,7.0000,0.001,
2020-02-18,7.0500,7.0500,6.6100,6.6100,0.001,
2020-02-19,6.7000,6.8500,6.5300,6.8500,0.001,
2020-02-20,6.6000,6.8000,6.5500,6.6300,0.002,
2020-02-21,6.6000,6.6200,5.9400,6.6100,0.004,
2020-02-24,6.4500,6.7200,6.1200,6.6485,0.003,
2020-02-25,6.6000,6.6000,6.0000,6.2500,0.005,
2020-02-26,6.2000,6.2400,6.0000,6.2400,0.001,
2020-02-27,6.0000,6.1900,5.5009,6.1800,0.003,
2020-02-28,5.9700,6.7500,5.7500,6.7500,0.013,
2020-03-02,6.2900,6.5000,6.1500,6.1500,0.006,
2020-03-03,5.9000,5.9500,5.7000,5.8500,0.012,
2020-03-04,5.5600,5.7500,5.5600,5.5600,0.002,
2020-03-05,5.7500,6.0000,5.5800,5.9100,0.001,
2020-03-06,5.7500,5.7500,5.5000,5.7400,0.001,
2020-03-09,5.7500,5.7500,4.7500,5.5000,0.001,
2020-03-10,5.2900,5.7300,5.2900,5.5000,0.001,
2020-03-11,5.0800,5.2300,4.6100,5.2300,0.001,
2020-03-12,5.2300,5.4200,4.9200,5.3600,0.026,
2020-03-13,5.3600,5.3600,5.3600,5.3600,0.000,
2020-03-16,5.0000,5.0000,4.8200,4.8200,0.001,
2020-03-17,4.9000,5.0000,4.5000,4.7500,0.034,
2020-03-18,4.2800,4.4600,3.4000,4.0000,0.012,
2020-03-19,3.3600,3.6900,3.3500,3.5000,0.001,
2020-03-20,3.4000,3.5000,3.2500,3.4200,0.007,
2020-03-23,3.1902,3.6800,3.1500,3.1500,0.006,
2020-03-24,3.0100,3.5800,3.0100,3.5800,0.015,
2020-03-25,3.0300,3.8300,3.0300,3.5000,0.004,
2020-03-26,3.5900,4.0000,3.5000,4.0000,0.003,
2020-03-27,4.0000,4.0000,4.0000,4.0000,0.000,
2020-03-30,3.5000,3.8500,3.1600,3.3000,0.002,
2020-03-31,3.4000,4.2400,3.3700,4.2400,0.006,
2020-04-01,4.0000,4.0000,3.8960,3.9000,0.002,
2020-04-02,3.5000,3.8000,3.5000,3.8000,0.001,
2020-04-03,3.5442,4.0000,3.5442,4.0000,0.001,
2020-04-06,3.5500,3.7500,3.3700,3.6000,0.005,
2020-04-07,3.3100,3.7000,3.3100,3.6000,0.001,
2020-04-08,3.7000,3.7000,3.6500,3.6700,0.001,
2020-04-09,3.6500,3.7000,3.5000,3.6700,0.002,
2020-04-13,3.3500,3.6400,3.3500,3.6400,0.001,5.345
2020-04-14,3.3700,3.3700,3.3200,3.3200,0.001,5.266
2020-04-15,3.5000,3.7000,3.3500,3.5250,0.014,5.193
2020-04-16,3.3000,3.6000,3.2850,3.5600,0.001,5.136
2020-04-17,3.2000,3.6000,3.1500,3.5500,0.002,5.075
2020-04-20,3.4000,3.4500,3.2900,3.4100,0.001,5.007
2020-04-21,3.3000,3.4000,3.2700,3.4000,0.001,4.937
2020-04-22,3.3100,3.6000,3.3100,3.6000,0.003,4.869
2020-04-23,3.2700,3.6000,3.2600,3.4500,0.003,4.797
2020-04-24,3.4600,3.7500,3.4600,3.7500,0.000,4.732
2020-04-27,3.7700,4.3500,3.4600,3.6000,0.011,4.665
2020-04-28,3.4001,3.6500,3.4001,3.6500,0.001,4.598
2020-04-29,3.6500,3.6500,3.6500,3.6500,0.001,4.538
2020-04-30,3.4900,3.7500,3.4900,3.7500,0.001,4.476
2020-05-01,3.5000,3.7500,3.4200,3.7500,0.001,4.419
2020-05-04,3.3500,3.5500,3.3500,3.3500,0.001,4.354
2020-05-05,3.3100,3.3800,3.2600,3.2600,0.001,4.286
2020-05-06,3.2600,3.2600,3.2600,3.2600,0.000,4.226
2020-05-07,3.4200,3.4200,3.2601,3.2601,0.001,4.167
2020-05-08,3.5000,3.7500,3.2600,3.7500,0.003,4.118
2020-05-11,3.8400,5.9800,3.8400,5.6000,0.139,4.095
2020-05-12,6.2700,6.4000,5.1400,5.1400,0.039,4.075
2020-05-13,5.2000,5.7100,5.0000,5.5000,0.029,4.068
2020-05-14,5.1800,5.5000,4.7000,5.0300,0.015,4.057
2020-05-15,4.8500,5.0500,4.5600,5.0000,0.002,4.039
2020-05-18,5.0400,5.5000,4.7500,5.1500,0.004,4.027
2020-05-19,5.0100,5.1500,5.0100,5.0500,0.003,4.018
2020-05-20,5.0500,5.5000,4.5500,4.7700,0.005,4.004
2020-05-21,4.9500,5.4800,4.9500,5.4000,0.012,4.007
2020-05-22,5.4000,5.4000,5.4000,5.4000,0.000,4.008
2020-05-26,4.9000,4.9200,4.5500,4.8000,0.003,3.997
2020-05-27,4.6400,4.6400,4.5000,4.5000,0.001,3.990
2020-05-28,4.2580,4.4800,3.9500,4.0000,0.006,3.975
2020-05-29,3.7600,4.2500,3.6000,4.2500,0.012,3.980
2020-06-01,3.9700,4.9200,3.6600,4.1600,0.023,3.993
2020-06-02,3.8800,4.8000,3.8800,4.3900,0.005,4.013
2020-06-03,4.2400,4.6900,4.2400,4.6900,0.002,4.044
2020-06-04,4.2700,4.3100,4.2700,4.3100,0.001,4.058
2020-06-05,4.2200,4.2200,4.2200,4.2200,0.000,4.073
2020-06-08,4.0000,4.5800,4.0000,4.3342,0.010,4.079
2020-06-09,4.0100,4.2750,4.0000,4.0000,0.004,4.079
2020-06-10,3.8501,4.0500,3.8300,4.0500,0.002,4.094
2020-06-11,3.8200,4.0200,3.8100,4.0000,0.002,4.089
2020-06-12,4.0100,4.2200,3.8300,3.9976,0.003,4.091
2020-06-15,4.3000,4.6800,4.3000,4.4000,0.005,4.103
2020-06-16,4.8200,7.4500,4.6600,6.6500,0.599,4.156
2020-06-17,7.5200,8.4600,6.1500,7.0500,0.521,4.225
2020-06-18,6.9000,7.4100,6.5100,6.9900,0.094,4.293
2020-06-19,7.6500,8.8800,6.4000,6.9500,0.454,4.359
2020-06-22,7.0000,7.0090,5.6400,6.0700,0.074,4.407
2020-06-23,6.2000,6.2950,5.0001,5.7500,0.145,4.449
2020-06-24,5.8100,7.9800,5.6600,6.3600,0.339,4.510
2020-06-25,6.2500,6.7000,5.8000,6.5000,0.090,4.569
2020-06-26,6.1700,6.2500,5.1900,5.5400,0.065,4.609
2020-06-29,5.5000,5.8000,5.1300,5.2600,0.033,4.643
2020-06-30,5.6300,5.6300,5.1700,5.2100,0.025,4.679
2020-07-01,5.4500,5.4500,5.0500,5.2100,0.017,4.715
2020-07-02,5.3500,5.3500,4.4000,4.8100,0.077,4.739
2020-07-06,5.0200,5.3500,4.8101,4.9600,0.030,4.770
2020-07-07,5.1100,5.4659,4.9101,5.3500,0.028,4.802
2020-07-08,5.0001,5.7500,5.0000,5.2500,0.035,4.835
2020-07-09,5.1700,5.5000,4.5000,4.8399,0.055,4.858
2020-07-10,4.8700,5.3600,4.6700,4.7500,0.029,4.880
