DATE,OPEN,HIGH,LOW,CLOSE
2021-09-29,10.6600,12.8700,10.5600,11.1500
2021-09-30,11.8296,11.8296,11.0000,11.0500
2021-10-01,11.0500,11.4200,11.0000,11.0000
2021-10-04,11.1900,12.0000,11.1900,11.5100
2021-10-05,11.6000,12.6924,11.5700,11.9000
2021-10-06,12.0100,13.2200,11.5100,12.0550
2021-10-07,12.1100,12.6200,12.1000,12.5600
2021-10-08,12.5100,12.5500,11.7000,12.3700
2021-10-11,12.3700,12.5878,12.1000,12.4000
2021-10-12,12.6200,14.0000,12.4300,12.7700
2021-10-13,13.0800,13.1500,12.5700,12.7000
2021-10-14,12.8300,12.9300,12.1600,12.6000
2021-10-15,12.4700,13.2400,12.2701,12.8600
2021-10-18,12.6100,13.0000,12.6100,12.9000
2021-10-19,13.0800,13.4250,12.7400,12.9400
2021-10-20,13.0000,13.1999,12.6750,12.8800
2021-10-21,12.7000,13.2099,12.7000,12.8100
2021-10-22,12.9800,13.4900,12.8200,13.0985
2021-10-25,13.1900,13.2700,13.0112,13.2000
2021-10-26,13.3300,14.3200,12.8200,13.1100
2021-10-27,13.3000,13.3500,13.0000,13.0300
2021-10-28,13.0200,13.3400,12.9000,13.0200
2021-10-29,12.9700,13.2516,12.1250,12.5500
2021-11-01,12.5900,13.2000,12.3686,12.8500
2021-11-02,12.5500,12.9000,12.4201,12.6100
2021-11-03,12.7300,12.9600,12.4600,12.8700
2021-11-04,12.9100,13.1000,12.6750,13.1000
2021-11-05,13.1300,13.3500,12.9000,13.0200
2021-11-08,13.5000,13.7450,12.8500,13.0101
2021-11-09,13.0000,13.2500,12.6300,12.8150
2021-11-10,12.8500,13.0650,12.8000,12.8800
2021-11-11,12.8900,13.3000,12.8900,13.3000
2021-11-12,13.3000,13.6988,12.9950,13.3400
2021-11-15,13.4700,13.5900,13.1500,13.3988
2021-11-16,13.3300,13.7700,13.1000,13.2600
2021-11-17,13.2700,13.9700,13.1200,13.2000
2021-11-18,13.2200,14.5500,13.2200,13.9455
2021-11-19,14.0800,14.7000,13.6000,14.3500
2021-11-22,14.3300,14.4000,13.5601,13.8600
2021-11-23,13.7900,13.8200,12.9000,12.9900
2021-11-24,12.9000,13.5900,12.9000,13.1800
2021-11-26,13.2400,13.5800,12.8900,13.5300
2021-11-29,13.3900,13.5272,12.9000,12.9500
2021-11-30,12.9700,13.5000,12.9500,13.0400
2021-12-01,13.2100,13.3800,12.6400,12.8000
2021-12-02,13.0000,13.0000,12.5000,12.5500
2021-12-03,12.6900,13.0000,11.9900,12.1000
2021-12-06,12.4900,12.8999,11.8100,12.2700
2021-12-07,12.9700,12.9700,12.1900,12.1900
2021-12-08,12.3900,12.7000,12.1741,12.7000
2021-12-09,12.9200,12.9200,12.1650,12.4600
2021-12-10,12.3300,12.7198,12.0300,12.0300
2021-12-13,12.1000,12.4500,12.0100,12.1900
2021-12-14,12.1220,12.1220,11.9100,11.9650
2021-12-15,11.8200,12.1689,11.8200,11.9101
2021-12-16,12.0910,12.0910,11.8000,11.8000
2021-12-17,12.0700,12.0700,11.3500,11.3500
2021-12-20,11.6300,11.7200,11.3500,11.6700
2021-12-21,11.5400,11.8930,11.3500,11.3500
2021-12-22,11.5700,11.8030,11.3700,11.5800
2021-12-23,11.7350,11.7500,11.3501,11.4800
2021-12-27,11.5700,11.8500,11.5700,11.7500
2021-12-28,11.5100,13.0000,11.5100,12.9800
2021-12-29,12.2700,12.8200,11.9500,11.9500
2021-12-30,12.3600,12.4000,12.0818,12.1600
2021-12-31,12.3550,12.3550,11.5600,11.5600
2022-01-03,11.7600,12.4000,11.5600,11.5600
2022-01-04,11.7000,11.7287,11.5400,11.5400
2022-01-05,11.6300,11.8800,11.0500,11.2000
2022-01-06,11.1300,11.4465,10.5000,11.0100
2022-01-07,10.9500,11.3899,10.5500,10.9900
2022-01-10,10.6500,11.0300,10.5500,10.8800
2022-01-11,10.9800,10.9800,10.2800,10.2800
2022-01-12,10.4700,10.6700,10.3400,10.5700
2022-01-13,10.6400,10.6400,10.1100,10.1900
2022-01-14,10.2000,10.2600,10.1100,10.1500
2022-01-18,10.1100,10.2200,10.0700,10.1200
2022-01-19,10.1200,10.2150,10.0600,10.0700
2022-01-20,10.1300,10.2500,10.1100,10.1500
2022-01-21,10.1500,10.2700,10.1000,10.2300
2022-01-24,10.1100,10.4000,10.0400,10.3200
2022-01-25,10.3400,10.3400,10.1996,10.2800
2022-01-26,10.2800,10.5300,10.2000,10.2400
2022-01-27,10.1700,10.5000,10.1600,10.3300
2022-01-28,10.2800,10.3700,10.1500,10.1700
2022-01-31,10.1100,10.3600,10.1100,10.1900
2022-02-01,10.2500,10.4100,10.2000,10.2100
2022-02-02,10.1700,10.3000,10.1700,10.2200
2022-02-03,10.1600,10.2900,10.1400,10.2000
2022-02-04,10.1800,10.4200,10.1800,10.3300
2022-02-07,10.4000,10.5000,10.1410,10.3000
2022-02-08,10.5000,10.5300,10.4500,10.4900
2022-02-09,10.4900,10.5650,10.2900,10.4600
2022-02-10,10.2900,10.4900,10.1700,10.2100
2022-02-11,10.2100,10.3800,10.1200,10.1400
2022-02-14,10.1100,10.3000,10.1000,10.1400
2022-02-15,10.3485,10.3485,10.1000,10.1000
2022-02-16,10.0700,10.3000,10.0700,10.1600
2022-02-17,10.1500,10.3500,10.1400,10.1400
2022-02-18,10.2500,10.4400,10.1500,10.1700
2022-02-22,10.1000,10.3500,10.1000,10.1000
2022-02-23,10.2400,10.2999,10.1100,10.1100
2022-02-24,10.0500,10.2200,10.0500,10.0700
2022-02-25,10.1900,10.3000,10.0600,10.0600
2022-02-28,10.2000,10.2100,10.0600,10.0900
2022-03-01,10.0800,10.1700,10.0400,10.0400
2022-03-02,10.0830,10.1200,10.0501,10.0800
2022-03-03,10.0400,10.1400,10.0400,10.0900
2022-03-04,10.0600,10.1600,10.0600,10.1500
2022-03-07,10.0500,10.1300,10.0500,10.0500
2022-03-08,10.0100,10.1600,10.0000,10.1600
2022-03-09,10.1150,10.1700,10.0800,10.1500
2022-03-10,10.1400,10.2200,10.0600,10.1200
2022-03-11,10.1000,10.2200,10.1000,10.2100
2022-03-14,10.1200,10.2100,10.0900,10.0900
2022-03-15,10.0400,10.1700,10.0400,10.0800
2022-03-16,10.1150,10.1900,10.0800,10.1100
2022-03-17,10.1100,10.2800,10.1000,10.1700
2022-03-18,10.1933,10.7068,10.1933,10.2900
2022-03-21,10.3700,10.5000,10.2000,10.3300
2022-03-22,10.2400,10.4600,10.1850,10.2500
2022-03-23,10.2000,10.3488,10.2000,10.2800
2022-03-24,10.3200,10.3700,10.1400,10.1500
2022-03-25,10.1500,10.4300,10.1500,10.2900
2022-03-28,10.2800,10.2800,10.1900,10.1900
2022-03-29,10.3000,10.4158,10.2300,10.2300
2022-03-30,10.1700,10.4000,10.1700,10.2100
2022-03-31,10.2700,10.3100,10.1901,10.3000
2022-04-01,10.3300,10.4000,10.2450,10.3700
2022-04-04,10.4200,10.6900,10.2800,10.5100
2022-04-05,10.6300,10.7000,10.4100,10.5200
2022-04-06,10.5700,10.6200,10.2700,10.4800
2022-04-07,10.4600,10.7000,10.3500,10.3600
2022-04-08,10.3700,10.5200,10.3000,10.3300
2022-04-11,10.3800,10.5700,10.3600,10.4200
2022-04-12,10.6200,10.7000,10.5000,10.5700
2022-04-13,10.5100,10.6600,10.4500,10.5600
2022-04-14,10.5000,10.5801,10.4200,10.4900
2022-04-18,10.4100,10.5400,10.4100,10.5400
2022-04-19,10.5000,10.5000,10.4100,10.4100
2022-04-20,10.5000,10.5000,10.4000,10.4000
2022-04-21,10.4001,10.4400,10.3450,10.3900
2022-04-22,10.4000,10.4000,10.3501,10.3501
2022-04-25,10.3700,10.4100,10.1600,10.2300
2022-04-26,10.3000,10.3000,10.1500,10.1600
2022-04-27,10.1700,10.2000,10.1600,10.1900
2022-04-28,10.1500,10.2000,10.1200,10.1900
2022-04-29,10.1700,10.2000,10.1600,10.2000
2022-05-02,10.2200,10.2200,10.1601,10.2000
2022-05-03,10.1700,10.2000,10.1700,10.2000
2022-05-04,10.1700,10.2700,10.1700,10.2200
