DATE,OPEN,HIGH,LOW,CLOSE
2021-08-17,0.6200,0.6200,0.6200,0.6200
2021-08-18,0.6500,0.7000,0.6300,0.6300
2021-08-19,0.6400,0.6400,0.6201,0.6201
2021-08-20,0.6200,0.6200,0.6200,0.6200
2021-08-23,0.6200,0.6900,0.6200,0.6900
2021-08-24,0.6002,0.7000,0.6002,0.6800
2021-08-25,0.6799,0.6799,0.6799,0.6799
2021-08-26,0.6002,0.6800,0.6001,0.6800
2021-08-27,0.6800,0.6800,0.6800,0.6800
2021-08-30,0.6800,0.6800,0.6800,0.6800
2021-08-31,0.6800,0.6800,0.6800,0.6800
2021-09-01,0.6800,0.6800,0.6800,0.6800
2021-09-02,0.6800,0.6800,0.6800,0.6800
2021-09-03,0.6800,0.6800,0.6800,0.6800
2021-09-07,0.6800,0.6800,0.6800,0.6800
2021-09-08,0.6800,0.6800,0.6800,0.6800
2021-09-09,0.6800,0.6800,0.6800,0.6800
2021-09-10,0.6800,0.6800,0.6800,0.6800
2021-09-13,0.6201,0.6201,0.6201,0.6201
2021-09-14,0.6300,0.6300,0.6300,0.6300
2021-09-15,0.6300,0.6300,0.6300,0.6300
2021-09-16,0.6300,0.6500,0.6250,0.6250
2021-09-17,0.6250,0.6250,0.6250,0.6250
2021-09-20,0.6250,0.6250,0.6250,0.6250
2021-09-21,0.6650,0.6650,0.6551,0.6551
2021-09-22,0.6800,0.6800,0.6800,0.6800
2021-09-23,0.6800,0.6800,0.6800,0.6800
2021-09-24,0.6800,0.6800,0.6800,0.6800
2021-09-27,0.6800,0.6800,0.6800,0.6800
2021-09-28,0.6800,0.6800,0.6800,0.6800
2021-09-29,0.6800,0.6800,0.6800,0.6800
2021-09-30,0.6800,0.6800,0.6800,0.6800
2021-10-01,0.6800,0.6800,0.6800,0.6800
2021-10-04,0.6001,0.6800,0.6001,0.6800
2021-10-05,0.6800,0.6800,0.6800,0.6800
2021-10-06,0.6800,0.6800,0.6800,0.6800
2021-10-07,0.5800,0.6700,0.5800,0.6700
2021-10-08,0.6500,0.6800,0.6101,0.6800
2021-10-11,0.6800,0.6800,0.6800,0.6800
2021-10-12,0.6800,0.6800,0.6800,0.6800
2021-10-13,0.6800,0.6800,0.6800,0.6800
2021-10-14,0.6800,0.6800,0.6800,0.6800
2021-10-15,0.6800,0.6800,0.6800,0.6800
2021-10-18,0.6800,0.6800,0.6800,0.6800
2021-10-19,0.6251,0.6254,0.6102,0.6178
2021-10-20,0.6178,0.6178,0.6178,0.6178
2021-10-21,0.6178,0.6178,0.6178,0.6178
2021-10-22,0.6800,0.6800,0.6800,0.6800
2021-10-25,0.6800,0.6800,0.6800,0.6800
2021-10-26,0.6800,0.6800,0.6800,0.6800
2021-10-27,0.6800,0.6800,0.6800,0.6800
2021-10-28,0.6800,0.6800,0.6800,0.6800
2021-10-29,0.6800,0.6800,0.6800,0.6800
2021-11-01,0.6800,0.6800,0.6800,0.6800
2021-11-02,0.6800,0.6800,0.6800,0.6800
2021-11-03,0.7000,0.7000,0.7000,0.7000
2021-11-04,0.7000,0.7000,0.7000,0.7000
2021-11-05,0.6722,0.8830,0.6722,0.8830
2021-11-08,0.8830,0.8830,0.8830,0.8830
2021-11-09,0.6651,0.7826,0.6600,0.7732
2021-11-10,0.7970,0.7970,0.7970,0.7970
2021-11-11,0.7000,0.8000,0.7000,0.8000
2021-11-12,0.8000,0.8000,0.8000,0.8000
2021-11-15,0.8000,0.8000,0.8000,0.8000
2021-11-16,0.6999,0.7500,0.6990,0.7000
2021-11-17,0.7898,0.7898,0.7800,0.7800
2021-11-18,0.7798,0.8257,0.7100,0.7999
2021-11-19,0.7999,0.8400,0.7021,0.8400
2021-11-22,0.8400,0.8400,0.8400,0.8400
2021-11-23,0.8497,0.8497,0.7600,0.7791
2021-11-24,0.7748,0.7748,0.7748,0.7748
2021-11-26,0.8495,0.8495,0.8495,0.8495
2021-11-29,0.8495,0.8495,0.8495,0.8495
2021-11-30,0.8495,0.8495,0.8495,0.8495
2021-12-01,0.8495,0.8495,0.8495,0.8495
2021-12-02,0.8495,0.8495,0.8495,0.8495
2021-12-03,0.8495,0.8495,0.8495,0.8495
2021-12-06,0.8495,0.8495,0.8495,0.8495
2021-12-07,0.8495,0.8495,0.8495,0.8495
2021-12-08,0.8495,0.8495,0.8495,0.8495
2021-12-09,0.8495,0.8495,0.8495,0.8495
2021-12-10,0.8495,0.8495,0.8495,0.8495
2021-12-13,0.6701,0.7644,0.6408,0.7544
2021-12-14,0.7544,0.7544,0.7544,0.7544
2021-12-15,0.6401,0.7424,0.6398,0.7424
2021-12-16,0.7424,0.7424,0.7424,0.7424
2021-12-17,0.7424,0.7424,0.7424,0.7424
2021-12-20,0.7424,0.7424,0.7424,0.7424
2021-12-21,0.7100,0.7100,0.7100,0.7100
2021-12-22,0.7100,0.7100,0.7100,0.7100
2021-12-23,0.7100,0.7100,0.7100,0.7100
2021-12-27,0.7100,0.7100,0.7100,0.7100
2021-12-28,0.7100,0.7100,0.7100,0.7100
2021-12-29,0.7100,0.7100,0.7100,0.7100
2021-12-30,0.7100,0.7100,0.7100,0.7100
2021-12-31,0.6500,0.8279,0.6400,0.8279
2022-01-03,0.6388,0.7290,0.6300,0.6300
2022-01-04,0.6250,0.6250,0.6085,0.6085
2022-01-05,0.6485,0.6485,0.5613,0.6400
2022-01-06,0.5810,0.5810,0.5656,0.5700
2022-01-07,0.5700,0.5700,0.5620,0.5699
2022-01-10,0.5710,0.5710,0.5500,0.5700
2022-01-11,0.5700,0.5700,0.5700,0.5700
2022-01-12,0.5601,0.5700,0.5300,0.5700
