DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-06-10,173.1500,181.9999,155.0100,178.8700,2.365,
2021-06-11,178.8700,178.8700,178.8700,178.8700,0.000,
2021-06-14,193.6800,218.9600,189.9140,205.0400,0.442,
2021-06-15,210.9500,217.7600,198.0300,210.4400,0.221,
2021-06-16,214.3200,214.9899,205.0000,214.1200,0.379,
2021-06-17,211.8400,219.8600,206.5250,219.8600,0.101,
2021-06-18,219.8000,237.5000,218.1600,232.5100,0.173,
2021-06-21,235.0000,235.3963,208.9075,211.2400,0.203,
2021-06-22,210.7700,220.0000,210.7700,219.0100,0.125,
2021-06-23,223.5800,234.5000,222.1025,233.2500,0.164,
2021-06-24,235.0000,235.6800,225.4500,232.5200,0.130,
2021-06-25,233.5000,233.5000,227.9000,232.3700,0.144,
2021-06-28,234.0000,235.0000,228.6000,232.3400,0.126,
2021-06-29,233.0000,233.3550,228.0010,231.0300,0.131,
2021-06-30,231.4600,231.4600,220.7040,223.5900,0.085,
2021-07-01,222.0000,230.5750,218.0200,229.9500,0.140,
2021-07-02,232.7000,234.9900,227.0900,229.2300,0.029,
2021-07-06,234.9900,256.1600,232.0100,232.4700,0.201,
2021-07-07,243.0800,243.0800,210.3000,215.5500,0.132,
2021-07-08,214.5700,225.2100,203.3800,220.4400,0.109,
2021-07-09,221.5400,235.4994,220.4700,232.0400,0.081,
2021-07-12,234.1500,237.8650,225.6700,231.1900,0.038,
2021-07-13,231.2000,232.8126,227.1700,229.3000,0.019,
2021-07-14,230.0000,230.0000,222.8750,224.0500,0.033,
2021-07-15,221.0800,224.0300,208.0301,209.0000,0.141,
2021-07-16,210.2000,213.3350,195.6500,198.9800,0.104,
2021-07-19,194.0000,210.5000,188.8200,210.4800,0.105,
2021-07-20,210.0000,210.0000,201.3500,203.9200,0.045,
2021-07-21,204.3200,210.4950,204.3200,208.0800,0.014,
2021-07-22,210.9500,210.9500,203.4173,205.3900,0.019,
2021-07-23,202.2900,206.0000,201.9478,204.9300,0.027,
2021-07-26,208.8400,213.8800,205.3100,213.6300,0.034,
2021-07-27,215.3900,215.5500,210.3950,214.1000,0.053,
2021-07-28,214.0000,224.3400,212.4500,223.1500,0.047,
2021-07-29,222.2800,225.6550,218.2018,220.6700,0.039,
2021-07-30,219.4000,224.9000,219.4000,221.2900,0.026,
2021-08-02,222.5000,222.5000,211.8300,214.0900,0.032,
2021-08-03,214.2100,214.2100,204.5000,204.5000,0.051,
2021-08-04,206.9000,215.9500,203.2700,211.9100,0.026,
2021-08-05,215.6100,225.0000,215.0000,225.0000,0.059,
2021-08-06,224.6600,226.8800,220.0150,226.0000,0.055,
2021-08-09,222.9000,225.3500,218.8204,221.5000,0.032,
2021-08-10,220.8900,234.7890,219.8650,229.8300,0.087,
2021-08-11,232.0100,244.5300,228.9950,241.0800,0.106,
2021-08-12,245.8400,248.7400,236.0301,248.7100,0.048,
2021-08-13,250.0000,269.5200,244.2700,267.9000,0.089,
2021-08-16,269.8600,269.8600,244.2400,245.0700,0.138,
2021-08-17,277.9700,317.6886,270.0000,305.0000,0.557,
2021-08-18,305.8800,358.0000,304.7250,355.9800,0.485,
2021-08-19,338.0000,354.8600,330.2279,349.0800,0.413,227.571
2021-08-20,350.0000,364.1300,344.3400,352.2800,0.260,231.039
2021-08-23,355.6000,391.0000,355.6000,390.0000,0.309,235.262
2021-08-24,395.1400,396.8800,352.0103,360.4100,0.415,238.369
2021-08-25,367.4200,377.4399,350.6200,351.4500,0.139,241.189
2021-08-26,349.4600,364.9402,341.4364,359.6400,0.173,244.100
2021-08-27,362.9400,364.4082,351.8736,357.1900,0.122,246.846
2021-08-30,378.5900,408.2328,371.0100,382.9800,0.331,249.856
2021-08-31,394.2800,397.6611,366.5100,379.3600,0.229,253.218
2021-09-01,379.4800,414.9699,377.4450,406.4900,0.252,256.968
2021-09-02,409.0000,425.8436,395.0100,396.1000,0.204,260.225
2021-09-03,403.3416,409.2700,379.1200,379.8100,0.189,263.171
2021-09-07,383.0000,394.1200,374.5250,380.6100,0.322,266.135
2021-09-08,383.6500,400.0000,374.4500,389.1800,0.264,269.272
2021-09-09,385.0000,401.9900,381.0000,391.2200,0.215,272.476
2021-09-10,381.2600,386.0000,364.6900,371.9700,0.441,275.444
2021-09-13,375.1000,378.8199,362.1000,369.2300,0.231,278.229
2021-09-14,369.5000,376.4100,362.0000,369.8200,0.146,281.041
2021-09-15,367.8700,377.8800,357.7600,375.9700,0.240,283.911
2021-09-16,375.8000,391.2700,372.0000,385.5000,0.440,287.310
2021-09-17,385.0000,385.0000,369.0000,374.1500,0.192,290.384
2021-09-20,365.5100,369.9500,339.9000,348.4500,0.304,292.712
2021-09-21,355.9000,376.5800,353.8000,367.3300,0.313,295.435
2021-09-22,368.7900,379.7850,362.1500,374.0000,0.284,298.329
2021-09-23,374.0000,377.9700,364.0100,370.5000,0.234,301.258
2021-09-24,367.6000,378.9224,356.1500,366.9900,0.289,304.418
2021-09-27,365.6600,368.5000,357.0000,363.0500,0.154,307.699
2021-09-28,360.0000,360.0000,328.5000,329.7000,0.436,310.084
2021-09-29,330.0000,333.4800,322.5300,328.2000,0.300,312.569
2021-09-30,329.4900,338.7100,322.0200,326.2000,0.451,314.932
2021-10-01,329.1800,342.4000,328.0200,332.9100,0.397,317.482
2021-10-04,327.5100,338.9900,317.5900,329.0900,0.737,319.965
2021-10-05,330.6600,340.4200,329.0900,334.3000,0.179,322.379
2021-10-06,329.1900,350.4800,325.3500,348.3000,0.338,325.063
2021-10-07,352.1200,369.6900,345.2332,346.2600,0.333,327.525
2021-10-08,342.5500,347.7900,336.1000,339.6000,0.148,329.904
2021-10-11,341.1400,352.8580,335.0600,338.0900,0.128,332.240
2021-10-12,338.0900,360.9450,338.0900,354.2700,0.149,335.043
2021-10-13,357.1600,366.9500,352.3000,364.4800,0.171,338.243
2021-10-14,371.8500,384.9300,360.2500,366.8900,0.191,341.342
2021-10-15,366.5000,366.5000,347.9300,358.7100,0.167,344.017
2021-10-18,361.0000,364.7317,350.1000,358.9000,0.135,346.675
2021-10-19,360.9500,376.0100,348.7847,361.5000,0.309,349.475
2021-10-20,362.3300,370.0100,352.8250,367.6300,0.178,352.231
2021-10-21,371.6500,385.6205,356.0000,369.0600,0.422,354.790
2021-10-22,370.2900,380.6950,361.8800,379.2600,0.243,357.401
2021-10-25,380.0000,404.0100,376.4077,382.6900,0.386,359.697
2021-10-26,386.5000,398.5100,357.4700,372.2100,0.309,362.240
2021-10-27,368.4700,407.9800,368.4700,392.0000,0.466,363.980
2021-10-28,393.5700,394.9700,363.7600,371.4100,0.340,364.288
2021-10-29,371.0100,380.5300,364.4552,371.8300,0.172,364.743
2021-11-01,380.5000,386.1900,367.1608,369.8100,0.270,365.094
2021-11-02,370.4200,370.4200,358.1500,365.3400,0.181,364.601
2021-11-03,366.1700,367.8150,348.0000,354.0000,0.198,364.473
2021-11-04,354.0000,364.9900,351.0000,357.5300,0.193,364.594
2021-11-05,361.4400,361.5299,343.7200,350.7400,0.256,364.416
2021-11-08,359.8100,383.4600,356.3800,383.4500,0.382,364.941
2021-11-09,384.0300,450.0000,384.0300,444.7000,1.095,366.176
2021-11-10,380.0100,403.1650,345.1171,350.8200,1.314,365.605
2021-11-11,374.0000,377.7200,357.0000,364.2600,0.659,364.760
2021-11-12,363.0000,365.0000,354.4100,363.9200,0.875,364.117
2021-11-15,368.9190,381.2300,358.0000,369.1500,1.115,363.904
2021-11-16,368.6900,405.1400,368.0000,400.5900,0.837,364.303
2021-11-17,403.6500,419.5700,394.1574,405.3100,0.516,364.626
2021-11-18,405.3000,408.7800,390.3500,398.4000,0.420,364.769
2021-11-19,396.0000,404.7900,368.0800,371.2500,0.480,364.755
2021-11-22,361.0300,365.2250,317.1100,328.4100,0.992,363.939
2021-11-23,326.8800,345.4800,323.2100,342.6600,1.231,363.395
2021-11-24,337.9650,342.7000,320.5600,337.4000,0.695,362.624
2021-11-26,336.0000,345.5900,326.3100,339.3600,0.307,361.701
2021-11-29,344.8000,367.9000,340.4600,365.6600,0.651,361.531
2021-11-30,363.4600,373.8000,355.1600,359.8000,0.511,361.758
2021-12-01,360.5100,362.2550,312.0000,317.7000,0.742,360.766
2021-12-02,317.0000,345.5250,303.1550,307.7600,0.756,359.441
2021-12-03,304.4600,304.4700,263.5000,275.7600,1.141,357.546
2021-12-06,281.0000,288.2600,266.1100,287.9000,0.668,355.964
2021-12-07,300.6800,326.7800,300.0000,317.0000,0.620,355.043
2021-12-08,313.1100,327.1500,305.7150,325.5000,0.336,354.959
2021-12-09,324.0000,329.0000,305.1500,311.3200,0.554,354.622
2021-12-10,310.0000,324.4300,296.6900,307.9400,0.509,354.257
2021-12-13,298.5300,301.6100,270.5300,271.6200,0.793,353.031
2021-12-14,259.4200,282.9850,255.0200,274.1100,0.482,351.931
2021-12-15,267.8700,289.3000,265.0000,282.3600,0.349,350.892
2021-12-16,289.5500,298.8000,268.1400,278.0300,0.465,349.487
2021-12-17,264.9800,296.7900,262.0000,292.0900,0.401,348.404
2021-12-20,277.7800,297.5000,277.0100,294.9900,0.326,347.511
2021-12-21,299.8000,312.2200,288.0700,311.5500,0.410,346.981
2021-12-22,309.8300,318.3700,297.3247,308.5300,0.274,346.066
2021-12-23,308.6000,312.4600,297.3601,304.3700,0.208,344.864
2021-12-27,306.3000,315.1800,304.8700,309.5500,0.348,343.717
2021-12-28,310.2800,310.2800,300.7000,307.0100,0.102,342.683
2021-12-29,303.9100,312.3200,299.8100,307.3500,0.166,341.652
2021-12-30,307.3500,316.7000,304.6550,307.4100,0.159,340.570
2021-12-31,308.6800,312.4300,303.8200,308.7200,0.138,339.392
2022-01-03,313.8100,314.2800,287.8250,301.2100,0.261,338.035
2022-01-04,300.9100,303.0000,273.1550,289.2600,0.642,336.235
2022-01-05,276.1500,286.9028,242.0500,249.0000,1.060,333.561
2022-01-06,243.5600,250.9600,221.6000,241.1000,1.414,330.939
2022-01-07,241.5800,250.1300,231.3450,237.3800,0.465,327.846
2022-01-10,225.3400,241.3300,222.1100,241.3300,0.909,325.245
2022-01-11,239.0200,253.8500,233.2600,240.5400,0.491,322.619
2022-01-12,249.5600,255.9799,238.5901,242.9100,0.309,320.081
2022-01-13,243.1200,243.3000,215.8200,218.4900,0.608,317.144
2022-01-14,216.3200,222.5300,210.3300,215.6400,0.428,314.377
2022-01-18,209.0000,215.0100,202.7800,204.6600,0.425,311.319
2022-01-19,206.2500,220.7300,205.0000,210.4900,0.354,308.514
2022-01-20,210.8300,223.7900,210.8300,214.6700,0.433,305.139
2022-01-21,209.5000,217.3400,196.1200,198.5000,0.492,300.215
2022-01-24,190.8700,216.8500,182.0700,210.2300,1.020,297.403
2022-01-25,206.3200,208.6600,195.2250,200.8600,0.508,294.135
2022-01-26,208.4300,211.5400,190.7600,193.6500,0.487,290.730
2022-01-27,197.6900,202.4900,184.1500,185.0200,0.284,287.047
2022-01-28,185.1400,191.3373,178.2601,188.4800,0.499,282.805
2022-01-31,193.0000,210.0000,190.1700,209.3200,0.889,278.885
2022-02-01,213.6600,219.1650,206.8500,216.3100,0.671,275.243
2022-02-02,222.1700,222.1700,194.0200,196.4000,0.678,271.746
2022-02-03,189.7100,192.5700,180.7600,180.7600,0.724,268.793
2022-02-04,181.2800,192.6800,179.7100,186.5200,1.343,265.670
2022-02-07,188.1100,206.3700,186.8300,196.0100,0.664,262.843
2022-02-08,192.1800,207.8900,188.1600,207.1500,1.023,260.198
2022-02-09,209.6400,223.0000,209.6400,222.4700,0.876,257.335
2022-02-10,217.6800,238.4300,214.8000,224.7800,0.858,254.634
2022-02-11,225.5400,237.2100,216.5601,218.9100,0.520,252.658
2022-02-14,219.0100,232.9800,214.2200,226.6000,0.478,251.035
2022-02-15,231.2900,237.0200,228.8800,235.9900,0.342,250.240
2022-02-16,234.6300,234.9900,226.6200,229.9100,0.220,249.080
2022-02-17,222.8600,225.8600,202.5400,204.6500,0.457,246.833
2022-02-18,203.4200,212.0000,194.0500,194.7600,0.636,244.218
2022-02-22,190.3100,197.5750,176.6300,177.5100,1.266,241.542
2022-02-23,135.0000,149.9500,126.6100,128.4700,5.105,237.953
2022-02-24,124.0000,149.4000,121.9600,146.5100,2.217,235.450
2022-02-25,146.5000,155.6300,143.8500,155.2400,0.686,233.073
2022-02-28,155.0900,167.7000,153.3500,158.8700,0.475,230.603
2022-03-01,157.3700,170.2900,154.6700,156.8800,0.589,228.180
2022-03-02,157.1900,161.3400,147.0000,159.3100,0.428,225.525
2022-03-03,165.0100,165.0100,146.6800,147.9400,0.629,222.584
2022-03-04,146.4600,147.0000,132.5000,135.9100,0.609,219.071
2022-03-07,135.1700,144.1500,132.6300,133.0000,0.687,215.560
2022-03-08,131.8400,143.6962,130.3300,137.5400,0.454,212.224
2022-03-09,144.9850,150.0400,142.0100,146.6600,0.511,208.966
2022-03-10,136.3500,140.1500,125.4700,130.3500,1.536,205.433
2022-03-11,132.5400,133.8300,121.7300,122.0600,0.730,201.727
2022-03-14,120.0000,122.1050,113.0500,116.3400,0.775,197.905
2022-03-15,116.3200,127.6500,114.1600,124.7300,0.616,194.226
2022-03-16,125.2100,140.4682,123.2750,134.1100,0.817,190.884
2022-03-17,132.4700,150.7000,132.4700,149.7900,0.715,188.094
2022-03-18,148.4100,170.9600,147.6300,170.5000,1.262,186.524
2022-03-21,169.9900,174.7500,161.0000,172.7800,0.712,185.158
2022-03-22,172.7800,192.2200,171.3400,177.3800,0.872,183.958
2022-03-23,175.7300,181.9100,168.2900,173.5300,0.690,182.602
2022-03-24,176.2500,176.2500,158.3300,168.5700,0.637,181.162
2022-03-25,168.3300,169.8800,144.2500,150.4500,0.992,179.313
2022-03-28,151.0000,156.6828,145.9800,153.7300,0.735,178.018
2022-03-29,157.5400,169.8937,156.5400,167.4400,0.578,177.054
2022-03-30,163.5000,172.4600,159.5700,162.5600,0.309,176.212
2022-03-31,161.6000,164.4200,156.7500,158.0700,0.328,175.164
2022-04-01,159.6700,166.0600,156.8200,165.3900,0.384,174.178
2022-04-04,168.7000,177.0000,167.0600,175.8000,0.362,173.724
2022-04-05,175.8000,175.8000,156.9100,159.2400,0.368,172.704
2022-04-06,153.5400,153.8725,143.1400,149.6500,0.505,171.680
2022-04-07,149.7100,153.8099,141.3200,145.2400,0.412,170.712
2022-04-08,143.5900,147.3600,137.4100,140.7600,0.404,169.827
2022-04-11,137.5000,144.6000,133.3500,142.2700,0.388,168.902
2022-04-12,145.7900,150.9300,138.1300,141.1300,0.315,167.539
2022-04-13,141.0000,149.5150,138.6200,147.8800,0.269,166.170
2022-04-14,148.7700,149.4000,136.2500,137.1700,0.317,164.985
2022-04-18,136.1600,136.8900,125.7092,134.2400,0.400,164.055
2022-04-19,134.8000,146.3586,131.5700,140.4200,0.367,163.133
2022-04-20,140.0000,140.4100,132.5800,136.8300,0.302,161.949
2022-04-21,139.1500,145.0000,134.4850,137.2100,0.644,160.551
2022-04-22,136.8000,141.2600,131.3300,137.6300,0.468,158.854
2022-04-25,135.1300,145.9400,133.6200,145.5000,0.361,157.268
2022-04-26,143.1700,145.9000,127.1800,138.3200,0.831,155.656
2022-04-27,139.0400,142.3900,130.7100,132.8800,0.428,153.782
2022-04-28,136.4900,146.5411,130.5300,143.3800,0.428,151.930
2022-04-29,138.4300,148.7300,129.0000,129.4000,0.377,149.920
2022-05-02,129.2000,134.1500,125.7600,133.2800,0.672,148.492
2022-05-03,130.0800,136.8000,127.0600,129.1500,0.390,147.180
2022-05-04,129.1500,144.4800,117.0100,141.8200,0.749,146.466
2022-05-05,137.4300,137.9950,121.5550,131.7800,0.758,146.532
2022-05-06,129.3600,134.2300,118.0000,123.5500,0.631,146.073
2022-05-09,118.2500,119.8200,106.0300,112.3200,1.180,145.215
2022-05-10,114.2700,121.9900,103.8800,109.7900,0.710,144.233
2022-05-11,104.0600,109.9700,87.0500,94.5700,1.707,142.987
2022-05-12,88.6300,110.5000,88.5000,99.7500,1.357,141.796
2022-05-13,100.1900,113.2500,100.1900,110.3800,1.553,141.045
2022-05-16,112.0000,116.6900,100.8850,105.0500,1.891,140.427
2022-05-17,107.0000,112.9900,101.9200,105.8800,0.690,139.885
2022-05-18,104.8400,108.7100,99.3550,101.6200,0.543,139.167
2022-05-19,101.3600,117.2500,101.3600,112.7900,0.992,138.489
2022-05-20,115.3700,117.6200,103.1800,114.2700,0.761,138.168
2022-05-23,114.5100,116.1041,107.1700,111.5600,0.439,137.958
2022-05-24,108.7300,108.7800,96.4200,99.7500,0.660,137.626
2022-05-25,99.1200,105.8099,98.2250,104.9400,0.540,137.230
2022-05-26,103.8800,109.0100,100.0100,103.6700,0.772,136.621
2022-05-27,106.0100,115.4800,104.6600,115.0100,0.455,135.926
2022-05-31,115.8200,117.4400,112.0700,113.5400,0.467,134.786
2022-06-01,113.9100,119.0000,107.7400,110.8300,0.386,133.547
2022-06-02,110.8600,127.1050,110.5500,123.4400,0.461,132.469
2022-06-03,120.0700,124.8300,110.8900,116.0900,0.512,131.320
2022-06-06,120.0000,121.6200,113.0200,114.9400,0.402,130.247
2022-06-07,110.1615,120.7266,110.1000,115.8800,0.338,129.556
2022-06-08,115.0500,120.8000,113.5100,116.7900,0.167,128.817
2022-06-09,115.2000,117.8450,110.5700,110.7900,0.272,127.684
2022-06-10,106.5100,107.4400,93.8827,97.3500,0.728,126.380
2022-06-13,90.5000,95.3550,88.6200,92.8900,0.786,125.076
2022-06-14,94.0000,98.4600,91.9800,95.1400,0.283,123.671
2022-06-15,96.3200,106.6100,96.0100,104.0400,0.630,122.236
2022-06-16,99.1800,101.8700,93.3300,94.8900,0.491,120.949
2022-06-17,97.5000,102.2100,95.5100,97.6000,0.492,119.908
2022-06-21,99.9800,109.2600,99.9800,106.3200,0.395,119.130
2022-06-22,102.8400,107.7800,101.0100,103.9300,0.316,118.393
2022-06-23,105.5000,111.7750,103.5700,111.1000,0.360,117.770
2022-06-24,113.1600,122.8900,112.9750,122.3600,0.337,117.394
2022-06-27,123.9300,125.4700,116.0400,119.3400,0.408,116.823
2022-06-28,119.6700,121.3596,109.6700,110.1700,0.371,116.283
2022-06-29,109.5300,110.0100,105.8700,108.9500,0.269,115.778
2022-06-30,106.8500,106.9400,98.5550,103.1600,0.362,115.032
