DATE,OPEN,HIGH,LOW,CLOSE
2021-05-27,1.1000,1.1500,1.1000,1.1000
2021-05-28,1.1000,1.2000,1.1000,1.2000
2021-06-01,1.2000,1.2000,1.0800,1.1500
2021-06-02,1.1500,1.1800,1.0900,1.1600
2021-06-03,1.1100,1.1100,1.0450,1.0900
2021-06-04,1.1200,1.2300,1.1200,1.1500
2021-06-07,1.1500,1.1500,1.1100,1.1200
2021-06-08,1.2301,1.2301,1.1800,1.1800
2021-06-09,1.1900,1.1900,1.0800,1.1200
2021-06-10,1.2000,1.2750,1.1100,1.2750
2021-06-11,1.3500,1.4000,1.1500,1.3700
2021-06-14,1.3000,1.3600,1.3000,1.3600
2021-06-15,1.3500,1.3600,1.3300,1.3300
2021-06-16,1.3000,1.3500,1.2900,1.3500
2021-06-17,1.3300,1.3900,1.3000,1.3400
2021-06-18,1.4896,1.4896,1.3200,1.3600
2021-06-21,1.4100,1.5200,1.4100,1.4300
2021-06-22,1.4000,1.4000,1.4000,1.4000
2021-06-23,1.3500,1.4250,1.3500,1.4000
2021-06-24,1.5000,1.5000,1.3000,1.3500
2021-06-25,1.4000,1.4000,1.2300,1.3199
2021-06-28,1.3000,1.3600,1.2900,1.3500
2021-06-29,1.2900,1.3000,1.2900,1.3000
2021-06-30,1.5400,1.5400,1.3000,1.3000
2021-07-01,1.3400,1.3500,1.3000,1.3500
2021-07-02,1.3899,1.3899,1.3800,1.3800
2021-07-06,1.5300,1.5400,1.4200,1.4200
2021-07-07,1.4200,1.4200,1.4200,1.4200
2021-07-08,1.5000,1.5000,1.3000,1.4000
2021-07-09,1.4200,1.6150,1.4200,1.4200
2021-07-12,1.4300,1.4300,1.4200,1.4300
2021-07-13,1.4200,1.6872,1.4200,1.6872
2021-07-14,1.4200,1.5500,1.4200,1.5500
2021-07-15,1.5000,1.5000,1.3370,1.4200
2021-07-16,1.4300,1.5150,1.4200,1.4200
2021-07-19,1.3610,1.4200,1.3610,1.4100
2021-07-20,1.4100,1.4100,1.4100,1.4100
2021-07-21,1.5699,1.5699,1.3800,1.3800
2021-07-22,1.4000,1.4000,1.4000,1.4000
2021-07-23,1.4100,1.5000,1.4000,1.4100
2021-07-26,1.4000,1.4100,1.4000,1.4100
2021-07-27,1.4100,1.4100,1.4000,1.4099
2021-07-28,1.4099,1.4099,1.4099,1.4099
2021-07-29,1.4000,1.4000,1.3000,1.3000
2021-07-30,1.3200,1.3900,1.3000,1.3900
2021-08-02,1.3900,1.3900,1.3900,1.3900
2021-08-03,1.3900,1.3900,1.3900,1.3900
2021-08-04,1.3900,1.3900,1.3900,1.3900
2021-08-05,1.4000,1.4000,1.3500,1.3500
2021-08-06,1.2200,1.3000,1.1400,1.3000
2021-08-09,1.2346,1.2500,1.2346,1.2477
2021-08-10,1.3750,1.3750,1.2616,1.2616
2021-08-11,1.3673,1.3673,1.3673,1.3673
2021-08-12,1.3673,1.3673,1.3673,1.3673
2021-08-13,1.3500,1.3500,1.3500,1.3500
2021-08-16,1.3500,1.3500,1.3500,1.3500
2021-08-17,1.3100,1.3100,1.2700,1.2700
2021-08-18,1.2700,1.2700,1.2700,1.2700
2021-08-19,1.2700,1.2700,1.2700,1.2700
2021-08-20,1.2600,1.2600,1.2500,1.2500
2021-08-23,1.2500,1.2500,1.2500,1.2500
2021-08-24,1.3000,1.3001,1.3000,1.3001
2021-08-25,1.2300,1.2799,1.1000,1.2799
2021-08-26,1.2799,1.2799,1.2799,1.2799
2021-08-27,1.2799,1.2799,1.2799,1.2799
2021-08-30,1.1900,1.2600,1.1900,1.2600
2021-08-31,1.3165,1.3300,1.3165,1.3300
2021-09-01,1.3600,1.3600,1.2200,1.2200
2021-09-02,1.2200,1.2200,1.2200,1.2200
2021-09-03,1.2200,1.2200,1.2200,1.2200
2021-09-07,1.3200,1.3500,1.3000,1.3000
2021-09-08,1.1398,1.1398,1.1398,1.1398
2021-09-09,1.1398,1.1398,1.1398,1.1398
2021-09-10,1.1398,1.1398,1.1398,1.1398
2021-09-13,1.1800,1.1800,1.1400,1.1400
2021-09-14,1.2500,1.2500,1.0800,1.0800
2021-09-15,1.1500,1.2040,1.1500,1.2040
2021-09-16,1.2040,1.2040,1.2040,1.2040
2021-09-17,1.2040,1.2040,1.2040,1.2040
2021-09-20,1.1815,1.1815,1.0600,1.0600
2021-09-21,1.0600,1.0600,1.0600,1.0600
2021-09-22,1.1506,1.1650,1.1500,1.1500
2021-09-23,1.1500,1.1500,1.1500,1.1500
2021-09-24,1.1500,1.1500,1.1500,1.1500
2021-09-27,1.1500,1.1500,1.1500,1.1500
2021-09-28,1.1500,1.1500,1.1500,1.1500
2021-09-29,1.1500,1.1500,1.1500,1.1500
2021-09-30,1.1500,1.1500,1.1500,1.1500
2021-10-01,1.1500,1.1500,1.1500,1.1500
2021-10-04,1.1400,1.1500,1.1400,1.1400
2021-10-05,1.0800,1.1350,1.0500,1.1102
2021-10-06,1.0600,1.1400,1.0500,1.1400
2021-10-07,1.1900,1.1900,1.1900,1.1900
2021-10-08,1.2000,1.2000,1.2000,1.2000
2021-10-11,1.2000,1.2000,1.0800,1.1500
2021-10-12,1.1500,1.1500,1.1500,1.1500
2021-10-13,1.0600,1.1100,1.0000,1.0000
2021-10-14,1.0700,1.0700,1.0700,1.0700
2021-10-15,1.0400,1.0400,1.0400,1.0400
2021-10-18,1.0400,1.0400,1.0400,1.0400
2021-10-19,1.0400,1.0400,1.0400,1.0400
2021-10-20,1.0150,1.0300,1.0132,1.0132
2021-10-21,1.0132,1.0132,1.0132,1.0132
