DATE,OPEN,HIGH,LOW,CLOSE
2018-03-12,0.6600,0.7200,0.6500,0.6500
2018-03-13,0.6700,0.6700,0.6502,0.6600
2018-03-14,0.5600,0.6600,0.5600,0.6486
2018-03-15,0.6000,0.6600,0.6000,0.6175
2018-03-16,0.6000,0.6600,0.6000,0.6000
2018-03-19,0.6200,0.6200,0.6000,0.6000
2018-03-20,0.7000,0.7000,0.6999,0.6999
2018-03-21,0.6400,0.7000,0.6400,0.6400
2018-03-22,0.6400,0.6400,0.6400,0.6400
2018-03-23,0.6400,0.6400,0.6400,0.6400
2018-03-26,0.6400,0.6400,0.6400,0.6400
2018-03-27,0.6400,0.6400,0.6400,0.6400
2018-03-28,0.7500,1.5000,0.6500,0.6500
2018-03-29,0.6500,0.6500,0.6500,0.6500
2018-04-02,0.6500,0.6500,0.6500,0.6500
2018-04-03,0.6500,0.6500,0.6500,0.6500
2018-04-04,0.6250,0.6500,0.6250,0.6500
2018-04-05,0.6500,0.6500,0.6500,0.6500
2018-04-06,0.6500,0.6500,0.6500,0.6500
2018-04-09,0.6500,0.6500,0.6500,0.6500
2018-04-10,0.6500,0.6500,0.6500,0.6500
2018-04-11,0.6600,0.6600,0.6200,0.6400
2018-04-12,0.6400,0.6400,0.6400,0.6400
2018-04-13,0.6500,0.6500,0.6250,0.6400
2018-04-16,0.6500,0.6500,0.6500,0.6500
2018-04-17,0.6500,0.6500,0.6467,0.6467
2018-04-18,0.6500,0.6500,0.6500,0.6500
2018-04-19,0.6500,0.6500,0.6470,0.6470
2018-04-20,0.6470,0.6470,0.6470,0.6470
2018-04-23,0.6470,0.6470,0.6470,0.6470
2018-04-24,0.6470,0.6470,0.6470,0.6470
2018-04-25,0.6300,0.6500,0.6300,0.6500
2018-04-26,0.6400,0.6500,0.6200,0.6200
2018-04-27,0.6300,0.6300,0.6300,0.6300
2018-04-30,0.6400,0.6400,0.6039,0.6100
2018-05-01,0.6100,0.6100,0.6100,0.6100
2018-05-02,0.9000,0.9042,0.6300,0.6641
2018-05-03,0.6500,0.6500,0.6500,0.6500
2018-05-04,0.6500,0.6500,0.6500,0.6500
2018-05-07,0.6500,0.6500,0.6500,0.6500
2018-05-08,0.5550,0.6500,0.5550,0.6500
2018-05-09,0.6500,0.6500,0.6500,0.6500
2018-05-10,0.6200,0.6200,0.6200,0.6200
2018-05-11,0.6200,0.6200,0.6200,0.6200
2018-05-14,0.6500,0.6500,0.6200,0.6500
2018-05-15,0.6500,0.6500,0.6500,0.6500
2018-05-16,0.6500,0.6500,0.6500,0.6500
2018-05-17,0.6500,0.6500,0.6500,0.6500
2018-05-18,0.6900,0.6900,0.6900,0.6900
2018-05-21,0.6400,0.6400,0.6400,0.6400
2018-05-22,0.6400,0.6400,0.6400,0.6400
2018-05-23,0.6400,0.6400,0.6300,0.6300
2018-05-24,0.6300,0.6300,0.6300,0.6300
2018-05-25,0.6500,0.6500,0.6400,0.6400
2018-05-29,0.6400,0.8450,0.6400,0.6400
2018-05-30,0.6500,0.6500,0.6500,0.6500
2018-05-31,0.6500,0.6500,0.6500,0.6500
2018-06-01,0.6500,0.6500,0.6500,0.6500
2018-06-04,0.6500,0.6500,0.6500,0.6500
2018-06-05,0.6500,0.6500,0.6200,0.6500
2018-06-06,0.6500,0.6500,0.6500,0.6500
2018-06-07,0.6500,0.6500,0.6500,0.6500
2018-06-08,0.6500,0.6500,0.6500,0.6500
2018-06-11,0.6500,0.6500,0.6500,0.6500
2018-06-12,0.6500,0.6500,0.6500,0.6500
2018-06-13,0.6400,0.6400,0.6400,0.6400
2018-06-14,0.6400,0.6400,0.6400,0.6400
2018-06-15,0.6400,0.6400,0.6400,0.6400
2018-06-18,0.6400,0.6400,0.6400,0.6400
2018-06-19,0.6400,0.6400,0.6400,0.6400
2018-06-20,0.6400,0.6400,0.6400,0.6400
2018-06-21,0.6300,0.6300,0.6300,0.6300
2018-06-22,0.6300,0.6300,0.6300,0.6300
2018-06-25,0.6300,0.6300,0.6300,0.6300
2018-06-26,0.6300,0.6300,0.6300,0.6300
2018-06-27,0.6200,0.6450,0.6000,0.6100
2018-06-28,0.6000,0.6000,0.6000,0.6000
2018-06-29,0.6400,0.6400,0.6399,0.6400
2018-07-02,0.6500,0.6650,0.6280,0.6400
2018-07-03,0.6400,0.6400,0.6400,0.6400
2018-07-05,0.6400,0.6600,0.6400,0.6430
2018-07-06,0.6430,0.6430,0.6430,0.6430
2018-07-09,0.6430,0.6430,0.6430,0.6430
2018-07-10,0.6100,0.6100,0.6100,0.6100
2018-07-11,0.6100,0.6100,0.6100,0.6100
2018-07-12,0.6100,0.6100,0.6100,0.6100
2018-07-13,0.6100,0.6100,0.6100,0.6100
2018-07-16,0.6100,0.6100,0.6100,0.6100
2018-07-17,0.6500,0.6500,0.6400,0.6400
2018-07-18,0.6100,0.6100,0.6000,0.6000
2018-07-19,0.6000,0.6000,0.6000,0.6000
2018-07-20,0.6400,0.6400,0.6400,0.6400
2018-07-23,0.6400,0.6432,0.6400,0.6400
2018-07-24,0.6200,0.6263,0.6200,0.6263
2018-07-25,0.6263,0.6263,0.6263,0.6263
2018-07-26,0.6000,0.6400,0.6000,0.6400
2018-07-27,0.6400,0.6400,0.6400,0.6400
2018-07-30,0.6400,0.6400,0.6400,0.6400
2018-07-31,0.6400,0.6400,0.6400,0.6400
2018-08-01,0.6400,0.6400,0.6400,0.6400
2018-08-02,0.6400,0.6400,0.6400,0.6400
2018-08-03,0.6400,0.6400,0.6400,0.6400
2018-08-06,0.6400,0.6400,0.6400,0.6400
2018-08-07,0.6400,0.6400,0.6400,0.6400
2018-08-08,0.6400,0.6400,0.6400,0.6400
2018-08-09,0.6400,0.6400,0.6400,0.6400
2018-08-10,0.6400,0.6400,0.6400,0.6400
2018-08-13,0.6000,0.7800,0.6000,0.7800
2018-08-14,0.7000,0.7100,0.6000,0.6950
2018-08-15,0.6829,0.7100,0.6700,0.6700
2018-08-16,0.7000,0.7000,0.7000,0.7000
2018-08-17,0.7000,0.7000,0.7000,0.7000
2018-08-20,0.6500,0.6500,0.6487,0.6487
2018-08-21,0.6487,0.6487,0.6487,0.6487
2018-08-22,0.6400,0.6400,0.6400,0.6400
2018-08-23,0.6600,0.6600,0.6600,0.6600
2018-08-24,0.6600,0.6600,0.6600,0.6600
2018-08-27,0.6600,0.6600,0.6600,0.6600
2018-08-28,0.6600,0.6600,0.6600,0.6600
2018-08-29,0.6700,0.6700,0.6600,0.6600
2018-08-30,0.6600,0.6600,0.6600,0.6600
2018-08-31,0.6600,0.6600,0.6600,0.6600
2018-09-04,0.6600,0.6600,0.6600,0.6600
2018-09-05,0.6600,0.6600,0.6600,0.6600
2018-09-06,0.6600,0.6600,0.6600,0.6600
2018-09-07,0.6600,0.6600,0.6600,0.6600
2018-09-10,0.6280,0.6500,0.6280,0.6500
2018-09-11,0.6500,0.6500,0.6500,0.6500
2018-09-12,0.6500,0.6500,0.6500,0.6500
2018-09-13,0.6500,0.6500,0.6500,0.6500
2018-09-14,0.6500,0.6500,0.6500,0.6500
2018-09-17,0.6500,0.6500,0.6500,0.6500
2018-09-18,0.6600,0.6600,0.6500,0.6500
2018-09-19,0.6600,0.6600,0.6600,0.6600
2018-09-20,0.7000,0.7000,0.7000,0.7000
2018-09-21,0.7000,0.7000,0.7000,0.7000
2018-09-24,0.7000,0.7000,0.7000,0.7000
2018-09-25,0.7000,0.7000,0.7000,0.7000
2018-09-26,0.7000,0.7000,0.7000,0.7000
2018-09-27,0.7000,0.7000,0.7000,0.7000
2018-09-28,0.7000,0.7000,0.7000,0.7000
2018-10-01,0.7000,0.7000,0.7000,0.7000
2018-10-02,0.6500,0.6500,0.6500,0.6500
2018-10-03,0.6600,0.6600,0.6600,0.6600
2018-10-04,0.6500,0.6500,0.6500,0.6500
2018-10-05,0.6500,0.6500,0.6500,0.6500
2018-10-08,0.6700,0.6700,0.6700,0.6700
2018-10-09,0.6700,0.6700,0.6700,0.6700
2018-10-10,0.6400,0.7000,0.6400,0.7000
2018-10-11,0.6500,0.6700,0.6500,0.6700
2018-10-12,0.6700,0.6700,0.6700,0.6700
2018-10-15,0.6100,0.6500,0.6100,0.6500
2018-10-16,0.6600,0.6600,0.6600,0.6600
2018-10-17,0.6600,0.6600,0.6600,0.6600
2018-10-18,0.6600,0.6600,0.6600,0.6600
2018-10-19,0.6600,0.6600,0.6600,0.6600
2018-10-22,0.6600,0.6600,0.6600,0.6600
2018-10-23,0.6600,0.6600,0.6600,0.6600
2018-10-24,0.6360,0.6500,0.6360,0.6500
2018-10-25,0.6500,0.6500,0.6500,0.6500
2018-10-26,0.6500,0.6500,0.6500,0.6500
2018-10-29,0.6500,0.6500,0.6500,0.6500
2018-10-30,0.6300,0.6300,0.6300,0.6300
2018-10-31,0.6400,0.6400,0.5568,0.6100
2018-11-01,0.6200,0.6200,0.5200,0.6200
2018-11-02,0.5900,0.6200,0.5900,0.6200
