DATE,OPEN,HIGH,LOW,CLOSE
1995-03-14,2.5768,3.0854,2.5090,2.7124
1995-03-15,2.7463,2.8142,2.6107,2.6785
1995-03-16,2.6785,2.8142,2.6785,2.7640
1995-03-17,2.8142,2.8142,2.7124,2.7640
1995-03-20,2.7803,2.7803,2.6785,2.7463
1995-03-21,2.7124,2.8820,2.7124,2.7463
1995-03-22,2.7640,2.8142,2.7124,2.7803
1995-03-23,2.7803,2.7803,2.6785,2.7803
1995-03-24,2.7803,2.7803,2.6785,2.6785
1995-03-27,2.7803,2.7803,2.6446,2.6446
1995-03-28,2.6446,2.7463,2.5768,2.5768
1995-03-29,2.5768,2.6785,2.5429,2.5429
1995-03-30,2.5429,2.6107,2.3734,2.4073
1995-03-31,2.3734,2.4412,2.3395,2.4412
1995-04-03,2.4412,2.5090,2.3395,2.5090
1995-04-04,2.5429,2.6785,2.4412,2.5945
1995-04-05,2.6785,2.6785,2.5429,2.6446
1995-04-06,2.6785,2.6785,2.5768,2.6446
1995-04-07,2.6446,2.6446,2.5429,2.6107
1995-04-10,2.6107,2.6107,2.5090,2.5768
1995-04-11,2.5090,2.6107,2.5090,2.5266
1995-04-12,2.5429,2.6446,2.5090,2.6446
1995-04-13,2.5429,2.6446,2.5429,2.5429
1995-04-17,2.5429,2.6446,2.5429,2.5429
1995-04-18,2.5090,2.5768,2.4412,2.4751
1995-04-19,2.4751,2.4751,2.4412,2.4412
1995-04-20,2.4751,2.4751,2.4412,2.4588
1995-04-21,2.4751,2.4751,2.4412,2.4412
1995-04-24,2.4751,2.4751,2.4412,2.4412
1995-04-25,2.4751,2.5768,2.4412,2.4751
1995-04-26,2.4751,2.5768,2.4751,2.5266
1995-04-27,2.5090,2.5768,2.4412,2.5266
1995-04-28,2.5768,2.5768,2.4412,2.5429
1995-05-01,2.4412,2.5429,2.2717,2.3056
1995-05-02,2.3734,2.5768,2.3395,2.5768
1995-05-03,2.5768,2.5768,2.5090,2.5090
1995-05-04,2.5768,2.5768,2.4751,2.4751
1995-05-05,2.4412,2.5090,2.4412,2.4751
1995-05-08,2.5090,2.5768,2.4412,2.5605
1995-05-09,2.5768,2.5768,2.4751,2.4927
1995-05-10,2.4412,2.4412,2.4073,2.4073
1995-05-11,2.5090,2.5429,2.4073,2.4073
1995-05-12,2.5429,2.5429,2.4073,2.4588
1995-05-15,2.4073,2.5429,2.3734,2.4073
1995-05-16,2.3395,2.4073,2.3395,2.4073
1995-05-17,2.4073,2.4073,2.3395,2.4073
1995-05-18,2.4073,2.5090,2.3395,2.4073
1995-05-19,2.3734,2.5090,2.3734,2.5090
1995-05-22,2.5090,2.7124,2.3734,2.6107
1995-05-23,2.7124,2.8142,2.6446,2.8142
1995-05-24,2.8142,2.8820,2.7124,2.8657
1995-05-25,2.7803,2.8820,2.6107,2.6785
1995-05-26,2.6785,2.6785,2.5090,2.6107
1995-05-30,2.7124,2.7124,2.6107,2.7124
1995-05-31,2.6107,2.7124,2.5768,2.5768
1995-06-01,2.6446,2.7124,2.5768,2.6107
1995-06-02,2.5768,2.7124,2.5768,2.7124
1995-06-05,2.5768,2.5768,2.5090,2.5090
1995-06-06,2.5768,2.5768,2.4751,2.4927
1995-06-07,2.4751,2.5429,2.4412,2.4588
1995-06-08,2.5429,2.5429,2.3734,2.4073
1995-06-09,2.4412,2.4412,2.3734,2.4073
1995-06-12,2.4412,2.4412,2.3734,2.4073
1995-06-13,2.4073,2.4073,2.3571,2.3734
1995-06-14,2.4073,2.4073,2.3395,2.4073
1995-06-15,2.4073,2.4412,2.3571,2.4412
1995-06-16,2.4412,2.4412,2.3734,2.3734
1995-06-19,2.3910,2.4588,2.3395,2.4412
1995-06-20,2.4073,2.4751,2.4073,2.4412
1995-06-21,2.4751,2.4751,2.4073,2.4412
1995-06-22,2.4073,2.4751,2.4073,2.4588
1995-06-23,2.4751,2.4751,2.4073,2.4073
1995-06-26,2.4073,2.4751,2.4073,2.4751
1995-06-27,2.4073,2.4751,2.4073,2.4073
1995-06-28,2.4073,2.4751,2.4073,2.4073
1995-06-29,2.4751,2.4751,2.4073,2.4412
1995-06-30,2.4249,2.4751,2.4073,2.4073
1995-07-03,2.4751,2.4751,2.3910,2.4073
1995-07-05,2.4751,2.4751,2.4751,2.4751
1995-07-06,2.3734,2.4751,2.3734,2.3734
1995-07-07,2.4751,2.4751,2.3734,2.3734
1995-07-10,2.4751,2.4751,2.3734,2.4751
1995-07-11,2.4751,2.5090,2.4588,2.5090
1995-07-12,2.5090,2.5090,2.4588,2.5090
1995-07-13,2.4588,2.5429,2.4588,2.4927
1995-07-14,2.5429,2.5768,2.4588,2.5768
1995-07-17,2.5768,2.5768,2.4751,2.5768
1995-07-18,2.4751,2.5429,2.4751,2.5090
1995-07-19,2.4751,2.5266,2.4249,2.5266
1995-07-20,2.4412,2.5266,2.4412,2.5090
1995-07-21,2.4412,2.5768,2.4412,2.4751
1995-07-24,2.5768,2.5768,2.4751,2.4751
1995-07-25,2.4751,2.5768,2.3734,2.4751
1995-07-26,2.4751,2.4751,2.3734,2.4751
1995-07-27,2.4751,2.7803,2.4751,2.6785
1995-07-28,2.6785,2.7803,2.6785,2.7301
1995-07-31,2.7803,2.7803,2.7124,2.7124
1995-08-01,2.6785,2.7301,2.5768,2.6446
1995-08-02,2.5429,2.6446,2.5429,2.5429
1995-08-03,2.4927,2.6107,2.4927,2.5768
1995-08-04,2.5429,2.6446,2.5429,2.6446
1995-08-07,2.6446,2.6446,2.5429,2.5429
1995-08-08,2.6785,2.8481,2.6785,2.7463
1995-08-09,2.7463,2.8481,2.7463,2.7463
1995-08-10,2.8481,2.8481,2.7124,2.8481
1995-08-11,2.8481,2.8481,2.7124,2.7124
1995-08-14,2.7463,2.8142,2.7124,2.7124
1995-08-15,2.7463,2.7463,2.7463,2.7463
1995-08-16,2.8481,2.8481,2.7463,2.7463
1995-08-17,2.8481,2.9159,2.7463,2.7803
1995-08-18,2.7803,2.9498,2.7803,2.8142
1995-08-21,2.8142,2.9498,2.8142,2.9498
1995-08-22,2.8142,2.9498,2.8142,2.8142
1995-08-23,2.8142,2.8820,2.8142,2.8820
1995-08-24,2.8820,2.8820,2.8142,2.8142
1995-08-25,2.8142,2.9159,2.8142,2.8142
1995-08-28,2.9159,2.9159,2.8142,2.8142
1995-08-29,2.9159,2.9159,2.8142,2.8481
1995-08-30,2.8481,2.8820,2.8481,2.8481
1995-08-31,2.8481,2.9498,2.8481,2.9335
1995-09-01,2.9498,2.9498,2.8481,2.8481
1995-09-05,2.8481,2.9837,2.8481,2.9159
1995-09-06,3.0176,3.0176,2.9159,2.9837
1995-09-07,2.8820,3.0176,2.8820,2.8820
1995-09-08,2.9837,2.9837,2.8820,2.9837
1995-09-11,2.9837,2.9837,2.8820,2.9837
1995-09-12,2.8820,2.9498,2.7803,2.8142
1995-09-13,2.8142,2.8481,2.7463,2.8142
1995-09-14,2.8820,2.8820,2.8481,2.8820
1995-09-15,2.7463,2.8820,2.7463,2.7463
1995-09-18,2.8820,2.8820,2.7463,2.8142
1995-09-19,2.7463,2.7803,2.7463,2.7803
1995-09-20,2.8820,2.8820,2.7803,2.8318
1995-09-21,2.8142,2.8318,2.7803,2.8318
1995-09-22,2.7803,2.8820,2.7463,2.7463
